Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Escherichia coli 90.2281 (1005402.3)	3745_2, 4087_1, 4088_2	 	 	 	1279	4707	973_11	2487_16, 3825_15	2128, 798	4819_18	4936	3160	4692	1158_24, 1159_25, 1160_26
Escherichia coli 900105 (10e) (869695.4)	2419_2, 2420_1	 	 	4348_8	1000, 449, 450, 816, 817	1854	130_11	2700_15, 4342_16	357, 5144	1976_18	1594	5679	1839	688_24, 690_26
Escherichia coli 93-001 (1005481.3)	4120_1, 4121_2	 	 	 	1258	4727	948_11	2504_16, 3860_15	2240, 776	4840_18	4952	3175	4712	1129_24, 1130_25, 1131_26
Escherichia coli 93.0055 (1005403.3)	3902_1, 3903_2	 	 	 	1043	4524	724_11	2304_16, 3640_15	1950, 548	4639_18	4756	2967	4509	912_24, 913_25, 914_26
Escherichia coli 93.0056 (1005404.3)	3722_2, 4064_1, 4065_2	 	 	 	1238	4692	922_11	2453_16, 3803_15	2196, 744	4807_18	4923	3120	4677	1109_24, 1110_25, 1111_26
Escherichia coli 93.0624 (869680.4)	2887_2, 2888_1	 	 	5092_8	1254, 1729, 967	3715	377_11	4200_15, 5099_16	118, 2345	3599_18	4938	1836	3730	1104_26, 1105_25, 1106_24
Escherichia coli 94.0618 (1005405.3)	4008_1, 4009_2	 	 	 	1146	4637	832_11	2352_16, 3745_15	2071, 651	4750_18	4867	3028	4622	1017_24, 1018_25, 1019_26
Escherichia coli 95.0183 (1005406.3)	4100_1, 4101_2	 	 	 	1303	4767	974_11	2406_16, 3838_15	2156, 794	4880_18	4996	3143	4752	1171_24, 1172_25, 1173_26
Escherichia coli 95.0941 (869674.3)	3723_2, 4145_2, 4510_1, 4511_2	 	 	3042_8	1110, 2190, 2665, 2666	520	1891_11	3048_16, 4225_15	1729, 2759	634_18	744	3592	505	2027_24, 2028_25, 2029_26
Escherichia coli 95.0943 (1005408.3)	3818_2, 4160_1, 4161_2	 	 	 	1159	4787	868_11	2474_16, 3898_15	2188, 691	4902_18	5018	3170	4772	1028_24, 1029_25, 1030_26
Escherichia coli 95.1288 (1005407.3)	3617_1, 3618_2	 	 	 	959	4185	693_11	2054_16, 3359_15	1795, 517	4306_18	4420	2725	4170	832_24, 833_25, 834_26
Escherichia coli 96.0107 (1005415.3)	3710_2, 4057_1, 4058_2	 	 	 	1228	4674	911_11	2396_16, 3792_15	2144, 733	4788_18	4905	3120	4659	1098_24, 1099_25, 1100_26
Escherichia coli 96.0109 (1005414.3)	4066_1, 4067_2	 	 	 	1188	4681	868_11	2463_16, 3805_15	2178, 687	4793_18	4907	3097	4666	1058_24, 1059_25, 1060_26
Escherichia coli 96.0427 (1005411.3)	3685_2, 4025_1, 4026_2	 	 	 	1119	4644	802_11	2367_16, 3765_15	2090, 624	4756_18	4869	3040	4629	990_24, 991_25, 992_26
Escherichia coli 96.0428 (1005410.3)	3692_2, 4033_1, 4034_2	 	 	 	1237	4672	4425_11	2373_16, 3772_15	2099, 774	4785_18	4901	3105	4657	1107_24, 1108_25, 1109_26
Escherichia coli 96.0497 (869677.4)	3472_1, 3473_2	 	 	1861_8	1558, 4635, 798	4012	543_11	1867_16, 3110_15	1646, 324	4125_18	4275	2463	3997	677_24, 678_25, 679_26
Escherichia coli 96.0932 (1005413.3)	4078_1, 4079_2	 	 	 	2909	4703	999_11	2378_16, 3817_15	2107, 824	4817_18	4933	3144	4688	1169_24, 1170_25, 1171_26
Escherichia coli 96.0939 (1005412.3)	4126_1, 4127_2	 	 	 	2901	4753	926_11	2338_16, 3863_15	2066, 746	4869_18	4987	3137	4738	1113_24, 1114_25, 1115_26
Escherichia coli 96.154 (869683.4)	1920_1, 1921_2	 	 	457_8	158, 3112, 4176	2459	3872_11	1640_15, 463_16	243, 3655	2574_18	2681	1005	2444	4004_25, 4005_26
Escherichia coli 97.0003 (1005416.3)	3719_2, 3720_2, 4062_1, 4063_2	 	 	 	1243	4627	931_11	2417_16, 3801_15	2126, 761	4744_18	4861	3095	4612	1101_24, 1102_25, 1103_26
Escherichia coli 97.0010 (1005419.3)	3583_2, 3977_1, 3978_2	 	 	 	1077	4577	768_11	2290_16, 3663_15	2014, 593	4687_18	4799	2958	4562	949_24, 950_25, 951_26
Escherichia coli 97.0246 (869670.4)	2814_1, 2815_2	 	 	906_8	1228, 235, 2942	3677	5566_11	2479_15, 900_16	1141, 646	1402_18	1291	1665	3662	66_25, 67_26
Escherichia coli 97.0259 (869672.4)	1607_2, 1608_1	 	 	1208_8	3099, 3390, 638	4196	2019_11	1202_16, 2781_15	1480, 2247	4081_18	4747	1784	4211	761_26, 762_25, 763_24
Escherichia coli 97.0264 (869676.4)	1243_2, 1710_1, 1711_2, 2406_2	 	 	3169_8	4430, 660	2259	361_11	1323_15, 1324_15, 3162_16	3391, 3858	5051_18	4942	2599	2244	494_24, 495_25, 496_26
Escherichia coli 99.0670 (1005423.3)	4192_1, 4193_2	 	 	 	1325	4754	1001_11	2576_16, 3949_15	2313, 821	2262_18	4939	3220	4739	1185_24, 1186_25, 1187_26
Escherichia coli 99.0672 (1005421.3)	3645_2, 3992_1, 3993_2	 	 	 	1072	4612	740_11	2258_16, 3728_15	1999, 566	4726_18	4884	3050	4597	926_24, 927_25, 928_26
Escherichia coli 99.0678 (1005422.3)	4195_1, 4196_2	 	 	 	1361	4685	1061_11	2463_16, 3910_15	2205, 885	4798_18	 	3207	4670	1232_24, 1233_25, 1234_26
Escherichia coli 99.0713 (1005424.3)	4043_1, 4044_2	 	 	 	1265	4537	955_11	2399_16, 3783_15	2159, 728	4697_18	4813	3038	4522	1136_24, 1137_25, 1138_26
Escherichia coli 99.0741 (869678.4)	2020_2, 2021_1	 	 	4534_8	1072, 1588, 3667	5273	4254_11	2400_15, 4527_16	3574, 4791	1454_18	1345	2835	5288	1711_26, 1712_25, 1713_24
Escherichia coli 99.0814 (1005434.3)	3657_2, 3994_1, 3995_2	 	 	 	1305	4549	965_11	2376_16, 3739_15	2127, 791	4663_18	1026	3074	4534	1177_24, 1178_25, 1179_26
Escherichia coli 99.0815 (1005433.3)	3803_1, 3804_2	 	 	 	2631	4378	761_11	2072_16, 3551_15	1809, 586	4571_18	4554	2869	4363	918_24, 919_25, 920_26
Escherichia coli 99.0816 (1005430.3)	3854_1, 3855_2	 	 	 	2711	4453	754_11	2159_16, 4900_15	1899, 580	4613_18	3911	2949	4438	928_24, 929_25, 930_26
Escherichia coli 99.0839 (1005432.3)	3620_2, 3884_1, 3885_2	 	 	 	1153	4505	847_11	2276_16, 4901_15	2021, 671	4617_18	4731	3055	4490	1014_24, 1015_25, 1016_26
Escherichia coli 99.0848 (1005431.3)	4023_1, 4024_2	 	 	 	1260	4641	958_11	2391_16, 3742_15	2122, 782	4755_18	215	3078	4626	1131_24, 1132_25, 1133_26
Escherichia coli 99.1753 (1005440.3)	3570_2, 3896_1, 3897_2	 	 	 	1159	4430	840_11	2311_16, 3650_15	2056, 665	4543_18	88	2971	4415	1040_24, 1041_25, 1042_26
Escherichia coli 99.1762 (1005435.3)	4174_1, 4175_2	 	 	 	1302	4690	995_11	2440_16, 3910_15	2182, 815	4852_18	5305	3168	4675	1173_24, 1174_25, 1175_26
Escherichia coli 99.1775 (1005438.3)	3656_1, 3657_2	 	 	 	1024	4213	727_11	1289_16, 3399_15	1881, 4976	4324_18	4436	2690	4198	893_24, 894_25, 895_26
Escherichia coli 99.1781 (1005439.3)	4162_1, 4163_2	 	 	 	1220	4683	905_11	2410_16, 3902_15	2152, 728	4799_18	4915	3122	4668	1082_24, 1083_25, 1084_26
Escherichia coli 99.1805 (1005436.3)	3391_2, 3722_1, 3723_2	 	 	 	1062	4352	773_11	2109_16, 3471_15	1860, 603	4464_18	4576	2773	4337	935_24, 936_25, 937_26
Escherichia coli AA86 (1004153.3)	2635_2, 3442_1, 3443_2	 	 	 	1012, 1589, 3964, 57	4071	718_11	1922_16, 3150_15	1715, 570	4202_18	4306	2505	4056	850_24, 851_25, 852_26
Escherichia coli ABU 83972 (655817.3)	2896_2, 3791_1, 3792_2	 	 	 	1019, 1121, 1750, 3057	4420	755_11	2121_16, 3373_15	1833, 609	4561_18	4680	2764	4404	895_25, 896_26
Escherichia coli AD30 (1169664.3)	1692_2, 763_2, 950_2, 951_1	 	 	 	1508, 2014, 4400	3242	3138_11	1767_15, 252_16	32, 4664	3610_18	3848	633	3257	3042_24, 3043_25, 3044_26
Escherichia coli AI27 (1089445.3)	1540_2, 1541_1	 	 	2743_8	156, 3967, 4701	3331	4267_11	2749_16, 296_15	1136, 1821	1424_18	2101	849	990	4365_24, 4367_26
Escherichia coli APEC O1 (405955.13)	3631_1, 3632_2	 	 	 	943	4201	636_11	1858_16, 3283_15	1637, 492	4337_18	4444	2536	4185	768_24, 769_25, 770_26
Escherichia coli APEC O78 (1274814.3)	3286_2, 3708_2, 4074_1, 4075_2	 	 	2588_8	1764, 577	4628	1416_11	2594_16, 3789_15	1216, 2333	18_18	126	3150	4613	1582_24, 1583_25, 1584_26
Escherichia coli ARS4.2123 (1005563.3)	2797_2, 3210_2, 3572_1, 3573_2	 	 	 	1716, 4712, 997	4138	664_11	2022_16, 3279_15	1814, 519	4252_18	4354	2597	4123	801_24, 802_25, 803_26
Escherichia coli ATCC 25922 (1322345.3)	1892_2, 4383_1, 4384_2	 	 	 	31, 4451, 4897, 650	86	3383_11	2291_16, 3518_15	2587, 961	2981_18	3087	1760	101	4779_24, 4780_25, 4781_26
Escherichia coli B088 (550672.3)	2806_1, 2807_2	 	 	2610_8	1206, 4651, 932	3826	240_11	2618_16, 3190_15	2391, 506	3941_18	4051	2027	3809	1048_24, 1049_25, 1050_26
Escherichia coli B093 (550674.3)	3665_2, 65_2, 66_1	 	 	 	1172, 1532, 4643, 751	3890	563_11	1041_15, 1662_16, 2157_15, 2158_15, 361_15	3313, 4295	4834_18	4399	2386	3905	3549_26, 3550_25, 3551_24
Escherichia coli B185 (550676.3)	3368_1, 3369_2	 	 	2073_8	1008, 2597, 397, 4589	3960	132_11	2080_16, 2910_15	1286, 1863	4077_18	4231	1533	3944	271_24, 272_25, 273_26
Escherichia coli B354 (550677.3)	3773_1, 3774_2	 	 	 	2202, 2847, 314, 3204	4330	1083_11	1259_16, 3506_15	2940, 925	4444_18	4551	1860	4314	2079_24, 2080_25, 2081_26
Escherichia coli B41 (869694.4)	3124_1, 3125_2	 	 	 	496	4087	135_11	1518_16, 2740_15	1234, 48	4200_18	4307	2079	4072	329_24, 330_25, 331_26
Escherichia coli B799 (550682.3)	1042_2, 1566_2, 2069_1, 2070_2	 	 	227_8	3453, 4282, 5093	2635	3196_11	1649_15, 233_16	4895, 5000	2753_18	2862	855	2620	3332_24, 3333_25, 3334_26
Escherichia coli B str. REL606 (413997.3)	3222_1, 3223_2	 	 	 	976	3809	667_11	1817_16, 2922_15	1559, 469	3941_18	4049	2337	3792	819_24, 820_25, 821_26
Escherichia coli BCE001_MS16 (1116037.3)	2551_2, 2969_2, 3340_1, 3341_2	 	 	1804_8	4669, 896	4117	586_11	1810_16, 3058_15	1588, 341	4234_18	4343	2370	4102	775_24, 776_25, 777_26
Escherichia coli BCE002_MS12 (1116112.3)	2753_2, 3190_2, 3566_1, 3567_2	 	 	2022_8	1143, 4798	4133	871_11	2028_16, 3290_15	1807, 709	4247_18	4355	2500	4118	987_24, 988_25
Escherichia coli BCE006_MS-23 (1125637.3)	2655_2, 3565_1, 3566_2	 	 	 	980	4158	680_11	1944_16, 3187_15	1614, 517	4273_18	4380	2522	4143	857_24, 858_25
Escherichia coli BCE007_MS-11 (1116113.3)	2775_2, 3795_1, 3796_2	 	 	 	1182	4305	908_11	2031_16, 3333_15	1805, 609	4422_18	4529	2642	4290	1060_24, 1061_25
Escherichia coli BCE008_MS-13 (1116471.3)	2945_2, 3638_2, 4000_1, 4001_2	 	 	2171_8	1084, 114, 115	4647	2505_11, 777_11	2177_16, 3714_15	1873, 623	4768_18	4886	2792	4632	958_24, 959_25, 960_26
Escherichia coli BCE011_MS-01 (1116114.3)	2515_2, 2516_2, 3357_1, 3358_2, 4665_2	 	 	 	943	3882	674_11	1787_16, 3001_15	1516, 516	3994_18	4101	2379	3866	819_24, 820_25, 821_26
Escherichia coli BCE019_MS-13 (1116115.3)	2617_2, 3524_1, 3525_2	 	 	 	952	4206	669_11	1875_16, 3151_15	1568, 505	4326_18	4421	2485	4191	830_24, 831_25
Escherichia coli BCE030_MS-09 (1116116.3)	2637_2, 3529_1, 3530_2	 	 	 	1000	4160	695_11	1902_16, 3188_15	1602, 511	4272_18	4378	2506	4145	878_24, 879_25
Escherichia coli BCE032_MS-12 (1116117.3)	2631_2, 3538_1, 3539_2	 	 	 	969	4140	677_11	1869_16, 3187_15	1615, 518	4255_18	4360	2498	4125	847_24, 848_25
Escherichia coli BCE034_MS-14 (1116118.3)	3016_2, 3278_2, 3660_2, 4031_1, 4032_2	 	 	2344_8	1261, 5295, 7	4608	911_11	2351_16, 3746_15	2033, 746	4720_18	4832	2874	4593	1130_24, 1131_25, 1132_26
Escherichia coli BL21 (511693.5)	3233_1, 3234_2	 	 	 	1001	3826	664_11	1845_16, 2943_15	1598, 474	3959_18	4069	2349	3810	847_24, 848_25, 849_26
Escherichia coli BL21(DE3) (469008.4)	542_2, 543_1	 	 	 	2761	4461	3092_11	1933_16, 799_15	2176, 3276	4326_18	4218	1386	4477	2912_26, 2913_25, 2914_24
Escherichia coli C-34666 (1116002.3)	3370_2, 3825_2, 4207_1, 4208_2	 	 	2641_8	1557, 5507	4792	1245_11	2647_16, 3907_15	1062, 2348	4906_18	5016	3213	4777	1403_24, 1404_25, 1405_26
Escherichia coli C639_08 (1126911.3)	2239_2, 2421_2, 4625_1, 4626_2	 	 	 	3309, 506, 7	578	3602_11	2170_15, 4821_16	1095, 3457	2686_18	2835	1426	593	4402_24, 4403_25, 4404_26
Escherichia coli C844_97 (1126932.3)	1659_1, 1660_2, 2243_2, 2908_2	 	 	 	2485, 4043, 4177	342	3331_11	1493_16, 2841_15	2124, 2805	4386_18	4283	66	357	858_24, 859_25, 860_26
Escherichia coli ATCC 8739 (481805.6)	516_2, 517_1	 	 	 	2858	4555	3185_11	2006_16, 801_15	2285, 3341	4443_18	4338	1432	4571	3029_26, 3030_25, 3031_24
Escherichia coli CB7326 (1005559.3)	3665_2, 4010_1, 4011_2	 	 	 	1053	4633	724_11	2295_16, 3747_15	2031, 546	4747_18	4861	3081	4618	905_24, 906_25, 907_26
Escherichia coli CFT073 (199310.4)	3741_1, 3742_2	 	 	 	1016, 1115, 3034	4385	712_11	2034_16, 3338_15	1813, 569	4521_18	4630	2693	4369	848_24, 849_25, 850_26
Escherichia coli CUMT8 (752790.3)	265_2, 266_1	 	 	2296_8	3489, 3775, 4241	1807	1024_11	2302_16, 548_15	1183, 2035	162_18	992	2855	1822	4445_26, 4446_25, 4447_24
Escherichia coli DEC10A (868180.3)	4215_1, 4216_2	 	 	2400_8	1159, 2002, 2003, 50	4843	812_11	2406_16, 3936_15	2123, 602	4731_18	5108	3183	4858	1030_24, 1032_26
Escherichia coli DEC10B (868181.3)	4695_1, 4696_2	 	 	2804_8	1482, 197, 2446, 2447, 86	5146	1062_11	2810_16, 4421_15	2536, 815	5011_18	852	3595	5161	1285_24, 1287_26
Escherichia coli DEC10C (868182.3)	4671_1, 4672_2	 	 	2733_8	105, 1363, 2346, 2347	5149	1025_11	2739_16, 4394_15, 4395_15	2443, 791	5097_18, 5098_18	5468	3577	5164	1230_24, 1232_26
Escherichia coli DEC10D (868183.3)	4184_1, 4185_2	 	 	2321_8	1123, 1914, 1915, 5435	4572	762_11, 763_11	2327_16, 3899_15	2007, 528	4543_18	4789	3109	4587	994_24, 996_26
Escherichia coli DEC10E (868184.3)	3726_1, 3727_2	 	 	1980_8	1107, 1594, 1595, 5006	4359	768_11	1986_16, 3367_15	1695, 534	4243_18	4602	2700	4374	929_24, 930_25, 931_26
Escherichia coli DEC10F (868185.3)	4631_1, 4632_2	 	 	2658_8	1542, 197, 2321, 2322	5169	1203_11	2664_16, 4193_15	841, 919	5050_18	5428	3524	5184	1397_24
Escherichia coli DEC11A (868186.3)	3823_1, 3824_2	 	 	2091_8	1761, 4986, 962	4368	585_11	2097_16, 3443_15	1849, 409	4481_18	4593	2675	4353	793_24, 794_25, 795_26
Escherichia coli DEC11B (868187.3)	3799_1, 3800_2	 	 	2104_8	1695, 5003, 955	4344	617_11	2110_16, 3417_15	1785, 439	4456_18	4613	2695	4329	831_24, 832_25, 833_26
Escherichia coli DEC11C (868188.3)	3995_1, 3996_2	 	 	2114_8	1063, 1740, 5171	4616	790_11	2120_16, 3560_15	1831, 576	4728_18	4788	2835	4601	937_24, 938_25, 939_26
Escherichia coli DEC11D (868189.3)	4010_1, 4011_2	 	 	2252_8	1377, 1906, 5240	4584	1072_11	2258_16, 3719_15	1991, 878	4697_18	4853	2993	4569	1249_24, 1250_25, 1251_26
Escherichia coli DEC11E (868190.3)	3693_1, 3694_2	 	 	1911_8	1043, 1624, 4866	4264	758_11	1917_16, 3373_15	1675, 536	4316_18	4469	2643	4249	916_24, 918_26
Escherichia coli DEC12A (868191.3)	3845_1, 3846_2	 	 	2009_8	1105, 1672	4419	814_11	2015_16, 3505_15	1776, 631	4532_18	4645	2796	4404	980_24, 981_25, 982_26
Escherichia coli DEC12B (868192.3)	4366_1, 4367_2	 	 	2358_8	1331, 1926	4840	942_11	2364_16, 4034_15	2143, 714	4726_18	1434, 5168	3215	4855	1203_24, 1204_25, 1205_26
Escherichia coli DEC12C (868193.3)	4427_1, 4428_1, 4429_2	 	 	2515_8	1563, 2151	5009	1259_11	2521_16, 4137_15	1038, 2292	5124_18	371, 5236	3310	4994	1434_24, 1435_25
Escherichia coli DEC12D (868194.3)	4074_1, 4075_2	 	 	2229_8	1234, 1926, 1927	4564	841_11	2235_16, 3795_15	2016, 620	4447_18	1305, 4888	3027	4579	1104_24, 1105_25, 1106_26
Escherichia coli DEC12E (868195.3)	3790_1, 3791_2	 	 	2096_8	1450, 1451, 855	4351	544_11	2102_16, 3476_15	1802, 1880	4466_18	4584	2803	4336	728_24, 729_25, 730_26
Escherichia coli DEC13A (868196.3)	3492_1, 3493_2	 	 	1926_8	1117, 160	4051	861_11	1934_16, 3181_15	1655, 700	4162_18	4315	2521	4036	995_24, 996_25, 997_26
Escherichia coli DEC13B (868197.3)	3260_1, 3261_2	 	 	1664_8	4451, 880	3810	627_11	1671_16, 2949_15	1399, 467	3921_18	4073	2245	3795	759_24, 760_25, 761_26
Escherichia coli DEC13C (868198.3)	3961_1, 3962_2	 	 	2288_8	1215, 1848, 5209	4522	802_11	2295_16, 3586_15	1964, 631	4631_18	4788	2942	4507	1004_24, 1005_25
Escherichia coli DEC13D (868199.3)	3578_1, 3579_2	 	 	1929_8	1098, 4823	4126	715_11	1935_16, 3283_15	1708, 553	4240_18	4394	2659	4111	973_24, 974_25
Escherichia coli DEC13E (868200.3)	3634_1, 3635_2, 3636_2	 	 	1980_8	1651, 4792, 999	4191	660_11	1987_16, 3316_15	1755, 497	4303_18	4417	2675	4176	876_24, 877_25
Escherichia coli DEC14A (868201.3)	3466_1, 3467_2	 	 	1855_8	1433, 4714, 947	4184	645_11	1862_16, 2121_15, 2122_15, 3130_15	1563, 481	4072_18	3960	2500	4199	779_24, 780_25, 781_26
Escherichia coli DEC14B (868202.3)	3906_1, 3907_2	 	 	2278_8	1374, 1929, 1930, 5207	4488	1027_11	2284_16, 3584_15	2011, 677	4604_18	4760	2889	4473	1165_24, 1166_25
Escherichia coli DEC14C (868203.3)	3787_1, 3788_2	 	 	2139_8	1205, 1688, 1689, 5117	4418	849_11	2145_16, 3429_15	1784, 623	4534_18	4690	2759	4403	986_24, 987_25
Escherichia coli DEC14D (868204.3)	3745_1, 3746_2	 	 	2078_8	1199, 1729, 5024	4336	711_11	2084_16, 3444_15	1817, 533, 534	4449_18	4610	2733	4321	1025_26, 853_24, 854_25
Escherichia coli DEC15A (868206.3)	3901_1, 3902_2	 	 	2228_8	1472, 1801, 5165, 968	4436	657_11	2234_16, 3618_15	1912, 493	4326_18	4807	2946	4451	802_24, 803_25
Escherichia coli DEC15B (868207.3)	3701_1, 3702_2	 	 	1992_8	1541, 5043, 812, 989	4369	509_11	1998_16, 3422_15	1632, 340	4478_18	4633	2682	4354	644_24, 645_25
Escherichia coli DEC15C (868208.3)	3613_1, 3614_2	 	 	1949_8	1529, 4929, 786, 961	4258	477_11	1955_16, 3332_15	1653, 310	4366_18	4521	2646	4243	614_24, 615_25
Escherichia coli DEC15D (868209.3)	3560_1, 3561_2	 	 	1883_8	1505, 4867, 791, 901	4195	457_11	1889_16, 3280_15	1593, 289	4304_18	4458	2553	4180	596_25, 597_24
Escherichia coli DEC15E (868210.3)	3896_1, 3897_2	 	 	2219_8	1053, 1209, 1827, 32	4541	742_11	2225_16, 3612_15	1922, 574	4651_18	4807	2938	4526	880_24, 881_25
Escherichia coli DEC1A (868133.3)	3682_1, 3683_2	 	 	 	1117, 3068, 3069	4279	788_11	2015_16, 3359_15	1751, 643	4408_18	4525, 52	2707	4264	960_24, 961_25, 962_26
Escherichia coli DEC1B (868134.3)	3750_1, 3751_2	 	 	 	1060, 3041, 3042	4357	688_11	2003_16, 3357_15	1791, 523	4487_18	4604, 5185	2684	4342	894_24, 895_25, 896_26
Escherichia coli DEC1C (868135.3)	3994_1, 3995_2	 	 	 	1117, 3531, 3532	4597	762_11	2226_16, 3463_15	1871, 613	4725_18	4842, 79	2944	4582	959_24, 960_25, 961_26
Escherichia coli DEC1D (868136.3)	4181_1, 4182_2	 	 	 	1529, 3565, 3566	4620	1194_11	2605_16, 3859_15	1047, 1883	4753_18	30, 4872	3229	4605	1364_24, 1366_26
Escherichia coli DEC1E (868137.3)	3859_1, 3860_2	 	 	 	1182, 3215	4460	763_11	2066_16, 3516_15	1789, 619	4591_18	4708, 5211	2868	4445	1015_24, 1016_25, 1017_26
Escherichia coli DEC2A (868138.3)	3820_1, 3821_2	 	 	 	1277, 3608, 3609	4420	949_11	2204_16, 3405_15, 3406_15	1990, 803	4548_18	4665	2863	4405	1106_24, 1107_25, 1108_26
Escherichia coli DEC2B (868139.3)	3804_1, 3805_2	 	 	 	1107, 1697, 3152, 3153	4407	714_11	2070_16, 3445_15	1812, 568	4538_18	4653, 877	2817	4392	947_24, 948_25, 949_26
Escherichia coli DEC2C (868140.3)	3753_1, 3754_2	 	 	 	1583, 3074, 3075, 997	4359	619_11	2074_16, 3371_15	1686, 471	4490_18	4625, 5239	2720	4344	837_24, 838_25, 839_26
Escherichia coli DEC2D (868141.3)	3879_1, 3880_2	 	 	 	1226, 3224, 3225	4476	879_11	2069_16, 3522_15	1855, 736	4607_18	111, 4723	2886	4461	1062_24, 1063_25, 1064_26
Escherichia coli DEC2E (868142.3)	3337_1, 3338_2	 	 	 	1241, 1983, 2634, 2635	3956	669_11	1542_16, 2929_15	523	4086_18	4211, 4792	2273	3941	730_24, 731_25
Escherichia coli DEC3A (868143.3)	4071_1, 4072_2	 	 	 	1064	4742	713_11	2346_16, 3797_15	477, 571	4771_18	4889	3165	4727	934_24, 935_25, 936_26
Escherichia coli DEC3B (868144.3)	4199_1, 4200_2	 	 	 	884	4832	578_11	2523_16, 3930_15, 3931_15	1945, 399	4946_18	5064	3251	4817	754_24, 755_25, 756_26
Escherichia coli DEC3C (868145.3)	4438_1, 4439_2	 	 	 	1203, 2297, 2298	5041	873_11	2767_16, 4163_15	2201, 696	5231_18	5351	3522	5026	1070_24, 1071_25, 1072_26
Escherichia coli DEC3D (868146.3)	4145_1, 4146_2	 	 	 	1009	4778	700_11	2384_16, 3874_15, 3875_15	1820, 521	4807_18	4926	3216	4763	876_24, 877_25, 878_26
Escherichia coli DEC3E (868147.3)	4392_1, 4393_2	 	 	 	1289, 2180, 2181	5006	861_11	2560_16, 4100_15	2087, 680	5118_18	5633	3387	4991	1058_24, 1059_25, 1060_26
Escherichia coli DEC3F (868148.3)	4370_1, 4371_2	 	 	 	1366, 2201, 2202, 246, 248	 	989_11	2659_16, 4100_15	2110, 812	4942_18	5093	3452	 	1195_24, 1196_25, 1197_26
Escherichia coli DEC4A (868149.3)	3880_1, 3881_2	 	 	 	1728, 904	4169	582_11	2285_16, 3601_15, 3602_15	1635, 371	4287_18	4427	2938	4154	774_24, 775_25, 776_26
Escherichia coli DEC4B (868150.3)	4080_1, 4081_2	 	 	 	1840, 1841, 891	4718	561_11	2273_16, 3810_15	1746, 374	4944_18	5059	3095	4703	759_24, 760_25
Escherichia coli DEC4E (868153.3)	4174_1, 4175_2	 	 	 	1120	4806	805_11	2432_15, 2433_15, 3870_15	524, 619	4835_18	4954	3234	4791	987_24, 988_25, 989_26
Escherichia coli DEC4F (868154.3)	3953_1, 3954_2	 	 	 	1010	4543	555_11	2339_16, 3687_15	1768, 378	4580_18	4699	3045	4528	745_24, 746_25, 747_26
Escherichia coli DEC5A (868155.3)	3888_1, 3889_2	 	 	 	1001, 1686, 3174, 5076	4437	730_11	2035_16, 3482_15	1774, 498	4549_18	4663	2784	4422	872_24, 873_25, 874_26
Escherichia coli DEC5B (868156.3)	4169_1, 4170_2	 	 	 	1254, 50	4817	930_11	2325_16, 3741_15	1978, 710	4846_18	4963	2999	4802	1125_24, 1126_25, 1127_26
Escherichia coli DEC5C (868157.3)	3985_1, 3986_2	 	 	 	1352, 1994, 5250	4624	992_11	2250_16, 3663_15	690, 787	4739_18	4867	2939	4609	1201_24, 1202_25, 1203_26
Escherichia coli DEC5D (868158.3)	3974_1, 3975_2	 	 	 	1423, 1988, 208	4608	1097_11	2367_16, 3637_15	2078, 848	4793_18	4741	2996	4593	1293_24, 1294_25, 1295_26
Escherichia coli DEC5E (868159.3)	3886_1, 3887_2	 	 	 	924	4518	599_11	1950_16, 3539_15	1726, 371	4632_18	4791	2793	4503	789_24, 790_25, 791_26
Escherichia coli DEC6A (868160.3)	3862_1, 3863_2	 	 	 	1059	4418	792_11	2057_16, 3479_15	1750, 629	4531_18	4637	2838	4403	932_24, 933_25, 934_26
Escherichia coli DEC6B (868161.3)	3433_1, 3434_1, 3435_2	 	 	 	1092, 1883	4688	782_11	2372_16, 3840_15	2067, 621	4802_18	4907	3184	4673	934_24, 935_25, 936_26
Escherichia coli DEC6C (868162.3)	3962_1, 3963_2	 	 	 	1170, 1718, 5192	4546	866_11	2163_16, 3676_15, 3677_15, 3681_15	1828, 666	4656_18	4766	2998	4531	1040_24, 1041_25, 1042_26
Escherichia coli DEC6D (868163.3)	3874_1, 3875_2	 	 	 	1166, 5072	4437	888_11	2148_16, 3551_15, 3552_15	1863, 740	4551_18	4661	2863	4422	1036_24, 1037_25, 1038_26
Escherichia coli DEC6E (868164.3)	2891_2, 3298_2, 3299_2, 3699_1, 3700_2	 	 	 	4786, 923	4284	602_11	2114_16, 3375_15	1652, 451	4431_18	4536	2750	4269	761_24, 762_25, 763_26
Escherichia coli DEC7A (868165.3)	3900_1, 3901_2	 	 	2195_8	1309, 1839	4545	1041_11	2201_16, 3610_15	1925, 881	4657_18	4768	2857	4530	1186_24, 1187_25, 1188_26
Escherichia coli DEC7B (868166.3)	3407_1, 3408_2	 	 	1898_8	1047, 1531, 4570	3975	709_11	1904_16, 3133_15	1619, 548	4089_18	4197	2525	3960	853_24, 854_25
Escherichia coli DEC7C (868167.3)	3686_1, 3687_2	 	 	2045_8	1572, 994	4338	736_11	2051_16, 3393_15	1668, 572	4449_18	4558	2711	4323	871_24, 872_25, 873_26
