Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Escherichia coli KTE235 (1181779.3)	 	4111	 	4112_4, 4113_11	4114_5	4110	5064_15	4115_16	1954_18	 	 	 	 	 	 	 	4657_40, 4658_39, 4659_38	 	 
Escherichia coli KTE236 (1181780.3)	 	4580	 	4581_4, 4582_11	4583_5	4579	395_15	4584_16	2357_18	 	 	 	 	 	 	 	5147_40, 5148_39, 5149_38	 	 
Escherichia coli KTE237 (1181781.3)	 	4957	 	4958_4, 4959_11	4960_5	4956	642_15	4961_16	2740_18	 	 	 	 	 	 	 	266_40, 267_39, 268_38	 	 
Escherichia coli KTE24 (1169343.3)	 	4978	 	4979_4, 4980_11	4981_5	4977	2281_21	4982_16	1731_18	 	 	 	 	 	 	 	357_40, 358_39, 359_38	 	 
Escherichia coli KTE240 (1181782.3)	 	4369	 	4370_4, 4371_11	4372_5	4368	864_15	4373_16	2386_18	 	 	 	 	 	 	 	511_40, 512_39, 513_38	 	 
Escherichia coli KTE25 (1169344.3)	 	287	 	288_4, 289_11	290_5	286	1216_21	291_16	2905_18	 	 	 	 	 	 	 	824_40, 825_39, 826_38	 	 
Escherichia coli KTE26 (1169345.3)	 	4753	 	4754_4, 4755_11	4756_5	4752	747_15	4757_16	2665_18	 	 	 	 	 	 	 	337_40, 338_39, 339_38	 	 
Escherichia coli KTE27 (1169346.3)	 	1400	 	1401_4, 1402_11	1403_5	1399	463_15	1404_16	3027_18	 	 	 	 	 	 	 	114_40, 115_39, 116_38	 	 
Escherichia coli KTE28 (1169347.3)	 	4428	 	4429_4, 4430_11	4431_5	4427	494_15	4432_16	2434_18	 	 	 	 	 	 	 	131_40, 132_39, 133_38	 	 
Escherichia coli KTE29 (1169348.3)	 	3934	 	3935_4, 3936_11	3937_5	3933	293_21	3938_16	2041_18	 	 	 	 	 	 	 	4409_40, 4410_39, 4411_38	 	 
Escherichia coli KTE3 (1169316.3)	 	4972	 	3504_11, 4973_4, 4974_11	4975_5	4971	1148_15	4976_16	2902_18	 	 	 	 	 	 	 	793_40, 794_39, 795_38	 	 
Escherichia coli KTE31 (1169349.3)	 	4014	 	4012_11, 4013_4	4011_5	4015	1042_21	4010_16	2689_18	 	 	 	 	 	 	 	666_40, 667_39, 668_38	 	 
Escherichia coli KTE33 (1169351.3)	 	3462	 	3463_4, 3464_11	3465_5	3461	2100_21	3466_16	1178_18	 	 	 	 	 	 	 	2476_38, 2477_39, 2478_40	 	 
Escherichia coli KTE34 (1169352.3)	 	4930	 	4931_4, 4932_11	4933_5	4929	858_15	4934_16	2404_18	 	 	 	 	 	 	 	539_40, 540_39, 541_38	 	 
Escherichia coli KTE35 (1169320.3)	 	4946	 	4947_4, 4948_11	4949_5	4945	865_15	4950_16	2407_18	 	 	 	 	 	 	 	540_40, 541_39, 542_38	 	 
Escherichia coli KTE36 (1169353.3)	 	5037	 	5038_4, 5039_11	5040_5	5036	735_21	5041_16	2908_18	 	 	 	 	 	 	 	360_40, 361_39, 362_38	 	 
Escherichia coli KTE37 (1169354.3)	 	5060	 	5061_4, 5062_11	5063_5	5059	549_21	5064_16	2343_18	 	 	 	 	 	 	 	184_40, 185_39, 186_38	 	 
Escherichia coli KTE38 (1169355.3)	 	4904	 	4905_4, 4906_11	4907_5	4903	555_21	4908_16	2260_18	 	 	 	 	 	 	 	190_40, 191_39, 192_38	 	 
Escherichia coli KTE39 (1169356.3)	 	5008	 	5009_4, 5010_11	5011_5	5007	1017_15	5012_16	2899_18	 	 	 	 	 	 	 	575_40, 576_39, 577_38	 	 
Escherichia coli KTE4 (1169325.3)	 	4559	 	3081_11, 4560_4, 4561_11	4562_5	4558	736_15	4563_16	2480_18	 	 	 	 	 	 	 	377_40, 378_39, 379_38	 	 
Escherichia coli KTE40 (1169357.3)	 	4106	 	3192_11, 4107_4, 4108_11	4109_5	4105	329_15	4110_16	2196_18	 	 	 	 	 	 	 	4579_40, 4580_39, 4581_38	 	 
Escherichia coli KTE41 (1169358.3)	 	4904	 	4905_4, 4906_11	4907_5	4903	1074_15	4908_16	2868_18	 	 	 	 	 	 	 	544_40, 545_39, 546_38	 	 
Escherichia coli KTE42 (1169359.3)	 	298	 	299_4, 300_11	301_5	297	1226_15	302_16	2953_18	 	 	 	 	 	 	 	807_40, 808_39, 809_38	 	 
Escherichia coli KTE43 (1169360.3)	 	4239	 	4240_4, 4241_11	4242_5	4238	495_15	4243_16	2315_18	 	 	 	 	 	 	 	114_40, 115_39, 116_38	 	 
Escherichia coli KTE44 (1169361.3)	 	5173	 	5174_4, 5175_11	5176_5	5172	908_15	5177_16	3095_18	 	 	 	 	 	 	 	548_40, 549_39, 550_38	 	 
Escherichia coli KTE45 (1169362.3)	 	155	 	156_4, 157_11	158_5	154	1003_15	159_16	2760_18	 	 	 	 	 	 	 	653_40, 654_39, 655_38	 	 
Escherichia coli KTE46 (1182653.3)	 	4087	 	4088_4, 4089_11	4090_5	4086	345_15	4091_16	2092_18	 	 	 	 	 	 	 	4583_40, 4584_39, 4585_38	 	 
Escherichia coli KTE47 (1182654.3)	 	4777	 	4778_4, 4779_11	4780_5	4776	835_15	4781_16	2655_18	 	 	 	 	 	 	 	491_40, 492_39, 493_38	 	 
Escherichia coli KTE48 (1182655.3)	 	433	 	434_4, 435_11	436_5	432	1292_21	437_16	3142_18	 	 	 	 	 	 	 	918_40, 919_39, 920_38	 	 
Escherichia coli KTE49 (1182656.3)	 	5141	 	5142_4, 5143_11	5144_5	5140	1133_21	5145_16	3096_18	 	 	 	 	 	 	 	773_40, 774_39, 775_38	 	 
Escherichia coli KTE5 (1169326.3)	 	4426	 	4427_4, 4428_11	4429_5	4425	200_15	4430_16	2274_18	 	 	 	 	 	 	 	5113_40, 5114_39, 5115_38	 	 
Escherichia coli KTE50 (1182657.3)	 	1185	 	1186_4, 1187_11	1188_5	1184	2086_15	1189_16	3974_18	 	 	 	 	 	 	 	1722_40, 1723_39, 1724_38	 	 
Escherichia coli KTE51 (1182658.3)	 	5131	 	5132_4, 5133_11	5134_5	5130	1032_15	5135_16	3020_18	 	 	 	 	 	 	 	677_40, 678_39, 679_38	 	 
Escherichia coli KTE53 (1182660.3)	 	5049	 	5050_4, 5051_11	5052_5	5048	866_15	5053_16	2840_18	 	 	 	 	 	 	 	525_40, 526_39, 527_38	 	 
Escherichia coli KTE54 (1182661.3)	 	837	 	838_4, 839_11	840_5	836	1711_15	841_16	3350_18	 	 	 	 	 	 	 	1318_40, 1319_39, 1320_38	 	 
Escherichia coli KTE55 (1182662.3)	 	5133	 	5134_4, 5135_11	5136_5	5132	1158_15	5137_16	3010_18	 	 	 	 	 	 	 	673_40, 674_39, 675_38	 	 
Escherichia coli KTE56 (1182663.3)	 	2046	 	2047_4, 2048_11, 4044_11	2049_5	2045	2919_15	2050_16	107_18	 	 	 	 	 	 	 	2584_40, 2585_39, 2586_38	 	 
Escherichia coli KTE57 (1182664.3)	 	4992	 	4993_4, 4994_11	4995_5	4991	1838_15	4996_16	3723_18	 	 	 	 	 	 	 	479_40, 480_39, 481_38	 	 
Escherichia coli KTE58 (1182665.3)	 	5026	 	5027_4, 5028_11	5029_5	5025	1123_15	5030_16	2911_18	 	 	 	 	 	 	 	781_40, 782_39, 783_38	 	 
Escherichia coli KTE59 (1182666.3)	 	5031	 	5032_4, 5033_11	5034_5	5030	980_15	5035_16	2832_18	 	 	 	 	 	 	 	641_40, 642_39, 643_38	 	 
Escherichia coli KTE6 (1169327.3)	 	1768	 	1769_4, 1770_11	1771_5	1767	2665_21	1772_16	4638_18	 	 	 	 	 	 	 	2305_40, 2306_39, 2307_38	 	 
Escherichia coli KTE60 (1182667.3)	 	4826	 	4827_4, 4828_11	4829_5	4825	964_15	4830_16	2845_18	 	 	 	 	 	 	 	484_40, 485_39, 486_38	 	 
Escherichia coli KTE61 (1182668.3)	 	4501	 	1717_11, 4502_4, 4503_11	4504_5	4500	562_15	4505_16	2334_18	 	 	 	 	 	 	 	184_40, 185_39, 186_38	 	 
Escherichia coli KTE62 (1182669.3)	 	5047	 	5048_4, 5049_11	5050_5	5046	1042_15	5051_16	2929_18	 	 	 	 	 	 	 	691_40, 692_39, 693_38	 	 
Escherichia coli KTE63 (1182670.3)	 	141	 	142_4, 143_11	144_5	140	1192_15	145_16	2991_18	 	 	 	 	 	 	 	781_40, 782_39, 783_38	 	 
Escherichia coli KTE64 (1182671.3)	 	4358	 	4359_4, 4360_11	4361_5	4357	299_21	4362_16	2220_18	 	 	 	 	 	 	 	4831_40, 4832_39, 4833_38	 	 
Escherichia coli KTE65 (1182672.3)	 	4305	 	4306_4, 4307_11	4308_5	4304	203_15	4309_16	2177_18	 	 	 	 	 	 	 	4964_40, 4965_39, 4966_38	 	 
Escherichia coli KTE66 (1182673.3)	 	4792	 	4793_4, 4794_11	4795_5	4791	802_15	4796_16	2559_18	 	 	 	 	 	 	 	427_40, 428_39, 429_38	 	 
Escherichia coli KTE67 (1182674.3)	 	422	 	423_4, 424_11	425_5	421	1326_15	426_16	3074_18	 	 	 	 	 	 	 	924_40, 925_39, 926_38	 	 
Escherichia coli KTE68 (1182675.3)	 	4654	 	4655_4, 4656_11	4657_5	4653	234_15	4658_16	2472_18	 	 	 	 	 	 	 	5320_40, 5321_39, 5322_38	 	 
Escherichia coli KTE69 (1182676.3)	 	4842	 	4843_4, 4844_11	4845_5	4841	711_21	4846_16	29_18	 	 	 	 	 	 	 	327_40, 328_39, 329_38	 	 
Escherichia coli KTE7 (1169317.3)	 	5258	 	5259_4, 5260_11	5261_5	5257	1027_15	5262_16	3106_18	 	 	 	 	 	 	 	684_40, 685_39, 686_38	 	 
Escherichia coli KTE70 (1182677.3)	 	4954	 	4955_4, 4956_11	4957_5	4953	582_21	4958_16	2422_18	 	 	 	 	 	 	 	201_40, 202_39, 203_38	 	 
Escherichia coli KTE71 (1182678.3)	 	5015	 	5016_4, 5017_11	5018_5	5014	801_15	5019_16	2863_18	 	 	 	 	 	 	 	436_40, 437_39, 438_38	 	 
Escherichia coli KTE72 (1182679.3)	 	4525	 	4526_4, 4527_11	4528_5	4524	519_15	4529_16	2345_18	 	 	 	 	 	 	 	122_40, 123_39, 124_38	 	 
Escherichia coli KTE73 (1182680.3)	 	4354	 	4355_4, 4356_11	4357_5	4353	473_21	4358_16	2311_18	 	 	 	 	 	 	 	4887_40, 4888_39, 4889_38	 	 
Escherichia coli KTE74 (1182681.3)	 	4595	 	4596_4, 4597_11	4598_5	4594	585_21	4599_16	2447_18	 	 	 	 	 	 	 	212_40, 213_39, 214_38	 	 
Escherichia coli KTE75 (1182682.3)	 	4943	 	4944_4, 4945_11	4946_5	4942	659_15	4947_16	2638_18	 	 	 	 	 	 	 	306_40, 307_39, 308_38	 	 
Escherichia coli KTE76 (1182683.3)	 	4423	 	4424_4, 4425_11	4426_5	4422	413_15	4427_16	2306_18	 	 	 	 	 	 	 	5106_40, 5107_39, 5108_38	 	 
Escherichia coli KTE77 (1182684.3)	 	4580	 	4581_4, 4582_11	4583_5	4579	863_15	4584_16	2673_18	 	 	 	 	 	 	 	472_40, 473_39, 474_38	 	 
Escherichia coli KTE78 (1182685.3)	 	4611	 	4612_4, 4613_11	4614_5	4610	913_15	4615_16	2608_18	 	 	 	 	 	 	 	518_40, 519_39, 520_38	 	 
Escherichia coli KTE79 (1182686.3)	 	1499	 	1500_4, 1501_11	1502_5	1498	2432_15	1503_16	4128_18	 	 	 	 	 	 	 	2036_40, 2037_39, 2038_38	 	 
Escherichia coli KTE8 (1169328.3)	 	4428	 	4429_4, 4430_11	4431_5	4427	535_21	4432_16	2361_18	 	 	 	 	 	 	 	113_40, 114_39, 115_38	 	 
Escherichia coli KTE80 (1182687.3)	 	4472	 	4473_4, 4474_11	4475_5	4471	380_15	4476_16	2320_18	 	 	 	 	 	 	 	5087_40, 5088_39, 5089_38	 	 
Escherichia coli KTE81 (1182688.3)	 	218	 	219_4, 220_11	221_5	217	1104_15	222_16	2759_18	 	 	 	 	 	 	 	737_40, 738_39, 739_38	 	 
Escherichia coli KTE82 (1169363.3)	 	4555	 	4556_4, 4557_11	4558_5	4554	574_15	4559_16	2630_18	 	 	 	 	 	 	 	125_40, 126_39, 127_38	 	 
Escherichia coli KTE83 (1182689.3)	 	4589	 	4590_4, 4591_11	4592_5	4588	402_15	4593_16	2530_18	 	 	 	 	 	 	 	5148_40, 5149_39, 5150_38	 	 
Escherichia coli KTE84 (1182690.3)	 	151	 	152_4, 153_11	154_5	150	968_15	155_16	2636_18	 	 	 	 	 	 	 	637_40, 638_39, 639_38	 	 
Escherichia coli KTE85 (1169364.3)	 	4338	 	4339_4, 4340_11	4341_5	4337	424_15	4342_16	2232_18	 	 	 	 	 	 	 	4963_40, 4964_39, 4965_38	 	 
Escherichia coli KTE86 (1182691.3)	 	4606	 	4607_4, 4608_11	4609_5	4605	616_15	4610_16	2510_18	 	 	 	 	 	 	 	225_40, 226_39, 227_38	 	 
Escherichia coli KTE87 (1182692.3)	 	4874	 	4875_4, 4876_11	4877_5	4873	998_15	4878_16	2790_18	 	 	 	 	 	 	 	443_40, 444_39, 445_38	 	 
Escherichia coli KTE88 (1169366.3)	 	3986	 	3987_4, 3988_11	3989_5	3985	301_15	3990_16	1999_18	 	 	 	 	 	 	 	4572_40, 4573_39, 4574_38	 	 
Escherichia coli KTE89 (1182693.3)	 	4209	 	4210_4, 4211_11	4212_5	4208	258_15	4213_16	2124_18	 	 	 	 	 	 	 	4783_40, 4784_39, 4785_38	 	 
Escherichia coli KTE9 (1169329.3)	 	226	 	227_4, 228_11	229_5	225	1082_15	230_16	2900_18	 	 	 	 	 	 	 	712_40, 713_39, 714_38	 	 
Escherichia coli KTE90 (1169367.3)	 	4443	 	4444_4, 4445_11	4446_5	4442	667_21	4447_16	2524_18	 	 	 	 	 	 	 	184_40, 185_39, 186_38	 	 
Escherichia coli KTE91 (1182694.3)	 	4276	 	4277_4, 4278_11	4279_5	4275	406_21	4280_16	2220_18	 	 	 	 	 	 	 	4765_40, 4766_39, 4767_38	 	 
Escherichia coli KTE93 (1182696.3)	 	4532	 	4533_4, 4534_11	4535_5	4531	564_15	4536_16	2461_18	 	 	 	 	 	 	 	227_40, 228_39, 229_38	 	 
Escherichia coli KTE94 (1169368.3)	 	4439	 	4440_4, 4441_11	4442_5	4438	570_15	4443_16	2345_18	 	 	 	 	 	 	 	185_40, 186_39, 187_38	 	 
Escherichia coli KTE96 (1182697.3)	 	1390	 	1391_4, 1392_11	1393_5	1389	2919_21	1394_16	189_18	 	 	 	 	 	 	 	2531_40, 2532_39, 2533_38	 	 
Escherichia coli KTE97 (1169370.3)	 	4074	 	4075_4, 4076_11	4077_5	4073	346_15	4078_16	2078_18	 	 	 	 	 	 	 	10_38, 8_40, 9_39	 	 
Escherichia coli KTE98 (1182698.3)	 	894	 	892_11, 893_4	891_5	895	4823_15	890_16	4281_18	 	 	 	 	 	 	 	542_40, 543_39, 544_38	 	 
Escherichia coli KTE99 (1169371.3)	 	4320	 	4321_4, 4322_11	4323_5	4319	541_15	4324_16	2235_18	 	 	 	 	 	 	 	163_40, 164_39, 165_38	 	 
Escherichia coli LCT-EC106 (1163386.3)	 	1982	 	1983_4, 1984_11, 4873_11	1985_5	1981	4555_15	1986_16	102_18	 	 	 	 	 	 	 	2540_40, 2541_39, 2542_38	 	 
Escherichia coli LCT-EC52 (1258567.3)	 	2167	 	2168_4, 2169_11, 4952_11	2170_5	2166	2782_15	2171_16	105_18	 	 	 	 	 	 	 	4679_38, 4680_39, 4681_40	 	 
Escherichia coli LCT-EC59 (1258580.3)	 	2202	 	2203_4, 2204_11, 4935_11	2205_5	2201	3102_15	2206_16	145_18	 	 	 	 	 	 	 	2707_40, 2708_39, 2709_38	 	 
Escherichia coli LF82 (591946.4)	 	4076	 	4077_4, 4078_11	4079_5	4075	404_15	4080_16	2134_18	 	 	 	 	 	 	 	68_40, 69_39, 70_38	 	 
Escherichia coli LT-68 (670890.3)	 	926	 	924_11, 925_4	923_5	927	4406_21	922_16	2744_18	 	 	 	 	 	 	 	4008_40, 4009_39, 4010_38	 	 
Escherichia coli M605 (656417.3)	 	4905	 	4906_4, 4907_11	4908_5	4904	557_20	4909_16	2766_18	 	 	 	 	 	 	 	129_40, 130_39, 131_38	 	 
Escherichia coli M718 (656419.3)	 	5105	 	5106_4, 5107_11	5108_5	5104	628_21	5109_16	2857_18	 	 	 	 	 	 	 	222_40, 223_39, 224_38	 	 
Escherichia coli M863 (656420.3)	 	5041	 	5039_11, 5040_4	5038_5	5042	3612_20	5037_16	562_18	 	 	 	 	 	 	 	3936_38, 3937_39, 3938_40	 	 
Escherichia coli MA6 (1005557.3)	 	5236	 	5237_4, 5238_11	5239_5	5235	906_15	5240_16	3156_18	 	 	 	 	 	 	 	452_40, 453_39, 454_38	 	 
Escherichia coli MP020940.1 (1116140.3)	 	4673	 	4674_4, 4675_11	4676_5	4672	611_21	4677_16	2591_18	 	 	 	 	 	 	 	210_40, 211_39, 212_38	 	 
Escherichia coli MP020980.1 (1125638.3)	 	5027	 	5028_4, 5029_11	5030_5	5026	958_21	5031_16	2763_18	 	 	 	 	 	 	 	550_40, 551_39, 552_38	 	 
Escherichia coli MP020980.2 (1116139.3)	 	4878	 	4879_4, 4880_11	4881_5	4877	902_21	4882_16	2858_18	 	 	 	 	 	 	 	439_40, 440_39, 441_38	 	 
Escherichia coli MP021017.1 (1116057.3)	 	4739	 	4740_4, 4741_11	4742_5	4738	551_21	4743_16	2576_18	 	 	 	 	 	 	 	268_40, 269_39, 270_38	 	 
Escherichia coli MP021017.10 (1116064.3)	 	4749	 	4750_4, 4751_11	4752_5	4748	668_21	4753_16	2580_18	 	 	 	 	 	 	 	358_40, 359_39, 360_38	 	 
Escherichia coli MP021017.11 (1116065.3)	 	4547	 	4548_4, 4549_11	4550_5	4546	450_21	4551_16	2376_18	 	 	 	 	 	 	 	163_40, 164_39, 165_38	 	 
Escherichia coli MP021017.12 (1116111.3)	 	4060	 	4061_4, 4062_11	4063_5	4059	345_21	4064_16	2082_18	 	 	 	 	 	 	 	46_40, 47_39, 48_38	 	 
Escherichia coli MP021017.2 (1116058.3)	 	4721	 	4722_4, 4723_11	4724_5	4720	652_21	4725_16	2545_18	 	 	 	 	 	 	 	338_40, 339_39, 340_38	 	 
Escherichia coli MP021017.3 (1116059.3)	 	4700	 	4701_4, 4702_11	4703_5	4699	614_21	4704_16	2522_18	 	 	 	 	 	 	 	303_40, 304_39, 305_38	 	 
Escherichia coli MP021017.4 (1116060.3)	 	4665	 	4666_4, 4667_11	4668_5	4664	552_21	4669_16	2484_18	 	 	 	 	 	 	 	248_40, 249_39, 250_38	 	 
Escherichia coli MP021017.5 (1116061.3)	 	4480	 	4481_4, 4482_11	4483_5	4479	360_21	4484_16	2395_18	 	 	 	 	 	 	 	100_40, 101_39, 102_38	 	 
Escherichia coli MP021017.6 (1116062.3)	 	4546	 	4547_4, 4548_11	4549_5	4545	469_21	4550_16	2432_18	 	 	 	 	 	 	 	164_40, 165_39, 166_38	 	 
Escherichia coli MP021017.9 (1116063.3)	 	4491	 	4492_4, 4493_11	4494_5	4490	480_21	4495_16	2335_18	 	 	 	 	 	 	 	163_40, 164_39, 165_38	 	 
Escherichia coli MP021552.11 (1116134.3)	 	4593	 	4594_4, 4595_11	4596_5	4592	831_21	4597_16	2763_18	 	 	 	 	 	 	 	486_40, 487_39, 488_38	 	 
Escherichia coli MP021552.12 (1116135.3)	 	4502	 	4503_4, 4504_11	4505_5	4501	534_21	4506_16	2462_18	 	 	 	 	 	 	 	45_40, 46_39, 47_38	 	 
Escherichia coli MP021552.7 (1116132.3)	 	5083	 	5084_4, 5085_11	5086_5	5082	1068_21	5087_16	3026_18	 	 	 	 	 	 	 	666_40, 667_39, 668_38	 	 
Escherichia coli MP021552.8 (1116133.3)	 	4569	 	4570_4, 4571_11	4572_5	4568	485_21	4573_16	2434_18	 	 	 	 	 	 	 	120_40, 121_39, 122_38	 	 
Escherichia coli MP021561.2 (1116136.3)	 	4832	 	4833_4, 4834_11	4835_5	4831	921_21	4836_16	2768_18	 	 	 	 	 	 	 	473_40, 474_39, 475_38	 	 
Escherichia coli MP021561.3 (1116137.3)	 	4899	 	4900_4, 4901_11	4902_5	4898	1029_21	4903_16	2763_18	 	 	 	 	 	 	 	647_40, 648_39, 649_38	 	 
Escherichia coli MP021566.1 (1116138.3)	 	4984	 	4985_4, 4986_11	4987_5	4983	880_15	4988_16	2905_18	 	 	 	 	 	 	 	498_40, 499_39, 500_38	 	 
Escherichia coli MS 107-1 (679207.4)	 	4725	 	4726_4, 4727_11	4728_5	4724	3207_21	4729_16	3843_18	 	 	 	 	 	 	 	1103_40, 1104_39, 1105_38	 	 
Escherichia coli MS 115-1 (749537.3)	 	2885	 	2886_4, 2887_11	2888_5	2884	1886_21	2889_16	866_18	 	 	 	 	 	 	 	3159_40, 3160_39, 3161_38	 	 
Escherichia coli MS 116-1 (749538.3)	 	956	 	954_11, 955_4	953_5	957	1416_15	952_16	1321_18	 	 	 	 	 	 	 	3069_38, 3070_39, 3071_40	 	 
Escherichia coli MS 119-7 (679206.4)	 	4380	 	4378_11, 4379_4	4377_5	4381	129_21	4376_16	1568_18	 	 	 	 	 	 	 	1706_38, 1707_39, 1708_40	 	 
Escherichia coli MS 124-1 (679205.4)	 	727	 	725_11, 726_4	724_5	728	126_21	723_16	3617_18	 	 	 	 	 	 	 	3519_38, 3520_39, 3521_40	 	 
Escherichia coli MS 145-7 (679204.3)	 	4751	 	4752_4, 4753_11	4754_5	4750	1983_21	4755_16	131_18	 	 	 	 	 	 	 	3179_40, 3180_39, 3181_38	 	 
Escherichia coli MS 146-1 (749540.3)	 	2262	 	2260_11, 2261_4	2259_5	2263	3739_15	2258_16	9_18	 	 	 	 	 	 	 	4639_38, 4640_39, 4641_40	 	 
Escherichia coli MS 182-1 (749545.3)	 	3707	 	3708_4, 3709_11	3710_5	3706	2195_21	3711_16	1686_18	 	 	 	 	 	 	 	1217_38, 1218_39, 1219_40	 	 
Escherichia coli MS 185-1 (749546.3)	 	1671	 	1672_4, 1673_11	1674_5	1670	3530_15	1675_16	2878_18	 	 	 	 	 	 	 	2373_40, 2374_39, 2375_38	 	 
Escherichia coli MS 187-1 (749547.3)	 	1115	 	1116_4, 1117_11	1118_5	1114	2489_21	1119_16	3094_18	 	 	 	 	 	 	 	3872_38, 3873_39, 3874_40	 	 
Escherichia coli MS 196-1 (749548.3)	 	1707	 	1708_4, 1709_11	1710_5	1706	2633_15	1711_16	2956_18	 	 	 	 	 	 	 	4178_40, 4179_39, 4180_38	 	 
Escherichia coli MS 198-1 (749549.3)	 	1705	 	1703_11, 1704_4	1702_5	1706	4294_15	1701_16	4994_18	 	 	 	 	 	 	 	4584_38, 4585_39, 4586_40	 	 
Escherichia coli MS 200-1 (749550.3)	 	2700	 	2698_11, 2699_4	2697_5	2701	4914_21	2696_16	1561_18	 	 	 	 	 	 	 	2583_40, 2584_39, 2585_38	 	 
Escherichia coli MS 21-1 (749527.3)	 	3440	 	3438_11, 3439_4	3437_5	3441	1872_21	3436_16	1486_18	 	 	 	 	 	 	 	3145_40, 3146_39, 3147_38	 	 
Escherichia coli MS 45-1 (749528.3)	 	1794	 	1795_4, 1796_11	1797_5	1793	3639_15	1798_16	1579_18	 	 	 	 	 	 	 	2218_40, 2219_39, 2220_38	 	 
Escherichia coli MS 69-1 (749531.3)	 	1073	 	1074_4, 1075_11	1076_5	1072	2826_21	1077_16	2046_18	 	 	 	 	 	 	 	4548_38, 4549_39, 4550_40	 	 
Escherichia coli MS 78-1 (749532.3)	 	709	 	710_4, 711_11	712_5	708	4757_21	713_16	4078_18	 	 	 	 	 	 	 	4200_38, 4201_39, 4202_40	 	 
Escherichia coli MS 84-1 (749533.3)	 	5006	 	5007_4, 5008_11	5009_5	5005	1377_21	5010_16	410_18	 	 	 	 	 	 	 	3348_40, 3349_39, 3350_38	 	 
Escherichia coli MS 85-1 (679202.3)	 	4702	 	4703_4, 4704_11	4705_5	4701	1746_21	4706_16	2572_18	 	 	 	 	 	 	 	2113_38, 2114_39, 2115_40	 	 
Escherichia coli N1 (1005567.3)	 	4145	 	4146_4, 4147_11	4148_5	4144	462_21	4149_16	2118_18	 	 	 	 	 	 	 	159_40, 160_39, 161_38	 	 
Escherichia coli NA114 (1033813.3)	 	3461	 	3459_11, 3460_4	3458_5	3462	402_21	3457_16	2210_18	 	 	 	 	 	 	 	60_40, 61_39, 62_38	 	 
Escherichia coli NC101 (753642.3)	 	16	 	17_4, 18_11	19_5	15	1212_15	20_16	2993_18	 	 	 	 	 	 	 	3566_38, 3567_39, 3568_40	 	 
Escherichia coli NCCP15647 (1169663.3)	 	880	 	878_11, 879_4	877_5	881	4666_21	876_16	5024_18	 	 	 	 	 	 	 	411_40, 412_39, 413_38	 	 
Escherichia coli NCCP15657 (1169863.3)	 	4789	 	4790_4, 4791_11	4792_5	4788	3760_21	4793_16	871_18	 	 	 	 	 	 	 	549_40, 550_39, 551_38	 	 
Escherichia coli NCCP15658 (1169862.3)	 	4944	 	4945_4, 4946_11	4947_5	4943	479_15	4948_16	2860_18	 	 	 	 	 	 	 	69_40, 70_39, 71_38	 	 
Escherichia coli NE037 (1005484.3)	 	5216	 	5217_4, 5218_11	5219_5	5215	783_15	5220_16	3109_18	 	 	 	 	 	 	 	321_40, 322_39, 323_38	 	 
Escherichia coli NE098 (1005486.3)	 	4970	 	4971_4, 4972_11	4973_5	4969	627_15	4974_16	2850_18	 	 	 	 	 	 	 	195_40, 196_39, 197_38	 	 
Escherichia coli NE1487 (1005485.3)	 	5216	 	5217_4, 5218_11	5219_5	5215	762_15	5220_16	3142_18	 	 	 	 	 	 	 	306_40, 307_39, 308_38	 	 
Escherichia coli Nissle 1917 (316435.3)	 	3942	 	3940_11, 3941_4	3939_5	3943	3240_15	3938_16	4372_18	 	 	 	 	 	 	 	3530_38, 3531_39, 3532_40	 	 
Escherichia coli O08 (1227814.3)	 	3997	 	3998_4, 3999_11	4000_5	3996	397_21	4001_16	2076_18	 	 	 	 	 	 	 	58_40, 59_39, 60_38	 	 
Escherichia coli O103:H25 str. CVM9340 (1165940.3)	 	4457	 	4455_11, 4456_4	4454_5	4458	505_21	4453_16	1767_18	 	 	 	 	 	 	 	2537_40, 2538_39, 2539_38	 	 
Escherichia coli O103:H25 str. NIPH-11060424 (1101440.4)	 	4373	 	4374_4, 4375_11	4376_5	4372	419_21	4377_16	2223_18	 	 	 	 	 	 	 	61_40, 62_39, 63_38	 	 
Escherichia coli O103:H2 str. 12009 (585395.4)	 	4966	 	4967_4, 4968_11	4969_5	4965	419_21	4970_16	2698_18	 	 	 	 	 	 	 	67_40, 68_39, 69_38	 	 
Escherichia coli O103:H2 str. CVM9450 (1165941.3)	 	4278	 	4279_4, 4280_11	4281_5	4277	451_21	4282_16	2741_18	 	 	 	 	 	 	 	1030_40, 1031_39, 1032_38	 	 
Escherichia coli O104:H4 str. GOS1 (1038927.4)	 	2214	 	2212_11, 2213_4	2211_5	2215, 2216	3622_21	2210_16	1478_18	 	 	 	 	 	 	 	1063_40, 1064_39, 1065_38	 	 
Escherichia coli O104:H4 str. GOS2 (1038927.5)	 	1484	 	1485_4, 1486_11	1487_5	1483	2299_21	1488_16	1278_18	 	 	 	 	 	 	 	547_40, 548_39, 549_38	 	 
Escherichia coli O104:H4 str. H112180282 (1038927.6)	 	4810	 	4811_4, 4812_11	4813_5	4809	2568_21	4814_16	4216_18	 	 	 	 	 	 	 	865_40, 866_39, 867_38	 	 
