Organism	SerA	SerC	SerB	SerP	SerHS
Escherichia coli KTE229 (1181775.3)	1721, 2468, 4658	4549_2	3599_4	1676, 1755_11, 2564_12	3376_13
Escherichia coli KTE23 (1169342.3)	1513, 3333, 3416, 4375	1405_2	3074_6, 431_4	3289, 3368_11, 3662_12, 4108_12	257_13
Escherichia coli KTE230 (1181776.3)	1311, 3195	1125_2	232_4, 2953_6	3156, 3229_11, 3689_12, 4138_12	78_13
Escherichia coli KTE231 (1169323.3)	 	1005_2	4855_4	3011, 3060_11, 3872_12	4613_13
Escherichia coli KTE232 (1169365.3)	469	1006_2	12_4	2965, 3012_11	4464_13
Escherichia coli KTE233 (1181777.3)	3651	3523_2	2569_4, 568_6	830, 878_11	2398_13
Escherichia coli KTE234 (1181778.3)	 	1603_2	3383_6, 654_4	3657, 3709_11	512_13
Escherichia coli KTE235 (1181779.3)	 	597_2	4569_4	2743, 2792_11, 3181_12, 3644_12	4336_13
Escherichia coli KTE236 (1181780.3)	1016	900_2	5055_4	3087_12, 3136_11, 3563_12, 3993_12	4808_13
Escherichia coli KTE237 (1181781.3)	1399	1283_2	174_4	3473_12, 3522_11, 3945_12, 4376_12	5184_13
Escherichia coli KTE24 (1169343.3)	1246, 2649, 3551	2815_2	266_4	3532, 3587_12, 4414_12	44_13
Escherichia coli KTE240 (1181782.3)	1425, 3077, 3810	1317_2	425_4	3033, 3111_11, 3904_12	158_13
Escherichia coli KTE25 (1169344.3)	1823, 3738, 3822, 4754	1717_2	3484_6, 732_4	3694, 3773_11, 4070_12, 4509_12	559_13
Escherichia coli KTE26 (1169345.3)	 	1331_2	247_4	3365, 3414_11, 4294_12	4980_13
Escherichia coli KTE27 (1169346.3)	1084, 3784, 4546	975_2	26_4	3741, 3818_11, 4195_12, 4196_12, 4644_12	1741_13
Escherichia coli KTE28 (1169347.3)	1048, 3181, 3266, 4190	941_2	2928_6, 39_4	3137, 3217_11, 3514_12, 3947_12	4701_13
Escherichia coli KTE29 (1169348.3)	 	802_2	4332_4	2691, 2762_11, 3474_12	4167_13
Escherichia coli KTE3 (1169316.3)	1761, 3622, 4409	1651_2	706_4	3576, 3656_11, 4505_12	439_13
Escherichia coli KTE31 (1169349.3)	3295, 3386	1524_2	3105_6, 592_4	159_12, 3284, 3330_12, 3665_12	3777_13
Escherichia coli KTE33 (1169351.3)	3043, 3133	20_2	1596_6, 2552_4	3032, 3078_12, 3256_12, 3898_12	3805_13
Escherichia coli KTE34 (1169352.3)	 	2810_2	454_4	3540, 4461_12	256_13
Escherichia coli KTE35 (1169320.3)	 	2826_2	455_4	3556	255_13
Escherichia coli KTE36 (1169353.3)	1682, 2464, 3574	1566_2	272_4	3538_12, 3593, 4401_12	115_13
Escherichia coli KTE37 (1169354.3)	1826, 2641, 3649	2753_2	94_4	3630, 3686_12, 4563_12	5376_13
Escherichia coli KTE38 (1169355.3)	1743, 2555, 3552	2666_2	99_4	3533, 3587_12, 4414_12	5220_13
Escherichia coli KTE39 (1169356.3)	1669, 3567	1450_2	3326_6, 486_4	3528, 3601_11, 4455_12	224_13
Escherichia coli KTE4 (1169325.3)	1343, 3200, 3995	1234_2	289_4	3155, 3234_11, 4091_12	4901_13
Escherichia coli KTE40 (1169357.3)	4901	867_2	4503_4	2863, 2911_11	4341_13
Escherichia coli KTE41 (1169358.3)	 	1576_2	469_4	3539, 3587_11	295_13
Escherichia coli KTE42 (1169359.3)	1085	1704_2	727_4	3617, 3666_11	542_13
Escherichia coli KTE43 (1169360.3)	1199, 2994	1032_2	27_4	2952, 3029_11, 3326_12, 3771_12	4588_13
Escherichia coli KTE44 (1169361.3)	 	1432_2	3655_6, 468_4	3873, 3922_11	273_13
Escherichia coli KTE45 (1169362.3)	1660	1493_2	3233_6, 567_4	3486_12, 3534_11, 3846_12, 4284_12	410_13
Escherichia coli KTE46 (1182653.3)	997	830_2	2563_6, 4497_4	2820_12, 2868_11, 3178_12, 3615_12	4340_13
Escherichia coli KTE47 (1182654.3)	1496, 3369	1327_2	408_4	3331, 3404_11, 4151_12	215_13
Escherichia coli KTE48 (1182655.3)	 	1823_2	840_4	3811, 3858_11, 4629_12	664_13
Escherichia coli KTE49 (1182656.3)	1805, 3781	1643_2	684_4	3733, 3816_11, 4188_12, 4192_12, 4628_12	438_13
Escherichia coli KTE5 (1169326.3)	3114, 3863, 810	702_2	5026_4	3069, 3148_11, 3957_12	4773_13
Escherichia coli KTE50 (1182657.3)	 	2615_2	1630_4, 4424_6	4632, 4681_11, 727_12	1414_13
Escherichia coli KTE51 (1182658.3)	108	1621_2	595_4	3788, 3837_11	382_13
Escherichia coli KTE53 (1182660.3)	1638, 3564	1531_2	3322_6, 437_4	3525, 3598_11, 4535_12	247_13
Escherichia coli KTE54 (1182661.3)	 	2236_2	1231_4	378_12, 4019, 4067_11	1062_13
Escherichia coli KTE55 (1182662.3)	1826, 3859, 4572	1654_2	585_4	3815, 3893_11, 4667_12	244_13
Escherichia coli KTE56 (1182663.3)	860	3443_2	2509_4	762, 811_11	2311_13
Escherichia coli KTE57 (1182664.3)	1358, 2394	2290_2	393_4	1324_11, 1401, 4463_12, 925_12	227_13
Escherichia coli KTE58 (1182665.3)	1708, 3652, 4393	1601_2	694_4	3607, 3686_11, 4486_12	457_13
Escherichia coli KTE59 (1182666.3)	1637, 3571, 4317	1530_2	555_4	3525, 3606_11, 4405_12	322_13
Escherichia coli KTE6 (1169327.3)	3362, 368	3199_2	2215_4	1237_12, 321, 403_11, 795_12	2041_13
Escherichia coli KTE60 (1182667.3)	1616, 3513	1397_2	3271_6, 396_4	3474, 3548_11, 4296_12	241_13
Escherichia coli KTE61 (1182668.3)	 	1064_2	106_4	3076, 3125_11	4743_13
Escherichia coli KTE62 (1182669.3)	1662, 3848, 4611	1553_2	604_4	3803, 3882_11, 4261_12, 4262_12, 4706_12	320_13
Escherichia coli KTE63 (1182670.3)	1777, 3678	1670_2	3436_6, 697_4	3639, 3712_11, 4546_12	470_13
Escherichia coli KTE64 (1182671.3)	14	826_2	4752_4	3036, 3084_11	4601_13
Escherichia coli KTE65 (1182672.3)	2984, 3727, 852	743_2	4877_4	2938, 3018_11, 3817_12	4642_13
Escherichia coli KTE66 (1182673.3)	1443	1323_2	329_4	3372, 3421_12, 4336_12	174_13
Escherichia coli KTE67 (1182674.3)	1921, 3788	1759_2	3545_6, 836_4	3749, 3822_11, 4752_12	683_13
Escherichia coli KTE68 (1182675.3)	 	828_2	5229_4	3227, 3275_11, 4193_12	4973_13
Escherichia coli KTE69 (1182676.3)	1666, 2601, 3435	2713_2	238_4	3416, 3471_12, 4345_12	5158_13
Escherichia coli KTE7 (1169317.3)	1641, 3951, 4697	1533_2	596_4	3906, 3985_11, 4792_12	329_13
Escherichia coli KTE70 (1182677.3)	1870, 2696, 3548	2809_2	113_4	3529, 3583_12, 4460_12	5271_13
Escherichia coli KTE71 (1182678.3)	 	1274_2	354_4	3762, 3811_12	265_13
Escherichia coli KTE72 (1182679.3)	1179, 3280	959_2	2872_6, 35_4	3238, 3315_11, 3616_12, 4058_12	4834_13
Escherichia coli KTE73 (1182680.3)	1160, 1613	985_2	4808_4	3040, 3089_11	4652_13
Escherichia coli KTE74 (1182681.3)	1299, 2032, 3197	2462_2	122_4	3178, 3233_12, 4098_12	4915_13
Escherichia coli KTE75 (1182682.3)	1450, 3575, 3678	1255_2	227_4	3530, 3610_11, 3969_12, 4417_12	5249_13
Escherichia coli KTE76 (1182683.3)	1062, 3112	946_2	5014_4	2981_12, 3030_11, 3926_12	4725_13
Escherichia coli KTE77 (1182684.3)	 	1370_2	394_4	3362, 3410_11	226_13
Escherichia coli KTE78 (1182685.3)	1570	1382_2	3086_6, 433_4	3279, 3329_12, 4121_12	206_13
Escherichia coli KTE79 (1182686.3)	3089	2899_2	1949_4, 4607_6	1008_12, 174, 223_12	1723_13
Escherichia coli KTE8 (1169328.3)	1078, 3055, 3138	972_2	25_4	3014, 3090_11, 3949_12	4689_13
Escherichia coli KTE80 (1182687.3)	 	928_2	4998_4	3019, 3067_11, 3948_12	4756_13
Escherichia coli KTE81 (1182688.3)	 	1558_2	659_4	3439, 3488_11	462_13
Escherichia coli KTE82 (1169363.3)	 	1145_2	12_4	3316, 3365_11, 4108_12	4778_13
Escherichia coli KTE83 (1182689.3)	 	1004_2	5061_4	3219, 3267_11, 4126_12	4813_13
Escherichia coli KTE84 (1182690.3)	1605	1496_2	3072_6, 553_4	3305, 3353_11, 3641_12, 4086_12	410_13
Escherichia coli KTE85 (1169364.3)	1035, 2995	925_2	4876_4	2955, 3030_11, 3348_12, 3794_12	4634_13
Escherichia coli KTE86 (1182691.3)	1338, 3236	1111_2	138_4, 2938_6	3194, 3271_11, 3699_12, 4138_12	4860_13
Escherichia coli KTE87 (1182692.3)	1543, 3487	1435_2	3242_6, 356_4	3445, 3521_11, 4357_12	131_13
Escherichia coli KTE88 (1169366.3)	2720	766_2	2426_6, 4486_4	2678, 2755_11, 3058_12, 3519_12	4236_13
Escherichia coli KTE89 (1182693.3)	2848, 982	758_2	2551_6, 4696_4	2806, 2883_11, 3302_12, 3742_12	4466_13
Escherichia coli KTE9 (1169329.3)	1723	1611_2	3414_6, 623_4	3619, 3667_11, 4423_12	455_13
Escherichia coli KTE90 (1169367.3)	 	1216_2	107_4	3198, 3245_11, 3980_12	4695_13
Escherichia coli KTE91 (1182694.3)	 	944_2	4688_4	2928, 2977_11, 3795_12	4506_13
Escherichia coli KTE93 (1182696.3)	3193, 785	1331_2	141_4, 2939_6	3151, 3228_11, 3623_12, 4063_12	4787_13
Escherichia coli KTE94 (1169368.3)	3155	1076_2	102_4	3112_12, 3190_11, 3950_12	4695_13
Escherichia coli KTE96 (1182697.3)	1937, 904	3386_2	2458_4, 604_6	1136_12, 1843_12, 794_12, 846_12	2313_13
Escherichia coli KTE97 (1169370.3)	2741	803_2	2500_6, 4510_4	2702_12, 2775_11, 3534_12	4336_13
Escherichia coli KTE98 (1182698.3)	2323, 3163, 3862	3052_2	455_4	1434_12, 2285_12, 2342	244_13
Escherichia coli KTE99 (1169371.3)	2950	977_2	2708_6, 75_4	2911, 2984_11, 3336_12, 3805_12	4585_13
Escherichia coli LCT-EC106 (1163386.3)	792	3730_2	2457_4, 551_6	2937_12, 752, 826_11	2245_13
Escherichia coli LCT-EC52 (1258567.3)	804	3217_2	4766_4, 562_6	1681_12, 764, 838_11	2432_13
Escherichia coli LCT-EC59 (1258580.3)	842	4185_2	2622_4, 598_6	1716_12, 801, 876_11	2465_13
Escherichia coli LF82 (591946.4)	2846, 2931	847_2	4539_4	2805, 2880_11, 3173_12, 3610_12	4384_13
Escherichia coli LT-68 (670890.3)	 	541_2	3898_4	2151_12, 2152_12, 2203	3714_13
Escherichia coli M605 (656417.3)	3599	1147_2	37_4	3551, 3636_11, 3948_12, 4418_12	5412_13
Escherichia coli M718 (656419.3)	 	1204_2	134_4	3623, 3672_11, 4566_12	5462_13
Escherichia coli M863 (656420.3)	1984, 2110	1496_2	1087_6, 4037_4, 626_4	1965_12, 2021_12, 2751_12	3228_13
Escherichia coli MA6 (1005557.3)	 	1468_2	369_4	3890, 3938_11	191_13
Escherichia coli MP020940.1 (1116140.3)	1276	1085_2	131_4	3415, 3462_11, 4204_12	4911_13
Escherichia coli MP020980.1 (1125638.3)	1619	1426_2	3280_6, 470_4	3499, 3575_11, 3883_12, 4564_12	5302_13
Escherichia coli MP020980.2 (1116139.3)	1578	1375_2	361_4	3545, 3620_11, 4400_12	192_13
Escherichia coli MP021017.1 (1116057.3)	 	1079_2	191_4	3400, 3449_11, 3747_12, 3748_12	4977_13
Escherichia coli MP021017.10 (1116064.3)	1305, 3528	1164_2	280_4	3399, 3449_11, 3794_12, 3795_12, 4250_12	4989_13
Escherichia coli MP021017.11 (1116065.3)	3298	978_2	85_4	3169, 3219_11, 3583_12, 3584_12	4787_13
Escherichia coli MP021017.12 (1116111.3)	 	834_2	4455_4	2763_12, 2812_11, 3153_12, 3154_12, 4705_12	4288_13
Escherichia coli MP021017.2 (1116058.3)	 	1162_2	260_4	3349_12, 3399_11, 3757_12, 3758_12	4963_13
Escherichia coli MP021017.3 (1116059.3)	 	1123_2	225_4	3358, 3407_11, 3726_12, 3727_12	4941_13
Escherichia coli MP021017.4 (1116060.3)	 	1072_2	5088_4	3276, 3326_11, 3642_12, 3643_12	4901_13
Escherichia coli MP021017.5 (1116061.3)	3230	970_2	22_4	3104, 3153_11, 3513_12, 3514_12	4719_13
Escherichia coli MP021017.6 (1116062.3)	3307	1001_2	86_4	3179, 3230_11, 3575_12, 3576_12, 4028_12	4784_13
Escherichia coli MP021017.9 (1116063.3)	 	938_2	85_4	3158_12, 3208_11, 3535_12, 3536_12	4779_13
Escherichia coli MP021552.11 (1116134.3)	1313	1352_2	5084_4	3425, 3473_11, 4195_12	4839_13
Escherichia coli MP021552.12 (1116135.3)	1301	1170_2	4955_4	3181, 3229_11, 3569_12, 4042_12	4777_13
Escherichia coli MP021552.7 (1116132.3)	1785, 3857	1653_2	5585_4	3721_12, 3769_11, 4142_12, 4618_12	5326_13
Escherichia coli MP021552.8 (1116133.3)	1194	1064_2	37_4	3227, 3274_11, 4064_12	4842_13
Escherichia coli MP021561.2 (1116136.3)	1610	1486_2	394_4, 5221_4	3563, 3616_11	225_13
Escherichia coli MP021561.3 (1116137.3)	1655	1519_2	5403_4	3470, 3517_11, 4435_12	5134_13
Escherichia coli MP021566.1 (1116138.3)	1562, 1563, 3772	1435_2	406_4	3671, 3722_12	264_13
Escherichia coli MS 107-1 (679207.4)	 	1995_2	1016_4	253_12, 741_11, 789	1491_13
Escherichia coli MS 115-1 (749537.3)	 	4522_2	1821_4	3809	2009_13
Escherichia coli MS 116-1 (749538.3)	 	2871_2	1030_4	3702, 3751_11	3455_13
Escherichia coli MS 119-7 (679206.4)	 	3422_2	4186_4	1832_12, 375, 425_11	1079_13
Escherichia coli MS 124-1 (679205.4)	 	1012_2	2012_4	1504_11, 3049_12, 5767_12	1153_13
Escherichia coli MS 145-7 (679204.3)	 	2248_2	2795_4	1048_11, 2402, 3307_12	5017_13
Escherichia coli MS 146-1 (749540.3)	3817, 4525, 712	96_2	3320_4	1744_11, 1809	3109_13
Escherichia coli MS 182-1 (749545.3)	3080	3249_2	1636_4	1051_12, 1314_11, 1367	608_13
Escherichia coli MS 185-1 (749546.3)	3075, 3319, 3320	1775_2	1179_6, 2278_4	1105_12, 3041_11, 3116	2480_13
Escherichia coli MS 187-1 (749547.3)	 	1857_2	2824_4	3367, 3420_12	394_13
Escherichia coli MS 196-1 (749548.3)	 	2275_2	2325_4	2824_11, 2872, 3883_12, 3884_12	3773_13
Escherichia coli MS 198-1 (749549.3)	 	5312_2	1002_4	1440_12, 2139_11, 2186	3249_13
Escherichia coli MS 200-1 (749550.3)	4305, 4388	2119_2	2436_4	4355_11, 761, 830_12	3265_13
Escherichia coli MS 21-1 (749527.3)	1190, 1191, 3503	2412_2	3969_4	1156_12, 1211, 1418_12, 2757_12, 5168_12	1255_13
Escherichia coli MS 45-1 (749528.3)	2029	1700_2	2121_4, 2442_6	1763, 1995_11, 41_12	3459_13
Escherichia coli MS 69-1 (749531.3)	5220	3107_2	3914_4	4401_12, 5185_12, 5240	3691_13
Escherichia coli MS 78-1 (749532.3)	2094	767_2	4292_4, 4293_4	1105_11, 1560_12, 748	950_13
Escherichia coli MS 84-1 (749533.3)	 	1008_2	3260_4	4106_12, 4559_11, 813_12	3836_13
Escherichia coli MS 85-1 (679202.3)	 	307_2	2195_4	1188_12, 1236_11, 3761_12	2399_13
Escherichia coli N1 (1005567.3)	2946, 3056	2212_2	2299_4, 4512_4	2924, 2981_11	4384_13
Escherichia coli NA114 (1033813.3)	 	940_2	4676_4	2854, 2926_11, 3226_12, 3724_12, 4391_12	4475_13
Escherichia coli NC101 (753642.3)	308	697_2	3663_4	272_11, 353, 4391_12, 4851_12	3833_13
Escherichia coli NCCP15647 (1169663.3)	 	1787_2	2955_4	2118, 2553_11, 390_12	729_13
Escherichia coli NCCP15657 (1169863.3)	 	4271_2	472_4	1866_12, 2585, 2632_11	268_13
Escherichia coli NCCP15658 (1169862.3)	 	1021_2	5366_4	3626, 3674_11	5197_13
Escherichia coli NE037 (1005484.3)	 	1348_2	238_4	3887, 3936_11	5466_13
Escherichia coli NE098 (1005486.3)	 	1177_2	112_4	3640, 3688_11	5209_13
Escherichia coli NE1487 (1005485.3)	 	1373_2	223_4	3890, 3939_11	44_13
Escherichia coli Nissle 1917 (316435.3)	1548	3010_2	3619_4, 4821_6	1509, 1582_11, 2130_12	2767_13
Escherichia coli O08 (1227814.3)	 	867_2	4437_4	2781, 2834_12, 3540_12	4282_13
Escherichia coli O103:H25 str. CVM9340 (1165940.3)	 	2752_2	3138_4	120, 72_11	2180_13
Escherichia coli O103:H25 str. NIPH-11060424 (1101440.4)	 	950_2	4806_4	3046, 3096_11	4615_13
Escherichia coli O103:H2 str. 12009 (585395.4)	 	1001_2	5512_4	3498, 3565_11, 4468_12	5263_13
Escherichia coli O103:H2 str. CVM9450 (1165941.3)	 	5379_2	3778_4	160, 228_11, 3652_12	1332_13
Escherichia coli O104:H4 str. GOS1 (1038927.4)	 	4952_2	2755_4, 475_6	2660, 2710_11, 3496_12	4407_13
Escherichia coli O104:H4 str. GOS2 (1038927.5)	 	769_2	3387_6, 467_4	3446, 3494_11, 5028_12	4256_13
Escherichia coli O104:H4 str. H112180282 (1038927.6)	 	674_2	5011_6, 790_4	3274, 3320_11, 3595_12	1037_13
Escherichia coli O104:H4 str. H112180283 (1038927.7)	 	852_2	1942_4, 3976_6	3179_12, 917, 966_11	397_13
Escherichia coli O104:H4 str. 01-09591 (1042803.5)	 	971_2	2810_6, 4906_4	3051, 3099_11, 3971_12	4760_13, 4761_13
Escherichia coli O104:H4 str. 04-8351 (1048265.3)	 	4952_2	1946_6, 3983_4	2175, 2222_11, 3049_12	3781_13
Escherichia coli O104:H4 str. 09-7901 (1048266.3)	 	1381_2	3357_6, 392_4	3586, 3633_11, 4469_12	195_13
Escherichia coli O104:H4 str. 11-02030 (1240768.3)	 	4343_2	3252_4, 872_6	1110, 1158_11, 2014_12	3036_13
Escherichia coli O104:H4 str. 11-02033-1 (1240769.3)	 	4294_2	3289_4, 605_6	2177_12, 842, 889_11	2996_13
Escherichia coli O104:H4 str. 11-02092 (1240770.3)	 	3051_2	2042_4, 4281_6	4518, 4566_11, 5423_12	1515_13
Escherichia coli O104:H4 str. 11-02093 (1240771.3)	 	3219_2	2211_4, 5010_6	5248, 5296_11, 954_12	1994_13
Escherichia coli O104:H4 str. 11-02281 (1240772.3)	 	4322_2	3313_4, 468_6	1612_12, 706, 754_11	3075_13
Escherichia coli O104:H4 str. 11-02318 (1240773.3)	 	5079_2	1891_6, 4068_4	2128, 2176_11, 3037_12	3851_13
Escherichia coli O104:H4 str. 11-02913 (1240774.3)	 	3443_2	2431_4, 5394_6	1379_12, 471, 519_11	2214_13
Escherichia coli O104:H4 str. 11-03439 (1240775.3)	 	3815_2	1988_4, 5044_6	5282, 5330_11, 761_12	1774_13
Escherichia coli O104:H4 str. 11-03943 (1240777.3)	 	3964_2	2573_4, 5367_6	1291_12, 388, 436_11	2356_13
Escherichia coli O104:H4 str. 11-04080 (1240776.3)	 	3978_2	2581_4, 5382_6	1295_12, 386, 434_11	2365_13
Escherichia coli O104:H4 str. 11-3677 (1048334.3)	 	1299_2	312_4, 3375_6	3611, 3658_11, 4486_12	101_13
Escherichia coli O104:H4 str. 11-4404 (1068614.3)	 	4278_2	1186_6, 3289_4	1420, 1467_11, 2297_12	3081_13
Escherichia coli O104:H4 str. 11-4522 (1068615.3)	 	4281_2	1210_6, 3298_4	1444, 1491_11, 2314_12	3087_13
Escherichia coli O104:H4 str. 11-4623 (1068616.3)	 	5035_2	1938_6, 4049_4	2174, 2221_11, 3055_12	3837_13
Escherichia coli O104:H4 str. 11-4632 C1 (1068617.3)	 	2657_2	1670_4, 4724_6	4957, 5004_11, 677_12	1461_13
Escherichia coli O104:H4 str. 11-4632 C2 (1068618.3)	 	2659_2	1670_4, 4726_6	4959, 5006_11, 676_12	1457_13
Escherichia coli O104:H4 str. 11-4632 C3 (1068619.3)	 	4279_2	1177_6, 3290_4	1408, 1455_11, 2296_12	3078_13
Escherichia coli O104:H4 str. 11-4632 C4 (1068620.3)	 	761_2	2836_6, 4955_4	3071, 3118_11, 3958_12	4742_13
Escherichia coli O104:H4 str. 11-4632 C5 (1068621.3)	 	2669_2	1684_4, 4749_6	4984, 5031_11, 677_12	1472_13
Escherichia coli O104:H4 str. 2009EL-2050 (1134782.3)	 	3490_2	1396_6, 4479_4	1109_11, 1157, 250_12	4697_13
Escherichia coli O104:H4 str. 2009EL-2071 (1133853.3)	 	3566_2	1378_6, 4552_4	1093_11, 1141, 234_12	4770_13
Escherichia coli O104:H4 str. 2011C-3493 (1133852.3)	 	3505_2	1392_6, 4511_4	1107_11, 1155, 240_12	4725_13
Escherichia coli O104:H4 str. C227-11 (1048254.3)	 	4599_2	1507_6, 3608_4	1741, 1788_11, 2615_12	3397_13
Escherichia coli O104:H4 str. C236-11 (1048256.3)	 	1298_2	314_4, 3385_6	3618, 3666_11, 4495_12	104_13
Escherichia coli O104:H4 str. Ec11-4984 (1240761.3)	 	4657_2	1510_6, 3652_4	1749, 1796_11, 2637_12	3437_13
Escherichia coli O104:H4 str. Ec11-4986 (1240762.3)	 	265_2	2365_6, 4510_4	2602, 2649_11, 3494_12	4295_13
Escherichia coli O104:H4 str. Ec11-4987 (1240763.3)	 	4345_2	1198_6, 3344_4	1435, 1483_11, 2330_12	3131_13
Escherichia coli O104:H4 str. Ec11-4988 (1240764.3)	 	735_2	2811_6, 4967_4	3050, 3097_11, 3943_12	4753_13
Escherichia coli O104:H4 str. Ec11-5536 (1068623.3)	 	1299_2	314_4, 3352_6	3587, 3634_11, 4467_12	103_13
Escherichia coli O104:H4 str. Ec11-5537 (1068624.3)	 	1298_2	311_4, 3356_6	3589, 3636_11, 4468_12	103_13
Escherichia coli O104:H4 str. Ec11-5538 (1068622.3)	 	4605_2	1514_6, 3619_4	1747, 1794_11, 2628_12	3411_13
Escherichia coli O104:H4 str. Ec11-5603 (1240765.3)	 	1310_2	311_4, 3416_6	3654, 3702_11, 4557_12	97_13
Escherichia coli O104:H4 str. Ec11-5604 (1240766.3)	 	4659_2	1515_6, 3658_4	1753, 1801_11, 2661_12	3450_13
Escherichia coli O104:H4 str. Ec11-6006 (1240767.3)	 	3952_2	2948_4, 808_6	1046, 1094_11, 1941_12	2732_13
Escherichia coli O104:H4 str. Ec11-9450 (1240758.3)	 	4641_2	1511_6, 3659_4	1751, 1798_11, 2640_12	3449_13
Escherichia coli O104:H4 str. Ec11-9941 (1240759.3)	 	3977_2	2974_4, 799_6	1035, 1082_11, 1932_12	2702_13
Escherichia coli O104:H4 str. Ec11-9990 (1240760.3)	 	4913_2	1802_6, 3911_4	2040, 2087_11, 2935_12	3697_13
Escherichia coli O104:H4 str. Ec12-0465 (1240778.3)	 	1302_2	323_4, 3360_6	3598, 3646_11, 4494_12	108_13
Escherichia coli O104:H4 str. Ec12-0466 (1240779.3)	 	4762_2	1586_6, 3758_4	1825, 1873_11, 2736_12	3543_13
Escherichia coli O104:H4 str. H112180280 (1042804.3)	 	381_2	2447_6, 4209_4	2925_12, 4544, 4592_11	4419_13
Escherichia coli O104:H4 str. H112180541 (1048765.4)	 	4214_2	4020_6, 4656_4	1008_11, 1052, 3620_12	4298_13
Escherichia coli O104:H4 str. LB226692 (1040638.5)	 	1027_2	2879_6, 5106_4	3127, 3178_11, 4068_12	4874_13
Escherichia coli O104:H4 str. ON2010 (1136217.3)	 	959_2	2845_6, 4940_4	3072, 3119_11, 3987_12	4697_13
Escherichia coli O104:H4 str. ON2011 (1136218.3)	 	2467_2	3448_4, 435_6	154_11, 202, 4405_12	3652_13
Escherichia coli O104:H4 str. TY-2482 (1038844.18)	 	5006_2	1867_6, 4011_4	2100, 2147_11, 2993_12	3793_13
Escherichia coli O10:K5(L):H4 str. ATCC 23506 (1246623.3)	 	4507_2	3486_4	3600, 3647_11	2135_13
Escherichia coli O111:H- str. 11128 (585396.4)	3662	1016_2	5480_4	3644, 3697_11, 4508_12	5307_13
Escherichia coli O111:H11 str. CFSAN001630 (1232151.3)	4810	467_2	1879_4	4773_11, 5190_12, 5234	170_13
Escherichia coli O111:H11 str. CVM9534 (1165946.3)	4930	219_2	83_4	1705, 4019_11, 4067_12	4830_13
Escherichia coli O111:H11 str. CVM9553 (1165947.3)	3785	1538_2	1447_4	1292_11, 4225_12, 5578	4218_13
Escherichia coli O111:H8 str. CFSAN001632 (1232154.3)	3947	1210_2	5225_4	2850_12, 3929, 4511_11	1127_13
Escherichia coli O111:H8 str. CVM9570 (1165945.3)	33	2925_2	3620_4	15, 462_12, 68_12	4865_13
Escherichia coli O111:H8 str. CVM9574 (1165943.3)	186	1849_2	4717_4	151_11, 204, 2463_12	4886_13
Escherichia coli O111:H8 str. CVM9602 (1165942.3)	4964	1541_2	52_4	1308_12, 3891_11, 4982	1184_13
Escherichia coli O111:H8 str. CVM9634 (1165944.3)	1789	5221_2	277_4	1825_11, 2349_12, 4895	1107_13
Escherichia coli O113:H21 str. CL-3 (1078029.12)	 	962_2	4723_4	2321, 2368_11, 3501_12	4556_13
Escherichia coli O121:H19 str. MT#2 (1078031.3)	 	2014_2	1486_4	2437, 2484_11	4303_13
Escherichia coli O127:H27 str. C43/90 (1090929.3)	 	948_2	4588_4	2852, 2901_11	4424_13
Escherichia coli O127:H6 str. E2348/69 (574521.7)	3130, 3220	927_2	2879_6, 4794_4	3111, 3166_11, 3472_12, 3873_12	4645_13
Escherichia coli O145:H28 str. 4865/96 (1078035.3)	 	1152_2	458_4, 715_6	2593_12, 2989, 3038_11, 4204_12	2298_13
Escherichia coli O157:H- str. 493-89 (926027.3)	 	4146_2	3412_4	1526, 1574_11, 1849_12, 2300_12	3099_13
Escherichia coli O157:H- str. H 2687 (926028.3)	 	4180_2	3645_4	1610, 1658_11, 1932_12, 2418_12	3163_13
Escherichia coli O157:H7 EDL933 (155864.8)	 	1122_2	5305_4	3578, 3627_11, 4380_12	5135_13
Escherichia coli O157:H7 str. EC536 (702436.3)	 	2766_2	3127_4	1420, 1470_11	3255_13
Escherichia coli O157:H7 str. EC1212 (941435.3)	 	527_2	1909_4	4121, 4169_11	2086_13
Escherichia coli O157:H7 str. 1125 (997825.3)	 	5143_2	1170_4	2497, 2546_11, 4277_12	1344_13
Escherichia coli O157:H7 str. EC4009 (702430.3)	 	444_2	3218_4	2405, 3938_11	3392_13
Escherichia coli O157:H7 str. EC4024 (444454.5)	 	168_2, 5488_2	4446_4	2698, 2745_11	4272_13
Escherichia coli O157:H7 str. EC4042 (444449.5)	 	4421_2	3895_4	2159, 2208_11	3726_13
Escherichia coli O157:H7 str. EC4045 (444448.5)	 	3697_2	2653_4	914, 961_11	2485_13
Escherichia coli O157:H7 str. EC4084 (702432.3)	 	4294_2	2497_4	3597_11, 4985	100_13
Escherichia coli O157:H7 str. EC4115 (444450.8)	 	1154_2	5733_4	4001, 4048_11	5563_13
Escherichia coli O157:H7 str. EC4191 (702434.4)	 	1852_2	2473_4	2800, 456_11	2645_13
Escherichia coli O157:H7 str. FRIK2000 (637388.3)	 	4485_2	3823_4	3200, 3248_11	2448_13
Escherichia coli O157:H7 str. FRIK966 (570506.3)	 	2021_2	985_4	2472_11, 2520	1273_13
Escherichia coli O157:H7 str. G5101 (926026.3)	 	4061_2	3258_4	1472, 1520_11, 1793_12, 2331_12	3069_13
Escherichia coli O157:H7 str. H093800014 (1240385.3)	 	1817_2	80_4	1296, 1344_11	789_13
