Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Roseburia intestinalis XB6B4 (718255.3)	3441_2	 	 	1614_6, 2510_7, 2897_6, 2898_7	2511	1613, 3117	1639	2517_15, 2518_16	1612	644_18	 	 	3220_22, 3221_23, 3222_26, 3223_25, 3224_24	 	658_30
Roseburia inulinivorans DSM 16841 (622312.4)	49_1	 	 	1240_7, 2539_6, 2601_7, 2602_6	1241	2540	716	3440_16, 3441_15	2541	3010_18	 	 	626_22, 627_23, 628_26, 629_25, 630_24	 	 
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	1826_1	 	 	2273_7, 25_6, 83_7, 84_6	2272	26	954	2170_15, 2171_16, 2172_15, 2173_16	27	1875_18	 	 	 	 	 
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	297_1	 	 	2290_6, 2291_7, 255_7, 315_6	254	316	122	2670_16	317	1935_18	 	 	1885_23, 1886_26, 1887_25, 1888_24, 2295_22	609_27	 
Filifactor alocis ATCC 35896 (546269.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Peptostreptococcus anaerobius 653-L (596329.3)	416_1	 	 	 	 	 	 	 	 	 	 	 	 	1224_27, 1246_27	 
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	1125_1	 	 	 	 	 	 	 	 	 	 	 	 	1803_27, 220_27	 
Peptostreptococcus stomatis DSM 17678 (596315.3)	44_1	 	 	 	 	 	 	 	 	 	 	 	 	171_27, 335_27, 912_27	 
Clostridium difficile 002-P50-2011 (997827.4)	2762_1, 3452_1, 3677_1	 	 	2838_6	2837	2262	1515	1513_16, 1514_15	1512	 	 	 	 	1598_27, 1890_27, 1891_27, 959_27	 
Clostridium difficile 050-P50-2011 (997828.4)	2143_1, 2165_1	 	 	3552_6	3551	2458	1118, 2553	1116_16, 1117_15	1115	 	 	 	 	1202_27, 190_27, 3203_27, 3204_27	 
Clostridium difficile 70-100-2010 (1002369.4)	2513_1, 2606_1, 3419_1	 	 	1491_6	1492	699	1686, 1871	1684_16, 1685_15	1683	 	 	 	 	2239_27, 2240_27, 3614_27	 
Clostridium difficile ATCC 9689 (1121308.3)	1_1, 3_1, 3714_2	 	 	2292_6	2293	3410	2058, 803	801_16	800	 	 	 	 	2554_27, 2555_27, 3909_27	 
Clostridium difficile CD37 (1125976.4)	1079_2, 2790_1, 3017_1	 	 	375_6	374	3037	855	853_16	852	 	 	 	 	3410_27, 3411_27, 722_27	 
Clostridium glycolicum ATCC 14880 (1121315.3)	1409_1, 1462_1, 2868_1	 	 	3300_7, 3419_6	3418	2213, 2675	817	818_15, 819_16	820	1957_18	 	 	 	1035_27, 3580_27, 3808_27, 3817_27	 
Anaerotruncus colihominis DSM 17241 (445972.6)	3862_2	2204	 	301_7, 302_6	 	 	1303, 2154, 2524	2152_16, 2153_15	1283	3031_18	 	 	1113_22, 1114_23, 1115_26, 1116_25, 1117_24, 1617_22, 1618_23, 1619_26, 1620_25, 1621_24, 2196_24, 2197_25, 2198_26, 2199_23, 2200_22, 2253_22, 2254_23, 2255_26, 2256_25, 2257_24, 3044_22, 3045_23, 3046_26, 3047_25, 3048_24, 3420_22, 3421_23, 3422_26, 3423_25, 3424_24	 	 
Faecalibacterium cf. prausnitzii KLE1255 (748224.3)	1349_1	 	 	1352_6, 1353_7	1354	1355, 551	1368	1365_16, 1366_15	1364	546_18	 	 	1460_24, 1461_25, 1462_26, 1463_23, 1464_22, 1556_22, 1558_23, 1559_26, 1560_25, 1561_24, 62_23, 63_26, 64_25, 65_24, 66_22	1519_27	 
Faecalibacterium prausnitzii A2-165 (411483.3)	328_2	 	 	325_7, 326_6	324	323	724	721_16, 722_15	720	170_18	 	 	667_24, 668_25, 669_26, 670_23, 671_22	 	2168_29, 2169_30
Faecalibacterium prausnitzii L2-6 (718252.3)	810_1	 	 	763_6, 764_7	765	678, 766	806	807_15, 808_16	809	989_18	 	 	665_22, 666_23, 667_26, 668_25, 669_24	1251_27	 
Faecalibacterium prausnitzii M21/2 (411485.10)	258_1	 	 	253_7, 254_6	252	251, 589	89	87_16, 88_15	86	1924_18	 	 	1279_24, 1280_25, 1281_26, 1282_23, 1283_22	122_27	 
Faecalibacterium prausnitzii SL3/3 (657322.3)	1481_1	 	 	1484_6, 1485_7	1486	1487, 925	2387, 311	312_15, 313_16	314	1763_18	 	 	1162_24, 1163_25, 1164_26, 1165_23, 1166_22	278_27	 
Ruminococcus albus 7 (697329.10)	3813_1	 	 	1221_6, 1223_7, 1328_6	1224	3648	2859	393_16, 395_15	1787	3111_18	 	 	 	 	 
Ruminococcus albus 8 (246199.4)	898_1	 	 	2109_6, 2111_7, 558_6	2112	759	2537	1671_15, 1673_16	1714	2231_18	 	 	 	 	 
Ruminococcus bromii L2-63 (657321.5)	166_2	 	 	1481_6, 2017_7, 2018_6	2016	1863	1219	1472_15, 1473_16	213	675_18	 	 	 	 	 
Ruminococcus flavefaciens FD-1 (641112.4)	2831_1, 3691_1	 	 	3699_7, 3700_6	3698	2827, 3695	3701	2832_15, 2833_16, 3689_16, 3690_15	2829, 3693	3532_18	 	 	 	 	 
Ruminococcus gnavus ATCC 29149 (411470.6)	2507_1	 	 	1747_7, 2941_7, 2942_6, 496_6	1748	1709, 1710, 497	272	2913_16	498	2940_18	 	 	 	467_27	 
Ruminococcus lactaris ATCC 29176 (471875.6)	1937_1	 	 	1024_6, 1899_7, 2327_6, 2328_7	1900	1025	2250	498_16	1026	1554_18	 	 	752_24, 753_25, 754_26, 755_23	 	 
Ruminococcus obeum A2-162 (657314.3)	2349_2	 	 	2210_6, 3004_7, 345_7, 346_6	3003	2209	2988	715_16, 716_15, 717_15, 718_16, 719_15	2208	1433_18	 	 	1625_22, 1626_23, 1627_26, 1628_25, 1629_24, 3292_22, 3293_23, 3294_26, 3295_25, 3296_24	 	1140_29, 1141_30
Ruminococcus sp. 18P13 (213810.4)	 	 	 	254_7, 255_6	 	 	1956	 	 	43_18	 	 	 	 	 
Ruminococcus sp. 5_1_39BFAA (457412.4)	1137_1	 	 	1248_7, 2519_6, 2520_7, 2524_7, 253_6	1247	1586, 254	59	3434_15, 3435_16, 3436_15, 3437_16	255	1707_18	 	 	2349_22, 2350_23, 2351_26, 2352_25, 2353_24	 	 
Ruminococcus sp. SR1/5 (657323.3)	786_1	 	 	1816_6, 1817_7, 2815_7, 3310_6, 902_6	2814	3311	2779	95_16, 96_16, 97_15, 98_16, 99_15	3312	34_18	 	 	1846_24, 1847_25, 1848_26, 1849_23, 1850_22	 	 
Ruminococcus torques ATCC 27756 (411460.6)	1148_1	 	 	1089_7, 1090_6, 1166_6, 241_7	240	1167	108	1784_16	1168	2358_18	 	 	1085_22, 2313_23, 2314_26, 2315_25, 2316_24	763_27	 
Ruminococcus torques L2-14 (657313.3)	1605_2, 2314_1	 	 	1766_7, 1833_6, 2298_6, 2299_7	1767	1832, 766	2089, 322	2471_16, 2472_15, 2473_16	1831	1228_18	 	 	1314_23, 1315_26, 1316_25, 1317_24	 	520_29, 521_30
Ruminococcaceae bacterium D16 (552398.3)	1124_1, 2595_1	 	 	2124_7, 2125_6, 2126_7, 2127_6	2123	2120	686	814_15, 815_16	816	1378_18	 	 	1660_22, 1662_23, 1663_26, 1664_25, 1665_24, 2290_22, 2291_23, 2292_26, 2293_25, 2294_24	141_27	 
Acidaminococcus fermentans DSM 20731 (591001.3)	1427_2	 	 	162_7, 163_6, 167_6, 168_7	164	1404, 81	1317	158_15, 159_16	160	1363_18	 	 	15_22, 16_23, 17_26, 18_25, 19_24	 	1846_29, 1847_30
Acidaminococcus sp. D21 (563191.3)	1071_1	 	 	2016_6, 2017_7	2015	2011, 706, 767	576	574_16, 575_15, 839_15	195, 573	595_18	 	 	1314_22, 1315_22, 1317_23, 1318_26, 1319_25, 1320_24	859_27	 
Dialister invisus DSM 15470 (592028.3)	 	 	 	 	 	 	 	 	 	 	 	 	806_24, 807_25, 808_26, 809_23	 	1616_29, 1617_30
Mitsuokella multacida DSM 20544 (500635.8)	395_2	 	 	1382_6, 1383_7, 145_7, 150_6	 	969	6	147_15, 148_16, 911_15, 912_16	149	876_18	 	 	1257_22, 1258_23, 1259_26, 1260_25, 1261_24	 	1459_30, 1460_29
Veillonella atypica ACS-049-V-Sch6 (866776.4)	 	 	 	1558_7, 1559_6, 235_7, 236_6	233	1230	587	588_15, 589_16	590	1809_18	 	 	764_24, 765_25, 766_26, 767_23, 768_22	171_27	 
Veillonella atypica ACS-134-V-Col7a (866778.4)	875_1	 	 	1835_7, 1836_6, 873_7, 874_6	871	876	1628	1626_16, 1627_15	1625	1258_18	 	 	1185_22, 1186_23, 1187_26, 1188_25, 1189_24	411_27	 
Veillonella dispar ATCC 17748 (546273.3)	965_1	 	 	1071_6, 1072_7, 966_6, 967_7	969	964	1522	1523_15, 1524_16	1525	354_18	 	 	418_24, 419_25, 420_26, 421_23, 422_22	801_27	 
Veillonella parvula ATCC 17745 (686660.3)	1165_1	 	 	1166_6, 1167_7, 1843_7, 1844_6, 1845_6	1169	1164	695	693_16, 694_15	692	71_18	 	 	270_22, 271_23, 272_26, 273_25, 274_24	1037_27	 
Veillonella parvula DSM 2008 (479436.6)	1404_2	 	 	1284_7, 1285_6, 1402_7, 1403_6	1400	1405	90	91_15, 92_16	93	724_18	 	 	649_22, 650_23, 651_26, 652_25, 653_24	 	1603_30
Veillonella sp. 3_1_44 (457416.3)	1207_2	 	 	1208_6, 1209_7, 703_7, 704_6	1211	1206	1310	1311_15, 1312_16	1313	138_18	 	 	64_22, 65_23, 66_26, 67_25, 68_24	1058_27	 
Veillonella sp. 6_1_27 (450749.3)	1290_1	 	 	1291_6, 1292_7, 696_7, 697_6	1294	1289	1715	1713_16, 1714_15	1712	131_18	 	 	63_22, 64_23, 65_26, 66_25, 67_24	1146_27	 
Blautia hansenii DSM 20583 (537007.6)	1545_1	 	 	1387_6, 565_7	564	1386	547	561_16, 562_15	1385	1800_18	 	 	 	2460_27	 
Blautia hydrogenotrophica DSM 10507 (476272.5)	790_1	 	 	1464_7, 497_6	1465	2100, 2101, 498	1484	1468_15, 1469_16	499	1087_18, 307_18	1339	 	1491_22, 1493_23, 1494_26, 1495_24, 1722_22, 1723_23, 329_22, 330_23, 331_26, 332_25, 333_24	2466_27, 2734_27, 29_27, 308_27, 309_27	 
Flavonifractor plautii ATCC 29863 (411475.3)	1322_1, 204_1	 	 	1454_6, 972_7, 973_6	970	1536, 213, 611	1978	683_16, 684_15	682, 813	 	 	 	1239_22, 1241_23, 1242_26, 1243_25, 1244_24	1490_27	 
Clostridiales bacterium 1_7_47FAA (457421.5)	5373_1	 	 	1065_6, 3303_7	3304	1066, 1189, 2914, 3043, 4475, 4938, 735	1366	2207_16, 2208_15, 2237_15, 2238_16, 2240_15, 2241_16, 256_15, 5606_16, 5607_15, 5688_15, 5689_16	1067, 258	4571_18	 	 	1312_24, 1313_25, 1315_26, 1316_23, 1317_22, 342_22, 343_23, 344_26, 345_25, 346_24, 3661_22, 3662_23, 3663_26, 3664_25, 3665_24, 4499_22, 4500_23, 4501_26, 4502_25, 4503_24, 4696_22, 4697_23, 4698_26, 4699_25, 4700_24, 5107_22, 5108_23, 5109_26, 5110_25, 5111_24, 5575_22, 5576_23, 5577_26, 5578_25, 5579_24, 5817_24, 5818_25, 5819_26, 5820_23, 5821_22	1005_27	 
Bulleidia extructa W1219 (679192.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Catenibacterium mitsuokai DSM 15897 (451640.5)	501_1, 502_1	 	 	798_7, 804_6	799	803	797	800_15, 801_16	802	2138_18	 	 	746_22, 747_23, 748_26, 749_25, 750_24	 	 
Coprobacillus sp. 29_1 (469596.3)	2167_2, 2168_2	 	 	3027_6, 3033_7	3032	128, 3028	3034	3030_16, 3031_15	3029	2840_18	 	 	2435_22, 2436_23, 2437_26, 2438_25, 2439_24	 	3796_30
Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	 	 	 	 	 	 	 	 	 	 	 	 	942_24, 943_25, 944_26, 945_23, 946_22	822_27	 
Holdemania filiformis DSM 12042 (545696.5)	 	 	 	 	 	 	 	 	 	 	 	 	2121_24, 2122_25, 2123_26, 2124_23, 2125_22	 	2601_30
Solobacterium moorei F0204 (706433.3)	 	 	 	 	 	 	 	 	 	 	 	 	940_22, 941_23, 942_26, 943_25, 944_24	 	 
Clostridium ramosum DSM 1402 (445974.6)	1528_1	 	 	3034_7, 3040_6	3035	2092, 3039	3033	3036_15, 3037_16	3038	1927_18	 	 	 	 	 
Clostridium spiroforme DSM 1552 (428126.7)	713_1	 	 	2294_7, 2300_6	2295	2299	2293	2296_15, 2297_16	2298	1230_18	 	 	1534_22, 1535_23, 1536_26, 1537_25, 1538_24	1348_27	 
Eubacterium biforme DSM 3989 (518637.5)	 	 	 	 	 	 	 	 	 	163_18	 	 	747_24, 748_25, 749_26, 750_23, 751_22	1566_27, 1637_27, 1753_27	 
Eubacterium cylindroides T2-87 (717960.3)	1000_2	 	 	1005_7, 1006_7, 1007_6	1003	1002	1011	1009_16, 1010_15	1008	1202_18	 	 	216_24, 217_25, 218_26, 219_23, 220_22	 	 
Eubacterium dolichum DSM 3991 (428127.7)	1265_1	 	 	 	 	 	 	 	 	 	 	 	580_24, 581_25, 582_26, 583_23, 584_22	908_27	 
Clostridium innocuum 2959 (999413.4)	2838_1, 3263_1	 	 	3264_6, 3265_7, 714_7, 715_6	3266	3267	4475	4476_15, 4477_16	4478	3125_18	 	 	1722_22, 1723_23, 1724_26, 1725_25, 1726_24	1807_27	 
Acidaminococcus intestini RyC-MR95 (568816.4)	521_1, 694_1	 	 	101_7, 102_6	103	107, 1519, 2187	2334	1048_15, 2335_15, 2336_16	1158, 2337	218_18	 	 	124_22, 125_22, 126_22, 127_23, 128_26, 129_25, 130_24	2298_27	 
Phascolarctobacterium sp. YIT 12067 (626939.3)	1387_1, 1604_1	 	 	457_7, 458_6, 916_6	422	1648	347	875_15, 876_16	877	 	 	260	1058_22, 1059_22, 1060_23, 1061_26, 1062_25, 1063_24	86_27	 
Dialister succinatiphilus YIT 11850 (742743.3)	 	 	 	 	 	 	 	1371_15, 1372_16	1373	 	 	 	24_23, 25_26, 26_25, 27_24	1010_27, 1020_27	 
Megamonas funiformis YIT 11815 (742816.3)	2351_1	 	 	100_7, 101_6	102	1916	1917	1919_15, 1920_16	1921	1232_18	 	 	2172_22, 2173_23, 2174_26, 2175_25, 2176_24	1531_27, 2163_27	 
Megamonas hypermegale ART12/1 (657316.3)	2780_1	 	 	2253_7, 2254_6	2255	82	83	84_15, 85_16	86	1624_18	 	 	612_24, 613_25, 615_26, 616_23, 617_23, 618_22, 619_22	2009_27, 630_27	 
Megasphaera elsdenii (907.4)	1621_2	 	 	1023_7, 1024_6, 1483_6, 674_7, 675_6	 	673	1862	1863_15, 1864_16	1865	1753_19, 1754_19, 949_18	 	 	 	 	 
Veillonella parvula ACS-068-V-Sch12 (768727.3)	86_2	 	 	1776_6, 1777_7, 84_7, 85_6	82	87	1025	1023_16, 1024_15	1022	236_18	 	 	164_22, 165_23, 166_26, 167_25, 168_24	1478_27	 
Veillonella ratti ACS-216-V-Col6b (883156.3)	383_1, 678_1	 	 	447_6, 448_7	449	446	392	393_15, 394_16, 798_15, 799_16	395	 	 	 	 	444_27, 64_27	 
Fusobacterium gonidiaformans ATCC 25563 (469615.3)	541_1	 	 	 	 	 	 	 	 	 	 	 	1531_22, 1532_23, 1533_26, 1534_25, 1535_24	1549_27, 1551_27	 
Fusobacterium mortiferum ATCC 9817 (469616.3)	914_1	 	 	1437_6, 1438_7	1439	1436, 709	1446	1443_16	 	1451_18	 	 	1776_24, 1777_25, 1778_26, 1779_23, 1780_22	2109_27, 472_27	 
Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (525283.3)	1189_1	 	 	 	 	 	 	 	 	 	 	 	468_24, 469_25, 470_26, 471_23, 472_22	1456_27, 193_27	 
Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (190304.8)	1972_2	 	 	 	 	 	 	 	 	 	 	 	1988_24, 1989_25, 1990_26, 1991_23, 1992_22	645_27	 
Fusobacterium nucleatum subsp. polymorphum ATCC 10953 (393480.8)	1665_1, 2050_2	 	 	2051_6, 2052_7, 775_6	2059	2049	2053	2055_16	 	1554_18	 	 	1674_24, 1675_25, 1676_26, 1677_23, 1678_22	2083_27, 379_27	 
Fusobacterium periodonticum ATCC 33693 (546275.3)	1297_1, 1380_2	 	 	1381_6, 1382_7	1388	1379	1383	1385_16	 	383_18	 	 	978_24, 979_25, 980_26, 981_23, 982_22	1447_27, 2313_27	 
Fusobacterium sp. 3_1_33 (469603.3)	1623_2, 1624_1	 	 	 	 	 	 	 	 	 	 	 	1598_24, 1599_25, 1600_26, 1601_23, 1602_22	1442_27, 717_27, 718_27	 
Fusobacterium sp. 7_1 (457405.3)	1141_2	 	 	 	 	 	 	 	 	 	 	 	1060_24, 1061_25, 1062_26, 1063_23, 1064_22	2330_27, 724_27	 
Fusobacterium sp. D11 (556264.3)	476_2	 	 	 	 	 	 	 	 	 	 	 	241_22, 242_23, 243_26, 244_25, 245_24	1236_27, 216_27	 
Fusobacterium ulcerans ATCC 49185 (469617.3)	1534_2, 1991_1	 	 	 	 	2656	 	 	 	2366_18	 	 	2161_24, 2162_25, 2163_26, 2164_23, 2165_22	3071_27, 596_27, 597_27	 
Fusobacterium varium ATCC 27725 (469618.3)	1412_2, 895_2	 	 	 	 	 	 	 	 	1754_18	 	 	2595_22, 2596_23, 2597_26, 2598_25, 2599_24	 	1005_29, 1006_30, 2732_30
Leptotrichia buccalis C-1013-b (523794.5)	1777_2	 	 	1775_7, 1776_6	 	1780	1772	1751_16, 1752_15	1731, 1741	 	 	 	2237_22, 2238_22, 2239_23, 2240_26, 2241_25, 2242_24	 	 
Fusobacterium gonidiaformans 3-1-5R (469605.7)	1041_1	 	 	 	 	 	 	 	 	 	 	 	1739_24, 1740_25, 1741_26, 1742_23, 1743_22	1723_27, 1725_27	 
Fusobacterium necrophorum subsp. funduliforme ATCC 51357 (1095747.3)	907_1	 	 	 	 	 	 	 	 	 	 	 	762_24, 763_25, 764_26, 765_23, 766_22	1579_27, 1581_27, 749_27	 
Fusobacterium necrophorum subsp. funduliforme Fnf 1007 (1161424.3)	1318_1	 	 	 	 	 	 	 	 	 	 	 	1605_24, 1606_25, 1607_26, 1608_23, 1609_22	125_27, 127_27, 1569_27	 
Fusobacterium nucleatum subsp. animalis 11_3_2 (457403.8)	1818_1, 1819_1	 	 	 	 	1518	 	 	 	 	 	 	1784_24, 1785_25, 1786_26, 1787_23, 1788_22	224_27, 228_27, 2408_27	 
Fusobacterium nucleatum subsp. animalis 21_1A (469601.8)	455_2	 	 	 	 	 	 	 	 	 	 	 	475_22, 476_23, 477_26, 478_25, 479_24	1910_27, 766_27, 772_27	 
Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	1644_2	 	 	 	 	 	 	 	 	 	 	 	1616_24, 1617_25, 1618_26, 1619_23, 1620_22	1368_27, 1372_27, 46_27	 
Fusobacterium nucleatum subsp. animalis 7_1 (457405.10)	1652_2	 	 	 	 	 	 	 	 	 	 	 	1572_24, 1573_25, 1574_26, 1575_23, 1576_22	1249_27, 1255_27, 2222_27	 
Fusobacterium nucleatum subsp. animalis OT 420 (999414.3)	2069_1	 	 	 	 	 	 	 	 	 	 	 	2092_22, 2093_23, 2094_26, 2095_25, 2096_24	132_27, 133_27, 1527_27	 
Fusobacterium nucleatum subsp. polymorphum F0401 (693991.3)	1844_2, 1988_1, 1989_1	 	 	1845_6, 1846_7	1852	1843	1847	1849_16	 	467_18	 	 	1998_24, 1999_25, 2000_26, 2001_23, 2002_22	1816_27, 43_27	 
Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	1424_1	 	 	 	 	1358	 	 	 	 	 	 	1062_24, 1063_25, 1064_26, 1065_23, 1066_22	1924_27, 525_27	 
Fusobacterium nucleatum subsp. vincentii 4_1_13 (469606.8)	1562_1	 	 	 	 	 	 	 	 	 	 	 	1108_24, 1109_25, 1110_26, 1111_23, 1112_22	1942_27, 565_27	 
Fusobacterium periodonticum 1_1_41FAA (469621.8)	1214_1, 1215_1, 158_2	 	 	159_6, 160_7	166	157	161	163_16	 	1416_18	 	 	1924_24, 1925_25, 1926_26, 1927_23, 1928_22	225_27, 775_27	 
Fusobacterium periodonticum 2_1_31 (469599.8)	2260_2, 69_1, 70_1	 	 	2258_7, 2259_6	2249	2261	2254, 2256	2252_16	 	1691_18	 	 	1277_22, 1278_23, 1279_26, 1280_25, 1281_24	2195_27, 531_27	 
Fusobacterium russii ATCC 25533 (1278306.3)	50_1	 	 	 	 	 	 	 	 	758_18	 	 	56_22, 57_23, 58_26, 59_25, 60_24	272_27	 
Fusobacterium ulcerans 12-1B (457404.5)	1554_1, 1762_1, 2232_1, 2546_1, 3241_1	 	 	 	 	 	 	 	 	18_18	 	 	1374_22, 1375_23, 1376_26, 1377_25, 1378_24	100_27, 101_27, 2578_27, 3006_27	 
Schlesneria paludicola DSM 18645 (1123242.3)	1237_2, 15_2, 1621_3	7765	 	2670_7, 3121_6	2671	3604, 4102, 4342	6238	23_16, 5375_15	4712	3381_18, 7759_18	 	3429	 	 	 
Brevundimonas diminuta 470-4 (1035191.3)	1088_1, 1897_3, 2020_2	 	 	21_6	22	23	19	16_16, 17_15, 233_15, 234_16	15, 2451	18_18, 871_18	879	1309	 	 	 
Bartonella quintana RM-11 (1225179.3)	1016_3	 	 	1032_6, 1033_6, 1034_6	1029	111, 112	 	 	 	937_18	 	 	769_22, 770_23, 771_26, 772_25, 773_24	 	 
Bartonella quintana str. Toulouse (283165.4)	 	 	 	931_6, 932_6	927	100	 	 	 	844_18	 	 	699_22, 700_23, 701_26, 702_25, 703_24	 	 
Afipia birgiae 34632 (1197906.5)	3045_2	2669	 	3294_7, 3295_6	3291	1863, 2377, 2880	3283	4059_15, 4066_16	4074	517_18	 	2167, 5043	1005_23, 1006_26, 1007_25, 1008_24, 1200_22, 1205_23, 2095_24, 2096_25, 2097_26, 2099_23, 2100_22, 2364_26, 2365_23, 2366_22, 2367_25, 2595_22, 2596_24, 2597_25, 2598_26, 2599_23, 2884_24, 2885_25, 2886_23, 2887_22, 2895_22, 2898_24, 2899_23, 2900_26, 2941_23, 2942_22, 2989_22, 2990_23, 2991_26, 2992_25, 2993_24, 3000_23, 3161_22, 3162_23, 3163_26, 3164_25, 3171_23, 3172_26, 3173_22, 3174_24, 3206_22, 3208_24, 3209_25, 3211_26, 3212_23, 3230_24, 3231_25, 3232_26, 3233_23, 3475_24, 3476_25, 3477_26, 3478_23, 3479_22, 3654_26, 3655_23, 3656_22, 3657_24, 3658_25, 4682_23, 4683_26, 4684_25, 4685_24, 4686_22, 4802_22, 4803_22, 4804_22, 4805_26, 4806_23, 4807_24, 4808_25, 842_22, 843_25, 844_24, 845_23, 846_26, 852_22, 853_23, 854_26, 855_25, 856_24, 943_24, 944_23, 945_22, 964_23, 995_22, 996_23, 997_26, 998_25, 999_24	 	 
Bradyrhizobium elkanii USDA 76 (398525.3)	1285_1, 6967_2, 7459_1, 7845_3	4796	 	4251_6, 7458_7, 7460_6	7454	1830, 3969, 4390, 5373	7412	1711_16, 1719_15, 8324_16, 8325_15	1701, 3934, 8323	2863_18	 	3711, 5247	2306_22, 2308_23, 2309_26, 2310_25, 2311_24, 2660_24, 2661_25, 2662_26, 2663_23, 2664_22, 3470_22, 3631_26, 3632_23, 3634_25, 3635_24, 3912_24, 3913_25, 3914_26, 3915_23, 3916_22, 4054_22, 4055_23, 4056_25, 4057_24, 4112_22, 4113_23, 4114_25, 4115_24, 4244_22, 4245_23, 4246_25, 4247_24, 4248_22, 4508_22, 4509_25, 4510_24, 4511_23, 4512_26, 4610_22, 4611_26, 4612_23, 4613_24, 4614_25, 4938_24, 4939_22, 4940_26, 4941_23, 4942_25, 5030_25, 5031_24, 5032_22, 5033_23, 5034_26, 564_26, 565_23, 6676_23, 6677_26, 6678_25, 6679_24, 7022_25, 7023_24, 7024_26, 7025_23, 7026_22, 7034_25, 7036_23, 7037_26, 7038_22, 7039_24, 7179_24, 7180_25, 7181_26, 7182_23, 7183_22, 7226_24, 7227_25, 7229_26, 7230_23, 7231_22, 7414_26, 7415_23, 7416_24, 7417_25, 7418_22, 7490_24, 7491_25, 7493_22, 8119_24, 8120_22, 8121_26, 8122_23, 8123_25, 835_25, 8358_22, 836_24, 8360_23, 8361_24, 8362_26, 8363_25, 837_23, 838_26, 839_22, 8392_22, 840_22, 842_22, 843_22, 8438_24, 8439_23, 8440_22, 845_22, 8485_24, 8486_25, 8487_26, 8488_23, 8489_22, 8507_24, 8508_25, 8509_26, 8510_23, 8511_22, 852_23, 853_25, 854_24, 940_22, 942_24, 943_25, 944_26, 945_23, 946_26	 	 
Bradyrhizobium japonicum USDA 110 (224911.5)	4803_2, 6024_2	3784	 	6648_7, 6651_6	6472	2807, 381, 4836, 6218	6575	422_16, 423_15, 499_15, 506_16	2720, 2764, 421, 515, 6456	223_18, 6418_18, 7678_18	 	2584, 4324	1084_24, 1085_25, 1086_26, 1087_23, 1088_22, 2904_22, 2905_23, 2906_25, 2907_25, 2908_24, 3180_22, 3181_23, 3355_22, 3356_23, 3357_26, 3358_25, 3359_24, 3387_23, 3603_22, 3604_23, 3605_26, 3606_25, 3607_24, 3651_22, 4047_25, 4048_22, 4049_23, 4050_26, 4067_22, 5781_23, 5782_26, 5783_25, 5784_24, 5785_22, 6072_24, 6073_25, 6075_23, 6076_22, 6084_25, 6086_23, 6087_26, 6088_22, 6371_24, 6372_25, 6373_26, 6374_23, 6375_22, 6506_24, 6507_25, 6508_26, 6509_23, 6510_22, 6543_26, 6544_23, 6583_23, 6584_25, 6586_22, 6587_22, 6623_23, 6624_25, 6626_22, 7067_24, 7069_23, 7070_22, 8048_25, 8049_24, 8050_23, 8051_26, 8053_22, 8159_24, 8160_25, 8161_26, 8162_23, 900_23, 901_24, 902_25	 	 
Bradyrhizobium japonicum USDA 124 (1038862.3)	1435_1, 2725_1, 4965_2, 92_1	2221	 	3617_6, 91_7, 93_6	87	1258, 1467, 3927, 5164, 7270	18	2409_15, 2410_16, 5982_15, 5991_16	3981, 6903, 7520	4064_18, 5589_18	 	4366, 7963	1197_25, 1198_24, 1199_23, 1200_22, 1878_26, 1879_23, 1880_24, 1881_25, 1882_22, 2066_22, 2069_25, 2070_25, 2071_26, 2072_23, 2073_22, 2080_23, 2081_26, 2082_24, 2083_24, 2356_22, 2357_23, 2358_26, 2359_25, 2360_24, 25_23, 28_22, 30_22, 3331_25, 3332_26, 3333_23, 3334_22, 3509_24, 3510_25, 3511_26, 3512_23, 3513_22, 3822_26, 3823_25, 3824_24, 3825_23, 3826_22, 5088_24, 5089_25, 5090_26, 5091_23, 5092_22, 5105_24, 5106_25, 5107_26, 5108_23, 5109_22, 5298_24, 5300_22, 5301_26, 5302_23, 5304_25, 531_24, 5310_22, 5311_23, 5312_26, 5313_24, 532_25, 533_23_26, 533_23_26, 534_22, 5435_22, 5437_24, 5438_25, 5439_26, 5440_23, 5441_25, 7196_23, 7197_26, 7198_25, 7199_24, 72_23, 7200_22, 73_24, 74_25, 7429_26, 7430_23, 7431_22, 7432_24, 7433_25, 75_22, 7793_22, 7794_22, 7795_26, 7796_23, 7797_25, 7798_24	 	 
