Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Escherichia coli O104:H4 str. 11-03943 (1240777.3)	1094_1	3965_6	5115_9	3475_10, 5403_10_13, 5404_10_23	 	5403_10_13	5404_10_23	2152_16, 2528_21, 3986_21, 4813_20	5404_10_23	2702_26, 4660_26	3572_27	4660_26	 
Escherichia coli O104:H4 str. 11-04080 (1240776.3)	1093_1	3979_6	5128_9	3098_10, 5418_10_13, 5419_10_23	 	5418_10_13	5419_10_23	2156_16, 2536_21, 4000_21, 4827_20	5419_10_23	2709_26, 4672_26	3194_27	4672_26	 
Escherichia coli O104:H4 str. 11-3677 (1048334.3)	4291_1	1300_6	3122_9	3410_10_13, 3411_10_23, 815_10	 	3410_10_13	3411_10_23	1321_21, 2025_21, 266_21, 2822_20, 5078_16	3411_10_23	2669_26, 437_26	910_27	2669_26	 
Escherichia coli O104:H4 str. 11-4404 (1068614.3)	2103_1	4279_6	935_9	1221_10_13, 1222_10_23, 3796_10	 	1221_10_13	1222_10_23	2890_16, 3244_21, 4300_21, 5002_21, 638_20	1222_10_23	3415_26, 485_26	3891_27	485_26	 
Escherichia coli O104:H4 str. 11-4522 (1068615.3)	2123_1	4282_6	959_9	1244_10_13, 1245_10_23, 3802_10	 	1244_10_13	1245_10_23	2898_16, 3252_21, 4304_21, 5008_21, 662_20	1245_10_23	3423_26, 510_26	3897_27	510_26	 
Escherichia coli O104:H4 str. 11-4623 (1068616.3)	2858_1	5036_6	1686_9	1973_10_13, 1974_10_23, 4556_10	 	1973_10_13	1974_10_23	1390_20, 3641_16, 4004_21, 5058_21, 586_21	1974_10_23	1238_26, 4176_26	4650_27	1238_26	 
Escherichia coli O104:H4 str. 11-4632 C1 (1068617.3)	484_1	2658_6	4473_9	2176_10, 4759_10_13, 4760_10_23	 	4759_10_13	4760_10_23	1274_16, 1624_21, 2679_21, 3386_21, 4176_20	4760_10_23	1796_26, 4026_26	2271_27	4026_26	 
Escherichia coli O104:H4 str. 11-4632 C2 (1068618.3)	480_1	2660_6	4476_9	2178_10, 4761_10_13, 4762_10_23	 	4761_10_13	4762_10_23	1266_16, 1624_21, 2682_21, 3385_21, 4178_20	4762_10_23	1796_26, 4032_26	2273_27	4032_26	 
Escherichia coli O104:H4 str. 11-4632 C3 (1068619.3)	2103_1	4280_6	924_9	1212_10_13, 1213_10_23, 3797_10	 	1212_10_13	1213_10_23	2890_16, 3245_21, 4302_21, 5003_21, 627_20	1213_10_23	3417_26, 476_26	3892_27	476_26	 
Escherichia coli O104:H4 str. 11-4632 C4 (1068620.3)	3764_1	762_6	2584_9	281_10, 2871_10_13, 2872_10_23	 	2871_10_13	2872_10_23	1492_21, 2284_20, 4548_16, 4909_21, 784_21	2872_10_23	2132_26, 5081_26	377_27	2132_26	 
Escherichia coli O104:H4 str. 11-4632 C5 (1068621.3)	483_1	2670_6	4500_9	2188_10, 4784_10_13, 4785_10_23	 	4784_10_13	4785_10_23	1276_16, 1638_21, 2692_21, 3399_21, 4203_20	4785_10_23	1810_26, 4049_26	2283_27	4049_26	 
Escherichia coli O104:H4 str. 2009EL-2050 (1134782.3)	453_1	3489_6	1629_9	1359_10_23, 1360_10_13, 3982_10	 	1360_10_13	1359_10_23	1934_20, 2748_21, 3468_21, 4524_21, 4910_16	1359_10_23	2088_26, 4352_26	3886_27	2088_26	 
Escherichia coli O104:H4 str. 2009EL-2071 (1133853.3)	440_1	3565_6	1631_9	1341_10_23, 1342_10_13, 4058_10	 	1342_10_13	1341_10_23	1935_20, 2748_21, 3543_21, 4597_21, 4984_16	1341_10_23	2087_26, 4425_26	3963_27	2087_26	 
Escherichia coli O104:H4 str. 2011C-3493 (1133852.3)	442_1	3504_6	1644_9	1355_10_23, 1356_10_13, 3997_10	 	1356_10_13	1355_10_23	1945_20, 2759_21, 3483_21, 4556_21, 4934_16	1355_10_23	2099_26, 4383_26	3902_27	2099_26	 
Escherichia coli O104:H4 str. C227-11 (1048254.3)	2423_1	4600_6	1256_9	1542_10_13, 1543_10_23, 4117_10	 	1542_10_13	1543_10_23	174_21, 3205_16, 3562_21, 4622_21, 959_20	1543_10_23	3735_26, 806_26	4213_27	806_26	 
Escherichia coli O104:H4 str. C236-11 (1048256.3)	4302_1	1299_6	3136_9	3420_10_13, 3421_10_23, 817_10	 	3420_10_13	3421_10_23	1321_21, 2040_21, 268_21, 2840_20, 5085_16	3421_10_23	2688_26, 440_26	911_27	2688_26	 
Escherichia coli O104:H4 str. Ec11-4984 (1240761.3)	2440_1	4658_6	1258_9	1546_10_13, 1547_10_23, 4167_10	 	1546_10_13	1547_10_23	3246_16, 3607_21, 4679_21, 956_20	1547_10_23	3780_26, 805_26	4262_27	805_26	 
Escherichia coli O104:H4 str. Ec11-4986 (1240762.3)	3295_1	266_6	2114_9	2399_10_13, 2400_10_23, 5026_10	 	2399_10_13	2400_10_23	1812_20, 287_21, 4102_16, 4465_21	2400_10_23	1660_26, 4638_26	5122_27	1660_26	 
Escherichia coli O104:H4 str. Ec11-4987 (1240763.3)	2132_1	4346_6	946_9	1232_10_13, 1233_10_23, 3858_10	 	1232_10_13	1233_10_23	2934_16, 3299_21, 4367_21, 644_20	1233_10_23	3472_26, 493_26	3953_27	493_26	 
Escherichia coli O104:H4 str. Ec11-4988 (1240764.3)	3743_1	736_6	2557_9	249_10, 2846_10_13, 2847_10_23	 	2846_10_13	2847_10_23	2257_20, 4558_16, 4922_21, 758_21	2847_10_23	2104_26, 5096_26	346_27	2104_26	 
Escherichia coli O104:H4 str. Ec11-5536 (1068623.3)	4271_1	1300_6	3101_9	3387_10_13, 3388_10_23, 817_10	 	3387_10_13	3388_10_23	1321_21, 2019_21, 268_21, 2802_20, 5056_16	3388_10_23	2652_26, 441_26	912_27	2652_26	 
Escherichia coli O104:H4 str. Ec11-5537 (1068624.3)	4272_1	1299_6	3105_9	3390_10_13, 3391_10_23, 816_10	 	3390_10_13	3391_10_23	1321_21, 2016_21, 265_21, 2808_20, 5059_16	3391_10_23	2660_26, 436_26	912_27	2660_26	 
Escherichia coli O104:H4 str. Ec11-5538 (1068622.3)	2433_1	4606_6	1264_9	1549_10_13, 1550_10_23, 4125_10	 	1549_10_13	1550_10_23	168_21, 3218_16, 3574_21, 4628_21, 966_20	1550_10_23	3746_26, 815_26	4220_27	815_26	 
Escherichia coli O104:H4 str. Ec11-5603 (1240765.3)	4354_1	1311_6	3164_9	3452_10_13, 3453_10_23, 823_10	 	3452_10_13	3453_10_23	1332_21, 266_21, 2863_20, 5165_16	3453_10_23	2714_26, 439_26	919_27	2714_26	 
Escherichia coli O104:H4 str. Ec11-5604 (1240766.3)	2461_1	4660_6	1264_9	1549_10_13, 1550_10_23, 4171_10	 	1549_10_13	1550_10_23	3271_16, 3613_21, 4681_21, 961_20	1550_10_23	3786_26, 809_26	4266_27	809_26	 
Escherichia coli O104:H4 str. Ec11-6006 (1240767.3)	1744_1	3953_6	555_9	3464_10, 842_10_13, 843_10_23	 	842_10_13	843_10_23	253_20, 2542_16, 2902_21, 3974_21	843_10_23	102_26, 3078_26	3560_27	102_26	 
Escherichia coli O104:H4 str. Ec11-9450 (1240758.3)	2440_1	4642_6	1277_9	1546_10_13, 1547_10_23, 4154_10	 	1546_10_13	1547_10_23	3249_16, 3614_21, 4664_21, 973_20	1547_10_23	3785_26, 823_26	4250_27	823_26	 
Escherichia coli O104:H4 str. Ec11-9941 (1240759.3)	1734_1	3978_6	546_9	3488_10, 835_10_13, 836_10_23	 	835_10_13	836_10_23	243_20, 2500_16, 2928_21, 3999_21	836_10_23	3102_26, 92_26	3582_27	92_26	 
Escherichia coli O104:H4 str. Ec11-9990 (1240760.3)	2738_1	4914_6	1553_9	1838_10_13, 1839_10_23, 4426_10	 	1838_10_13	1839_10_23	1251_20, 3509_16, 3866_21, 4935_21	1839_10_23	1097_26, 4039_26	4525_27	1097_26	 
Escherichia coli O104:H4 str. Ec12-0465 (1240778.3)	4294_1	1303_6	3148_9	3396_10_13, 3397_10_23, 814_10	 	3396_10_13	3397_10_23	1324_21, 278_21, 2844_20, 5103_16	3397_10_23	2687_26, 450_26	909_27	2687_26	 
Escherichia coli O104:H4 str. Ec12-0466 (1240779.3)	2528_1	4763_6	1336_9	1622_10_13, 1623_10_23, 4276_10	 	1622_10_13	1623_10_23	1033_20, 3344_16, 3713_21, 4784_21	1623_10_23	3890_26, 879_26	4372_27	879_26	 
Escherichia coli O104:H4 str. H112180280 (1042804.3)	3123_1	382_6	2197_9	2482_10_13, 2483_10_23, 3698_10	 	2482_10_13	2483_10_23	1104_21, 1902_20, 402_21, 4255_21, 5064_16	2483_10_23	1753_26, 4083_26	3601_27	1753_26	 
Escherichia coli O104:H4 str. H112180541 (1048765.4)	1253_1	4213_6	648_9	2566_10, 3049_10_13, 3050_10_23	 	3049_10_13	3050_10_23	1977_21, 3266_16, 3636_20, 3781_21, 4702_21	3050_10_23	2768_26, 4800_26	26_27	2768_26	 
Escherichia coli O104:H4 str. LB226692 (1040638.5)	3844_1	1028_6	2623_9	2914_10_13, 2915_10_23	 	2914_10_13	2915_10_23	1051_21, 1627_21, 2310_20, 4640_16, 5057_21	2915_10_23	115_26, 2134_26	615_27	2134_26	 
Escherichia coli O104:H4 str. ON2010 (1136217.3)	3785_1	960_6	2571_9	2878_10_13, 2879_10_23, 474_10	 	2878_10_13	2879_10_23	1581_21, 2238_20, 4521_16, 4887_21, 981_21	2879_10_23	113_26, 2044_26	568_27	2044_26	 
Escherichia coli O104:H4 str. ON2011 (1136218.3)	4210_1	2466_6	687_9	2945_10, 400_10_23, 401_10_13	 	401_10_13	400_10_23	1760_21, 2446_21, 3494_21, 4980_16, 988_20	400_10_23	1126_26, 3323_26	2853_27	1126_26	 
Escherichia coli O104:H4 str. TY-2482 (1038844.18)	2793_1	5007_6	1616_9	1902_10_13, 1903_10_23, 4518_10	 	1902_10_13	1903_10_23	1321_20, 3587_16, 3964_21, 3965_21, 5028_21, 512_21	1903_10_23	1169_26, 4137_26	4614_27	1169_26	 
Escherichia coli O10:K5(L):H4 str. ATCC 23506 (1246623.3)	3235_1	4508_6	1384	259_10, 4238_10_13, 4239_10_23	 	4238_10_13	4239_10_23	2025_21, 3774_20, 3832_21, 3926_16, 4528_21	4239_10_23	308_26, 3358_26	1033_27	308_26	 
Escherichia coli O111:H- str. 11128 (585396.4)	4341_1	1017_6	3171_9	3426_10_13, 3427_10_23, 508_10	 	3426_10_13	3427_10_23	1037_21, 1903_21, 2839_20, 5127_16, 5424_21	3427_10_23	113_26, 2585_26	626_27	2585_26	 
Escherichia coli O111:H11 str. CFSAN001630 (1232151.3)	5763_1	468_6	3450_9	3073_10_23, 3074_10_13, 5485_10	 	3074_10_13	3073_10_23	1378_16, 1818_21, 2132_21, 3322_20, 601_16_21, 601_16_21	3073_10_23	2459_26	1001_27	2828_28	 
Escherichia coli O111:H11 str. CVM9534 (1165946.3)	3705_1	220_6	2749_9	3430_10, 4666_10_13, 4667_10_23	 	4666_10_13	4667_10_23	1150_16, 143_21, 3559_20, 4097_16_21, 4097_16_21, 4789_21, 4790_21	4667_10_23	5305_26	5593_27	4325_28	 
Escherichia coli O111:H11 str. CVM9553 (1165947.3)	2807_1	1537_6	4595_9	3542_10, 4433_10_13, 4434_10_23	 	4433_10_13	4434_10_23	1159_21, 1758_16, 2696_16_21, 2696_16_21, 4622_20, 5003_21, 5004_21	4434_10_23	491_26	328_27	2067_28	 
Escherichia coli O111:H8 str. CFSAN001632 (1232154.3)	1699_1	1209_6	4971_9	4147_10_13, 4148_10_23, 424_10	 	4147_10_13	4148_10_23	1189_21, 3465_20, 4056_16, 641_21	4148_10_23	5352_26	1587_27	5106_28	 
Escherichia coli O111:H8 str. CVM9570 (1165945.3)	1755_1	2926_6	1327_9	2010_10, 700_10_13, 701_10_23	 	700_10_13	701_10_23	2431_21, 2783_16, 3197_20, 4875_21, 5048_21	701_10_23	310_26	4115_27	4927_28	 
Escherichia coli O111:H8 str. CVM9574 (1165943.3)	3434_1	1850_6	2649_9	332_10, 4442_10_23, 4443_10_13	 	4443_10_13	4442_10_23	1118_16, 1870_21, 3355_20, 4568_21, 4569_21, 4771_21	4442_10_23	4417_26	5425_27	4014_28	 
Escherichia coli O111:H8 str. CVM9602 (1165942.3)	3236_1	1540_6	3810_9	1167_10, 4034_10_13, 4035_10_23	 	4034_10_13	4035_10_23	1520_21, 1961_16, 2241_20, 3968_21, 4085_21	4035_10_23	178_26, 4275_26	801_27	4275_26	 
Escherichia coli O111:H8 str. CVM9634 (1165944.3)	3778_1	5222_6	3419_9	513_10, 5351_10_23, 5352_10_13	 	5352_10_13	5351_10_23	2404_16, 3233_20, 4735_21, 4736_21, 5046_21, 5242_21	5351_10_23	98_26	5053_27	2679_28	 
Escherichia coli O113:H21 str. CL-3 (1078029.12)	53_1	963_6	2599_9	1888_10_23, 1889_10_13	 	1889_10_13	1888_10_23	3916_20, 4238_21, 4670_21, 674_16, 983_21	1888_10_23	2553_26, 4030_26	3706_27	 	 
Escherichia coli O121:H19 str. MT#2 (1078031.3)	359_1	2013_6	883_9	268_10, 4603_10_23, 4604_10_13	 	4604_10_13	4603_10_23	1993_21, 2041_16, 3574_20, 4035_21, 4167_21	4603_10_23	1358_26, 1538_26	4396_27	1538_26	 
Escherichia coli O127:H27 str. C43/90 (1090929.3)	3521_1	949_6	2404	2685_10_13, 2686_10_23, 498_10	 	2685_10_13	2686_10_23	2053_20, 4199_16, 5076_21, 969_21	2686_10_23	112_26, 1895_26	613_27	1895_26	 
Escherichia coli O127:H6 str. E2348/69 (574521.7)	345_3, 3713_1	928	2535_9	2918_10_13, 2919_10_23	 	2918_10_13	2919_10_23	2209_20, 2977_21, 4468_16, 4750_21, 948_16_21, 948_16_21	2919_10_23	119_26, 2083_26	512_27	 	 
Escherichia coli O145:H28 str. 4865/96 (1078035.3)	275_1	1153	1899_9	2790_10_23, 2791_10_13, 3511_10	 	2791_10_13	2790_10_23	1175_21, 130_21, 2119_20, 2378_21, 2625_21, 2887_21, 883_16	2790_10_23	592_26	4877_27	1426_28	 
Escherichia coli O157:H- str. 493-89 (926027.3)	2100_1	4147_6	1018	1276_10_13, 1277_10_23	 	1276_10_13	1277_10_23	2934_16, 3211_21, 3212_21, 4168_16_21, 4168_16_21, 708_20	1277_10_23	538_26	3744_27	538_26	 
Escherichia coli O157:H- str. H 2687 (926028.3)	2183_1	4181_6	1102	1365_10_13, 1366_10_23	 	1365_10_13	1366_10_23	2998_16, 3279_21, 3280_21, 4202_16_21, 4202_16_21, 4822_21, 796_20	1366_10_23	626_26	3793_27	626_26	 
Escherichia coli O157:H7 EDL933 (155864.8)	4175_1	1123_6	3110_9	3374_10_13, 3375_10_23	 	3374_10_13	3375_10_23	1145_16_21, 1145_16_21, 2717_20, 3443_21, 4970_16	3375_10_23	2518_26	624_27	2518_26	 
Escherichia coli O157:H7 str. EC536 (702436.3)	3781_1	2765_6	4887	1959_10_23, 1960_10_13	 	1960_10_13	1959_10_23	1132_16, 2745_16_21, 2745_16_21, 3018_20	1959_10_23	4209_26	1268_27	4209_26	 
Escherichia coli O157:H7 str. EC1212 (941435.3)	3063_1	526_6	1006	3912_10_13, 3913_10_23	 	3912_10_13	3913_10_23	1493_20, 2250_16, 506_16_21, 506_16_21	3913_10_23	5095_26	230_27	5095_26	 
Escherichia coli O157:H7 str. 1125 (997825.3)	1559_1	5142_6	4597	1787_10_13, 1788_10_23	 	1787_10_13	1788_10_23	272_20, 3096_16, 5122_16_21, 5122_16_21	1788_10_23	2268_26	717_27	2268_26	 
Escherichia coli O157:H7 str. EC4009 (702430.3)	1662_1	443_6	5000	694_10_23, 695_10_13	 	695_10_13	694_10_23	17_20, 1740_16, 423_16_21, 423_16_21	694_10_23	1328_26	2879_27	1328_26	 
Escherichia coli O157:H7 str. EC4024 (444454.5)	3303_1	167	2146	2486_10_13, 2487_10_23	 	2486_10_13	2487_10_23	1687_20, 4111_16, 5512_21, 5513_21, 912_21, 944_21, 946_21	2487_10_23	1380_26	5099_27	1380_26	 
Escherichia coli O157:H7 str. EC4042 (444449.5)	2759_1	4422_6	1612	1952_10_13, 1953_10_23	 	1952_10_13	1953_10_23	1166_20, 3565_16, 4443_16_21, 4443_16_21	1953_10_23	879_26	5435_27	879_26	 
Escherichia coli O157:H7 str. EC4045 (444448.5)	1510_1	3698_6	368	706_10_13, 707_10_23	 	706_10_13	707_10_23	2322_16, 3719_16_21, 3719_16_21, 5439_20	707_10_23	5167_26	3309_27	5167_26	 
Escherichia coli O157:H7 str. EC4084 (702432.3)	2258_1	4293_6	1754	3970_10_23, 3971_10_13	 	3971_10_13	3970_10_23	1278_20, 3744_16, 4273_21	3970_10_23	3919_26	4800_27	3919_26	 
Escherichia coli O157:H7 str. EC4115 (444450.8)	4592_1	1155_6	3458	3795_10_13, 3796_10_23	 	3795_10_13	3796_10_23	1176_16_21, 1176_16_21, 2959_20, 5401_16	3796_10_23	2678_26	769_27	2678_26	 
Escherichia coli O157:H7 str. EC4191 (702434.4)	4973_1	1851_6	4862	343_10_23, 344_10_13	 	344_10_13	343_10_23	1831_16_21, 1831_16_21, 3044_16, 3484_20	343_10_23	3394_26	1236_27	3394_26	 
Escherichia coli O157:H7 str. FRIK2000 (637388.3)	1756_1	4486_6	253	4559_10_13, 4560_10_23	 	4559_10_13	4560_10_23	2253_20, 2287_16, 4506_16_21, 4506_16_21	4560_10_23	4671_26	1106_27	4671_26	 
Escherichia coli O157:H7 str. FRIK966 (570506.3)	264_1	2020_6	5080	1534_10_13, 1535_10_23	 	1534_10_13	1535_10_23	1436_16, 2000_16_21, 2000_16_21, 3413_20	1535_10_23	4131_26	3643_27	4131_26	 
Escherichia coli O157:H7 str. G5101 (926026.3)	2128_1	4062_6	978	1236_10_13, 1237_10_23	 	1236_10_13	1237_10_23	2904_16, 4082_16_21, 4082_16_21, 675_20	1237_10_23	500_26	3696_27	500_26	 
Escherichia coli O157:H7 str. H093800014 (1240385.3)	349_1	1818_6	1427	4704_10_13, 4705_10_23	 	4704_10_13	4705_10_23	1838_16_21, 1838_16_21, 2890_20, 621_16	4705_10_23	2441_26	2753_27	2441_26	 
Escherichia coli O157:H7 str. LSU-61 (926032.3)	2171_1	4150_6	1061	1314_10_13, 1315_10_23	 	1314_10_13	1315_10_23	2947_16, 3229_21, 4170_16_21, 4170_16_21, 757_20	1315_10_23	590_26	3764_27	590_26	 
Escherichia coli O157:H7 str. Sakai (386585.9)	4418_1	1110_6	3354	3616_10_13, 3617_10_23	 	3616_10_13	3617_10_23	1131_16_21, 1131_16_21, 2957_20, 5259_16	3617_10_23	2744_26	722_27	2744_26	 
Escherichia coli O157:H7 str. TW14359 (544404.4)	4402_1	1021_6	3261	3598_10_13, 3599_10_23	 	3598_10_13	3599_10_23	1042_16_21, 1042_16_21, 2821_20, 5213_16	3599_10_23	2541_26	634_27	2541_26	 
Escherichia coli O157:H7 str. TW14588 (502346.5)	2424_1	179_6	4159	3816_10_23, 3817_10_13	 	3817_10_13	3816_10_23	159_16_21, 159_16_21, 1610_16, 3743_21, 4561_20	3816_10_23	4766_26	587_27	4766_26	 
Escherichia coli 7.1982 (1051348.3)	4291_1	1375_6	3307	3535_10_13, 3536_10_23	 	3535_10_13	3536_10_23	1395_21, 2972_20, 5053_16	3536_10_23	2764_26	1001_27	2764_26	 
Escherichia coli 95.0083 (1051346.3)	4017_1	1046_6	2950	3214_10_13, 3215_10_23	 	3214_10_13	3215_10_23	1066_21, 2541_20, 4780_16	3215_10_23	2337_26	640_27	2337_26	 
Escherichia coli ATCC 700728 (1051353.3)	3893_1	1218_6	2847	3106_10_13, 3107_10_23	 	3106_10_13	3107_10_23	1238_21, 2461_20, 4752_16	3107_10_23	2327_26	707_27	2327_26	 
Escherichia coli O157 str. NCCP15738 (1317131.3)	2177_1	1365_6	638	1498_10, 4381_10_13, 4382_10_23	 	4381_10_13	4382_10_23	12_20, 1385_21, 3168_16, 3236_21	4382_10_23	1199_26, 2722_26	4601_27	 	 
Escherichia coli O157 str. NCCP15739 (1317130.3)	957_1	1314_6	2319	4751_10_13, 4752_10_23	 	4751_10_13	4752_10_23	1294_21, 3258_16, 4696_20	4752_10_23	1922_26	2688_27	1922_26	 
Escherichia coli PA11 (1051349.3)	4146_1	1148_6	2960	3254_10_13, 3255_10_23	 	3254_10_13	3255_10_23	1168_21, 2634_20, 4846_16	3255_10_23	2413_26	770_27	2413_26	 
Escherichia coli PA13 (1051350.3)	3880_1, 472_3	2607_6	2843	3156_10_13, 3157_10_23	 	3156_10_13	3157_10_23	2387_20, 2587_21, 4701_16	3157_10_23	2203_26	658_27	2203_26	 
Escherichia coli PA19 (1051351.3)	4026_1	1090_6	2921	3233_10_13, 3234_10_23	 	3233_10_13	3234_10_23	1110_21, 2530_20, 4894_16	3234_10_23	2363_26	710_27	2363_26	 
Escherichia coli PA35 (1051352.3)	4391_1	1460_6	3309	3634_10_13, 3635_10_23	 	3634_10_13	3635_10_23	1480_21, 2932_20, 5231_16	3635_10_23	2794_26	1074_27	2794_26	 
Escherichia coli O25b:H4-ST131 str. EC958 (941322.6)	3834_1	1073_6	2695_9	2935_10_13, 2936_10_23, 604_10	 	2935_10_13	2936_10_23	1147_16_21, 1147_16_21, 1720_21, 2389_20, 4573_16, 72_21	2936_10_23	 	688_27	2144_28	 
Escherichia coli O26:H11 str. 11368 (573235.3)	4585_1	1058_6	3388_9	3712_10_13, 3713_10_23, 500_10	 	3712_10_13	3713_10_23	1080_16_21, 1080_16_21, 2071_21, 2072_21, 2995_20, 5334_16, 5730_21	3713_10_23	116_26, 2800_26	655_27	2800_26	 
Escherichia coli O26:H11 str. CFSAN001629 (1232150.3)	1751_1	2476_6	4405_9	1066_10, 3074_10_23, 3075_10_13	 	3075_10_13	3074_10_23	1217_21, 2014_21, 3183_16, 3907_16_21, 3907_16_21, 4102_20	3074_10_23	308_26, 4763_26	2809_27	4763_26	 
Escherichia coli O26:H11 str. CVM10021 (1165950.3)	3253_1	4727_6	3798_9	1010_10, 3960_10_23, 3961_10_13	 	3961_10_13	3960_10_23	141_16, 2263_20, 3016_16_21, 3016_16_21, 3644_21, 4883_21, 4884_21	3960_10_23	1657_26, 814_26	5225_27	1657_26	 
Escherichia coli O26:H11 str. CVM10026 (1165951.3)	1721_1	3572_6	3443_9	1144_10, 5015_10_13, 5016_10_23	 	5015_10_13	5016_10_23	177_21, 1969_20, 3089_16_21, 3089_16_21, 4028_16, 5314_21, 771_21	5016_10_23	308_26, 5585_26	3661_27	308_26	 
Escherichia coli O26:H11 str. CVM10030 (1165952.3)	2766_1	5172_6	3290_9	1206_10, 5541_10_13, 5542_10_23	 	5541_10_13	5542_10_23	1884_21, 3089_20, 3423_16, 4527_21, 4528_21, 4591_16_21, 4591_16_21	5542_10_23	4775_26, 988_26	847_27	4775_26	 
Escherichia coli O26:H11 str. CVM10224 (1165953.3)	1785_1	4767_6	2534_9	1130_10, 4026_10_23, 4027_10_13	 	4027_10_13	4026_10_23	1440_21, 1655_16, 3075_20, 3250_16_21, 3250_16_21, 4612_21, 4613_21	4026_10_23	3393_26, 985_26	1168_27	3393_26	 
Escherichia coli O26:H11 str. CVM9942 (1165949.3)	3368_1	978_6	3576_9	1737_10, 4590_10_23, 4591_10_13	 	4591_10_13	4590_10_23	2528_21, 3241_16_21, 3241_16_21, 3305_16, 5038_20, 5597_21, 5598_21	4590_10_23	2658_26, 5183_26	5649_27	2658_26	 
Escherichia coli O26:H11 str. CVM9952 (1163738.3)	1659_1	2519_6	1401_9	4514_10_23, 4515_10_13, 476_10	 	4515_10_13	4514_10_23	1229_16_21, 1229_16_21, 2092_20, 4967_21, 4968_21, 60_16, 787_21	4514_10_23	3347_26, 3818_26	4409_27	3818_26	 
Escherichia coli O32:H37 str. P4 (1167694.3)	2910_1	578_6	1222	3001_10, 4482_10_23, 4483_10_13	 	4483_10_13	4482_10_23	273_20, 3778_21, 3856_16, 4262_21, 4263_21, 558_21	4482_10_23	116_26, 2717_26	3914_27	116_26	 
Escherichia coli O45:H2 str. 03-EN-705 (1078033.4)	670_1	303_6	738_9	2727_10_23, 2728_10_13, 2898_10	 	2728_10_13	2727_10_23	1807_21, 282_21, 3963_21, 4477_16, 4922_20	2727_10_23	132_26, 1868_26	3523_27	1868_26	 
Escherichia coli O55:H7 str. 3256-97 (926029.3)	2305_1	4033_6	957	1210_10_13, 1211_10_23	 	1210_10_13	1211_10_23	3109_16, 3383_21, 4053_16_21, 4053_16_21, 628_20	1211_10_23	449_26	3634_27	449_26	 
Escherichia coli O55:H7 str. CB9615 (701177.3)	4099_1	1126_6	2899	3203_10_13, 3204_10_23, 570_10	 	3203_10_13	3204_10_23	1147_16_21, 1147_16_21, 2561_20, 3334_21, 4879_16, 5154_21	3204_10_23	2365_26	734_27	2365_26	 
Escherichia coli O55:H7 str. USDA 5905 (926030.3)	1133_3, 1962_1	3787_6	639	2363_10, 900_10_13, 901_10_23	 	900_10_13	901_10_23	2862_16, 302_20, 3143_21, 3807_16_21, 3807_16_21, 4456_21, 4457_21	901_10_23	4951_26	3385_27	4951_26	 
Escherichia coli O5:K4(L):H4 str. ATCC 23502 (1268238.3)	824_1	3820_6	3138	3626_10_13, 3627_10_23, 546_10	 	3626_10_13	3627_10_23	1599_20, 2858_16, 3840_21	3627_10_23	1974_26, 2243_26	2711_27	2243_26	 
Escherichia coli O7:K1 str. CE10 (1072459.4)	359_3, 3958_1	950	2758_9	3076_10_13, 3077_10_23, 442_10	 	3076_10_13	3077_10_23	1653_21, 2368_20, 3133_21, 4289_21, 4801_16, 971_21	3077_10_23	117_26	588_27	2226_28	 
Escherichia coli O83:H1 str. NRG 857C (685038.3)	3421_1	840_6	2394	2625_10_13, 2626_10_23, 436_10	 	2625_10_13	2626_10_23	1431_21, 2081_20, 2663_21, 4133_16, 860_21	2626_10_23	1927_26	518_27	 	 
Escherichia coli O91 (1055539.4)	1928_1, 2625_3	1493_6	219_9	2702_10, 4606_10_13, 4607_10_23	 	4606_10_13	4607_10_23	1473_21, 2099_16, 2803_21, 562_20	4607_10_23	1693_26, 4032_26	2454_27	4032_26	 
Escherichia coli O91:H21 str. B2F1 (1078030.10)	1222_1	2587_6	4344	1782_10_23, 1783_10_13, 570_10	 	1783_10_13	1782_10_23	2607_21, 3821_21, 4037_20, 916_21, 984_16	1782_10_23	2776_26, 3645_26	2347_27	2776_26	 
Escherichia coli OK1180 (670904.4)	2102_1	5594_6	3968_9	2696_10, 3625_10_23, 3626_10_13	 	3626_10_13	3625_10_23	2971_21, 4305_20, 4483_16, 4781_21, 5574_21	3625_10_23	4962_26, 669_26	1322_27	669_26	 
Escherichia coli ONT:H33 str. C48/93 (1090930.3)	3483_1	691_6	2426	2602_10_13, 2603_10_23, 467_10	 	2602_10_13	2603_10_23	2126_20, 4184_16, 711_21	2603_10_23	113_26, 1994_26	1402_27	1994_26	 
Escherichia coli P0298942.1 (1116141.3)	4000_1	1557_6	2794	3054_10_13, 3055_10_23, 657_10	 	3054_10_13	3055_10_23	1577_21, 2465_20, 4696_16, 5158_21	3055_10_23	274_26	1194_27	1155_28	 
Escherichia coli P0298942.10 (1116147.3)	4086_1	1396_6	2910	3169_10_13, 3170_10_23, 899_10	 	3169_10_13	3170_10_23	1416_21, 2568_20, 4813_16, 5147_21	3170_10_23	521_26	1013_27	2433_28	 
Escherichia coli P0298942.11 (1116148.3)	4066_1	1345_6	2887	3144_10_13, 3145_10_23, 811_10	 	3144_10_13	3145_10_23	1365_21, 2554_20, 4779_16, 5129_21	3145_10_23	 	929_27	2402_28	 
