Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Escherichia coli O104:H4 str. 01-09591 (1042803.5)	393	 	 	 	 	 	351_11	3451_12, 352_12	 	 	 	2376	 	 	345	326	344	 	 	 	2380_36	 	 	 	 	 	 	 	1591_48	 	 	573	 	 	1733_56	1732_57	 
Escherichia coli O104:H4 str. 04-8351 (1048265.3)	4384	 	 	 	 	 	4347_11	2561_12, 4348_12	 	 	 	1443	 	 	4341	4323	4340	 	 	 	1447_36	 	 	 	 	 	 	 	610_48	 	 	4568	 	 	814_56	813_57	 
Escherichia coli O104:H4 str. 09-7901 (1048266.3)	813	 	 	 	 	 	773_11	3980_12, 774_12	 	 	 	2856	 	 	767	749	766	 	 	 	2860_36	 	 	 	 	 	 	 	2101_48	 	 	994	 	 	2286_56	2285_57	 
Escherichia coli O104:H4 str. 11-02030 (1240768.3)	3685	 	 	 	 	 	3648_11	1515_12, 3649_12	 	 	 	433	 	 	3642	3623, 3624	 	 	 	 	437_36	 	 	 	 	 	 	 	4965_48	 	 	3869	 	 	5175_56	5174_57	 
Escherichia coli O104:H4 str. 11-02033-1 (1240769.3)	3721	 	 	 	 	 	3684_11	1247_12, 3685_12	 	 	 	5396	 	 	3678	3659, 3660	3677	 	 	 	5400_36	 	 	 	 	 	 	 	1580_48	 	 	3903	 	 	3096_56	3095_57	 
Escherichia coli O104:H4 str. 11-02092 (1240770.3)	2473	 	 	 	 	 	2436_11	2437_12, 4922_12	 	 	 	3839	 	 	2430	2411, 2412	2429	 	 	 	3843_36	 	 	 	 	 	 	 	544_48	 	 	2657	 	 	750_56	749_57	 
Escherichia coli O104:H4 str. 11-02093 (1240771.3)	2643	 	 	 	 	 	2606_11	2607_12, 454_12	 	 	 	4572	 	 	2600	2581, 2582	 	 	 	 	4576_36	 	 	 	 	 	 	 	3483_48	 	 	2825	 	 	3690_56	3689_57	 
Escherichia coli O104:H4 str. 11-02281 (1240772.3)	3744	 	 	 	 	 	3707_11	1111_12, 3708_12	 	 	 	5271	 	 	3701	3682, 3683	 	 	 	 	5275_36	 	 	 	 	 	 	 	2203_48	 	 	3928	 	 	2411_56	2410_57	 
Escherichia coli O104:H4 str. 11-02318 (1240773.3)	4499	 	 	 	 	 	4462_11	2536_12, 4463_12	 	 	 	1454	 	 	4456	4437, 4438	 	 	 	 	1458_36	 	 	 	 	 	 	 	546_48	 	 	4683	 	 	752_56	751_57	 
Escherichia coli O104:H4 str. 11-02913 (1240774.3)	2864	 	 	 	 	 	2826_11	2827_12, 879_12	 	 	 	4954	 	 	2820	2801, 2802	 	 	 	 	4958_36	 	 	 	 	 	 	 	3958_48	 	 	3048	 	 	4167_56	4166_57	 
Escherichia coli O104:H4 str. 11-03439 (1240775.3)	2421	 	 	 	 	 	2384_11	2385_12, 257_12	 	 	 	4605	 	 	2378	2359, 2360	 	 	 	 	4609_36	 	 	 	 	 	 	 	3136_48	 	 	2605	 	 	3344_56	3343_57	 
Escherichia coli O104:H4 str. 11-03943 (1240777.3)	3390	 	 	 	 	 	3353_11	3354_12, 795_12	 	 	 	4930	 	 	3347	3328, 3329	 	 	 	 	4934_36	 	 	 	 	 	 	 	2834_48	 	 	3574	 	 	3040_56	3039_57	 
Escherichia coli O104:H4 str. 11-04080 (1240776.3)	3013	 	 	 	 	 	2976_11	2977_12, 793_12	 	 	 	4943	 	 	2970	2951, 2952	 	 	 	 	4947_36	 	 	 	 	 	 	 	3398_48	 	 	3196	 	 	3605_56	3604_57	 
Escherichia coli O104:H4 str. 11-3677 (1048334.3)	733	 	 	 	 	 	696_11	3998_12, 697_12	 	 	 	2938	 	 	690	671, 672	689	 	 	 	2942_36	 	 	 	 	 	 	 	2049_48	 	 	912	 	 	2250_56	2249_57	 
Escherichia coli O104:H4 str. 11-4404 (1068614.3)	3712	 	 	 	 	 	3675_11	1808_12, 3676_12	 	 	 	753	 	 	3669	3650, 3651	3668	 	 	 	757_36	 	 	 	 	 	 	 	5027_48	 	 	3893	 	 	63_56	62_57	 
Escherichia coli O104:H4 str. 11-4522 (1068615.3)	3719	 	 	 	 	 	3682_11	1830_12, 3683_12	 	 	 	776	 	 	3676	3657, 3658	3675	 	 	 	780_36	 	 	 	 	 	 	 	5033_48	 	 	3899	 	 	84_56	83_57	 
Escherichia coli O104:H4 str. 11-4623 (1068616.3)	4472	 	 	 	 	 	4435_11	2565_12, 4436_12	 	 	 	1504	 	 	4429	4410, 4411	4428	 	 	 	1508_36	 	 	 	 	 	 	 	610_48	 	 	4652	 	 	814_56	813_57	 
Escherichia coli O104:H4 str. 11-4632 C1 (1068617.3)	2092	 	 	 	 	 	2055_11	190_12, 2056_12	 	 	 	4290	 	 	2049	2030, 2031	2048	 	 	 	4294_36	 	 	 	 	 	 	 	3410_48	 	 	2273	 	 	3604_56	3603_57	 
Escherichia coli O104:H4 str. 11-4632 C2 (1068618.3)	2094	 	 	 	 	 	2057_11	186_12, 2058_12	 	 	 	4293	 	 	2051	2032, 2033	2050	 	 	 	4297_36	 	 	 	 	 	 	 	3409_48	 	 	2275	 	 	3613_56	3612_57	 
Escherichia coli O104:H4 str. 11-4632 C3 (1068619.3)	3714	 	 	 	 	 	3677_11	1807_12, 3678_12	 	 	 	742	 	 	3671	3652, 3653	3670	 	 	 	746_36	 	 	 	 	 	 	 	5027_48	 	 	3894	 	 	69_56	68_57	 
Escherichia coli O104:H4 str. 11-4632 C4 (1068620.3)	199	 	 	 	 	 	162_11	163_12, 3469_12	 	 	 	2400	 	 	156	137, 138	155	 	 	 	2404_36	 	 	 	 	 	 	 	1516_48	 	 	379	 	 	1720_56	1719_57	 
Escherichia coli O104:H4 str. 11-4632 C5 (1068621.3)	2105	 	 	 	 	 	2068_11	189_12, 2069_12	 	 	 	4316	 	 	2062	2043, 2044	2061	 	 	 	4320_36	 	 	 	 	 	 	 	3423_48	 	 	2285	 	 	3628_56	3627_57	 
Escherichia coli O104:H4 str. 2009EL-2050 (1134782.3)	4069	 	 	 	 	 	4106_11	4105_12, 748_12	 	 	 	1814	 	 	4112	4130	4113	 	 	 	1810_36	 	 	 	 	 	 	 	2723_48	 	 	3884	 	 	2517_56	2518_57	 
Escherichia coli O104:H4 str. 2009EL-2071 (1133853.3)	4141	 	 	 	 	 	4179_11	4178_12, 740_12	 	 	 	1815	 	 	4185	4203	4186	 	 	 	1811_36	 	 	 	 	 	 	 	2723_48	 	 	3961	 	 	2514_56	2515_57	 
Escherichia coli O104:H4 str. 2011C-3493 (1133852.3)	4082	 	 	 	 	 	4119_11	4118_12, 741_12	 	 	 	1829	 	 	4125	4143, 4144	4126	 	 	 	1825_36	 	 	 	 	 	 	 	2734_48	 	 	3900	 	 	2527_56	2528_57	 
Escherichia coli O104:H4 str. C227-11 (1048254.3)	4034	 	 	 	 	 	3997_11	2128_12, 3998_12	 	 	 	1073	 	 	3991	3972, 3973	3990	 	 	 	1077_36	 	 	 	 	 	 	 	198_48	 	 	4215	 	 	394_56	393_57	 
Escherichia coli O104:H4 str. C236-11 (1048256.3)	735	 	 	 	 	 	699_11	4009_12, 700_12	 	 	 	2953	 	 	693	674, 675	692	 	 	 	2957_36	 	 	 	 	 	 	 	2064_48	 	 	913	 	 	2264_56	2263_57	 
Escherichia coli O104:H4 str. Ec11-4984 (1240761.3)	4082	 	 	 	 	 	4044_11	2146_12, 4045_12	 	 	 	1073	 	 	4038	4019, 4020	 	 	 	 	1077_36	 	 	 	 	 	 	 	189_48	 	 	4264	 	 	377_56	376_57	 
Escherichia coli O104:H4 str. Ec11-4986 (1240762.3)	4942	 	 	 	 	 	4904_11	3001_12, 4905_12	 	 	 	1929	 	 	4898	4879, 4880	4897	 	 	 	1933_36	 	 	 	 	 	 	 	1029_48	 	 	5124	 	 	1226_56	1225_57	 
Escherichia coli O104:H4 str. Ec11-4987 (1240763.3)	3773	 	 	 	 	 	3736_11	1835_12, 3737_12	 	 	 	761	 	 	3730	3711, 3712	3729	 	 	 	765_36	 	 	 	 	 	 	 	5111_48	 	 	3955	 	 	63_56	62_57	 
Escherichia coli O104:H4 str. Ec11-4988 (1240764.3)	165	 	 	 	 	 	128_11	129_12, 3446_12	 	 	 	2373	 	 	122	103, 104	 	 	 	 	2377_36	 	 	 	 	 	 	 	1504_48	 	 	348	 	 	1694_56	1693_57	 
Escherichia coli O104:H4 str. Ec11-5536 (1068623.3)	734	 	 	 	 	 	697_11	3978_12, 698_12	 	 	 	2917	 	 	691	672, 673	690	 	 	 	2921_36	 	 	 	 	 	 	 	2043_48	 	 	914	 	 	2246_56	2245_57	 
Escherichia coli O104:H4 str. Ec11-5537 (1068624.3)	732	 	 	 	 	 	695_11	3980_12, 696_12	 	 	 	2923	 	 	689	670, 671	688	 	 	 	2927_36	 	 	 	 	 	 	 	2040_48	 	 	914	 	 	2238_56	2237_57	 
Escherichia coli O104:H4 str. Ec11-5538 (1068622.3)	4042	 	 	 	 	 	4005_11	2137_12, 4006_12	 	 	 	1081	 	 	3999	3980, 3981	3998	 	 	 	1085_36	 	 	 	 	 	 	 	192_48	 	 	4222	 	 	393_56	392_57	 
Escherichia coli O104:H4 str. Ec11-5603 (1240765.3)	740	 	 	 	 	 	703_11	4056_12, 704_12	 	 	 	2979	 	 	697	678, 679	 	 	 	 	2983_36	 	 	 	 	 	 	 	2079_48	 	 	921	 	 	2288_56	2287_57	 
Escherichia coli O104:H4 str. Ec11-5604 (1240766.3)	4086	 	 	 	 	 	4048_11	2164_12, 4049_12	 	 	 	1079	 	 	4042	4023, 4024	 	 	 	 	1083_36	 	 	 	 	 	 	 	207_48	 	 	4268	 	 	398_56	397_57	 
Escherichia coli O104:H4 str. Ec11-6006 (1240767.3)	3380	 	 	 	 	 	3343_11	1446_12, 3344_12	 	 	 	369	 	 	3337	3318, 3319	 	 	 	 	373_36	 	 	 	 	 	 	 	4714_48	 	 	3562	 	 	4919_56	4918_57	 
Escherichia coli O104:H4 str. Ec11-9450 (1240758.3)	4070	 	 	 	 	 	4032_11	2143_12, 4033_12	 	 	 	1092	 	 	4026	4008	 	 	 	 	1096_36	 	 	 	 	 	 	 	203_48	 	 	4252	 	 	400_56	399_57	 
Escherichia coli O104:H4 str. Ec11-9941 (1240759.3)	3405	 	 	 	 	 	3368_11	1438_12, 3369_12	 	 	 	361	 	 	3362	3344	 	 	 	 	365_36	 	 	 	 	 	 	 	4746_48	 	 	3584	 	 	4953_56	4952_57	 
Escherichia coli O104:H4 str. Ec11-9990 (1240760.3)	4341	 	 	 	 	 	4304_11	2440_12, 4305_12	 	 	 	1368	 	 	4298	4280	 	 	 	 	1372_36	 	 	 	 	 	 	 	463_48	 	 	4527	 	 	668_56	667_57	 
Escherichia coli O104:H4 str. Ec12-0465 (1240778.3)	732	 	 	 	 	 	695_11	3997_12, 696_12	 	 	 	2963	 	 	689	671	 	 	 	 	2967_36	 	 	 	 	 	 	 	2059_48	 	 	911	 	 	2267_56	2266_57	 
Escherichia coli O104:H4 str. Ec12-0466 (1240779.3)	4191	 	 	 	 	 	4154_11	2231_12, 4155_12	 	 	 	1150	 	 	4148	4130	4147	 	 	 	1154_36	 	 	 	 	 	 	 	244_48	 	 	4374	 	 	450_56	449_57	 
Escherichia coli O104:H4 str. GOS1 (1038927.4)	3665	 	 	 	 	 	3701_11	1835_12, 3700_12	 	 	 	1516	 	 	3707	3724, 3725	3708	 	 	 	1520_36	 	 	 	 	 	 	 	1157_48	 	 	1194	 	 	1942_56	1941_57	 
Escherichia coli O104:H4 str. GOS2 (1038927.5)	2256	 	 	 	 	 	988_11	1770_12, 987_12	 	 	 	1241	 	 	994	1011, 1012	995	 	 	 	1237_36	 	 	 	 	 	 	 	1568_48	 	 	3060	 	 	4507_56	4506_57	 
Escherichia coli O104:H4 str. H112180280 (1042804.3)	3782	 	 	 	 	 	3820_11	3414_12, 3819_12	 	 	 	2017	 	 	3826	3845, 3846	3827	 	 	 	2021_36	 	 	 	 	 	 	 	1129_48	 	 	3599	 	 	1330_56	1329_57	 
Escherichia coli O104:H4 str. H112180282 (1038927.6)	2525	 	 	 	 	 	2488_11	2489_12, 2685_12	 	 	 	4179	 	 	2482	2463, 2464	2481	 	 	 	4175_36	 	 	 	 	 	 	 	4604_48	 	 	307	 	 	1812_56	1813_57	 
Escherichia coli O104:H4 str. H112180283 (1038927.7)	4486	 	 	 	 	 	4450_11	341_12, 4451_12	 	 	 	4201	 	 	4444	4425, 4426	4443	 	 	 	4197_36	 	 	 	 	 	 	 	2540_48	 	 	2663	 	 	3045_56	3046_57	 
Escherichia coli O104:H4 str. H112180541 (1048765.4)	2650	 	 	 	 	 	2688_11	1810_12, 2687_12	 	 	 	2224	 	 	2694	2426, 2427	2695	 	 	 	2220_36	 	 	 	 	 	 	 	2327_48	 	 	24	 	 	2952_56	2951_57	 
Escherichia coli O104:H4 str. LB226692 (1040638.5)	418	 	 	 	 	 	375_11	376_12	 	 	 	2427	 	 	369	347, 348	368	 	 	 	2431_36	 	 	 	 	 	 	 	1653_48	 	 	617	 	 	1796_56	1795_57	 
Escherichia coli O104:H4 str. ON2010 (1136217.3)	392	 	 	 	 	 	355_11	3493_12, 356_12	 	 	 	2391	 	 	349	331	348	 	 	 	2395_36	 	 	 	 	 	 	 	1607_48	 	 	570	 	 	1735_56	1734_57	 
Escherichia coli O104:H4 str. ON2011 (1136218.3)	3029	 	 	 	 	 	3065_11	3064_12, 3919_12	 	 	 	871	 	 	3071	3088, 3089	3072	 	 	 	867_36	 	 	 	 	 	 	 	1736_48	 	 	2851	 	 	1533_56	1534_57	 
Escherichia coli O104:H4 str. TY-2482 (1038844.18)	4433	 	 	 	 	 	4396_11	2497_12, 4397_12	 	 	 	1434	 	 	4390	4371, 4372	4389	 	 	 	1438_36	 	 	 	 	 	 	 	537_48	 	 	4616	 	 	741_56	740_57	 
Escherichia coli O111:H- str. 11128 (585396.4)	424	 	 	 	 	 	387_11	388_12	 	 	 	2954	 	 	382	363	381	 	 	 	2958_36	 	 	 	 	 	 	 	1930_48	 	 	628	 	 	2167_56	2166_57	 
Escherichia coli O111:H11 str. CFSAN001630 (1232151.3)	5569	 	 	 	 	 	2355_11	2354_12	 	 	 	3182	 	 	2360	2378	2361	 	 	 	3186_36	 	 	 	 	 	 	 	5155_48	 	 	1003	 	 	4309_56	4308_57	 
Escherichia coli O111:H11 str. CVM9534 (1165946.3)	3345	 	 	 	 	 	611_11	610_12	 	 	 	1837	 	 	616	633	617	 	 	 	1841_36	 	 	 	 	 	 	 	2429_48	 	 	5591	 	 	3520_56	3519_57	 
Escherichia coli O111:H11 str. CVM9553 (1165947.3)	3628	 	 	 	 	 	4115_11	4116_12	 	 	 	630	 	 	4109	4092	4108	 	 	 	626_36	 	 	 	 	 	 	 	 	 	 	330	 	 	4940_56	4941_57	 
Escherichia coli O111:H8 str. CFSAN001632 (1232154.3)	339	 	 	 	 	 	2381_11	2382_12	 	 	 	3585	 	 	2376	2359	2375	 	 	 	3589_36	 	 	 	 	 	 	 	4793_48	 	 	1589	 	 	2658_56	2657_57	 
Escherichia coli O111:H8 str. CVM9570 (1165945.3)	3580	 	 	 	 	 	824_11	825_12	 	 	 	5159	 	 	819	802	818	 	 	 	541_36	 	 	 	 	 	 	 	 	 	 	4113	 	 	4988_56	4987_57	 
Escherichia coli O111:H8 str. CVM9574 (1165943.3)	414	 	 	 	 	 	902_11	903_12	 	 	 	2764	 	 	897	880	896	 	 	 	2768_36	 	 	 	 	 	 	 	 	 	 	5423	 	 	2288_56	2289_57	 
Escherichia coli O111:H8 str. CVM9602 (1165942.3)	1085	 	 	 	 	 	1993_11	1992_12	 	 	 	2537	 	 	1998	2015	1999	 	 	 	2541_36	 	 	 	 	 	 	 	 	 	 	799	 	 	4504_56	4503_57	 
Escherichia coli O111:H8 str. CVM9634 (1165944.3)	595	 	 	 	 	 	2027_11	2028_12	 	 	 	3022	 	 	2022	2004	2021	 	 	 	3026_36	 	 	 	 	 	 	 	 	 	 	5051	 	 	5150_56	5149_57	 
Escherichia coli O113:H21 str. CL-3 (1078029.12)	1217	 	 	 	 	 	1180_11	1181_12, 1711_12	 	 	 	4435	 	 	1175	1158	1174	 	 	 	4431_36	 	 	 	 	 	 	 	1459_48	 	 	3704	 	 	3260_56	3261_57	 
Escherichia coli O121:H19 str. MT#2 (1078031.3)	184	 	 	 	 	 	147_11	148_12, 4931_12	 	 	 	1171	 	 	141	123	140	 	 	 	 	 	 	 	 	 	 	 	1684_48	 	 	4398	 	 	532_56	531_57	 
Escherichia coli O127:H27 str. C43/90 (1090929.3)	418	 	 	 	 	 	378_11	3237_12, 379_12	 	 	 	2202	 	 	372	356, 357	 	 	 	 	 	 	 	 	 	 	 	 	1473_48	 	 	615	 	 	1591_56	1590_57	 
Escherichia coli O127:H6 str. E2348/69 (574521.7)	340	 	 	 	 	 	314_11	315_12	 	 	 	2339	 	 	312	300	311	 	 	 	2343_36	 	 	 	 	 	 	 	1635_48	 	 	 	 	 	1738_56	1737_57	 
Escherichia coli O145:H28 str. 4865/96 (1078035.3)	3428	 	 	 	 	 	3389_11	3390_12	 	 	 	2087	 	 	3384	3371	3383	 	 	 	2083_36	 	 	 	 	 	 	 	154_48	 	 	4875	 	 	1534_56	1533_57	 
Escherichia coli O157 str. NCCP15738 (1317131.3)	1577	 	 	 	 	 	1615_11	1614_12	 	 	 	125	 	 	1621	 	1622	 	 	 	 	 	 	 	 	 	 	 	4129_48	 	 	4603	 	 	2351_56	2352_57	 
Escherichia coli O157 str. NCCP15739 (1317130.3)	1107	 	 	 	 	 	1067_11	1068_12, 2146_12	 	 	 	2496	 	 	1061	1042	1060	 	 	 	 	 	 	 	 	 	 	 	3398_48, 3399_48	 	 	2690	 	 	1509_56, 1510_56	1508_57	 
Escherichia coli O157:H- str. 493-89 (926027.3)	3456	 	 	 	 	 	3348_11	3349_12	 	 	 	831	 	 	3342	3324	3341	 	 	 	 	 	 	 	 	 	 	 	4827_48	 	 	3746	 	 	191_56	190_57	 
Escherichia coli O157:H- str. H 2687 (926028.3)	3492	 	 	 	 	 	3433_11	3434_12	 	 	 	915	 	 	3427	3409	3426	 	 	 	 	 	 	 	 	 	 	 	4850_48	 	 	3795	 	 	274_56	273_57	 
Escherichia coli O157:H7 EDL933 (155864.8)	428	 	 	 	 	 	390_11	391_12	 	 	 	2919	 	 	384	365	383	 	 	 	 	 	 	 	 	 	 	 	1826_48, 1827_48	 	 	626	 	 	2201_56, 2202_56	2200_57	 
Escherichia coli O157:H7 str. 1044 (997824.3)	3509	 	 	 	 	 	2431_11	623_12	 	 	 	2153	 	 	2437	2456	2438	 	 	 	 	 	 	 	 	 	 	 	3920_48, 3921_48	 	 	3706	 	 	2948_56, 2949_56	2947_57	 
Escherichia coli O157:H7 str. 1125 (997825.3)	912	 	 	 	 	 	39_11	38_12, 5401_12	 	 	 	4404	 	 	45	62	46	 	 	 	 	 	 	 	 	 	 	 	3454_48, 3455_48	 	 	715	 	 	1959_56, 1960_56	1958_57	 
Escherichia coli O157:H7 str. EC1212 (941435.3)	38	 	 	 	 	 	811_11	4435_12, 810_12	 	 	 	1201	 	 	817	837	818	 	 	 	 	 	 	 	 	 	 	 	3251_48, 3252_48	 	 	232	 	 	4785_56, 4786_56	4784_57	 
Escherichia coli O157:H7 str. EC4009 (702430.3)	2074	 	 	 	 	 	2033_11	1057_12, 2034_12	 	 	 	4470	 	 	2027	2008	2026	 	 	 	 	 	 	 	 	 	 	 	2319_48, 2320_48	 	 	2877	 	 	4169_56, 4170_56	4168_57	 
Escherichia coli O157:H7 str. EC4024 (444454.5)	4899	 	 	 	 	 	4859_11	3009_12, 4860_12	 	 	 	1952	 	 	4853	4835	4852	 	 	 	 	 	 	 	 	 	 	 	973_48, 974_48	 	 	5101, 574	 	 	5603_56, 5604_56	5602_57	 
Escherichia coli O157:H7 str. EC4042 (444449.5)	5239	 	 	 	 	 	5200_11	2468_12, 5201_12	 	 	 	1413	 	 	5194	5176	5193	 	 	 	 	 	 	 	 	 	 	 	299_48, 300_48	 	 	5437	 	 	549_56, 550_56	548_57	 
Escherichia coli O157:H7 str. EC4045 (444448.5)	3115	 	 	 	 	 	3076_11	1221_12, 3077_12	 	 	 	175	 	 	3070	3052	3069	 	 	 	 	 	 	 	 	 	 	 	4655_48, 4656_48	 	 	3311	 	 	4857_56, 4858_56	4856_57	 
Escherichia coli O157:H7 str. EC4084 (702432.3)	3154	 	 	 	 	 	3196_11	3194_12, 3195_12, 3345_12	 	 	 	3465	 	 	3203	1439	3204	 	 	 	 	 	 	 	 	 	 	 	3317_48, 3318_48	 	 	4798	 	 	157_56, 158_56	156_57	 
Escherichia coli O157:H7 str. EC4115 (444450.8)	577	 	 	 	 	 	538_11	4304_12, 539_12	 	 	 	3265	 	 	532	514	531	 	 	 	 	 	 	 	 	 	 	 	2117_48, 2118_48	 	 	771	 	 	2368_56, 2369_56	2367_57	 
Escherichia coli O157:H7 str. EC4191 (702434.4)	1604	 	 	 	 	 	1563_11	1564_12, 881_12	 	 	 	3747	 	 	1557	4226	1556	 	 	 	 	 	 	 	 	 	 	 	668_48, 669_48	 	 	1234	 	 	4306_56, 4307_56	4305_57	 
Escherichia coli O157:H7 str. EC536 (702436.3)	3373	 	 	 	 	 	3413_11	284_12, 3412_12	 	 	 	2171	 	 	3419	1614	3420	 	 	 	 	 	 	 	 	 	 	 	219_48, 220_48	 	 	1270	 	 	2375_56, 2376_56	2377_57	 
Escherichia coli O157:H7 str. FRIK2000 (637388.3)	913	 	 	 	 	 	875_11	5169_12, 876_12	 	 	 	443	 	 	869	851	868	 	 	 	 	 	 	 	 	 	 	 	1655_48, 1656_48	 	 	1108	 	 	5024_56, 5025_56	5026_57	 
Escherichia coli O157:H7 str. FRIK966 (570506.3)	1921	 	 	 	 	 	1883_11	1884_12, 773_12	 	 	 	4889	 	 	1877	1859	1876	 	 	 	 	 	 	 	 	 	 	 	3026_48, 3027_48	 	 	3645	 	 	4207_56, 4208_56	4206_57	 
Escherichia coli O157:H7 str. G5101 (926026.3)	3409	 	 	 	 	 	3369_11	3370_12	 	 	 	789	 	 	3363	3345	3362	 	 	 	 	 	 	 	 	 	 	 	4741_48	 	 	3698	 	 	162_56	161_57	 
Escherichia coli O157:H7 str. H093800014 (1240385.3)	999	 	 	 	 	 	959_11	3451_12, 960_12	 	 	 	1633	 	 	953	933	952	 	 	 	 	 	 	 	 	 	 	 	3468_48, 3469_48	 	 	2755	 	 	4333_56, 4334_56	4335_57	 
Escherichia coli O157:H7 str. LSU-61 (926032.3)	3517	 	 	 	 	 	3476_11	3477_12	 	 	 	872	 	 	3470	3452	3469	 	 	 	 	 	 	 	 	 	 	 	4799_48	 	 	3766	 	 	242_56	241_57	 
Escherichia coli O157:H7 str. Sakai (386585.9)	529	 	 	 	 	 	491_11	4130_12, 492_12	 	 	 	3160	 	 	485	466	484	 	 	 	 	 	 	 	 	 	 	 	2170_48, 2171_48	 	 	724	 	 	2434_56, 2435_56	2433_57	 
Escherichia coli O157:H7 str. TW14359 (544404.4)	442	 	 	 	 	 	403_11	404_12, 4114_12	 	 	 	3068	 	 	397	379	396	 	 	 	 	 	 	 	 	 	 	 	1979_48, 1980_48	 	 	636	 	 	2231_56, 2232_56	2230_57	 
Escherichia coli O157:H7 str. TW14588 (502346.5)	783	 	 	 	 	 	872_11	3299_12, 871_12	 	 	 	4355	 	 	878	897	879	 	 	 	 	 	 	 	 	 	 	 	5300_48, 5301_48	 	 	585	 	 	5080_56, 5081_56	5082_57	 
Escherichia coli O25b:H4-ST131 str. EC958 (941322.6)	524	 	 	 	 	 	493_11	494_12	 	 	 	2507	 	 	491	481	490	 	 	 	2511_36	 	 	 	 	 	 	 	1738_48	 	 	 	 	 	1847_56	1845_57, 1846_57	 
Escherichia coli O26:H11 str. 11368 (573235.3)	417	 	 	 	 	 	377_11	378_12	 	 	 	3122	 	 	372	354	371	 	 	 	3126_36	 	 	 	 	 	 	 	2096_48	 	 	657	 	 	2381_56	2380_57	 
Escherichia coli O26:H11 str. CFSAN001629 (1232150.3)	1152	 	 	 	 	 	4562_11	4563_12	 	 	 	2102	 	 	4557	4539	4556	 	 	 	2106_36	 	 	 	 	 	 	 	4165_48	 	 	2807	 	 	3822_56	3823_57	 
Escherichia coli O26:H11 str. CVM10021 (1165950.3)	1095	 	 	 	 	 	950_11	951_12	 	 	 	5071	 	 	945	928	944	 	 	 	5075_36	 	 	 	 	 	 	 	 	 	 	5223	 	 	1498_56	1499_57	 
Escherichia coli O26:H11 str. CVM10026 (1165951.3)	2865	 	 	 	 	 	2650_11	2649_12	 	 	 	1285	 	 	2655	2672	2656	 	 	 	1281_36	 	 	 	 	 	 	 	 	 	 	3663	 	 	3850_56	3849_57	 
Escherichia coli O26:H11 str. CVM10030 (1165952.3)	1122	 	 	 	 	 	3993_11	3994_12	 	 	 	2427	 	 	3988	3971	3987	 	 	 	2431_36	 	 	 	 	 	 	 	 	 	 	849	 	 	3723_56	3722_57	 
Escherichia coli O26:H11 str. CVM10224 (1165953.3)	1046	 	 	 	 	 	2612_11	2611_12	 	 	 	3178	 	 	2617	2634	2618	 	 	 	3182_36	 	 	 	 	 	 	 	 	 	 	1170	 	 	2380_56	2381_57	 
Escherichia coli O26:H11 str. CVM9942 (1165949.3)	1821	 	 	 	 	 	4125_11	4124_12	 	 	 	3266	 	 	4130	1619	4131	 	 	 	3270_36	 	 	 	 	 	 	 	 	 	 	5651	 	 	3795_56	3794_57	 
Escherichia coli O26:H11 str. CVM9952 (1163738.3)	392	 	 	 	 	 	956_11	957_12	 	 	 	3993	 	 	951	934	950	 	 	 	2599_36	 	 	 	 	 	 	 	 	 	 	4407	 	 	2579_56	2578_57	 
Escherichia coli O32:H37 str. P4 (1167694.3)	3081	 	 	 	 	 	2211_11	2210_12	 	 	 	387	 	 	2217	2230	2218	 	 	 	 	 	 	 	 	 	 	 	4388_48	 	 	3912	 	 	907_56	906_57	 
Escherichia coli O45:H2 str. 03-EN-705 (1078033.4)	2816	 	 	 	 	 	2780_11	2781_12	 	 	 	3216	 	 	2775	1646	2774	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3525	 	 	2115_56	2114_57	 
Escherichia coli O5:K4(L):H4 str. ATCC 23502 (1268238.3)	627	 	 	 	 	 	4492_11	1254_12, 4493_12	 	 	 	4086	 	 	4486	4473	4485	 	 	 	 	 	 	 	 	 	 	 	2075_48	 	 	2709	 	 	3812_56	3813_57	 
Escherichia coli O55:H7 str. 3256-97 (926029.3)	2098	 	 	 	 	 	1375_11	1376_12	 	 	 	770	 	 	1369	1345	1368	 	 	 	 	 	 	 	 	 	 	 	4709_48	 	 	3636	 	 	4883_56	4882_57	 
Escherichia coli O55:H7 str. CB9615 (701177.3)	481	 	 	 	 	 	443_11	444_12	 	 	 	2705	 	 	437	419	436	 	 	 	 	 	 	 	 	 	 	 	1814_48	 	 	736	 	 	2009_56	2008_57	 
Escherichia coli O55:H7 str. USDA 5905 (926030.3)	1128	 	 	 	 	 	1089_11	1090_12	 	 	 	445	 	 	1083	1064	1082	 	 	 	 	 	 	 	 	 	 	 	4484_48	 	 	3387	 	 	4644_56	4643_57	 
Escherichia coli O7:K1 str. CE10 (1072459.4)	354	 	 	 	 	 	319_11	320_12	 	 	 	2550	 	 	313	296	312	 	 	 	2554_36	 	 	 	 	 	 	 	1675_48	 	 	590	 	 	1914_56	1913_57	 
