Organism	gdhA	proB	proA	proC	ocd1	ocd2
Escherichia coli 199900.1 (1116130.3)	2252_1	687	688	801_5	 	 
Escherichia coli 2.3916 (869688.5)	2186_1	1270	 	1375_5	 	 
Escherichia coli 2.4168 (869690.4)	 	3629	 	196_5	 	 
Escherichia coli 201600.1 (1116129.3)	 	655	656	846_5	 	 
Escherichia coli 2362-75 (670897.3)	 	439	438	337_5	 	 
Escherichia coli 2534-86 (754079.3)	2613_1	672	673	801_5	 	 
Escherichia coli 2719100 (1116119.3)	2322_1	560	561	757_5	 	 
Escherichia coli 2720900 (1116120.3)	2205_1	406	407	650_5	 	 
Escherichia coli 2722950 (1116121.3)	 	527	 	647_5	 	 
Escherichia coli 2726800 (1116122.3)	2352_1	438	439	590_5	 	 
Escherichia coli 2726950 (1116123.3)	 	547	 	687_5	 	 
Escherichia coli 2729250 (1116004.3)	2003_1	265	266	377_5	 	 
Escherichia coli 2730350 (1116005.3)	1744_1	231	232	353_5	 	 
Escherichia coli 2730450 (1116006.3)	 	573	574	706_5	 	 
Escherichia coli 2731150 (1116007.3)	 	619	 	812_5	 	 
Escherichia coli 2733950 (1125635.3)	 	649	 	750_5	 	 
Escherichia coli 2735000 (1116008.3)	1905_1	250	251	365_5	 	 
Escherichia coli 2741950 (1116009.3)	 	578	579	715_5	 	 
Escherichia coli 2747800 (1116010.3)	1998_1	274	275	462_5	 	 
Escherichia coli 2749250 (1116011.3)	1953_1	263	264	408_5	 	 
Escherichia coli 2756500 (1116012.3)	2085_1	529	530	654_5	 	 
Escherichia coli 2762100 (1116013.3)	 	251	 	376_5	 	 
Escherichia coli 2770900 (1116014.3)	1913_1	268	269	428_5	 	 
Escherichia coli 2780750 (1116015.3)	1883_1	389	390	533_5	 	 
Escherichia coli 2785200 (1116016.3)	2279_1	619	 	754_5	 	 
Escherichia coli 2788150 (1116017.3)	1908_1	266	267	428_5	 	 
Escherichia coli 2845350 (1116124.3)	 	393	 	526_5	 	 
Escherichia coli 2845650 (1116125.3)	2268_1	456	457	589_5	 	 
Escherichia coli 2846750 (1116126.3)	1792_1	288	289	390_5	 	 
Escherichia coli 2848050 (1116127.3)	1914_1	235	236	367_5	 	 
Escherichia coli 2850400 (1116018.3)	2027_1	264	265	388_5	 	 
Escherichia coli 2850750 (1116019.3)	2239_1	470	471	596_5	 	 
Escherichia coli 2851500 (1116128.3)	2021_1	456	457	580_5	 	 
Escherichia coli 2853500 (1116020.3)	2078_1	482	483	606_5	 	 
Escherichia coli 2854350 (1125636.3)	2221_1	744	745	599_5	 	 
Escherichia coli 2860050 (1116021.3)	2014_1	235	236	350_5	 	 
Escherichia coli 2860650 (1116022.3)	2367_1	630	631	740_5	 	 
Escherichia coli 2861200 (1116023.3)	2157_1	750	749	586_5	 	 
Escherichia coli 2862600 (1116024.3)	 	504	 	637_5	 	 
Escherichia coli 2864350 (1116025.3)	2243_1	736	737	841_5	 	 
Escherichia coli 2865200 (1116026.3)	1971_1	277	278	463_5	 	 
Escherichia coli 2866350 (1116027.3)	2184_1	544	545	653_5	 	 
Escherichia coli 2866450 (1116028.3)	2073_1	418	419	539_5	 	 
Escherichia coli 2866550 (1116029.3)	2072_1	441	442	567_5	 	 
Escherichia coli 2866750 (1116030.3)	1801_1	272	273	398_5	 	 
Escherichia coli 2867750 (1116031.3)	2023_1	264	265	391_5	 	 
Escherichia coli 2871950 (1116032.3)	 	280	281	389_5	 	 
Escherichia coli 2872000 (1116033.3)	 	318	319	421_5	 	 
Escherichia coli 2872800 (1116034.3)	1957_1	435	436	561_5	 	 
Escherichia coli 2875000 (1116035.3)	1741_1	450	451	578_5	 	 
Escherichia coli 2875150 (1116036.3)	2430_1	688	689	806_5	 	 
Escherichia coli 3.2303 (869691.4)	 	4459	 	486_5	 	 
Escherichia coli 3.2608 (869679.4)	1227_1	4594	4595	4705_5	 	 
Escherichia coli 3.3884 (869689.4)	634_1	2391	2390	2221_5	 	 
Escherichia coli 3.4870 (1005450.3)	 	417	 	585_5	 	 
Escherichia coli 3003 (869692.4)	 	4469	4468	4377_5	 	 
Escherichia coli 3006 (1005565.3)	2034_1	344	345	440_5	 	 
Escherichia coli 3431 (670892.3)	 	3413	 	3343_5	 	 
Escherichia coli 4.0522 (869681.4)	3217_1	938	937	824_5	 	 
Escherichia coli 4.0967 (869687.5)	3396_1	4228	4229	4341_5	 	 
Escherichia coli 4_1_47FAA (1127356.4)	 	36	37	159_5	 	 
Escherichia coli 5.0588 (869671.4)	1118_1	4210	4211	4317_5	 	 
Escherichia coli 5.0959 (869684.5)	4553_1	2270	2271	2380_5	 	 
Escherichia coli 5.2239 (1005452.3)	 	533	 	742_5	 	 
Escherichia coli 536 (362663.9)	 	272	273	440_5	 	 
Escherichia coli 53638 (344610.7)	 	1370	 	1293_5	 	 
Escherichia coli 541-1 (752786.3)	3791_1	1308	1309	1447_5	 	 
Escherichia coli 541-15 (752785.3)	3553_1	2083	 	1903_5	 	 
Escherichia coli 5412 (1005561.3)	 	337	 	488_5	 	 
Escherichia coli 55989 (585055.8)	1962_1	269	270	401_5	 	 
Escherichia coli 5905 (1005558.3)	 	581	582	826_5	 	 
Escherichia coli 6.0172 (1005455.3)	 	405	 	572_5	 	 
Escherichia coli 75 (752788.3)	4126_1	4442	 	3757_5	 	 
Escherichia coli 8.0416 (1005463.3)	 	253	 	423_5	 	 
Escherichia coli 8.0566 (1005462.3)	 	288	 	416_5	 	 
Escherichia coli 8.0569 (1005464.3)	 	248	 	374_5	 	 
Escherichia coli 8.0586 (1005461.3)	 	517	 	687_5	 	 
Escherichia coli 8.2524 (1005460.3)	 	286	 	456_5	 	 
Escherichia coli 83972 (525281.3)	 	2645	2644	2526_5	 	 
Escherichia coli 88.0221 (1005397.3)	 	527	 	694_5	 	 
Escherichia coli 88.1042 (1005398.3)	 	413	 	571_5	 	 
Escherichia coli 88.1467 (1005396.3)	 	483	 	661_5	 	 
Escherichia coli 89.0511 (1005399.3)	 	358	 	516_5	 	 
Escherichia coli 9.0111 (869686.4)	4994_1	5530	5529	5409_5	 	 
Escherichia coli 9.1649 (869685.3)	 	1177	1178	1277_5	 	 
Escherichia coli 90.0039 (1005401.3)	 	171	 	429_5	 	 
Escherichia coli 90.0091 (1005400.3)	 	542	 	694_5	 	 
Escherichia coli 90.2281 (1005402.3)	 	519	 	684_5	 	 
Escherichia coli 900105 (10e) (869695.4)	4348_1	4917	4918	5033_5	 	 
Escherichia coli 93-001 (1005481.3)	 	501	 	662_5	 	 
Escherichia coli 93.0055 (1005403.3)	 	264	 	435_5	 	 
Escherichia coli 93.0056 (1005404.3)	 	462	 	630_5	 	 
Escherichia coli 93.0624 (869680.4)	5092_1	4657	4656	226_5	 	 
Escherichia coli 94.0618 (1005405.3)	 	366	 	537_5	 	 
Escherichia coli 95.0183 (1005406.3)	 	505	 	678_5	 	 
Escherichia coli 95.0941 (869674.3)	3042_1	1489	1490	1622_5	 	 
Escherichia coli 95.0943 (1005408.3)	 	405	 	577_5	 	 
Escherichia coli 95.1288 (1005407.3)	 	236	 	404_5	 	 
Escherichia coli 96.0107 (1005415.3)	 	2662	 	619_5	 	 
Escherichia coli 96.0109 (1005414.3)	 	407	 	573_5	 	 
Escherichia coli 96.0427 (1005411.3)	 	349	 	512_5	 	 
Escherichia coli 96.0428 (1005410.3)	 	497	 	660_5	 	 
Escherichia coli 96.0497 (869677.4)	1861_1	112	113	217_5	 	 
Escherichia coli 96.0932 (1005413.3)	 	503	 	711_5	 	 
Escherichia coli 96.0939 (1005412.3)	 	438	 	633_5	 	 
Escherichia coli 96.154 (869683.4)	457_1	3443	3444	3550_5	 	 
Escherichia coli 97.0003 (1005416.3)	 	478	 	649_5	 	 
Escherichia coli 97.0010 (1005419.3)	 	322	 	477_5	 	 
Escherichia coli 97.0246 (869670.4)	906_1	4415	 	537_5	 	 
Escherichia coli 97.0259 (869672.4)	1208_1	2495	2494	2356_5	 	 
Escherichia coli 97.0264 (869676.4)	3169_1	4078	4077	3965_5	 	 
Escherichia coli 99.0670 (1005423.3)	 	537	 	707_5	 	 
Escherichia coli 99.0672 (1005421.3)	 	258	 	453_5	 	 
Escherichia coli 99.0678 (1005422.3)	 	601	 	773_5	 	 
Escherichia coli 99.0713 (1005424.3)	 	405	 	614_5	 	 
Escherichia coli 99.0741 (869678.4)	4534_1	5007	5006	4897_5	 	 
Escherichia coli 99.0814 (1005434.3)	 	474	 	679_5	 	 
Escherichia coli 99.0815 (1005433.3)	 	320	 	475_5	 	 
Escherichia coli 99.0816 (1005430.3)	 	312	 	469_5	 	 
Escherichia coli 99.0839 (1005432.3)	 	3945	 	557_5	 	 
Escherichia coli 99.0848 (1005431.3)	 	485	 	670_5	 	 
Escherichia coli 99.1753 (1005440.3)	 	381	 	554_5	 	 
Escherichia coli 99.1762 (1005435.3)	 	530	 	702_5	 	 
Escherichia coli 99.1775 (1005438.3)	 	304	 	469_5	 	 
Escherichia coli 99.1781 (1005439.3)	 	450	 	615_5	 	 
Escherichia coli 99.1805 (1005436.3)	 	343	 	489_5	 	 
Escherichia coli AA86 (1004153.3)	 	365	 	466_5	 	 
Escherichia coli ABU 83972 (655817.3)	 	365	366	496_5	 	 
Escherichia coli AD30 (1169664.3)	 	2311	 	2197_5	 	 
Escherichia coli AI27 (1089445.3)	2743_1	3409	3410	2360_5	 	 
Escherichia coli APEC O1 (405955.13)	 	269	 	383_5	 	 
Escherichia coli APEC O78 (1274814.3)	2588_1	955	956	1113_5	 	 
Escherichia coli ARS4.2123 (1005563.3)	 	321	322	416_5	 	 
Escherichia coli ATCC 25922 (1322345.3)	 	1415	1416	857_5	 	 
Escherichia coli B088 (550672.3)	2610_1	291	292	400_5	 	 
Escherichia coli B093 (550674.3)	 	3769	3768	4867_5	 	 
Escherichia coli B185 (550676.3)	2073_1	1050	1051	1175_5	 	 
Escherichia coli B354 (550677.3)	 	689	 	814_5	 	 
Escherichia coli B41 (869694.4)	 	3649	 	3852_5	 	 
Escherichia coli B799 (550682.3)	227_1	4621	4622	4788_5	 	 
Escherichia coli B str. REL606 (413997.3)	 	254	255	356_5	 	 
Escherichia coli BCE001_MS16 (1116037.3)	1804_1	448	447	238_5	 	 
Escherichia coli BCE002_MS12 (1116112.3)	2022_1	464	465	2930_5	 	 
Escherichia coli BCE006_MS-23 (1125637.3)	 	303	304	413_5	 	 
Escherichia coli BCE007_MS-11 (1116113.3)	 	348	349	503_5	 	 
Escherichia coli BCE008_MS-13 (1116471.3)	2171_1	435	436	518_5	 	 
Escherichia coli BCE011_MS-01 (1116114.3)	 	284	 	409_5	 	 
Escherichia coli BCE019_MS-13 (1116115.3)	 	303	304	402_5	 	 
Escherichia coli BCE030_MS-09 (1116116.3)	 	304	305	406_5	 	 
Escherichia coli BCE032_MS-12 (1116117.3)	 	316	317	414_5	 	 
Escherichia coli BCE034_MS-14 (1116118.3)	2344_1	502	503	640_5	 	 
Escherichia coli BL21 (511693.5)	 	255	256	361_5	 	 
Escherichia coli BL21(DE3) (469008.4)	 	3488	3487	3387_5	 	 
Escherichia coli C-34666 (1116002.3)	2641_1	835	836	959_5	 	 
Escherichia coli C639_08 (1126911.3)	 	2071	2070	1977_5	 	 
Escherichia coli C844_97 (1126932.3)	 	2630	2629	2534_5	 	 
Escherichia coli ATCC 8739 (481805.6)	 	3567	 	3467_5	 	 
Escherichia coli CB7326 (1005559.3)	 	262	 	433_5	 	 
Escherichia coli CFT073 (199310.4)	 	360	361	461_5	 	 
Escherichia coli CUMT8 (752790.3)	2296_1	1428	1429	1288_5	 	 
Escherichia coli DEC10A (868180.3)	2400_1	370	371	492_5	 	 
Escherichia coli DEC10B (868181.3)	2804_1	579	580	707_5	 	 
Escherichia coli DEC10C (868182.3)	2733_1	560	561	678_5	 	 
Escherichia coli DEC10D (868183.3)	2321_1	293	294	415_5	 	 
Escherichia coli DEC10E (868184.3)	1980_1	283	284	418_5	 	 
Escherichia coli DEC10F (868185.3)	2658_1	581	582	734_5	 	 
Escherichia coli DEC11A (868186.3)	2091_1	198	199	304_5	 	 
Escherichia coli DEC11B (868187.3)	2104_1	230	231	335_5	 	 
Escherichia coli DEC11C (868188.3)	2114_1	356	357	469_5	 	 
Escherichia coli DEC11D (868189.3)	2252_1	667	668	771_5	 	 
Escherichia coli DEC11E (868190.3)	1911_1	325	326	428_5	 	 
Escherichia coli DEC12A (868191.3)	2009_1	415	416	526_5	 	 
Escherichia coli DEC12B (868192.3)	2358_1	474	475	589_5	 	 
Escherichia coli DEC12C (868193.3)	2515_1	814	815	927_5	 	 
Escherichia coli DEC12D (868194.3)	2229_1	336	337	489_5	 	 
Escherichia coli DEC12E (868195.3)	2096_1	1588	1589	1694_5	 	 
Escherichia coli DEC13A (868196.3)	1926_1	487	488	594_5	 	 
Escherichia coli DEC13B (868197.3)	1664_1	255	256	362_5	 	 
Escherichia coli DEC13C (868198.3)	2288_1	415	416	523_5	 	 
Escherichia coli DEC13D (868199.3)	1929_1	338	339	445_5	 	 
Escherichia coli DEC13E (868200.3)	1980_1	286	287	389_5	 	 
Escherichia coli DEC14A (868201.3)	1855_1	258	259	376_5	 	 
Escherichia coli DEC14B (868202.3)	2278_1	431	432	566_5	 	 
Escherichia coli DEC14C (868203.3)	2139_1	377	378	511_5	 	 
Escherichia coli DEC14D (868204.3)	2078_1	282	283	422_5	 	 
Escherichia coli DEC15A (868206.3)	2228_1	269	270	386_5	 	 
Escherichia coli DEC15B (868207.3)	1992_1	115	116	233_5	 	 
Escherichia coli DEC15C (868208.3)	1949_1	93	94	206_5	 	 
Escherichia coli DEC15D (868209.3)	1883_1	68	69	183_5	 	 
Escherichia coli DEC15E (868210.3)	2219_1	350	351	468_5	 	 
Escherichia coli DEC1A (868133.3)	 	385	386	524_5	 	 
Escherichia coli DEC1B (868134.3)	 	316	317	416_5	 	 
Escherichia coli DEC1C (868135.3)	 	405	406	504_5	 	 
Escherichia coli DEC1D (868136.3)	 	798	799	902_5	 	 
Escherichia coli DEC1E (868137.3)	 	405	406	508_5	 	 
Escherichia coli DEC2A (868138.3)	 	491	492	684_5	 	 
Escherichia coli DEC2B (868139.3)	 	360	361	460_5	 	 
Escherichia coli DEC2C (868140.3)	 	264	265	363_5	 	 
Escherichia coli DEC2D (868141.3)	 	526	527	628_5	 	 
Escherichia coli DEC2E (868142.3)	 	315	316	413_5	 	 
Escherichia coli DEC3A (868143.3)	 	1870	 	363_5	 	 
Escherichia coli DEC3B (868144.3)	 	1226	1227	285_5	 	 
Escherichia coli DEC3C (868145.3)	 	5120	 	579_5	 	 
Escherichia coli DEC3D (868146.3)	 	239	 	403_5	 	 
Escherichia coli DEC3E (868147.3)	 	396	 	564_5	 	 
Escherichia coli DEC3F (868148.3)	 	555	 	699_5	 	 
Escherichia coli DEC4A (868149.3)	 	91	 	256_5	 	 
Escherichia coli DEC4B (868150.3)	 	89	 	258_5	 	 
Escherichia coli DEC4E (868153.3)	 	243	 	412_5	 	 
Escherichia coli DEC4F (868154.3)	 	97	 	263_5	 	 
Escherichia coli DEC5A (868155.3)	 	241	242	385_5	 	 
Escherichia coli DEC5B (868156.3)	 	390	 	598_5	 	 
Escherichia coli DEC5C (868157.3)	 	363	364	575_5	 	 
Escherichia coli DEC5D (868158.3)	 	540	541	733_5	 	 
Escherichia coli DEC5E (868159.3)	 	95	96	256_5	 	 
Escherichia coli DEC6A (868160.3)	 	354	 	521_5	 	 
Escherichia coli DEC6B (868161.3)	 	358	 	517_5	 	 
Escherichia coli DEC6C (868162.3)	 	434	 	550_5	 	 
Escherichia coli DEC6D (868163.3)	 	475	 	631_5	 	 
Escherichia coli DEC6E (868164.3)	 	244	 	346_5	 	 
Escherichia coli DEC7A (868165.3)	2195_1	675	676	776_5	 	 
Escherichia coli DEC7B (868166.3)	1898_1	233	234	441_5	 	 
Escherichia coli DEC7C (868167.3)	2045_1	370	371	470_5	 	 
Escherichia coli DEC7D (868168.3)	2081_1	1729	1730	618_5	 	 
Escherichia coli DEC7E (868169.3)	1900_1	307	308	416_5	 	 
Escherichia coli DEC8A (868170.3)	2170_1	350	351	536_5	 	 
Escherichia coli DEC8B (868171.3)	2230_1	255	256	368_5	 	 
Escherichia coli DEC8C (868172.3)	2713_1	439	440	562_5	 	 
Escherichia coli DEC8D (868173.3)	2332_1	434	435	550_5	 	 
Escherichia coli DEC8E (868174.3)	2480_1	544	545	662_5	 	 
Escherichia coli DEC9A (868175.3)	2176_1	387	388	497_5	 	 
Escherichia coli DEC9C (868177.3)	2099_1	306	307	415_5	 	 
Escherichia coli DEC9D (868178.3)	2204_1	533	534	642_5	 	 
Escherichia coli DEC9E (868179.3)	2359_1	314	315	424_5	 	 
Escherichia coli DH1 (536056.3)	 	3559	 	3408_5	 	 
Escherichia coli E101 (550685.3)	454_1	2783	 	2954_5	 	 
Escherichia coli E1167 (656372.3)	972_1	4626	4625	3201_5	 	 
Escherichia coli E128010 (670894.3)	5123_1	3382	3381	3267_5	 	 
Escherichia coli E1520 (656374.3)	 	35	 	177_5	 	 
Escherichia coli E2348/69 (216593.1)	 	3325	3324	3220_5	 	 
Escherichia coli E24377A (331111.12)	2260_1	596	597	723_5	 	 
Escherichia coli E482 (550687.3)	 	63	 	166_5	 	 
Escherichia coli EC1734 (1005536.3)	 	400	 	561_5	 	 
Escherichia coli EC1735 (1005537.3)	 	362	 	528_5	 	 
Escherichia coli EC1736 (1005538.3)	 	255	 	413_5	 	 
Escherichia coli EC1737 (1005539.3)	 	295	 	421_5	 	 
Escherichia coli EC1738 (1005535.3)	 	508	 	712_5	 	 
Escherichia coli EC1845 (1005540.3)	 	245	 	407_5	 	 
Escherichia coli EC1846 (1005541.3)	 	262	 	415_5	 	 
Escherichia coli EC1847 (1005542.3)	 	253	 	406_5	 	 
Escherichia coli EC1848 (1005543.3)	 	480	 	654_5	 	 
Escherichia coli EC1849 (1005544.3)	 	263	 	421_5	 	 
Escherichia coli EC1850 (1005545.3)	 	421	 	583_5	 	 
Escherichia coli EC1856 (1005546.3)	 	275	 	447_5	 	 
Escherichia coli EC1862 (1005547.3)	 	256	 	407_5	 	 
Escherichia coli EC1863 (1005548.3)	 	78	 	233_5	 	 
Escherichia coli EC1864 (1005549.3)	 	430	 	601_5	 	 
Escherichia coli EC1865 (1005550.3)	2444_1	553	554	671_5	 	 
Escherichia coli EC1866 (1005551.3)	 	72	 	243_5	 	 
Escherichia coli EC1869 (1005553.3)	 	403	 	574_5	 	 
Escherichia coli EC1870 (1005554.3)	 	175	 	346_5	 	 
Escherichia coli EC302/04 (1230480.3)	 	4167	4166	3776_5	 	 
Escherichia coli EC4013 (1005529.3)	 	556	 	714_5	 	 
Escherichia coli EC4196 (1005524.3)	 	262	 	406_5	 	 
Escherichia coli EC4203 (1005523.3)	 	247	 	406_5	 	 
Escherichia coli EC4402 (1005530.3)	 	367	 	519_5	 	 
Escherichia coli EC4421 (1005527.3)	 	250	 	404_5	 	 
Escherichia coli EC4422 (1005528.3)	 	481	 	645_5	 	 
Escherichia coli EC4436 (1005532.3)	 	285	 	435_5	 	 
Escherichia coli EC4437 (1005533.3)	 	483	 	644_5	 	 
Escherichia coli EC4439 (1005531.3)	 	248	 	412_5	 	 
Escherichia coli EC4448 (1005534.3)	 	403	 	562_5	 	 
Escherichia coli ED1a (585397.9)	 	272	273	407_5	 	 
Escherichia coli EPEC C342-62 (766166.3)	2273_1	461	462	581_5	 	 
Escherichia coli EPECa12 (670896.3)	2045_1	263	264	367_5	 	 
Escherichia coli EPECa14 (670893.4)	4849_1	65	64	 	 	 
Escherichia coli ETEC H10407 (316401.4)	 	302	 	508_5	 	 
Escherichia coli Envira 10/1 (1115998.3)	2601_1	841	842	1001_5	 	 
Escherichia coli Envira 8/11 (1115997.3)	2551_1	753	754	915_5	 	 
Escherichia coli FDA504 (1005470.3)	 	485	 	660_5	 	 
Escherichia coli FDA505 (1005471.3)	 	328	 	482_5	 	 
Escherichia coli FDA506 (1005474.3)	 	788	 	960_5	 	 
Escherichia coli FDA507 (1005472.3)	 	339	 	508_5	 	 
Escherichia coli FDA517 (1005473.3)	 	441	 	662_5	 	 
Escherichia coli FRIK1985 (1005476.3)	 	441	 	616_5	 	 
Escherichia coli FRIK1990 (1005478.3)	 	242	 	415_5	 	 
Escherichia coli FRIK1996 (1005475.3)	 	492	 	671_5	 	 
Escherichia coli FRIK1997 (1005480.3)	 	402	 	572_5	 	 
Escherichia coli FRIK1999 (1005477.3)	 	396	 	658_5	 	 
Escherichia coli FRIK2001 (1005479.3)	 	741	 	949_5	 	 
Escherichia coli FRIK523 (1005482.3)	 	504	 	670_5	 	 
Escherichia coli FRIK920 (1005483.3)	 	543	 	728_5	 	 
Escherichia coli FVEC1302 (656379.3)	 	1136	1137	860_5	 	 
Escherichia coli FVEC1412 (656380.3)	 	891	892	1011_5	 	 
Escherichia coli G58-1 (754078.3)	 	397	 	554_5	 	 
Escherichia coli H120 (656383.3)	338_1	2990	2991	3167_5	 	 
Escherichia coli H252 (656388.3)	 	925	 	808_5	 	 
Escherichia coli H263 (656390.3)	 	59	 	163_5	 	 
Escherichia coli H299 (656393.3)	 	907	908	1030_5	 	 
Escherichia coli H30 (869673.3)	 	2295	 	2121_5	 	 
Escherichia coli H397 (656398.3)	 	1506	 	1610_5	 	 
Escherichia coli H489 (656404.3)	 	42	43	144_5	 	 
Escherichia coli H494 (656405.3)	887_1	1147	1146	3340_5	 	 
Escherichia coli H591 (656408.3)	1925_1	191	192	317_5	 	 
Escherichia coli H730 (656413.3)	 	611	 	754_5	 	 
Escherichia coli H736 (656414.3)	 	439	 	572_5	 	 
Escherichia coli HM26 (1308540.3)	 	3580	3581	3697_5	 	 
Escherichia coli HM46 (1308982.3)	 	1204	1205	1326_5	 	 
Escherichia coli HM605 (752789.3)	 	1026	1025	917_5	 	 
Escherichia coli HS (331112.6)	 	264	265	443_5	 	 
Escherichia coli IAI1 (585034.5)	1795_1	269	270	377_5	 	 
Escherichia coli IAI39 (585057.6)	1354_1	439	438	321_5	 	 
Escherichia coli IHE3034 (714962.3)	 	267	 	373_5	 	 
Escherichia coli J53 (1144303.3)	 	 	 	3494_5	 	 
Escherichia coli JB1-95 (869682.4)	445_1	4975	4976	5146_5	 	 
Escherichia coli Jurua 18/11 (1115999.3)	1897_1	374	375	490_5	 	 
Escherichia coli Jurua 20/10 (1116000.3)	1897_1	170	171	329_5	 	 
Escherichia coli BW2952 (595496.3)	 	244	 	301_5	 	 
Escherichia coli str. K-12 substr. DH10B (316385.7)	 	221	 	342_5	 	 
Escherichia coli str. K-12 substr. MDS42 (1110693.3)	 	228	 	285_5	 	 
Escherichia coli str. K-12 substr. MG1655 (511145.12)	 	244	 	398_5	 	 
Escherichia coli str. K-12 substr. MG1655star (879462.4)	 	236	 	378_5	 	 
Escherichia coli str. K-12 substr. W3110 (316407.9)	 	236	 	382_5	 	 
Escherichia coli W3110 (316407.3)	 	231	 	373_5	 	 
Escherichia coli KD2 (752784.3)	 	750	749	617_5	 	 
Escherichia coli KO11 (595495.5)	2046_1	3617	3616	3511_5	 	 
Escherichia coli KTE1 (1169315.3)	 	925	924	1092_5	 	 
Escherichia coli KTE10 (1169330.3)	 	2238	 	2364_5	 	 
Escherichia coli KTE100 (1182699.3)	2677_1	909	910	1157_5	 	 
Escherichia coli KTE101 (1182700.3)	560_1	3646	3647	3751_5	 	 
Escherichia coli KTE102 (1182701.3)	3203_1	1693	1694	1773_5	 	 
Escherichia coli KTE103 (1182702.3)	 	959	960	1074_5	 	 
Escherichia coli KTE104 (1169372.3)	 	266	267	389_5	 	 
Escherichia coli KTE105 (1169373.3)	 	299	300	411_5	 	 
Escherichia coli KTE106 (1169374.3)	 	149	150	301_5	 	 
Escherichia coli KTE107 (1182703.3)	2390_1	696	697	895_5	 	 
Escherichia coli KTE108 (1182704.3)	3654_1	1950	1951	2158_5	 	 
Escherichia coli KTE109 (1169375.3)	1837_1	436	437	532_5	 	 
Escherichia coli KTE11 (1169331.3)	1075_1	65	66	187_5	 	 
Escherichia coli KTE111 (1182706.3)	 	951	 	1068_5	 	 
Escherichia coli KTE112 (1169376.3)	 	284	285	446_5	 	 
Escherichia coli KTE113 (1169377.3)	 	550	551	682_5	 	 
Escherichia coli KTE114 (1169321.3)	3117_1	2216	2217	2310_5	 	 
Escherichia coli KTE115 (1182707.3)	1908_1	184	185	299_5	 	 
Escherichia coli KTE116 (1182708.3)	 	1100	1101	1217_5	 	 
Escherichia coli KTE117 (1169378.3)	1916_1	292	293	416_5	 	 
Escherichia coli KTE118 (1182709.3)	 	1252	 	1355_5	 	 
Escherichia coli KTE119 (1182710.3)	 	682	 	868_5	 	 
Escherichia coli KTE12 (1169332.3)	1815_1	221	222	335_5	 	 
Escherichia coli KTE120 (1169379.3)	 	312	 	465_5	 	 
Escherichia coli KTE121 (1182711.3)	 	4744	4745	4866_5	 	 
Escherichia coli KTE122 (1169380.3)	 	372	373	540_5	 	 
Escherichia coli KTE123 (1182712.3)	 	2510	 	2612_5	 	 
Escherichia coli KTE124 (1169381.3)	 	369	370	517_5	 	 
Escherichia coli KTE125 (1169382.3)	2017_1	321	322	453_5	 	 
Escherichia coli KTE126 (1182713.3)	 	1447	1448	1551_5	 	 
Escherichia coli KTE127 (1182714.3)	 	1079	1080	1197_5	 	 
Escherichia coli KTE128 (1169383.3)	 	348	349	525_5	 	 
Escherichia coli KTE129 (1169384.3)	 	215	216	427_5	 	 
Escherichia coli KTE13 (1169318.3)	1807_1	183	184	296_5	 	 
Escherichia coli KTE130 (1182715.3)	 	845	 	978_5	 	 
Escherichia coli KTE131 (1169385.3)	 	309	310	473_5	 	 
Escherichia coli KTE132 (1182716.3)	 	793	 	924_5	 	 
Escherichia coli KTE133 (1169386.3)	 	354	355	478_5	 	 
Escherichia coli KTE134 (1182717.3)	 	2935	2936	3043_5	 	 
Escherichia coli KTE135 (1182718.3)	3574_1	2120	2121	2224_5	 	 
Escherichia coli KTE136 (1182719.3)	2163_1	705	706	815_5	 	 
Escherichia coli KTE137 (1169387.3)	 	350	351	448_5	 	 
Escherichia coli KTE138 (1169388.3)	1813_1	254	255	363_5	 	 
Escherichia coli KTE139 (1169389.3)	 	349	350	466_5	 	 
Escherichia coli KTE14 (1169333.3)	 	28	 	183_5	 	 
Escherichia coli KTE140 (1182720.3)	 	811	812	918_5	 	 
Escherichia coli KTE141 (1182721.3)	 	748	749	845_5	 	 
Escherichia coli KTE142 (1182722.3)	 	4197	4198	4326_5	 	 
Escherichia coli KTE143 (1182723.3)	2123_1	465	466	571_5	 	 
Escherichia coli KTE144 (1182724.3)	 	22	23	151_5	 	 
Escherichia coli KTE145 (1169390.3)	1827_1	365	366	495_5	 	 
Escherichia coli KTE146 (1182725.3)	2445_1	819	820	968_5	 	 
Escherichia coli KTE147 (1182726.3)	 	3593	3594	3715_5	 	 
Escherichia coli KTE148 (1169391.3)	 	302	303	407_5	 	 
Escherichia coli KTE15 (1169334.3)	 	60	61	161_5	 	 
Escherichia coli KTE150 (1169392.3)	 	314	315	514_5	 	 
Escherichia coli KTE153 (1169393.3)	 	392	393	535_5	 	 
Escherichia coli KTE154 (1182728.3)	 	2878	 	3049_5	 	 
Escherichia coli KTE155 (1182729.3)	 	674	 	774_5	 	 
Escherichia coli KTE156 (1182730.3)	 	979	 	1082_5	 	 
Escherichia coli KTE157 (1169394.3)	 	220	221	376_5	 	 
Escherichia coli KTE158 (1182731.3)	 	932	933	1050_5	 	 
Escherichia coli KTE159 (1182732.3)	1262_1	253	254	375_5	 	 
Escherichia coli KTE16 (1169335.3)	 	947	948	1104_5	 	 
Escherichia coli KTE160 (1169395.3)	 	341	342	458_5	 	 
