Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Propionibacterium acnes HL087PA3 (765083.3)							2103	2104		2105	2100	2099	2223	1427	1435						
Propionibacterium acnes HL092PA1 (765086.3)							1348	1347		1346	1350	1351	1225	1908	1915						
Propionibacterium acnes HL096PA1 (1134454.3)							1363	1364		1365	1361	1360	1487	2035	2027						
Propionibacterium acnes HL096PA2 (765058.3)							1878	1877		1876	1881	1882	1759	1058	1050						
Propionibacterium acnes HL096PA3 (765057.3)							1211	1212		1213	1209	1208	1333	2297	2305						
Propionibacterium acnes HL097PA1 (765064.3)							1953	1952		1951	1955	1956	1829	1310	1312						
Propionibacterium acnes HL099PA1 (765063.3)							1579	1580		1581	1576	1575	1699	673	680						
Propionibacterium acnes HL103PA1 (765061.3)							1730	1731		1732	1728, 2334	1727	1825	2171	2164						
Propionibacterium acnes HL110PA1 (765077.3)							2094	2095		2096	2092	2091	2218	592	585						
Propionibacterium acnes HL110PA2 (765078.3)							1463	1462		1461	1466	1467	1337	673	681						
Propionibacterium acnes HL110PA3 (765079.3)							1995	1996		1997	1057, 1993	1992	2086	181	174						
Propionibacterium acnes HL110PA4 (765080.3)							825	826		827	823, 2164	822	916	1010	1935						
Propionibacterium acnes J139 (679194.3)							1074	1075		1076	1073, 1893	1072		2106	2100						
Propionibacterium acnes J165 (679195.3)							558	557		556	561	562	358	424	416						
Propionibacterium acnes KPA171202 (267747.3)							937	936		935	939, 1775	940	809	1996	1994						
Propionibacterium acnes PRP-38 (1136877.3)							271, 1645	1644		1643	1647	1648	1521	276	274						
Propionibacterium acnes SK137 (553199.9)							948	947		946	951	952	829	1969	1963						
Propionibacterium acnes SK182 (679193.4)							458	457		456	460	461	338	1528	1536						
Propionibacterium acnes SK182B-JCVI (1051006.4)							606	608		609	604	603	699	807	814						
Propionibacterium acnes SK187 (686659.3)							854	853		852	855	856		1375	1382						
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)							942	941		940	945	946	822	1998	1990						
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)							935	934		933	938	939	817	1993	1985						
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)							923	922		921	926	927	804	1986	1978						
Propionibacterium avidum 44067 (1170318.3)							266, 1339	1341		1342	1338	1337	1423	257	263						
Propionibacterium avidum ATCC 25577 (997355.3)							552, 2028	2029		2030	2027	2026	2111	561	555						
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)							517, 756	753		752	757	758		512	514						
Propionibacterium propionicum F0230a (767029.3)							2346	2358		2359		2858		2360	2352						
Proteus mirabilis ATCC 29906 (525369.4)							674	673	672	670	669	671	288	2991	2741						
Proteus mirabilis C05028 (1245027.3)							473	474	475	477	478	476	804	2866	3059						
Proteus mirabilis HI4320 (529507.6)							1696	1695	1694	1692	1691	1693	1367	3141	3456						
Proteus mirabilis PR03 (1279010.3)							3417	3416	3415	3413	3412	3414	42	243	2463						
Proteus mirabilis WGLW4 (1125693.3)							1396	1397	1398	1400	1401	1399	1780	83	3351						
Proteus mirabilis WGLW6 (1125694.3)							1669	1668	1667	1665	1664	1666	1360	3508	3207						
Proteus penneri ATCC 35198 (471881.3)							311, 312	310	308, 309	305	304	306, 307	4009	1142, 1144, 1145	2533						
Providencia alcalifaciens Dmel2 (1141661.3)							567	568	569	571	572	570	1373	3337	3506						
Providencia alcalifaciens DSM 30120 (520999.6)							3092	3093	3094	3096	3097	3095	2899	3300	1258						
Providencia rettgeri Dmel1 (1141663.3)							2857	2855, 2856	2854	2852	2851	2853	2026	527	3926						
Providencia rettgeri DSM 1131 (521000.6)							2268	2267	2266	2263, 2264	2262	2265	868	1707	2686, 3621						
Providencia stuartii ATCC 25827 (471874.6)							2240	2239	2238	2236	2235	2237	1470	3326	3362						
Providencia stuartii MRSN 2154 (1157951.4)							460	459	458	456	455	457	3918	2232	1549						
Pseudomonas aeruginosa 152504 (983919.3)							3623						2408		4203		][				
Pseudomonas aeruginosa 18A (1286151.3)							296						1713		1767		][				
Pseudomonas aeruginosa 19BR (1051003.3)							4798						1689		5774		][				
Pseudomonas aeruginosa 213BR (1051004.3)							4769						1727		5740		][				
Pseudomonas aeruginosa 39016 (798130.4)							2908						5989		4011		][				
Pseudomonas aeruginosa 9BR (1051005.3)							4859						1767		5835		][				
Pseudomonas aeruginosa AH16 (1208103.3)																					
Pseudomonas aeruginosa ATCC 14886 (1163392.3)							765						3689		5609		][				
Pseudomonas aeruginosa B136-33 (1280938.3)							720						3492		5426		][				
Pseudomonas aeruginosa CI27 (1163396.3)							776						3652		5729		][				
Pseudomonas aeruginosa DK2 (1093787.3)							727						3571		5431		][				
Pseudomonas aeruginosa DQ8 (1211113.3)							1013						4476		2878		][				
Pseudomonas aeruginosa E2 (1163395.3)							701						3390		5272		][				
Pseudomonas aeruginosa LCT-PA102 (1168061.3)							4001						740		2734		][				
Pseudomonas aeruginosa LESB58 (557722.4)							725						3824		5605		][				
Pseudomonas aeruginosa M18 (941193.4)							730						3563		5360		][				
Pseudomonas aeruginosa MPAO1/P1 (1131757.3)							5061						4059		5744		][				
Pseudomonas aeruginosa MRW44.1 (1198629.3)							5562						2344		283		][				
Pseudomonas aeruginosa MSH-10 (1331059.3)							50						2938		5112		][				
Pseudomonas aeruginosa NCGM2.S1 (1089456.3)							5455						2487		450		][				
Pseudomonas aeruginosa NCMG1179 (1078464.3)							45						2003		5340		][				
Pseudomonas aeruginosa PA14 (652611.13)							4361						1530		5640		][				
Pseudomonas aeruginosa PA21_ST175 (1285581.3)							6178						1519		1991		][				
Pseudomonas aeruginosa PA45 (1295076.3)							6126						691		4846		][				
Pseudomonas aeruginosa PA7 (381754.6)							823						3486		5520		][				
Pseudomonas aeruginosa PABL056 (1214916.3)							5903						3930		5591		][				
Pseudomonas aeruginosa PACS2 (388272.4)							5042						2178		5481		][				
Pseudomonas aeruginosa PADK2_CF510 (1134459.3)							5391						4176		338		][				
Pseudomonas aeruginosa PAK (1009714.6)							945						3773		5614		][				
Pseudomonas aeruginosa PAO1 (208964.12)							4432						1678		5307		][				
Pseudomonas aeruginosa PAO579 (1191475.3)							4263						1681		5133		][				
Pseudomonas aeruginosa PGPR2 (1328315.3)							771						3787		5793		][				
Pseudomonas aeruginosa SJTD-1 (1193501.3)							808						3739		1873		][				
Pseudomonas aeruginosa UCBPP-PA14 (208963.12)							751						3572		5491		][				
Pseudomonas aeruginosa XMG (1169413.3)							5599						2830		5342		][				
Pseudomonas alcaliphila 34 (1248438.3)															4040						
Pseudomonas fluorescens F113 (1114970.3)															414						
Pseudomonas fluorescens LMG 5329 (1324332.3)															1715						
Pseudomonas fluorescens NCIMB 11764 (1221522.3)															3513						
Pseudomonas fluorescens Pf0-1 (205922.5)													4203		390		][				
Pseudomonas fluorescens Pf-5 (220664.5)							3564						1784		436		][				
Pseudomonas fluorescens PfO-1 (205922.3)													4462		1983		][				
Pseudomonas fluorescens Q2-87 (1038922.3)															218						
Pseudomonas fluorescens Q8r1-96 (1038923.3)													4124		427		][				
Pseudomonas fluorescens R124 (743713.3)															372						
Pseudomonas fluorescens SBW25 (216595.4)													2067		624, 2522		][				
Pseudomonas fluorescens SS101 (1038924.3)															397						
Pseudomonas putida B001 (1048261.3)																					
Pseudomonas putida B6-2 (1081940.5)															5037						
Pseudomonas putida BIRD-1 (931281.3)															4841						
Pseudomonas putida DOT-T1E (1196325.3)															5628						
Pseudomonas putida F1 (351746.6)															4958						
Pseudomonas putida GB-1 (76869.5)															5062						
Pseudomonas putida H8234 (1331671.3)															5869						
Pseudomonas putida HB3267 (1215088.3)															4914						
Pseudomonas putida KT2440 (160488.4)															5352						
Pseudomonas putida LS46 (1193146.3)															3400						
Pseudomonas putida NB2011 (1330531.3)															4511						
Pseudomonas putida ND6 (231023.4)															1989						
Pseudomonas putida S12 (1215087.3)															4561						
Pseudomonas putida S16 (1042876.5)															4938						
Pseudomonas putida SJTE-1 (1193499.3)															2355						
Pseudomonas putida TRO1 (1227924.3)															3954						
Pseudomonas putida W619 (390235.5)															461						
Pseudomonas stutzeri A1501 (379731.5)													1911		352		][				
Pseudomonas stutzeri ATCC 14405 = CCUG 16156 (32042.3)															755						
Pseudomonas stutzeri ATCC 17588 = LMG 11199 (96563.4)															374						
Pseudomonas stutzeri CCUG 29243 (1196835.3)															3968						
Pseudomonas stutzeri DSM 10701 (1123519.7)															3597						
Pseudomonas stutzeri DSM 4166 (996285.3)													1931		400		][				
Pseudomonas stutzeri NF13 (1212548.4)															3613						
Pseudomonas stutzeri RCH2 (644801.3)															3837						
Pseudomonas stutzeri SDM-LAC (1109445.3)												551			1538						
Pseudomonas stutzeri T13 (1210443.6)															4068						
Pseudomonas stutzeri TS44 (477228.3)															617						
Pseudomonas stutzeri XLDN-R (1200345.6)															1455						
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)															2018						
Pyramidobacter piscolens W5455 (352165.3)																					
Ralstonia sp. 5_7_47FAA (658664.3)															1435						
Rhodococcus equi 103S (685727.3)							810, 4116	3702		3706	3723	3708	3507	3729	3699						
Rhodococcus equi ATCC 33707 (525370.3)							626, 2228	2747		2743	1282, 2726	2741	2941	1579	2750						
Rhodococcus erythropolis PR4 (234621.6)							3186	2190		2186, 5550	2173	2184		2167	741, 2193						
Rhodococcus erythropolis SK121 (596309.3)			5222					2258		503, 2262	2275	2264		2279	2255						][
Rhodococcus erythropolis XP (1078016.3)								136		140, 1214, 3303	153, 6184	142		160	133						][
Roseburia hominis A2-183 (585394.18)																					
Roseburia intestinalis L1-82 (536231.5)																					
Roseburia intestinalis XB6B4 (718255.3)																					
Roseburia inulinivorans DSM 16841 (622312.4)																					
Rothia aeria F0474 (1125724.3)							934	701		702	1798	1797		1799	709						
Rothia dentocariosa ATCC 17931 (762948.4)							551	409	904	408	417	416	1791	418	402						
Rothia dentocariosa M567 (563032.4)							452	1419	840	1418	1425	1424	215	1426	1412						
Rothia mucilaginosa ATCC 25296 (553201.3)							692	797		798	790	791	1594	789	805						
Rothia mucilaginosa DY-18 (680646.3)							218	319		320	313	314	1005	312	327						
Rothia mucilaginosa M508 (563033.4)							257	360		361	354	355	1057	353	368						
Rudanella lutea DSM 19387 (1089547.3)							3599	617		925	278	275									
Ruminococcaceae bacterium D16 (552398.3)																					
Ruminococcus albus 7 (697329.10)																					
Ruminococcus albus 8 (246199.4)																					
Ruminococcus bromii L2-63 (657321.5)																					
Ruminococcus flavefaciens FD-1 (641112.4)																					
Ruminococcus gnavus ATCC 29149 (411470.6)																					
Ruminococcus lactaris ATCC 29176 (471875.6)								281, 287													
Ruminococcus obeum A2-162 (657314.3)															29, 3183						
Ruminococcus sp. 18P13 (213810.4)																					
Ruminococcus sp. 5_1_39BFAA (457412.4)															56						
Ruminococcus sp. SR1/5 (657323.3)																					
Ruminococcus torques ATCC 27756 (411460.6)																					
Ruminococcus torques L2-14 (657313.3)																					
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- (41514.7)							564	565	566	568	569	567	1538	3382	3496						
Salmonella enterica subsp. enterica serovar Agona str. 01.O.05 (1265673.3)							1331	1332	1333	1335	1336	1334	480	3181	3888						
Salmonella enterica subsp. enterica serovar Agona str. 02.O.05 (1265665.3)							1648	1647	1646	1644	1643	1645	351	1277	1329						
Salmonella enterica subsp. enterica serovar Agona str. 03.O.05 (1265636.3)							1152	1153	1154	1156	1157	1155	498	3368	642						
Salmonella enterica subsp. enterica serovar Agona str. 04.O.05 (1265657.3)							1297	1296	1295	1293	1292	1294	481	3019	1097						
Salmonella enterica subsp. enterica serovar Agona str. 05.O.06 (1265678.3)							1539	1540	1541	1543	2966	1542	506	2493	2676						
Salmonella enterica subsp. enterica serovar Agona str. 06.O.05 (1265642.3)							1095	1096	1097	1099	1100	1098	482	3220	4050						
Salmonella enterica subsp. enterica serovar Agona str. 07.O.05 (1265611.3)							1620	1621	1622	1624	1625	1623	495	3344	4113						
Salmonella enterica subsp. enterica serovar Agona str. 08.A.05 (1265637.3)							108	107	106	104	103	105	1321	3847	3909						
Salmonella enterica subsp. enterica serovar Agona str. 10.A.05 (1265679.3)							1946	1945	1944	1942	1941	1943	1219	3726	3788						
Salmonella enterica subsp. enterica serovar Agona str. 11.A.05 (1265643.3)							637	636	635	633	632	634	1186	4146	4183						
Salmonella enterica subsp. enterica serovar Agona str. 12.A.06 (1265612.3)							215	214	213	211	210	212	1322	3993	4076						
Salmonella enterica subsp. enterica serovar Agona str. 13.E.05 (1265638.3)							74	73	72	70	69	71	1400	4221	4283						
Salmonella enterica subsp. enterica serovar Agona str. 14.E.05 (1265659.3)							213	212	211	209	208	210	1104	4111	4172						
Salmonella enterica subsp. enterica serovar Agona str. 15.H.03 (1265680.3)							3273	3274	3275	3277	3278	3276	472	3376	3948						
Salmonella enterica subsp. enterica serovar Agona str. 17.H.06 (1265613.3)							1419	1420	1421	1423	1424	1422	550	3620	4187						
Salmonella enterica subsp. enterica serovar Agona str. 18.H.07 (1265644.3)							3590	3591	3592	3594	3595	3593	572	3546	3970						
Salmonella enterica subsp. enterica serovar Agona str. 19.F.03 (1265668.3)							930	931	932	934	935	933	280	1353	3888						
Salmonella enterica subsp. enterica serovar Agona str. 20.H.06 (1265614.3)							1923	1922	1921	1919	1918	1920	1038	3494	3999						
Salmonella enterica subsp. enterica serovar Agona str. 21.H.10 (1265650.3)							1115	1116	1117	1119	1120	1118	569	3559	3716						
Salmonella enterica subsp. enterica serovar Agona str. 22.H.04 (1265618.3)							1820	1821	1822	1824	1825	1823	521	3729	4216						
Salmonella enterica subsp. enterica serovar Agona str. 23.F.01 (1265639.3)							1175	1176	1177	1179	1180	1178	539	1342	3711						
Salmonella enterica subsp. enterica serovar Agona str. 24.H.04 (1265660.3)							1794	1795	1796	1798	1799	1797	881	3749	4061						
Salmonella enterica subsp. enterica serovar Agona str. 26.F.98 (1265681.3)							1655	1656	1657	1659	1660	1658	720	1050	2853						
Salmonella enterica subsp. enterica serovar Agona str. 27.O.98 (1265645.3)							2554	2555	2556	2558	2559	2557	343	2783	3580						
Salmonella enterica subsp. enterica serovar Agona str. 28.O.08 (1265615.3)							1212	1211	1210	1208	1207	1209	344	2888	3620						
Salmonella enterica subsp. enterica serovar Agona str. 29.O.08 (1265640.3)							3831	3829, 3830	3828	3826	1446	3827	497	2314	4103						
Salmonella enterica subsp. enterica serovar Agona str. 30.H.04 (1265661.3)							917	916	915	913	912	914	1482	4042	4079						
Salmonella enterica subsp. enterica serovar Agona str. 31.H.09 (1265682.3)							241	242	243	245	246	244	1283	3761	4156						
Salmonella enterica subsp. enterica serovar Agona str. 32.A.00 (1265646.3)							1295	1296	1297	1299	2919	1298	999	2498	3267						
Salmonella enterica subsp. enterica serovar Agona str. 33.A.05 (1265616.3)							142	141	140	138	137	139	591	3273	3221						
Salmonella enterica subsp. enterica serovar Agona str. 34.H.09 (1265641.3)							276	277	278	280	281	279	1317	3546	3725						
Salmonella enterica subsp. enterica serovar Agona str. 35.H.08 (1265669.3)							2108	2109	2110	2112	2113	2111	972	3534	4320						
Salmonella enterica subsp. enterica serovar Agona str. 36.H.00 (1265617.3)							211	210	209	207	206	208	1321	4085	4179						
Salmonella enterica subsp. enterica serovar Agona str. 37.F.02 (1265651.3)							3123	3124	3125	3127	3128	3126	335	3078	3781						
Salmonella enterica subsp. enterica serovar Agona str. 38.O.03 (1265621.3)							341	340	339	337	336	338	1002	3494	3212						
Salmonella enterica subsp. enterica serovar Agona str. 39.O.03 (1265647.3)							2911	2910	2909	2907	2906	2908	783	2505	2615						
Salmonella enterica subsp. enterica serovar Agona str. 40.E.08 (1265622.3)							636	635	634	632	631	633	1313	4083	4144						
Salmonella enterica subsp. enterica serovar Agona str. 41.E.09 (1265652.3)							697	698	699	701	635	700	195	1870	4085						
Salmonella enterica subsp. enterica serovar Agona str. 42.E.09 (1265648.3)							595	596	597	599	551	598	181	1536	3985						
Salmonella enterica subsp. enterica serovar Agona str. 43.E.09 (1265670.3)							268	269	270	272	273	271	1319	3807	3869						
Salmonella enterica subsp. enterica serovar Agona str. 45.E.09 (1265653.3)							1271	1272	1273	1275	962	1274	409	2376	3324						
