Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Streptococcus thermophilus ND03 (767463.3)	402_1	1326	500	1238	 	376	1004	1243_10, 377_12	885	884	 	2026_18, 824_18	 	624	1663_25, 220_23, 319_25, 323_23, 324_24, 327_26, 328_27, 329_28	 
Streptococcus thoraltensis DSM 12221 (1123318.3)	1766_1	27	193	523	 	1299	 	1300_10, 530_10	 	 	 	690_20	 	817	1186_25, 1188_23, 1189_24, 195_23, 2241_25	 
Streptococcus uberis 0140J (218495.5)	299_1	907	782	 	 	 	 	1101_10, 408_12	 	 	 	 	 	 	130_23, 294_28, 295_27, 296_26, 349_25, 351_23, 352_24	 
Streptococcus vestibularis ATCC 49124 (889206.3)	1359_1	479	1277	559	 	1383, 1384	775	553_10	 	 	 	834_18, 835_18, 994_18	 	1175	1425_28, 1426_27, 1427_26, 1430_24, 1431_23, 1433_25, 1516_23, 795_23	 
Streptococcus vestibularis F0396 (904306.3)	1830_1	1577	1925, 1926	371	 	667	558	365_10, 666_12	 	 	 	1337_18	 	1422	1698_23, 200_28, 201_27, 202_26, 205_24, 206_23, 208_25, 579_23	 
Butyricicoccus pullicaecorum 1.2 (1203606.4)	2150_1	336	2152	87	 	 	2218, 2595	 	 	 	1803	 	 	 	134_23, 2475_23	386
Clostridium acetobutylicum ATCC 824 (272562.8)	2016_1, 465_1	201, 772	1206	 	2031	584	 	 	1140	1141	781	 	 	3529	 	 
Clostridium acetobutylicum DSM 1731 (991791.3)	1852_1, 289_1	23, 596	1029	 	1867	408	 	 	960	961	605	 	 	3375	 	 
Clostridium acetobutylicum EA 2018 (863638.3)	1856_1, 291_1	23, 597	1031	 	1871	411	 	 	964	965	606	 	 	3382	 	 
Clostridium asparagiforme DSM 15981 (518636.5)	3999_1, 4880_1, 4881_1	2179	773	4608	 	 	184, 4369	102_12, 1067_10	 	 	3000	 	 	 	2410_25, 2411_24, 2412_23, 2413_23, 4281_23, 4427_23, 4478_23	1352, 3493
Clostridium bartlettii DSM 16795 (445973.7)	1840_1, 2028_1	334	1571, 1848	 	1856	 	 	 	 	 	176	 	 	 	 	 
Clostridium beijerinckii G117 (1200349.3)	1714_1, 512_1	4311, 4384	1263	 	1913	4500	204, 2275, 3633	4499_10	3626	3625	1831, 4664	2937_20, 2938_20	 	 	3617_25, 3618_24, 3619_23, 3629_25, 3630_24, 3631_23	 
Clostridium beijerinckii NCIMB 8052 (290402.41)	1242_1, 4368_1	1855, 533	1599	 	1313	245	 	2811_12	646	647	1443, 3217	2408_20	 	2792	 	 
Clostridium bolteae 90B8 (997897.5)	239_1, 4595_1	4137	5477, 6145	4881	 	 	1148, 3917, 4396, 5731	192_13, 4973_10	 	 	3046	5961_18	 	 	2674_23, 2967_23, 4336_23, 4379_23, 4768_25, 4769_24, 4770_23	2995
Clostridium bolteae ATCC BAA-613 (411902.9)	1344_1, 2181_1	2647	523, 5442	807	 	 	1647, 3687, 3967	2482_12, 3623_10	 	 	5029	 	 	 	3908_23, 3951_23, 5450_23, 694_25, 695_24, 696_23	1826
Clostridium botulinum A str. ATCC 19397 (441770.6)	1585_1, 2195_1, 3269_1	3086	1586, 1739	 	1738	 	 	1352_10	707	705	1569	 	 	 	1450_24	1442, 3334
Clostridium botulinum A str. ATCC 3502 (413999.7)	1613_1, 2386_1, 3313_1	3130	1614, 1847	 	1846	 	 	1380_10	724	722	1597	 	 	 	1477_24	1469, 3378
Clostridium botulinum A str. Hall (441771.6)	1598_1, 2186_1, 3157_1	2975	1599, 1752	 	1751	 	 	1362_10	710	708	1581	 	 	 	1460_24	1452, 3223
Clostridium botulinum A2 str. Kyoto (536232.3)	1758_1, 2556_1, 3574_1	3386	1759, 1962	1961	 	 	1963	1461_10	784	782	1742	 	 	 	1143_23, 1144_24, 1145_25, 1213_23, 1618_23, 1619_24, 1620_25, 703_23	1611, 3656
Clostridium botulinum A3 str. Loch Maree (498214.7)	2024_1, 2700_1, 3641_1	3460	2025, 2182	2181	 	 	2183	1762_10	1073	1071	2007	 	 	 	1007_23, 1451_23, 1452_24, 1453_25, 1454_25, 1522_23, 1898_23, 1899_24, 1900_25	1891, 3722
Clostridium botulinum B str. Eklund 17B (508765.6)	1213_1, 979_1	2400	973	2824	 	 	317	 	3225	3223	2762	 	 	 	678_23, 679_24, 680_25	1682
Clostridium botulinum B1 str. Okra (498213.7)	1785_1, 2440_1, 3441_1	3269	1786, 1930	1929	 	 	1931	1563_10	899	897	1767	 	 	 	1238_23, 1239_24, 1240_25, 1241_25, 1306_23, 1648_23, 1649_24, 836_23	1641, 3517
Clostridium botulinum Ba4 str. 657 (515621.3)	1971_1, 2832_1, 3773_1	3603	1972, 2274	2273	 	 	2275	1744_10	1031	1029	1956	 	 	 	1361_23, 1362_24, 1363_25, 1364_25, 1432_23, 1829_23, 1830_24, 1831_25, 979_23	1821, 3860
Clostridium botulinum BKT015925 (929506.3)	1757_1, 2255_1	1253	349	651	 	 	650	 	 	 	2308	 	 	 	2252_25, 2253_24, 2254_23	723
Clostridium botulinum CB11/1-1 (1289590.3)	175_1, 2307_1	564, 565	181	464	 	 	1578	 	 	 	388	 	 	 	1777_23	3158
Clostridium botulinum CDC66177 (1221327.3)	3429_1, 514_1	463	508	1138	 	 	655	 	3016	3018	751	 	 	 	912_25, 913_24, 914_23	3616
Clostridium botulinum D str. 1873 (592027.3)	1112_1	1509	 	 	 	 	 	 	 	 	2127	 	 	 	 	1934, 742
Clostridium botulinum E1 str. 'BoNT E Beluga' (536233.3)	2413_1, 2709_1	1180	2715	679	 	 	3324	 	 	 	754	 	 	 	2597_23	1947
Clostridium botulinum E3 str. Alaska E43 (508767.5)	1162_1, 909_1	2174	903	2572	 	 	298	 	 	 	2497	 	 	 	1025_23	1760
Clostridium botulinum F str. 230613 (758678.3)	1734_1, 2530_1, 3611_1	3335	1735, 1970	1969	 	 	1971	1492_10	779	777	1717	 	 	 	1148_23, 1149_23, 1150_24, 1151_25, 1152_25, 1224_23, 1581_23, 1582_24, 1583_25, 698_23	1573, 3695
Clostridium botulinum F str. Langeland (441772.13)	1636_1, 2380_1, 3384_1	3124	1637, 1854	1853	 	 	1855	1413_10	743	741	1620	 	 	 	1095_23, 1096_24, 1097_25, 1098_25, 1165_23, 1498_23, 1499_24, 1500_25, 665_23	1491, 3462
Clostridium botulinum H04402 065 (941968.4)	1707_1, 2428_1, 3416_1	3215	1708, 1881	1879, 1880	 	 	1882	1460_10	777	775	1687, 1688	 	 	 	1147_23, 1148_24, 1149_25, 1150_25, 1566_23, 1567_24, 1568_25, 722_23	1557, 3488
Clostridium butyricum 60E.3 (997898.4)	344_1, 626_1	1483	1673	2018	 	 	3122, 3761	 	1350	1351	1871	2778_18	 	 	1346_24, 1347_23, 1348_25, 3117_25, 3118_24, 3119_23, 509_23, 786_26, 787_27, 788_28	 
Clostridium butyricum DKU-01 (1306409.3)	1888_1, 2169_1	1105	899	606	 	 	2537, 2830	 	1196	1195	690	3262_18	 	 	1198_25, 1199_23, 1200_24, 1726_28, 1727_27, 1728_26, 2006_23, 2532_25, 2533_24, 2534_23	 
Clostridium butyricum DSM 10702 (1316931.3)	1174_1, 539_1	2580	150	1595	 	 	3043, 688	3462_10	2673	2672	3286	3333_18	 	 	1292_23, 2675_25, 2676_23, 2677_24, 523_26, 524_27, 525_28, 691_23, 692_24, 693_25	 
Clostridium butyricum E4 str. BoNT E BL5262 (632245.3)	3052_1, 3535_1	2155	1951	1706	 	 	1062, 1342	156_12	2329	2328	1799	 	 	 	1057_25, 1058_24, 1059_23, 2331_25, 2332_23, 2333_24, 2887_28, 2888_27, 2889_26, 3311_23	292, 293
Clostridium celatum DSM 1785 (545697.3)	3076_1, 3373_1	2703	3146, 703, 706	2990	 	 	704	 	 	 	2112	 	 	 	1953_23, 2546_23, 2547_24, 2548_25, 613_28, 614_27, 615_26	696
Clostridium citroniae WAL-17108 (742733.3)	3472_1, 4346_1	46	5325, 6082	3196	 	 	1390, 1410, 3738, 6151	2832_12	 	 	494	 	 	 	141_23, 180_23, 3310_23, 3311_24, 3312_25, 417_23, 4881_23, 5685_23, 6168_25, 6169_24, 6170_23	445
Clostridium clariflavum DSM 19732 (720554.3)	2531_1, 3041_1	1490	3042	2318	 	3588	2314	2877_12	 	 	2100	 	 	 	1057_23, 2871_24, 2872_23, 2873_25, 3968_25, 3969_24, 3970_23	 
Clostridium clostridioforme 2_1_49FAA (742735.4)	1847_1, 954_1	3823	4255, 5067	556	 	 	1267, 4643, 4860, 5480	3392_13, 4838_10	 	 	3488	 	 	 	1283_23, 3407_23, 3902_23, 662_23, 663_24, 664_25	3436, 5266
Clostridium clostridioforme 90A1 (999403.4)	1135_1, 2885_1	513	3565, 3701	1575	 	 	4587, 4620, 5327, 5457, 6056, 747	177_12, 5348_10	 	 	277	 	 	 	1462_25, 1463_24, 1464_23, 194_23, 421_23, 4590_23, 731_23	223, 5226
Clostridium clostridioforme 90A3 (999404.4)	2396_1, 709_1	2941	4001, 4148	2139	 	 	1297, 1501, 2781, 3372, 3401, 5231	1522_10, 5477_12	 	 	5381	 	 	 	2253_23, 2254_24, 2255_25, 2797_23, 2844_23, 3398_23, 5463_23	5171, 5434
Clostridium clostridioforme 90A4 (999405.4)	135_1, 2893_1	3594	2283, 5144	643	 	 	2360, 2393, 3693, 4459, 5096, 6033	2822_13, 4437_10	 	 	2721	 	 	 	2363_23, 2805_23, 3499_23, 5079_23, 754_23, 755_24, 756_25	2776, 4087
Clostridium clostridioforme 90A6 (999406.3)	1951_1, 734_1	183	3683, 4434	987	 	 	345, 4252, 4284, 5227, 5906, 6322	3980_12, 5928_10	 	 	3880	 	 	 	277_23, 329_23, 3963_23, 4281_23, 873_25, 874_24, 875_23	3934, 4884
Clostridium clostridioforme 90A8 (999408.3)	15_1, 1960_1	2246	4215, 5691	1058	 	 	2356, 4783, 5533	3300_13, 5554_10	 	 	3398	 	 	 	2319_23, 2372_23, 3316_23, 942_25, 943_24, 944_23	2452, 3345
Clostridium clostridioforme 90B1 (999409.3)	2440_1, 813_1	3861	1707, 4430	558	 	 	1200, 3667, 5138, 5168, 5476, 5603	3426_12, 5581_10	 	 	3523	 	 	 	1216_23, 3441_23, 3957_23, 5141_23, 670_23, 671_24, 672_25	3276, 3470
Clostridium clostridioforme CM201 (999410.3)	3139_1, 772_1	5389	2405, 4615	4246	 	 	1292, 1497, 2636, 3458, 5191, 5222	1517_10, 2888_12	 	 	2789	 	 	 	2871_23, 3474_23, 3525_23, 4359_23, 4360_24, 4361_25, 5194_23	2577, 2843
Clostridium difficile 6503 (691160.5)	1209_1, 664_1	880	1039, 3584, 446	3205	 	 	3204	2423_10	 	 	2062, 2568	 	 	 	1839_23, 2757_25, 2758_24, 2759_23, 3841_23	 
Clostridium difficile 2007855 (699033.6)	1257_1, 2059_1	3293	1083, 1607	 	1870	 	 	 	 	 	1771, 3707	 	 	 	 	 
Clostridium difficile 630 (272563.8)	1389_1, 2161_1	3377	1224, 1655	 	1917	 	 	2821, 2860_10	 	 	1815, 3768	 	 	 	1561_23, 913_23, 916_23	 
Clostridium difficile ATCC 43255 (499175.4)	1678_1, 913_1	2853	1218, 708	 	1476	 	 	1546_10, 2333, 2372_10	 	 	1376, 3216	 	 	 	1089_23, 1291_25, 513_23	 
Clostridium difficile BI1 (699034.5)	1254_1, 2050_1	3250	1079, 1605	 	1864	 	 	 	 	 	1766, 3621	 	 	 	 	 
Clostridium difficile CD196 (645462.3)	1234_1, 2012_1	3191	1065, 1576	 	1833	 	 	 	 	 	1736, 3556	 	 	 	 	 
Clostridium difficile CIP 107932 (499176.4)	1608_1, 821_1	2858	1166, 650	 	1421	 	 	 	 	 	1324, 3257	 	 	 	 	 
Clostridium difficile M120 (699035.5)	1314_1, 2098_1	3269	1147, 1592, 2476	1865	 	493	1864	2774_10, 2814_10	 	 	1759, 3613	 	 	 	1488_23, 1489_24, 1490_25, 939_23, 942_23	 
Clostridium difficile M68 (699037.5)	1362_1, 2180_1	3431	1190, 1724, 2546	1981	 	 	1980	2850_10, 2889_10, 3134_12	 	 	1877, 3812	 	 	 	1541_23, 1542_24, 1543_25, 987_23, 990_23	 
Clostridium difficile NAP07 (525258.3)	2686_1, 3055_1	832	1631, 2229, 3216	2484	 	337	2483	1329_10, 3455_10	 	 	2385, 659	 	 	 	1959_23, 2888_25, 2889_24, 2890_23, 3481_23	 
Clostridium difficile NAP08 (525259.3)	187_1, 2708_1	1563	2547, 2985, 920	489	 	2059	490	1446_10, 4_10	 	 	3128, 621	 	 	 	1903_23, 1905_23, 2875_23, 2876_24, 2877_25	 
Clostridium difficile QCD-23m63 (499174.4)	1420_1, 606_1	2602	1801, 439, 981	1234	 	3351	1233	2101_10, 2140_10	 	 	1131, 2991, 2992	 	 	 	187_23, 190_23, 876_23, 877_24, 878_25	 
Clostridium difficile QCD-37x79 (479834.4)	1483_1, 699_1	2765	1046, 526	 	1299	 	 	 	 	 	1203, 3317	 	 	 	 	 
Clostridium difficile QCD-63q42 (479831.4)	1310_1, 480_1	2488	319, 829	 	1116	3409	 	1985, 2025_10	 	 	2983, 985	 	 	 	127_23, 129_23, 650_23	 
Clostridium difficile QCD-66c26 (455631.3)	174_1, 3093_1	1351	2924, 3432	 	3685	 	 	 	 	 	1754, 3589	 	 	 	 	 
Clostridium difficile QCD-76w55 (479832.7)	1626_1, 854_1	2852	1192, 683	 	1446	 	 	 	 	 	1349, 3343	 	 	 	 	 
Clostridium difficile QCD-97b34 (479833.4)	1637_1, 852_1	2840	1188, 686	 	1444	 	 	 	 	 	1348, 3192	 	 	 	440_23	 
Clostridium difficile R20291 (645463.3)	1240_1, 2101_1	3276	1070, 1580	 	1835	 	 	 	 	 	1738, 3641	 	 	 	 	 
Clostridium hiranonis DSM 13275 (500633.7)	1162_1, 987_1	1405	 	1928	 	 	1927	1123_10	 	 	2008	 	 	 	492_23, 493_24, 494_25	315
Clostridium hylemonae DSM 15053 (553973.6)	2391_1, 2392_1, 522_1	2490	1531, 305, 524	2634	 	 	143, 2189	 	 	 	2296	 	 	 	2183_23, 2541_25, 2542_24, 2543_23	767
Clostridium leptum DSM 753 (428125.8)	2119_1	2441	2117	1940	 	 	1168, 1195	 	 	 	1928, 2263	 	 	 	 	 
Clostridium methylpentosum DSM 5476 (537013.3)	1496_1	1534	1494	650	 	 	74, 936	1223_12	 	 	853	 	 	 	 	1815
Clostridium nexile DSM 1787 (500632.7)	1363_1, 2429_1	2841	2427, 2657	206	 	 	1607, 2581	3332_10	 	 	2788	 	 	 	 	2633
Clostridium perfringens ATCC 13124 (195103.10)	1876_1	2100	 	 	 	 	 	 	156	157	 	 	 	 	1781_26	2519
Clostridium perfringens F262 (883064.3)	2001_1	2222	 	 	 	 	 	 	172	173	 	 	 	 	1906_27, 1907_26	2662
Clostridium perfringens SM101 (289380.15)	1628_1	1847	 	 	 	 	 	 	150	151	 	 	 	 	1528_28, 1529_27, 1530_26	2244
Clostridium perfringens WAL-14572 (742739.3)	1342_1	1568	 	 	 	 	 	 	2752	2751	 	 	 	 	1244_27, 1245_26	2368
Clostridium perfringens str. 13 (195102.6)	1749_1	1977	 	 	 	 	 	 	233	234	 	 	 	 	1653_27, 1654_26	2388
Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.5)	1308_1, 4467_1	3416, 5240	2604	1440	 	271	5274	272_10, 2920_12	1390	1391, 1742	1578, 2405	1352_20, 4846_20	 	2522	1132_23, 1385_23, 1386_24, 1387_25, 1836_23, 1928_25, 1929_23, 1930_24, 5146_25, 5147_24, 5148_23	 
Clostridium sartagoforme AAU1 (1202534.3)	1888_1, 854_1	1370	272, 3321	3297	 	2308	269	2309_10	 	 	3818, 3819	 	 	 	1030_23, 106_25, 107_24, 108_23, 796_25, 797_24, 798_23	262
Clostridium scindens ATCC 35704 (411468.9)	1173_1, 3370_1	1804	321, 3368	1721	 	 	1064, 1292	1669_12	 	 	1135	 	 	 	2127_24, 2128_23, 2129_25, 3486_23	2175
Clostridium sp. 7_2_43FAA (457396.3)	1664_1, 726_1	1018	1999, 2121	2098	 	 	2001	2348_10	 	 	1511	 	 	 	2751_25, 2752_24, 2753_23, 896_26, 897_27, 898_28	2009
Clostridium sp. L2-50 (411489.7)	575_1	2452	337	2421	 	2220	1156, 259, 964	2219_10	 	 	824	 	 	 	1827_23, 1828_24, 1829_25	 
Clostridium sp. M62/1 (411486.3)	3001_1, 3232_1	213	3002	3292, 3296	 	 	166	2014_10	 	 	2505	 	 	 	254_25, 256_23, 333_23	1096
Clostridium sp. SS2/1 (411484.7)	2019_1, 317_1	559	119	45	 	1161	1642, 519	362_10	 	 	1009	2062_20, 399_18	 	774	2697_23, 727_25, 728_23, 729_24, 828_23	361
Clostridium sp. SY8519 (1042156.4)	2116_1	2504	197, 979	936	 	 	1151, 1398, 1577	872_10	 	 	1274, 1598	769_20	 	 	1820_23, 2049_23, 240_23	2671
Clostridium sporogenes ATCC 15579 (471871.7)	1224_1, 1904_1, 233_1	415	1736, 1903	 	1737	 	 	 	3364	3362	1929	 	 	 	2067_24	2075
Clostridium sporogenes PA 3679 (1075091.3)	1096_1, 1165_1, 1285_1	3316	1166, 3735	3736	 	 	3734	816_13	1950, 1951	1953	1136	 	 	 	296_23, 297_24, 298_25, 299_25, 366_23, 904_23, 905_24, 906_25	2883, 897
Clostridium sporosphaeroides DSM 1294 (1121334.3)	2831_1, 645_1	2827	2467, 643	1123	 	14	1195, 1207, 3126	15_12	3120	3121	 	3166_20, 633_18	 	 	2605_23, 2973_23, 3112_23, 3113_24, 3114_25, 3117_23, 3118_24, 3119_25, 3381_23, 3420_23, 3421_24, 3422_25	 
Clostridium sticklandii DSM 519 (499177.3)	1403_1, 2135_1	15	898	 	2135_1	 	 	 	 	 	141	 	 	 	 	 
Clostridium symbiosum WAL-14163 (742740.3)	3827_1, 411_1	1569	3825	2966	 	 	1511	1249_12, 3994_12, 4164_10	 	 	982	 	 	 	1496_23, 1678_23, 2095_23, 2096_24, 2097_25, 2451_23, 4157_25, 4158_23, 4159_24	2899, 4693
Clostridium symbiosum WAL-14673 (742741.3)	109_1, 4495_1	4225	4496	4579	 	 	1166	2142_12, 3777_12	 	 	2314	 	 	 	1144_23, 1253_24, 1254_23, 1255_25, 1537_23, 1538_24, 1539_25, 1667_23, 3060_23	1425
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.4)	1090_1, 803_1	2340	1680, 2293	166, 954	 	 	2119, 2140, 2264, 435	 	2152	2151	956, 957	2375_18, 2896_20, 2897_20	 	 	3007_25, 3008_23, 3009_24, 547_24, 548_23, 549_25	 
Clostridium tyrobutyricum UC7086 (1212547.3)	1097_1, 191_1	785	472, 834	1071, 2409	 	 	1500, 2005, 2008, 2990, 935, 951	 	948	947	1073	1823_20, 1824_20, 747_18	 	 	147_25, 148_23, 149_24, 1784_25, 1785_23, 1786_24, 985_23, 986_24, 987_25	 
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	 	 	1582	 	 	 	 	 	 	 	 	1325_18	 	 	807_25, 808_25, 809_24, 810_23, 975_23	1635
Anaerococcus prevotii DSM 20548 (525919.6)	 	 	 	 	389	 	 	 	 	 	 	 	 	 	 	1691
Anaerococcus vaginalis ATCC 51170 (655811.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	852, 943
Finegoldia magna ACS-171-V-Col3 (768713.4)	589_1	588	587	 	 	 	 	 	 	 	 	1681_18, 410_20	 	 	1405_23, 411_25, 413_23	 
Finegoldia magna ATCC 29328 (334413.6)	523_1	524	525	 	 	 	 	 	 	 	 	 	 	 	 	 
Finegoldia magna ATCC 53516 (525282.5)	 	 	579	 	 	 	 	 	 	 	 	438_18	 	 	1482_23, 1483_24, 1484_25, 293_23, 294_24, 295_25	263
Finegoldia magna BVS033A4 (866773.4)	1809_1	1808	1338, 1807	 	 	 	 	 	 	 	 	1155_20, 1731_18	 	 	1156_25	 
Finegoldia magna SY403409CC001050417 (866779.4)	787_1	786	1038, 785	 	 	 	 	 	 	 	 	55_20, 708_18	 	 	514_23, 56_25, 57_24	 
Parvimonas micra ATCC 33270 (411465.10)	 	 	951	 	 	 	386	1240_10	 	 	 	1052_18	 	 	 	 
Peptoniphilus harei ACS-146-V-Sch2b (908338.3)	1085_1, 1461_1	1462	1463, 472	1086	 	 	736	 	 	 	 	167_20, 168_20	 	 	1237_25, 1238_25, 1239_24, 1240_23, 599_23	1641
Peptoniphilus indolicus ATCC 29427 (997350.3)	1017_1, 60_1	1010	1011, 951	804	 	 	46	 	 	 	 	 	 	981	56_25, 57_24, 58_23, 81_23, 985_23	453
Peptoniphilus lacrimalis 315-B (596330.3)	650_1	816	807, 817	 	 	 	 	 	 	 	 	 	 	 	1277_23, 691_23, 692_24, 693_25	404
Peptoniphilus lacrimalis DSM 7455 (1122949.3)	1449_1	1193	1192, 702	 	 	 	 	 	 	 	 	483_20	 	 	1342_25, 1343_24, 1344_23, 343_23	1635
Peptoniphilus timonensis JC401 (1095770.3)	1011_1	1012	1013, 304	1873	 	 	478, 479	 	 	 	 	 	 	 	75_23, 76_24, 77_25, 901_23	1181
Anaerofustis stercorihominis DSM 17244 (445971.6)	1105_1, 1517_1	943	1518	 	1629	 	 	 	 	 	778	 	 	 	 	 
Eubacterium cellulosolvens 6 (633697.3)	329_1	2152	2255	440	 	 	1219, 1701, 766	1580_10	 	 	602	1316_20	 	 	946_25, 947_24, 948_23	 
Eubacterium eligens ATCC 27750 (515620.4)	355_1	1176	1357, 354	 	1129	 	 	 	 	 	1306	613_18	 	 	 	 
Eubacterium hallii DSM 3353 (411469.3)	2407_1	2656	2406, 2567	2063	 	 	1430, 2506, 2809	 	 	 	1254	 	 	 	1838, 1906_25, 2483_24, 2484_23	 
Eubacterium limosum KIST612 (903814.3)	2915_1, 3006_1, 3007_1	3002	2916	 	119	3368	 	 	 	 	3373	 	 	 	 	 
Eubacterium rectale ATCC 33656 (515619.6)	2430_1	1875	618	 	1931	 	 	 	 	 	1214	 	 	 	 	 
Eubacterium rectale DSM 17629 (657318.4)	2316_1	1546	84	 	1603	 	1758, 759	2638_12	 	 	761	1473_20	 	 	2907_23	 
Eubacterium rectale M104/1 (657317.3)	1591_1	435	2995	 	379	 	2313, 2858	 	 	 	2315	 	 	 	 	 
Eubacterium saphenum ATCC 49989 (592031.3)	246_1	234	716	 	259	 	 	 	 	 	 	 	 	 	802_25	 
Eubacterium siraeum 70/3 (657319.3)	43_1	1251	1031	 	1421	 	146, 374, 485	 	 	 	2395, 971	 	 	 	678_25, 679_24, 681_23, 764_23	 
Eubacterium siraeum DSM 15702 (428128.7)	1945_1	1763	1264	 	1687	 	1634, 165, 2111	 	 	 	1164, 1867	 	 	 	30_23, 675_23, 676_24, 677_25	 
Eubacterium siraeum V10Sc8a (717961.3)	911_1	2196	2353	 	2115	 	 	 	 	 	1037, 1482	 	 	 	 	 
Eubacterium ventriosum ATCC 27560 (411463.4)	1515_1	416	1516	219	 	 	2333, 2526	263_10	 	 	1406	 	 	 	2339, 259_25, 260_24, 261_23	 
Pseudoramibacter alactolyticus ATCC 23263 (887929.3)	1904_1, 1905_1, 2326_1	1900	2325	92	 	 	2307, 670	 	 	 	2203, 838	 	 	 	1545_23, 1550_25, 1551_23, 1552_24	1392
Anaerostipes caccae DSM 14662 (411490.6)	1361_1, 3011_1	1249	1112, 3009	 	647	 	 	 	 	 	1968	 	 	 	 	 
Anaerostipes hadrus DSM 3319 (649757.3)	595_1, 932_1	2484	1466, 1743	1198	 	2672	1046, 2538	 	 	 	1947	1415_20, 833_18, 904_20	 	1091, 1092	2292_23, 673_23, 77_25, 78_23, 79_24	895, 896
Anaerostipes sp. 3_2_56FAA (665937.3)	1134_1, 1737_1	1008	1739, 1943, 1949, 1950, 220	 	33	 	2390	 	 	 	460	 	 	 	1936_25, 2615_23	 
Blautia producta ATCC 27340 (1121114.4)	3839_1, 591_1	4393	1640, 5612	3086	 	 	1515, 729	 	 	 	247, 4305, 4569	 	 	 	2641_23	2484
Bryantella formatexigens DSM 14469 (478749.5)	1148_1	1768	3151, 3175	 	1814	 	1278	1_10	 	 	1809	 	 	 	3826_23	 
Butyrivibrio crossotus DSM 2876 (511680.4)	1100_1	933	1102	 	1600	253	 	 	 	 	2169	 	 	 	 	 
Butyrivibrio fibrisolvens 16/4 (657324.3)	1260_1	1476	92	1417	 	 	1008, 2435, 2436, 997	2197_12	 	 	2030, 2031, 2032	 	 	 	123_23, 964_23, 965_24, 966_25	948
Coprococcus catus GD/7 (717962.3)	530_1	3175	1443	3092	 	 	160, 1940, 2298	2623_12, 2624_12, 2806_12	 	 	3282	 	 	 	2415_25, 2416_24, 2417_23, 2846_23, 583_23, 584_24, 585_25, 645_23	 
Coprococcus comes ATCC 27758 (470146.3)	2715_1, 939_1	1727	2714, 534, 535	 	2855	706	 	 	 	 	345	 	 	 	 	145, 146
Coprococcus eutactus ATCC 27759 (411474.6)	813_1, 886_1	208	812	236	 	 	1319, 1452, 1479, 470	1462_12	 	 	1084	1674_18	 	 	 	 
Dorea formicigenerans ATCC 27755 (411461.4)	1429_1, 620_1	1506	621, 755	 	1576	 	2946	 	 	 	83	 	 	 	 	2814
Dorea longicatena DSM 13814 (411462.6)	180_1, 471_1	1139	181, 952	1756	 	2171	1861, 2168	1724_12, 2172_10	 	 	403	 	 	 	 	 
Oribacterium sinus F0268 (585501.3)	124_1	226	711	1886	 	 	1324, 689	1397_10	1788	 	 	1019_18, 1552_18	 	 	121_23, 1990_25, 1991_24, 1992_23, 84, 973_25, 974_24, 975_23	 
Roseburia hominis A2-183 (585394.18)	2545_1	1733	531	1788	 	2239	1845	1014_12, 1929_12, 2979_10	 	 	2261	 	 	 	1364_23, 1468_23, 2507_23, 2573_25, 2574_25, 2575_24, 2576_23, 904_26, 905_27, 906_28	 
Roseburia intestinalis L1-82 (536231.5)	1427_1	3223	46	 	2275	2530	1838, 952	2308_10, 3100_10	 	 	625	 	 	 	1408_23, 1445_25, 1446_24, 1447_23	 
Roseburia intestinalis XB6B4 (718255.3)	809_1	2495	2835	 	2436	1980	 	 	 	 	3402	3324_18	 	 	 	 
Roseburia inulinivorans DSM 16841 (622312.4)	2725_1	2454	1438	2495	 	3674, 3675	296, 3046	201_10, 202_10	 	 	725, 726	 	 	 	2368_23, 2400_23, 2742_25, 2743_24, 2744_23, 3720_23, 509_23	 
Lachnospiraceae bacterium 5_1_63FAA (658089.3)	1435_1, 359_1	22	2134	2349	 	1316	2762, 741	 	 	 	957	1463_20, 374_20	 	569, 570	1685_23, 232_23, 2530_23, 911_24, 912_23, 913_25	1482
Lachnospiraceae bacterium 8_1_57FAA (665951.3)	190_1	2668	1482, 2283	728	 	 	624, 743	 	 	 	798	1661_20, 1662_18	 	 	482_23	2671
Filifactor alocis ATCC 35896 (546269.5)	1247_1	194	1251	 	1365	 	 	 	 	 	405	 	 	 	313_24	978
Peptostreptococcus anaerobius 653-L (596329.3)	 	 	445	 	 	 	 	 	 	 	 	 	 	 	1543_25, 1544_24, 1545_23, 320_25, 321_24, 322_23	703
Peptostreptococcus anaerobius DSM 2949 (1122950.3)	1325_1	1324	335	 	 	 	 	 	 	 	 	 	 	 	1326_23, 1327_24, 1328_25, 406_25, 407_24, 408_23	840
Peptostreptococcus stomatis DSM 17678 (596315.3)	101_1, 363_1	105, 362	104	 	 	 	336	1785_10	 	 	 	 	 	 	173_23, 174_24, 175_25	704, 706
