Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Cronobacter sakazakii SP291 (956149.6)	3069, 3515, 60	3940_2, 889_2	4089, 744	3037	2915	4004_8	751	 	 	 	 	3456_17	 	470	1008_21, 2777_21, 3443_22	 	 
Edwardsiella tarda 080813 (667120.5)	1717, 1900, 776	1574_2, 1967_2	2693, 2773	1744	2099	2067_8	2701	 	 	 	 	3960_17	 	2251, 923	2254_21, 2314_21, 3972_22	 	 
Edwardsiella tarda ATCC 23685 (500638.3)	104, 105, 2912, 603	1561_2, 3169_2, 3236_2	2082, 2757	1308	2521	3081_8	2089	 	 	 	 	2855_17	 	582, 583	2158_21, 2865_22	 	 
Edwardsiella tarda EIB202 (498217.4)	187, 3167, 527	3094_2	1021	552	690	3000_8	1031	 	 	 	 	108_17	 	2691	1103_21	 	 
Edwardsiella tarda FL6-60 (718251.5)	174, 3224, 527	3160_2	1052	552	692	3065_8	1062	 	 	 	 	94_17	 	2746	1136_21	 	 
Enterobacter aerogenes EA1509E (935296.3)	3147, 3609, 3765	4194_2	1493, 173, 3794, 745	3088	2954	4256_8	180	 	 	 	 	3703_17	 	4811	2881_21, 3693_22, 438_21	 	 
Enterobacter aerogenes FGI35 (685445.4)	4314, 4736, 66	519_2	1487, 1912, 2721, 37	4257	4122	581_8	1494	 	 	 	 	121_17	 	1134	111_22, 1688_21, 3992_21	 	 
Enterobacter aerogenes KCTC 2190 (1028307.3)	1512, 1661, 2128	1078_2	97	2186	2320	1016_8	90	 	 	 	 	1570_17	 	435	4753_21	 	 
Enterobacter cancerogenus ATCC 35316 (500639.8)	2481, 2484, 4116, 523	148_2, 3052_2	224, 834	490	362	2997_8	217	 	 	 	 	4167_17	 	3424	30_21, 4179_22	 	 
Enterobacter asburiae LF7a (640513.3)	411, 4469, 773	3192_2, 4269_2	1696, 2306, 2416, 3338	800	925	4207_8	3331	 	 	 	 	4405_17	 	3676	1014_21, 3075_21, 4395_22	 	 
Enterobacter cloacae EcWSU1 (1045856.3)	230, 4307, 610	1971_2, 3122_2, 4101_2	3205, 3789	640	755	4048_8	3198	 	 	 	 	4251_17	 	3550	2997_21, 4241_22, 852_21	 	 
Enterobacter cloacae SCF1 (701347.4)	256, 3792, 4220, 4407	1427_2, 320_2	1305, 4425	3762	3638	384_8	1312	 	 	 	889	4304_17	 	909	1569_21, 4292_22	 	 
Enterobacter cloacae subsp. cloacae 08XA1 (1203195.3)	1346, 2636, 544	1908_2, 3183_2	1991	2605	2478	3233_8	1984	 	 	 	 	2162_17	 	1022	1399_21, 1792_21, 2152_22	 	 
Enterobacter cloacae subsp. cloacae ATCC 13047 (716541.4)	1081, 5171, 563	2361_2, 3826_2, 4940_2	2198, 3937, 4615	1102	1227	4884_8	3930	 	 	 	 	5117_17	 	4314	3626_21, 5107_22	 	 
Enterobacter cloacae subsp. cloacae ENHKU01 (1211025.3)	260, 4302, 4303, 698	2040_2, 3124_2, 4147_2	3228, 3820	719	865	4093_8	3221	 	 	 	 	4247_17	 	3598	3003_21, 4237_22, 964_21	 	 
Enterobacter cloacae subsp. cloacae GS1 (1177927.3)	2700, 316, 3692	3356_2, 3440_2	2789	294	172	3493_8	4594	 	 	 	 	2972_17, 2973_17	 	4231	2067_21, 2959_22, 2960_22, 4419_21	 	 
Enterobacter cloacae subsp. dissolvens SDM (1104326.3)	2385, 70, 709	1062_2, 1181_2, 1395_2	1572, 2535, 977	687	2153	1234_8	2528	 	 	 	 	4149_17	 	2962	3561_21, 4160_22	 	 
Enterobacter cloacae subsp. dissolvens SP1 (1235834.3)	1122, 2271, 3868, 4086	3065_2, 4007_2	1048, 2567, 3389, 4116	2294	2409	4330_8	3382	 	 	 	 	4195_17	 	2075	1648_22, 4207_22, 4241_21, 646_21	 	 
Enterobacter hormaechei YT2 (1259823.3)	2271, 2642, 4394	3506_2, 747_2	662	2239	2112	3557_8	669	 	 	 	 	2737_17	 	236	2019_21, 2727_22, 864_21	 	 
Enterobacter hormaechei YT3 (1260282.3)	3159, 583, 954	1483_2, 3344_2	1398	551	424	3395_8	1405	 	 	 	 	1049_17	 	3877	1039_22, 1600_21, 331_21	 	 
Enterobacter hormaechei ATCC 49162 (888063.3)	103, 1737, 2100	3094_2, 4085_2	3171	1708	1581	4034_8	3164	 	 	 	 	4210_17	 	3546	2977_21, 4200_22	 	 
Escherichia albertii TW07627 (502347.3)	363, 3715, 4727	1509_2, 4219_2	1373, 4253	3685	3541	381_8	1381	 	 	 	 	4557_17	 	1013	1705_21, 4575_22	 	 
Escherichia albertii TW11588 (754333.3)	1425, 4154, 680	2742_2, 2743_2, 4436_2, 4437_2	1121, 1122, 375	1400	1936	4362_8	382	 	 	 	 	999_17	 	3919, 3920	3086_21, 3087_21	 	 
Escherichia coli 1125A (562.373)	2274, 2630, 577	1417_2	3665	2243	2095	1334_8	3657	 	 	 	 	5975_17	 	4351	3904_21, 5992_22	 	 
Escherichia coli 1212A (562.372)	3125, 3556, 3645	4310_2	1888	3094	2944	4391_8	1880	 	 	 	 	3801_17	 	2280	3784_22, 5614_21	 	 
Escherichia coli 536A (562.374)	2897, 3620, 3709	5007_2	3090	2866	2135	4927_8	3082	 	 	 	 	937_17	 	3842	3304_21, 954_22	 	 
Escherichia coli IMT2125 (562.1188)	1, 4201, 4292	2422_2, 3666_2	2567	28	173	3585_8	2558	 	 	 	 	4058_17	 	3014	2233_21, 4072_22	 	 
Escherichia coli EC4100B (945434.3)	1158, 2065, 2066, 2451	2764_2, 3207_2	2901	2040	1895	3123_8	2892	 	 	 	 	4319_17	 	152	2598_21	 	 
Escherichia coli 0.1288 (1005442.3)	4284, 4369, 4769	2454_2, 3626_2	2640	25	163	3546_8	2631	 	 	 	 	4147_17	 	3001	2290_21, 4162_22	 	 
Escherichia coli 0.1304 (1005441.3)	121, 4971, 5057	4325_2	3349	149	289	4248_8	3342	 	 	 	 	4824_17	 	3712	3033_21, 4840_22	 	 
Escherichia coli 042 (216592.3)	1, 4477, 4559	2678_2, 3844_2	2803, 4835	35	175	3761_8	2795	 	 	 	 	4340_17	 	3168	2495_21, 4356_22	 	 
Escherichia coli 07798 (1005566.3)	4467, 4556, 95	2829_2, 3915_2	2975, 4603, 755, 756	126	262	3833_8	2968	 	 	 	 	4333_17	 	3316	2647_21	 	 
Escherichia coli 09BKT078844 (1081887.3)	163, 4812, 4894	4197_2	3223	191	331	4120_8	3216	 	 	 	 	4670_17	 	3585	2910_21, 4684_22	 	 
Escherichia coli 1.2264 (869675.4)	3432, 3511, 5335	1422_2, 2008_2	1614	5308	5168	2087_8	1605	 	 	 	 	3291_17	 	4579	1263_21	 	 
Escherichia coli 1.2741 (869669.4)	4049, 4133, 73	2031_2, 3440_2	1875	111	251	3363_8	1882	 	 	 	 	3899_17	 	5450	2229_21, 3914_22	 	 
Escherichia coli 10.0821 (1005469.3)	226, 33, 4815	4134_2	3213	254	394	4057_8	3206	 	 	 	 	4549_17	 	3585	2897_21, 4565_22	 	 
Escherichia coli 10.0833 (1005466.3)	200, 5084, 5168	4423_2	3363	229	369	4346_8	3356	 	 	 	 	4940_17	 	3810	2990_21	 	 
Escherichia coli 10.0869 (1005467.3)	4732, 4815, 5213	4100_2	3127	5240	123	4022_8	3120	 	 	 	 	4583_17	 	3488	2797_21	 	 
Escherichia coli 1180 (670904.3)	3, 3467, 3556, 4876	2056_2, 4005_2	3779	4902	5041	2134_8	3788	 	 	 	 	3324_17	 	925	4202_21	 	 
Escherichia coli 1357 (670905.3)	4225, 4308, 4694	2283_2, 3695_2	2142	4720	4857	3622_8	2150	 	 	 	 	4087_17	 	3088	2438_21	 	 
Escherichia coli 174750 (1125634.3)	4734, 4816, 5264	4170_2	3119	549	687	4092_8	3112	 	 	 	 	4599_17	 	3504	2722_21, 4614_22	 	 
Escherichia coli 174900 (1116003.3)	256, 4418, 4495	2697_2, 3864_2	2884	282	420	3782_8	2876	 	 	 	 	4259_17	 	3235	2538_21	 	 
Escherichia coli 178900 (1116108.3)	4554, 4631, 5084	2805_2, 3993_2	2989	380	516	3907_8	2982	 	 	 	 	4379_17	 	3324	2615_21, 4392_22	 	 
Escherichia coli 179100 (1125652.3)	4441, 4520, 4961	2555_2, 3837_2	2839	23	168	3755_8	2830	 	 	 	 	4259_17	 	3205	2389_21	 	 
Escherichia coli 179550 (1116109.3)	376, 4480, 4556	2742_2, 3935_2	2907	399	539	3851_8	2899	 	 	 	 	4338_17	 	3267	2586_21	 	 
Escherichia coli 180050 (1116103.3)	4369, 4451, 4837	2653_2, 3830_2	2789	123	263	3751_8	2782	 	 	 	 	4225_17	 	3150	2484_21, 4240_22	 	 
Escherichia coli 180200 (1116104.3)	4422, 4497, 4934	2689_2, 3861_2	2848	343	485	3778_8	2840	 	 	 	 	4270_17	 	3202	2531_21, 4291_22	 	 
Escherichia coli 180600 (1116105.3)	4540, 4630, 5090	2752_2, 3978_2	2912	372	522	3898_8	2903	 	 	 	 	4405_17	 	3377	2584_21	 	 
Escherichia coli 1827-70 (670888.3)	2277, 4731, 582	2814_2	3819	608	751	2892_8	3826	 	 	 	 	2415_17	 	3466, 3467	2397_22, 4127_21	 	 
Escherichia coli 199900.1 (1116130.3)	4472, 4563, 5019	3871_2, 582_2	2802	299	445	3792_8	2793	 	 	 	 	4333_17	 	3238	2649_21, 4347_22	 	 
Escherichia coli 2.3916 (869688.5)	1660, 4128, 5761	4972_2	2753	4154	1183	4892_8	2746	 	 	 	 	5625_17	 	3288	564_21, 5640_22	 	 
Escherichia coli 2.4168 (869690.4)	3013, 3388, 422	2445_2	1444	3412	3546	2368_8	1437	 	 	 	 	2830_17	 	1819	1139_21, 2844_22	 	 
Escherichia coli 201600.1 (1116129.3)	25, 417, 4909	4330_2	197, 3292	443	579	4250_8	3285	 	 	 	 	4730_17	 	3689	2968_21, 4744_22	 	 
Escherichia coli 2362-75 (670897.3)	1028, 1815, 4953	3297_2, 3919_2	1881, 3444, 835	1843	1992	3995_8	3437	 	 	 	 	5107_17	 	608	3130_21	 	 
Escherichia coli 2534-86 (754079.3)	360, 5138, 5226	3331_2, 4551_2	3527	386	528	4471_8	3518	 	 	 	 	4994_17	 	3896	3135_21	 	 
Escherichia coli 2719100 (1116119.3)	303, 4839, 4964	4222_2	3083	328	466	4136_8	3076	 	 	 	 	4658_17	 	3613	2756_21, 4672_22	 	 
Escherichia coli 2720900 (1116120.3)	137, 4628, 4712	2835_2, 4022_2	2985	163	310	3937_8	2977	 	 	 	 	4486_17	 	3358	2674_21, 4501_22	 	 
Escherichia coli 2722950 (1116121.3)	4476, 4547, 4980	3955_2	2854	243	389	3875_8	2847	 	 	 	 	4337_17	 	3209	2594_21, 4352_22	 	 
Escherichia coli 2726800 (1116122.3)	163, 4822, 4906	2925_2, 4246_2	3127	192	337	4161_8	3119	 	 	 	 	4675_17	 	3614	2753_21, 4694_22	 	 
Escherichia coli 2726950 (1116123.3)	4533, 4606, 5058	4010_2	2945	277	418	3930_8	2938	 	 	 	 	4395_17	 	3323	2634_21	 	 
Escherichia coli 2729250 (1116004.3)	4342, 4423, 4862	2540_2, 3806_2	2675	22	164	3724_8	2666	 	 	 	 	4194_17	 	3099	2381_21, 4208_22	 	 
Escherichia coli 2730350 (1116005.3)	3977, 4063, 4508	2318_2, 3439_2	2457	13	150	3127_8	2449	 	 	 	 	3822_17	 	2821	2151_21, 3836_22	 	 
Escherichia coli 2730450 (1116006.3)	277, 4584, 4658	3983_2	2871	305	445	3905_8	2864	 	 	 	 	4446_17	 	3276	2558_21, 4463_22	 	 
Escherichia coli 2731150 (1116007.3)	374, 4869, 4942	4275_2	3195	402	540	4193_8	3188	 	 	 	 	4728_17	 	3562	2825_21, 4744_22	 	 
Escherichia coli 2733950 (1125635.3)	4568, 4643, 5180	4013_2	2952	398	545	3927_8	2945	 	 	 	 	4424_17	 	3337	2635_21, 4442_22	 	 
Escherichia coli 2735000 (1116008.3)	4328, 4404, 4803	2499_2, 3748_2	2626	22	166	3664_8	2618	 	 	 	 	4150_17	 	3009	2341_21	 	 
Escherichia coli 2741950 (1116009.3)	4558, 4633, 893	4047_2	2973	313	450	3968_8	2966	 	 	 	 	4423_17	 	3373	2659_21, 4438_22	 	 
Escherichia coli 2747800 (1116010.3)	4272, 4349, 4820	2566_2, 3831_2	2703	22	165	3751_8	2694	 	 	 	 	4133_17	 	3112	2407_21, 4146_22	 	 
Escherichia coli 2749250 (1116011.3)	4293, 4368, 4815	2681_2, 3887_2	2836	22	162	3807_8	2827	 	 	 	 	4217_17	 	3244	2521_21	 	 
Escherichia coli 2756500 (1116012.3)	4678, 4755, 5197	2701_2, 4135_2	2947	286	431	4052_8	2939	 	 	 	 	4537_17	 	3332	2541_21	 	 
Escherichia coli 2762100 (1116013.3)	4500, 4578, 8	3918_2	2815	33	173	3834_8	2808	 	 	 	 	4358_17	 	3181	2415_21, 4374_22	 	 
Escherichia coli 2770900 (1116014.3)	4268, 4343, 4794	2477_2, 3711_2	2616	23	163	3632_8	2607	 	 	 	 	4101_17	 	3050	2317_21	 	 
Escherichia coli 2780750 (1116015.3)	109, 4263, 4366	2520_2, 3727_2	2677	137	278	3645_8	2668	 	 	 	 	4128_17	 	3051	2354_21	 	 
Escherichia coli 2785200 (1116016.3)	4595, 4672, 5123	3995_2	3023	402	542	3914_8	3016	 	 	 	 	4457_17	 	3367	2711_21	 	 
Escherichia coli 2788150 (1116017.3)	4281, 4358, 4854	2507_2, 3693_2	2646	24	167	3611_8	2637	 	 	 	 	4143_17	 	3004	2349_21, 4158_22	 	 
Escherichia coli 2845350 (1116124.3)	4464, 4538, 5030	3953_2	2869	150	287	3870_8	2862	 	 	 	 	4323_17	 	3245	2559_21, 4341_22	 	 
Escherichia coli 2845650 (1116125.3)	4652, 4743, 5157	2819_2, 4005_2	3014	239	378	3927_8	3007	 	 	 	 	4468_17	 	3430	2656_21, 4482_22	 	 
Escherichia coli 2846750 (1116126.3)	4337, 4416, 4902	3682_2	2603	18	161	3602_8	2596	 	 	 	 	4135_17	 	2966	2231_21, 4150_22	 	 
Escherichia coli 2848050 (1116127.3)	4295, 4371, 4856	2480_2, 3735_2	2726	23	171	3653_8	2717	 	 	 	 	4148_17	 	3130	2316_21	 	 
Escherichia coli 2850400 (1116018.3)	4363, 4465, 4942	2625_2, 3813_2	2754	23	166	3728_8	2746	 	 	 	 	4306_17	 	3099	2466_21, 4329_22	 	 
Escherichia coli 2850750 (1116019.3)	4566, 4641, 5115	2714_2, 4019_2	2907	228	372	3935_8	2899	 	 	 	 	4427_17	 	3328	2555_21	 	 
Escherichia coli 2851500 (1116128.3)	4532, 4606, 5019	2648_2, 3953_2	2835	217	362	3869_8	2827	 	 	 	 	4348_17	 	3224	2489_21, 4365_22	 	 
Escherichia coli 2853500 (1116020.3)	4585, 4662, 5084	2864_2, 4059_2	3056	231	375	3975_8	3048	 	 	 	 	4461_17	 	3480	2704_21	 	 
Escherichia coli 2854350 (1125636.3)	4487, 4563, 5013	2789_2, 3929_2	2961	301	447	3845_8	2952	 	 	 	 	4345_17	 	3351	2617_21	 	 
Escherichia coli 2860050 (1116021.3)	4366, 4442, 4911	2593_2, 3842_2	2730	23	165	3763_8	2721	 	 	 	 	4224_17	 	3143	2433_21	 	 
Escherichia coli 2860650 (1116022.3)	4665, 4744, 5160	2860_2, 4124_2	3001	387	529	4044_8	2992	 	 	 	 	4514_17	 	3430	2702_21	 	 
Escherichia coli 2861200 (1116023.3)	312, 4728, 4811	2771_2, 4117_2	2927, 4983	337	481	4037_8	2920	 	 	 	 	4580_17	 	3381	2598_21, 4600_22	 	 
Escherichia coli 2862600 (1116024.3)	4531, 4607, 5052	3972_2	2820	259	400	3889_8	2813	 	 	 	 	4393_17	 	3218	2500_21, 4410_22	 	 
Escherichia coli 2864350 (1116025.3)	450, 4559, 4717	2826_2, 4017_2	2981	476	615	3936_8	2973	 	 	 	 	4414_17	 	3361	2661_21, 4429_22	 	 
Escherichia coli 2865200 (1116026.3)	4322, 4400, 4921	2573_2, 3724_2	2760	25	174	3641_8	2751	 	 	 	 	4181_17	 	3108	2414_21	 	 
Escherichia coli 2866350 (1116027.3)	4505, 4581, 5033	2754_2, 3994_2	2867	294	435	3914_8	2858	 	 	 	 	4361_17	 	3301	2594_21, 4374_22	 	 
Escherichia coli 2866450 (1116028.3)	4555, 4633, 5097	2676_2, 4014_2	2871	175	319	3931_8	2863	 	 	 	 	4416_17	 	3256	2516_21, 4430_22	 	 
Escherichia coli 2866550 (1116029.3)	4584, 4661, 5104	2796_2, 4036_2	3005	199	342	3951_8	2997	 	 	 	 	4442_17	 	3415	2636_21, 4458_22	 	 
Escherichia coli 2866750 (1116030.3)	4430, 4505, 4952	2440_2, 3883_2	2679	23	168	3800_8	2671	 	 	 	 	4280_17	 	3097	2280_21, 4304_22	 	 
Escherichia coli 2867750 (1116031.3)	4495, 4570, 5010	2673_2, 3952_2	2870	23	167	3869_8	2862	 	 	 	 	4354_17	 	3295	2513_21	 	 
Escherichia coli 2871950 (1116032.3)	4440, 4520, 4983	3857_2	2771	16	157	3777_8	2764	 	 	 	 	4305_17	 	3144	2387_21, 4320_22	 	 
Escherichia coli 2872000 (1116033.3)	4526, 4600, 5049	3997_2	2866	15	154	3917_8	2859	 	 	 	 	4391_17	 	3267	2529_21, 4406_22	 	 
Escherichia coli 2872800 (1116034.3)	4535, 4615, 5055	2654_2, 4026_2	2849	193	337	3942_8	2841	 	 	 	 	4394_17	 	3272	2494_21	 	 
Escherichia coli 2875000 (1116035.3)	4527, 4602, 5056	2623_2, 3966_2	2816	208	353	3882_8	2808	 	 	 	 	4386_17	 	3245	2463_21, 4401_22	 	 
Escherichia coli 2875150 (1116036.3)	4755, 4850, 5337	3075_2, 4195_2	3209	438	581	4112_8	3202	 	 	 	 	4609_17	 	3554	2887_21, 4627_22	 	 
Escherichia coli 3.2303 (869691.4)	2270, 2892, 4283	912_2	2399	2865	4541	992_8	2406	 	 	 	 	4055_17	 	2062	1580_21, 4041_22	 	 
Escherichia coli 3.2608 (869679.4)	3774, 3853, 4332	1907_2, 3229_2	2051	4358	4497	3150_8	2042	 	 	 	 	3631_17	 	2484	1747_21, 3646_22	 	 
Escherichia coli 3.3884 (869689.4)	4382, 4759, 4840	3008_2, 3576_2	3726	4355	4218	2925_8	3718	 	 	 	 	4977_17	 	4063	3401_21	 	 
Escherichia coli 3.4870 (1005450.3)	141, 4951, 5035	4289_2	3342	169	309	4213_8	3335	 	 	 	 	4808_17	 	3676	2977_21, 4824_22	 	 
Escherichia coli 3003 (869692.4)	458, 4747, 548	1136_2, 2254_2	2100, 347	4722	4580	1211_8	2107	 	 	 	 	720_17	 	1722	2420_21, 708_22	 	 
Escherichia coli 3006 (1005565.3)	27, 4488, 4565	3920_2	2965	56	201	3838_8	2958	 	 	 	 	4351_17	 	3325	2532_21, 4368_22	 	 
Escherichia coli 3431 (670892.3)	2214, 2292, 3714	5131_2	4398	3686	3549	953_8	4391	 	 	 	 	1082_17	 	4813	1066_22, 4075_21	 	 
Escherichia coli 4.0522 (869681.4)	1257, 5453, 5538	1940_2, 3520_2	174	1231	1082	3756_8	183	 	 	 	 	5680_17	 	4783	1743_21	 	 
Escherichia coli 4.0967 (869687.5)	3956, 499, 580	1129_2, 4836_2	2557	3985	4125	1213_8	2548	 	 	 	 	721_17	 	2992	5011_21, 706_22	 	 
Escherichia coli 4_1_47FAA (1127356.4)	1099, 2787, 2788, 4468	3410_2, 3822_2	3125	2816, 2817	2958	3326_8	3117	 	 	 	 	5078_17	 	1401	4026_21, 5063_22	 	 
Escherichia coli 5.0588 (869671.4)	3428, 3510, 3945	1727_2, 2885_2	1931	3971	4109	2806_8	1923	 	 	 	 	3292_17	 	2282	1514_21, 3307_22	 	 
Escherichia coli 5.0959 (869684.5)	1999, 447, 530	1061_2, 3907_2	3682	2028	2171	1143_8	3691	 	 	 	 	669_17	 	1741	4073_21, 654_22	 	 
Escherichia coli 5.2239 (1005452.3)	253, 4968, 5051	4340_2	3363	282	421	4264_8	3356	 	 	 	 	4822_17	 	3730	3047_21, 4838_22	 	 
Escherichia coli 536 (362663.9)	1, 4198, 4289	2389_2, 3571_2	2526, 705	30	178	3489_8	2518	 	 	 	 	4046_17	 	2889	2216_21, 4061_22	 	 
Escherichia coli 53638 (344610.7)	1744, 2125, 2201	2801_2	3855	1714	1513	2881_8	3863	 	 	 	249	2385_17	 	3433	2371_22, 4277_21	 	 
Escherichia coli 541-1 (752786.3)	2728, 2935, 3430	263_2, 4353_2	4488	2910	2773	183_8	4479	 	 	 	 	72_17	 	710	4195_21	 	 
Escherichia coli 541-15 (752785.3)	4353, 4512, 695	1691_2, 176_2	1570	669	529	96_8	1577	 	 	 	 	4854_17	 	2775	4471_21, 4869_22, 913_21	 	 
Escherichia coli 5412 (1005561.3)	4808, 4891, 64	4183_2	3195	92	231	4104_8	3188	 	 	 	 	4663_17	 	3565	2882_21, 4679_22	 	 
Escherichia coli 55989 (585055.8)	1, 4457, 4539	2605_2, 3875_2	2798	29	168	3793_8	2788	 	 	 	 	4313_17	 	3159	2447_21, 4328_22	 	 
Escherichia coli 5905 (1005558.3)	307, 5266, 5351	4669_2	3631	335	476	4592_8	3624	 	 	 	 	5160_17	 	4006	3291_21	 	 
Escherichia coli 6.0172 (1005455.3)	129, 5026, 5109	4401_2	3417	157	297	4324_8	3410	 	 	 	 	4879_17	 	3786	2999_21	 	 
Escherichia coli 75 (752788.3)	428, 556, 598	2665_2	1517	401	263	2588_8	1510	 	 	 	 	1019_17	 	2095	1005_22, 1207_21	 	 
Escherichia coli 8.0416 (1005463.3)	4583, 4790, 5202	4067_2	3176	5230	145	3992_8	3169	 	 	 	 	4556_17	 	3542	2800_21	 	 
Escherichia coli 8.0566 (1005462.3)	4153, 4230, 4621	3603_2	2561	70	211	3526_8	2554	 	 	 	 	4014_17	 	2978	2197_21	 	 
Escherichia coli 8.0569 (1005464.3)	4125, 4200, 4591	3601_2	2555	22	162	3522_8	2548	 	 	 	 	3986_17	 	2975	2149_21	 	 
Escherichia coli 8.0586 (1005461.3)	241, 5083, 5207	4458_2	3484	270	411	4381_8	3477	 	 	 	 	4937_17	 	3849	3061_21	 	 
Escherichia coli 8.2524 (1005460.3)	4815, 4898, 8	4162_2	3185	36	177	4085_8	3178	 	 	 	 	4666_17	 	3551	2827_21	 	 
Escherichia coli 83972 (525281.3)	1272, 1876, 3349	2873_2, 4127_2	2268, 4262	1243	1097	2790_8	4254	 	 	 	 	4871_17	 	4595	3960_21, 4856_22	 	 
Escherichia coli 88.0221 (1005397.3)	250, 4830, 4912	4211_2	3242	280	419	4135_8	3235	 	 	 	 	4685_17	 	3602	2858_21, 4702_22	 	 
Escherichia coli 88.1042 (1005398.3)	139, 4862, 4946	4237_2	3265	167	306	4162_8	3258	 	 	 	 	4716_17	 	3628	2907_21	 	 
Escherichia coli 88.1467 (1005396.3)	211, 4922, 5006	4302_2	3326	240	379	4225_8	3319	 	 	 	 	4776_17	 	3692	2976_21, 4793_22	 	 
Escherichia coli 89.0511 (1005399.3)	4686, 4898, 5287	4130_2	3192	112	251	4056_8	3185	 	 	 	 	4641_17	 	3557	2826_21, 4655_22	 	 
Escherichia coli 9.0111 (869686.4)	1561, 3396, 4625	1121_2, 2313_2	976	4652	3815	2223_8, 2224_8	985	 	 	 	 	2971_17	 	651	1283_21	 	 
Escherichia coli 9.1649 (869685.3)	230, 324, 863	4582_2	1541, 3591	890	1034	4499_8	3584	 	 	 	 	4977_17	 	3953	3284_21, 4992_22	 	 
Escherichia coli 90.0039 (1005401.3)	4719, 4802, 5201	4107_2	3104	5229	69	4028_8	3097	 	 	 	 	4574_17	 	3496	2777_21	 	 
Escherichia coli 90.0091 (1005400.3)	268, 5116, 5203	4496_2	3522	296	437	4419_8	3515	 	 	 	 	4975_17	 	3889	3149_21	 	 
Escherichia coli 90.2281 (1005402.3)	244, 4905, 4989	4284_2	3315	272	411	4208_8	3308	 	 	 	 	4760_17	 	3676	3004_21, 4776_22	 	 
Escherichia coli 900105 (10e) (869695.4)	1078, 1532, 2063	2199_2, 5672_2	5450	1104	1246	2283_8	5459	 	 	 	 	1912_17	 	2859	1928_22, 4085_21	 	 
Escherichia coli 93-001 (1005481.3)	234, 4922, 5004	4316_2	3353	262	398	4242_8	3346	 	 	 	 	4781_17	 	3716	3017_21	 	 
Escherichia coli 93.0055 (1005403.3)	4725, 4811, 5198	4099_2	3125	16	156	4024_8	3118	 	 	 	 	4577_17	 	3488	2809_21	 	 
Escherichia coli 93.0056 (1005404.3)	186, 4892, 4977	4264_2	3283	214	355	4187_8	3276	 	 	 	 	4747_17	 	3652	2962_21, 4764_22	 	 
Escherichia coli 93.0624 (869680.4)	1658, 4888, 4968	1829_2, 2685_2	3409	1628	1490	2764_8	3418	 	 	 	 	3658_17	 	4338	1990_21	 	 
Escherichia coli 94.0618 (1005405.3)	4836, 4921, 5309	4205_2	3227	118	259	4130_8	3220	 	 	 	 	4690_17	 	3594	2869_21	 	 
Escherichia coli 95.0183 (1005406.3)	235, 4966, 5050	4299_2	3336	263	400	4223_8	3329	 	 	 	 	4820_17	 	3700	2984_21	 	 
Escherichia coli 95.0941 (869674.3)	1186, 714, 796	165_2, 3599_2	3736	1212	1347	83_8	3728	 	 	 	 	576_17	 	4080	3443_21	 	 
Escherichia coli 95.0943 (1005408.3)	130, 4988, 5074	4358_2	3363	158	298	4281_8	3356	 	 	 	 	4841_17	 	3753	2970_21	 	 
Escherichia coli 95.1288 (1005407.3)	4390, 4511, 4885	3778_2	2875	8	144	3701_8	2868	 	 	 	 	4250_17	 	3234	2568_21	 	 
Escherichia coli 96.0107 (1005415.3)	221, 4874, 4959	4255_2	3277	249	387	4179_8	3270	 	 	 	 	4728_17	 	3640	2962_21, 4744_22	 	 
Escherichia coli 96.0109 (1005414.3)	4877, 4960, 5348	4264_2	3285	162	301	4188_8	3278	 	 	 	 	4734_17	 	3660	2939_21	 	 
Escherichia coli 96.0427 (1005411.3)	4838, 4923, 5310	4224_2	3251	103	243	4147_8	3244	 	 	 	 	4697_17	 	3618	2883_21	 	 
Escherichia coli 96.0428 (1005410.3)	221, 4870, 4959	4230_2	3261	249	390	4155_8	3254	 	 	 	 	4725_17	 	3624	2947_21	 	 
Escherichia coli 96.0497 (869677.4)	4245, 4325, 4704	2470_2, 3675_2	2611	4729	17	3593_8	2602	 	 	 	 	4067_17	 	2970	2300_21	 	 
Escherichia coli 96.0932 (1005413.3)	226, 4904, 4988	4278_2	3298	254	393	4200_8	3291	 	 	 	 	4757_17	 	3667	2986_21	 	 
Escherichia coli 96.0939 (1005412.3)	169, 4957, 5040	4327_2	3295	197	336	4250_8	3288	 	 	 	 	4807_17	 	3709	2979_21	 	 
Escherichia coli 96.154 (869683.4)	2651, 2732, 3180	1012_2, 2123_2	1161	3207	3345	2041_8	1152	 	 	 	 	2516_17	 	1507	841_21	 	 
Escherichia coli 97.0003 (1005416.3)	196, 4832, 4960	4215_2	3294	224	364	4140_8	3287	 	 	 	 	4682_17	 	3650	2936_21, 4699_22	 	 
Escherichia coli 97.0010 (1005419.3)	4769, 4852, 5240	4175_2	3169	85	221	4099_8	3162	 	 	 	 	4630_17	 	3528	2803_21	 	 
Escherichia coli 97.0246 (869670.4)	1322, 4146, 4999	1672_2, 4827_2	1811	4173	4317	4910_8	1802	 	 	 	 	3731_17	 	2333	1506_21, 3747_22	 	 
Escherichia coli 97.0259 (869672.4)	3908, 3965, 4584	1777_2, 3633_2	2626, 3306	4557	4417	3703_8	3313	 	 	 	 	4143_17	 	2938	1944_21, 4127_22	 	 
