Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Escherichia coli DEC14D (868204.3)	2733	4646	2166_4, 2956_3	3019_5_6, 3019_5_6, 3020_5_6, 3020_5_6	2955_8	573_9	2930_10	1419_11	4647_12	4647_12	4865	2965_17	2964_19	122, 123	 	 
Escherichia coli DEC15A (868206.3)	2946	4835	2318_4, 3152_3	3211_5_6, 3211_5_6	3151_8	530_9	3125_10	1289_11	4836_12	4836_12	5021	3161_17	3160_19	110	4618	 
Escherichia coli DEC15B (868207.3)	2682	4665	2080_4, 2846_3	2909_5_6, 2909_5_6	2845_8	377_9	2820_10	1203_11	4666_12	4666_12	4855	2856_17	2855_19	5219	4159	 
Escherichia coli DEC15C (868208.3)	2646	4553	2036_4, 2811_3	2872_5_6, 2872_5_6	2810_8	347_9	2785_10	1194_11	4554_12	4554_12	4744	2821_17	2820_19	5103	4068	 
Escherichia coli DEC15D (868209.3)	2553	4490	1970_4, 2719_3	2778_5_6, 2778_5_6	2718_8	325_9	2692_10	1107_11	4491_12	4491_12	4678	2728_17	2727_19	5040	4012	 
Escherichia coli DEC15E (868210.3)	2938	4840	2310_4, 3105_3	3168_5_6, 3168_5_6	3104_8	609_9	3079_10	1473_11	4841_12	4841_12	5028, 5029	3114_17	3113_19	208	4351	 
Escherichia coli DEC1A (868133.3)	2707	4556	2099_4, 2867_3	2943_5_6, 2943_5_6	2866_8	680_9, 681_22	2855_10	1359_11	4557_12	4557_12	4693	2894_17	2893_19	247	3282, 4147	 
Escherichia coli DEC1B (868134.3)	2684	4635	2148_4, 2851_3	2931_5_6, 2931_5_6	2850_8	560_9, 561_22	2839_10	1350_11	4636_12	4636_12	4900	2879_17	2878_19	152	3280, 4218	 
Escherichia coli DEC1C (868135.3)	2944	4873	2309_4, 3107_3	3182_5_6, 3182_5_6	3106_8	651_9, 652_22	3095_10	1399_11	4874_12	4874_12	5112	3133_17	3132_19	259	3386, 4462	 
Escherichia coli DEC1D (868136.3)	3229	4903	2687_4, 3396_3	3455_5_6, 3455_5_6	3395_8	1084_9, 1085_22	3384_10	1937_11	4904_12	4904_12	352	3405_17	3404_19	658	 	 
Escherichia coli DEC1E (868137.3)	2868	4739	2149_4, 3029_3	3109_5_6, 3109_5_6	3028_8	656_9, 657_22	3017_10	1436_11	4740_12	4740_12	4981	3059_17	3058_19	263	3436, 4323	 
Escherichia coli DEC2A (868138.3)	2863	4697	2291_4, 3026_3	3104_5_6, 3104_5_6	3025_8	842_9, 843_22	3013_10, 3014_10	1574_11	4698_12	4698_12	4962	3052_17	3051_19	358	3328, 4290	 
Escherichia coli DEC2B (868139.3)	2817	4684	2154_4, 2980_3	3056_5_6, 3056_5_6	2979_8	605_9, 606_22	2968_10	1413_11	4685_12	4685_12	4967	3006_17	3005_19	206	3368, 4273	 
Escherichia coli DEC2C (868140.3)	2720	4656	2157_4, 2881_3	2956_5_6, 2956_5_6	2880_8	508_9, 509_22	2869_10	1230_11	4657_12	4657_12	4938	2906_17	2905_19	102	3293, 4223	 
Escherichia coli DEC2D (868141.3)	2886	4754	2153_4, 3047_3	3120_5_6, 3120_5_6	3046_8	772_9, 773_22	3035_10	2413_11	4755_12	4755_12	4963	3072_17	3071_19	385	3443, 4346	 
Escherichia coli DEC2E (868142.3)	2273	4242	1626_4, 2434_3	2512_5_6, 2512_5_6	2433_8	561_9, 562_22	2422_10	932_11	4243_12	4243_12	4514	2461_17	2460_19	152	2851, 3813	 
Escherichia coli DEC3A (868143.3)	3165	4128	3340_3	3408_5_6, 3408_5_6	3339_8	183_15	3315_10	1519_11	4127_12	4127_12	5074, 5075	3350_17	3349_19	5399	3714, 4581	 
Escherichia coli DEC3B (868144.3)	3251	125	3431_3	3497_5_6, 3497_5_6	3430_8	445_15	3405_10	1561_11	126_12	126_12	5252	3440_17	3439_19	5581	3847, 4675	 
Escherichia coli DEC3C (868145.3)	3522	5379	3703_3	3771_5_6, 3771_5_6	3702_8	741_15	3676_10	1942_11	5380_12	5380_12	5569	3713_17	3712_19	314	4080, 4876	 
Escherichia coli DEC3D (868146.3)	3216	5529	3392_3	3459_5_6, 3459_5_6	3391_8	567_15	3368_10	1585_11	5530_12	5530_12	5114	3401_17	3400_19	99	3792, 4623	 
Escherichia coli DEC3E (868147.3)	3387	5231	3564_3	3631_5_6, 3631_5_6	3563_8	725_15	3538_10	1732_11	5232_12	5232_12	5378, 5379	3573_17	3572_19	224, 225	4015, 4850	 
Escherichia coli DEC3F (868148.3)	3452	5124	3630_3	3698_5_6, 3698_5_6	3629_8	859_9	3604_10	1093_11	5125_12	5125_12	5274, 5275	3639_17	3638_19	419	4017, 4809	 
Escherichia coli DEC4A (868149.3)	2938	4458	3115_3	3181_5_6, 3181_5_6	3114_8	449_15	3089_10	1403_11	4459_12	4459_12	4611	3124_17	3123_19	4944	3518, 4000	 
Escherichia coli DEC4B (868150.3)	3095	5087	3338_3	3408_5_6, 3408_5_6	3337_8	423_15	3313_10	1418_11	5088_12	5088_12	5296	3350_17	3349_19	5629	3726, 4558	 
Escherichia coli DEC4E (868153.3)	3234	4981	3413_3	3480_5_6, 3480_5_6	3412_8	673_15	3388_10	1701_11	4982_12	4982_12	5129, 5130	3423_17	3422_19	5460	3785, 4647	 
Escherichia coli DEC4F (868154.3)	3045	28	3223_3	3291_5_6, 3291_5_6	3222_8	422_15	3199_10	1494_11	29_12	29_12	4932, 4933	3232_17	3231_19	5263, 5264	3601, 4384	 
Escherichia coli DEC5A (868155.3)	2784	4695	3014_3	3078_5_6, 3078_5_6	3013_8	543_9	2988_10	1261_11	4696_12	4696_12	4883	3023_17	3022_19	73	822	 
Escherichia coli DEC5B (868156.3)	2999	5482	3170_3	3234_5_6, 3234_5_6	3169_8	749_9	3146_10	1516_11	5483_12	5483_12	5234	3179_17	3178_19	219	3656, 4669	 
Escherichia coli DEC5C (868157.3)	2939	4898	3116_3	3180_5_6, 3180_5_6	3115_8	3289_9	3091_10	1608_11	4899_12	4899_12	5088	3125_17	3124_19	190	4478	 
Escherichia coli DEC5D (868158.3)	2996	4773	3171_3	3236_5_6, 3236_5_6	3170_8	890_9	3145_10	1661_11	4774_12	4774_12	47	3180_17	3179_19	373	4464	 
Escherichia coli DEC5E (868159.3)	2793	4823	2972_3	3037_5_6, 3037_5_6	2971_8	414_9	2947_10	1284_11	4824_12	4824_12	5045	2981_17	2980_19	5456	4368	 
Escherichia coli DEC6A (868160.3)	2838	4669	2203_4, 3012_3	3093_5_6, 3093_5_6	3011_8	668_9	2986_10	1374_11	4670_12	4670_12	4861	3037_17	3036_19	84	3399, 4325	 
Escherichia coli DEC6B (868161.3)	3184	4939	2525_4, 3304_3	3389_5_6, 3389_5_6	3303_8	658_9	3279_10	1528_11	4940_12	4940_12	5220, 5221	3335_17	3334_19	173	3761, 4558	 
Escherichia coli DEC6C (868162.3)	2998	4799	3176_3	3249_5_6, 3249_5_6	3175_8	702_9	3150_10	1434_11	4800_12	4800_12	5009	3187_17	3186_19	287	3597, 4446	 
Escherichia coli DEC6D (868163.3)	2863	4692	3044_3	3113_5_6, 3113_5_6	3043_8	761_9	3019_10	1417_11	4693_12	4693_12	4886	3054_17	3053_19	280	3472, 4326	 
Escherichia coli DEC6E (868164.3)	2750	4569	2926_3	2991_5_6, 2991_5_6	2925_8	475_9	2901_10	1279_11	4570_12	4570_12	4757	2935_17	2934_19	55	3294, 3300, 4149	 
Escherichia coli DEC7A (868165.3)	2857	4800	2291_4, 3034_3	3097_5_6, 3097_5_6	3033_8	913_9	3004_10	1524_11	4801_12	4801_12	4998	3043_17	3042_19	475	3529	 
Escherichia coli DEC7B (868166.3)	2525	4229	1992_4, 2691_3	2755_5_6, 2755_5_6	2690_8	581_9, 582_22	2665_10	1256_11	4230_12	4230_12	4419	2701_17	2700_19	84	3057, 3874	 
Escherichia coli DEC7C (868167.3)	2711	4589	2140_4, 2882_3	2942_5_6, 2942_5_6	2881_8	604_9	2852_10	1255_11	4590_12	4590_12	4783	2891_17	2890_19	218	3307	 
Escherichia coli DEC7D (868168.3)	2747	4782	2177_4, 2918_3	2982_5_6, 2982_5_6	2917_8	756_9	2888_10	1359_11	4783_12	4783_12	4974	2927_17	2926_19	279	3508	 
Escherichia coli DEC7E (868169.3)	2564	4454	1993_4, 2739_3	2806_5_6, 2806_5_6	2738_8	553_9	2708_10	1170_11	4455_12	4455_12	4647	2752_17	2751_19	93	3178	 
Escherichia coli DEC8A (868170.3)	2835	4698	2263_4, 3013_3	3076_5_6, 3076_5_6, 3077_5_6, 3077_5_6	3012_8	683_9	2987_10	1385_11	4699_12	4699_12	4905	3022_17	3021_19	139	3439, 4327	 
Escherichia coli DEC8B (868171.3)	3062	4118	2478_4, 3360_3	3423_5_6, 3423_5_6, 3424_5_6, 3424_5_6	3359_8	515_9	3334_10	1430_11	4117_12	4117_12	5132	3369_17	3368_19	86	3724, 4581	 
Escherichia coli DEC8C (868172.3)	3571	5559	2831_4, 3771_3	3835_5_6, 3835_5_6	3770_8	709_9	3744_10	1867_11	5560_12	5560_12	5889	3783_17	3782_19	238	4324, 5172	 
Escherichia coli DEC8D (868173.3)	3049	4964	2483_4, 3240_3	3302_5_6, 3302_5_6	3239_8	802_9	3214_10	1671_11	4965_12	4965_12	5257	3249_17	3248_19	213	4707	 
Escherichia coli DEC8E (868174.3)	3274	48	2596_4, 3457_3	3520_5_6, 3520_5_6, 3521_5_6, 3521_5_6	3456_8	811_9	3430_10	1652_11	49_12	49_12	5269	3467_17	3466_19	339	3852, 4757	 
Escherichia coli DEC9A (868175.3)	2887	4931	2263_4, 3164_3	3227_5_6, 3227_5_6	3163_8	645_9, 646_22	3139_10	1493_11	4932_12	4932_12	5228	3174_17	3173_19	140	 	 
Escherichia coli DEC9C (868177.3)	2746	4685	2185_4, 2995_3	3055_5_6, 3055_5_6	2994_8	559_9, 560_22	2970_10	1442_11	4686_12	4686_12	4885	3004_17	3003_19	98	3438, 4420	 
Escherichia coli DEC9D (868178.3)	2880	4956	2291_4, 3123_3	3198_5_6, 3198_5_6	3122_8	784_9, 785_22	3096_10	1497_11	4957_12	4957_12	5266	3146_17	3145_19	326	3619, 4546	 
Escherichia coli DEC9E (868179.3)	3039	5085	2449_4, 3273_3	3336_5_6, 3336_5_6	3272_8	572_9, 573_22	3246_10	1577_11	5086_12	5086_12	5303	3283_17	3282_19	104, 106	3745	 
Escherichia coli DH1 (536056.3)	1413	4240	1230_3	1168_5_6, 1168_5_6	1231_8	3266_15	1256_10	2648_11	4239_12	4239_12	4053	1221_17	1222_19	3695, 3696	53, 851	 
Escherichia coli E101 (550685.3)	2270	4470	3388_3, 3583_4	3321_5_6, 3321_5_6	3389_8	3065_9	4195_10	1057_11	4469_12	4469_12	242	3378_17	3379_19	2137	1906, 3958	 
Escherichia coli E1167 (656372.3)	2181	4756	1057_4, 1961_3	1901_5_6, 1901_5_6, 1902_5_6, 1902_5_6	1962_8	3343_9	1987_10	2815_11	4757_12	4757_12	1464	1952_17	1953_19	1769	282, 4221	 
Escherichia coli E128010 (670894.3)	2180	2432	4332_3, 5041_4	4413_5_6, 4413_5_6	4331_8	2857_9	4305_10	175_11	2431_12	2431_12	1737	4357_17	4356_19	3557	1284, 2956	 
Escherichia coli E1520 (656374.3)	2281	4773	1738_4, 2506_3	2569_5_6, 2569_5_6	2505_8	318_9, 319_22	2480_10	988_11	4772_12	4772_12	3458, 3459	2516_17	2515_19	3764	2991, 2996, 3966	 
Escherichia coli E2348/69 (216593.1)	2421	4032	2174_3, 681_4	156_5_6, 156_5_6	2175_8	3068_9	2187_10	1703_11	4031_12	4031_12	3822	211_17	212_19	3468	5326	 
Escherichia coli E24377A (331111.12)	2890	4761	2357_4, 3059_3	3121_5_6, 3121_5_6	3058_8	866_9	3027_10	1586_11	4762_12	4762_12	4939	3068_17	3067_19	436	3480, 3485, 4398	 
Escherichia coli E482 (550687.3)	2490	4689	2238_3	2174_5_6, 2174_5_6	2239_8	305_15	2266_10	947_11	4688_12	4688_12	3439, 3440	2227_17	2228_19	3693	1863, 1868, 3938	 
Escherichia coli EC1734 (1005536.3)	3195	5207	3456_3	3523_5_6, 3523_5_6	3455_8	716_15	3432_10	1608_11	5208_12	5208_12	5411	3466_17	3465_19	229	3873, 4794	 
Escherichia coli EC1735 (1005537.3)	3071	4940	3281_3	3348_5_6, 3348_5_6	3280_8	685_15	3256_10	1611_11	4941_12	4941_12	5140	3291_17	3290_19	190	3690, 4536, 676	 
Escherichia coli EC1736 (1005538.3)	2991	4910	3244_3	3310_5_6, 3310_5_6	3243_8	571_15	3219_10	1488_11	4911_12	4911_12	5112	3253_17	3252_19	83	3654, 4504, 562	 
Escherichia coli EC1737 (1005539.3)	2958	4817	3174_3	3239_5_6, 3239_5_6	3173_8	577_15	3149_10	1496_11	4818_12	4818_12	5018	3183_17	3182_19	120	3573, 4415, 568	 
Escherichia coli EC1738 (1005535.3)	3331	5319	3506_3	3572_5_6, 3572_5_6	3505_8	868_15	3481_10	1730_11	5320_12	5320_12	5264	3515_17	3514_19	337	3885, 4064	 
Escherichia coli EC1845 (1005540.3)	2903	4737	3141_3	3207_5_6, 3207_5_6	3140_8	564_15	3116_10	1451_11	4738_12	4738_12	4936	3150_17	3149_19	81	3535, 4344	 
Escherichia coli EC1846 (1005541.3)	2962	4854	3245_3	3311_5_6, 3311_5_6	3244_8	573_15	3220_10	1493_11	4855_12	4855_12	3145	3254_17	3253_19	92	3642, 4461, 564	 
Escherichia coli EC1847 (1005542.3)	2965	4869	3254_3	3321_5_6, 3321_5_6	3253_8	567_15	3229_10	1495_11	4870_12	4870_12	5069	3263_17	3262_19	84	3655, 4475, 558	 
Escherichia coli EC1848 (1005543.3)	3244	5133	3489_3	3556_5_6, 3556_5_6	3488_8	813_15	3464_10	1728_11	5134_12	5134_12	5335	3499_17	3498_19	307	3900, 4726, 804	 
Escherichia coli EC1849 (1005544.3)	2968	4884	3212_3	3278_5_6, 3278_5_6	3211_8	581_15	3187_10	1524_11	4885_12	4885_12	5088	3221_17	3220_19	90	3620, 4481, 572	 
Escherichia coli EC1850 (1005545.3)	3168	5047	3411_3	3478_5_6, 3478_5_6	3410_8	742_15	3386_10	1672_11	5048_12	5048_12	5245	3421_17	3420_19	248	3822, 4643, 733	 
Escherichia coli EC1856 (1005546.3)	3015	4908	3261_3	3327_5_6, 3327_5_6	3260_8	607_15	3237_10	1531_11	4909_12	4909_12	5109	3270_17	3269_19	102	3671, 4497, 598	 
Escherichia coli EC1862 (1005547.3)	2937	4767	3178_3	3244_5_6, 3244_5_6	3177_8	564_15	3153_10	1472_11	4768_12	4768_12	4962	3187_17	3186_19	89	3567, 4376, 555	 
Escherichia coli EC1863 (1005548.3)	2737	4617	2969_3	3035_5_6, 3035_5_6	2968_8	388_15	2944_10	1288_11	4618_12	4618_12	4818	2978_17	2977_19	5138	3373, 4217	 
Escherichia coli EC1864 (1005549.3)	3151	5056	3389_3	3454_5_6, 3454_5_6	3388_8	758_15	3364_10	1682_11	5057_12	5057_12	5258	3398_17	3397_19	256	3796, 4648, 749	 
Escherichia coli EC1865 (1005550.3)	3164	5046	2535_4, 3375_3	3488_5_6, 3488_5_6	3374_8	821_9	3349_10	1694_11	5047_12	5047_12	5319	3436_17	3435_19	361	3831, 4671, 810, 811	 
Escherichia coli EC1866 (1005551.3)	2818	4768	3098_3	3166_5_6, 3166_5_6	3097_8	400_15	3074_10	1313_11	4769_12	4769_12	2997	3108_17	3107_19	5256	3508, 391, 4357	 
Escherichia coli EC1869 (1005553.3)	3155	5063	3390_3	3457_5_6, 3457_5_6	3389_8	732_15	3365_10	1649_11	5064_12	5064_12	5268	3400_17	3399_19	232	3802, 4654, 723	 
Escherichia coli EC1870 (1005554.3)	2924	4840	3159_3	3227_5_6, 3227_5_6	3158_8	503_15	3134_10	1405_11	4841_12	4841_12	5040	3169_17	3168_19	5364	3571, 4428, 494	 
Escherichia coli EC302/04 (1230480.3)	1382	3312	3579_3, 4082_4	4384_5_6, 4384_5_6	3580_8	1466_9	3604_10	3019_11	3311_12	3311_12	117	3569_17	3570_19	727	997	 
Escherichia coli EC4013 (1005529.3)	3231	5079	3465_3	3532_5_6, 3532_5_6	3464_8	870_15	3441_10	1767_11	5080_12	5080_12	5277	3474_17	3473_19	391	3833, 4652	 
Escherichia coli EC4196 (1005524.3)	2913	4762	3153_3	3218_5_6, 3218_5_6	3152_8	562_15	3128_10	1390_11	4763_12	4763_12	4958	3162_17	3161_19	100	3555, 4369	 
Escherichia coli EC4203 (1005523.3)	2931	4777	3173_3	3240_5_6, 3240_5_6	3172_8	561_15	3148_10	1460_11	4778_12	4778_12	4974	3182_17	3181_19	83	3576, 4387	 
Escherichia coli EC4402 (1005530.3)	2982	4790	3215_3	3283_5_6, 3283_5_6	3214_8	675_15	3190_10	1561_11	4791_12	4791_12	4983	3224_17	3223_19	203	3600, 4405	 
Escherichia coli EC4421 (1005527.3)	2930	4719	3108_3	3175_5_6, 3175_5_6	3107_8	560_15	3083_10	1506_11	4720_12	4720_12	4907	3117_17	3116_19	84	3512, 4323	 
Escherichia coli EC4422 (1005528.3)	3174	4967	3352_3	3419_5_6, 3419_5_6	3351_8	801_15	3328_10	1744_11	4968_12	4968_12	5155	3361_17	3360_19	316	3755, 4570	 
Escherichia coli EC4436 (1005532.3)	2927	4818	3184_3	3251_5_6, 3251_5_6	3183_8	590_15	3159_10	1492_11	4819_12	4819_12	5016	3193_17	3192_19	120	3582, 4426	 
Escherichia coli EC4437 (1005533.3)	3146	5040	3400_3	3466_5_6, 3466_5_6	3399_8	798_15	3375_10	1706_11	5041_12	5041_12	5238	3409_17	3408_19	317	3801, 4643	 
Escherichia coli EC4439 (1005531.3)	2894	4730	3132_3	3198_5_6, 3198_5_6	3131_8	568_15	3107_10	1461_11	4731_12	4731_12	4929	3141_17	3140_19	82	3529, 4341	 
Escherichia coli EC4448 (1005534.3)	3064	4913	3306_3	3372_5_6, 3372_5_6	3305_8	720_15	3281_10	1637_11	4914_12	4914_12	5110	3315_17	3314_19	239	3709, 4523	 
Escherichia coli ED1a (585397.9)	2780	4698	2075_4, 2932_3	2993_5_6, 2993_5_6	2931_8	544_9, 545_22	2918_10	1282_11	4699_12	4699_12	4940	2941_17	2940_19	111	3341, 3346	 
Escherichia coli EPEC C342-62 (766166.3)	2854	4923	2358_4, 3055_3	3119_5_6, 3119_5_6	3054_8	723_9	3028_10	1584_11	4924_12	4924_12	5133	3064_17	3063_19	300	4575	 
Escherichia coli EPECa12 (670896.3)	2655	4611	2139_4, 2826_3	2888_5_6, 2888_5_6	2825_8	509_9	2796_10	1318_11	4612_12	4612_12	4812	2835_17	2834_19	91	3273	 
Escherichia coli EPECa14 (670893.4)	1611	2461	1806_3, 5254_4	1912_5_6, 1912_5_6	1805_8	4480_9	1779_10	4742_11	2460_12	2460_12	2024	1861_17	1860_19	264	2620, 3234	 
Escherichia coli ETEC H10407 (316401.4)	2800	4841	2152_4, 2974_3	3091_5_6, 3091_5_6	2973_8	659_9, 660_22	2944_10	1450_11	4842_12	4842_12	5136	3036_17	3035_19	116	3477, 3484, 4425	 
Escherichia coli Envira 10/1 (1115998.3)	3173	281	2702_4, 3394_3	3452_5_6, 3452_5_6	3393_8	2085_9	3367_10	1704_11	280_12	280_12	5295	3403_17	3402_19	567	2075, 4745	 
Escherichia coli Envira 8/11 (1115997.3)	3126	5175	2648_4, 3348_3	3407_5_6, 3407_5_6	3347_8	1058_9	3321_10	1868_11	5176_12	5176_12	5356	3358_17	3357_19	584	1048, 4785	 
Escherichia coli FDA504 (1005470.3)	3241	5059	3420_3	3487_5_6, 3487_5_6	3419_8	818_15	3395_10	1697_11	5060_12	5060_12	5245	3430_17	3429_19	314	3832, 4651	 
Escherichia coli FDA505 (1005471.3)	2947	4792	3166_3	3233_5_6, 3233_5_6	3165_8	639_15	3141_10	1559_11	4793_12	4793_12	4976	3175_17	3174_19	163	3561, 4401	 
Escherichia coli FDA506 (1005474.3)	3518	5352	3696_3	3762_5_6, 3762_5_6	3695_8	1120_15	3671_10	2064_11	5353_12	5353_12	248	3705_17	3704_19	615	4109, 4938	 
Escherichia coli FDA507 (1005472.3)	3192	5026	3372_3	3440_5_6, 3440_5_6	3371_8	667_15	3348_10	1640_11	5027_12	5027_12	5213	3382_17	3381_19	165	3787, 4614	 
Escherichia coli FDA517 (1005473.3)	3233	5077	3418_3	3535_5_6, 3535_5_6	3417_8	819_15	3393_10	1749_11	5078_12	5078_12	5277	3478_17	3477_19	272	3868, 4681	 
Escherichia coli FRIK1985 (1005476.3)	3223	4994	3412_3	3478_5_6, 3478_5_6	3411_8	770_15	3387_10	1699_11	4995_12	4995_12	5192	3421_17	3420_19	277	3802, 4609	 
Escherichia coli FRIK1990 (1005478.3)	2932	4744	3156_3	3223_5_6, 3223_5_6	3155_8	570_15	3131_10	1502_11	4745_12	4745_12	4942	3165_17	3164_19	82	4356	 
Escherichia coli FRIK1996 (1005475.3)	3152	4946	3328_3	3395_5_6, 3395_5_6	3327_8	828_15	3303_10	1705_11	4947_12	4947_12	5146	3337_17	3336_19	333	3735, 4543	 
Escherichia coli FRIK1997 (1005480.3)	3245	5099	3422_3	3489_5_6, 3489_5_6	3421_8	732_15	3398_10	1698_11	5100_12	5100_12	5287	3432_17	3431_19	232	3836, 4685	 
Escherichia coli FRIK1999 (1005477.3)	3264	5094	3441_3	3509_5_6, 3509_5_6	3440_8	820_15	3416_10	1751_11	5095_12	5095_12	5298	3451_17	3450_19	229	3852, 4683	 
Escherichia coli FRIK2001 (1005479.3)	3605	5432	3783_3	3851_5_6, 3851_5_6	3782_8	1107_15	3759_10	2136_11	5433_12	5433_12	241	3793_17	3792_19	574	4195, 5020	 
Escherichia coli FRIK523 (1005482.3)	3223	5002	3452_3	3518_5_6, 3518_5_6	3451_8	830_15	3427_10	1764_11	5003_12	5003_12	5288	3461_17	3460_19	334	3864, 4691	 
Escherichia coli FRIK920 (1005483.3)	3523	5367	3700_3	3929_5_6, 3929_5_6	3699_8	898_15	3675_10	1943_11	5368_12	5368_12	5671	3869_17	3868_19	377	4289, 5104	 
Escherichia coli FVEC1302 (656379.3)	2853	5248	2333_4, 3075_3	3192_5_6, 3192_5_6	3074_8	1016_9	3050_10	1303_11	5249_12	5249_12	551	3136_17	3135_19	346	4264, 4269, 4995	 
Escherichia coli FVEC1412 (656380.3)	2411	5140	2575_3, 3294_4	2641_5_6, 2641_5_6	2574_8	774_9	2550_10	1878_11	5141_12	5141_12	542	2585_17	2584_19	283	4176, 4181, 4777	 
Escherichia coli G58-1 (754078.3)	2631	4381	2797_3	2862_5_6, 2862_5_6	2796_8	694_15	2772_10	1371_11	4382_12	4382_12	4569	2807_17	2806_19	229	3189, 4015	 
Escherichia coli H120 (656383.3)	3692	4900	238_4, 3862_3	3922_5_6, 3922_5_6	3861_8	3312_9	3835_10	1004_11	4899_12	4899_12	2450	3871_17	3870_19	2827	1934, 4340	 
Escherichia coli H252 (656388.3)	1904	4984	4225_3	4636_5_6, 4636_5_6	4226_8	666_22, 667_15	4238_10	64_11	4983_12	4983_12	3245	4589_17	4588_19	2872	2433, 2438, 3942	 
Escherichia coli H263 (656390.3)	2935	5056	3084_3	3142_5_6, 3142_5_6	3083_8	306_15, 307_22	3071_10	881_11	5055_12	5055_12	3283	3093_17	3092_19	3673	1501, 1506	 
Escherichia coli H299 (656393.3)	3346	5204	2653_4, 3506_3	3572_5_6, 3572_5_6	3505_8	1183_9	3492_10	1907_11	5205_12	5205_12	398	3516_17	3515_19	722	3890, 3896, 4747	 
Escherichia coli H30 (869673.3)	4868	3010	4692_3	4626_5_6, 4626_5_6	4693_8	1960_15	4717_10	1038_11	3009_12	3009_12	2801	4683_17	4684_19	2465	3424, 4267, 4272	 
Escherichia coli H397 (656398.3)	302	5071	94_3	36_5_6, 36_5_6	95_8	1755_15, 1756_22	106_10	2334_11	5070_12	5070_12	3052	85_17	86_19	2660	3667, 4521	 
Escherichia coli H489 (656404.3)	2152	4735	1636_4, 2325_3	2404_5_6, 2404_5_6	2324_8	288_9	2299_10	896_11	4736_12	4736_12	3299	2348_17	2347_19	3617	2851, 3784	 
Escherichia coli H494 (656405.3)	313	4969	790_4, 96_3	31_5_6, 31_5_6, 32_5_6, 32_5_6	97_8	3481_9	122_10	2191_11	4970_12	4970_12	1632	85_17	86_19	1312	4292	 
Escherichia coli H591 (656408.3)	2558	4493	2019_4, 2789_3	2851_5_6, 2851_5_6	2788_8	467_9	2760_10	1213_11	4494_12	4494_12	4677	2798_17	2797_19	5061	3186, 4107	 
Escherichia coli H730 (656413.3)	3882	3104	3716_3	3632_5_6, 3632_5_6	3717_8	892_15	3741_10	1601_11	3105_12	3105_12	82	3688_17	3689_19	455	2708, 3319, 3324	 
Escherichia coli H736 (656414.3)	2699	4545	2867_3	2931_5_6, 2931_5_6	2866_8	723_9	2841_10	1378_11	4546_12	4546_12	4739	2876_17	2875_19	228	3323, 3330, 4175	 
Escherichia coli HM26 (1308540.3)	1277	4313	1442_3, 834_4	1505_5_6, 1505_5_6	1441_8	3512_9	1418_10	2524_11	4314_12	4314_12	3383	1453_17	1452_19	316	2084, 3777	 
Escherichia coli HM46 (1308982.3)	3622	4637	2355_3, 3117_4	4166_5_6, 4166_5_6	2356_8	3259_9	2380_10	1624_11	4636_12	4636_12	2527	2346_17	2347_19	98	3850, 754	 
Escherichia coli HM605 (752789.3)	3831	1921	3616_3	3559_5_6, 3559_5_6	3617_8	773_22, 774_15	3629_10	212_11	1920_12	1920_12	1629	3607_17	3608_19	1188	3197, 3202	 
Escherichia coli HS (331112.6)	2414	4125	1902_4, 2579_3	2657_5_6, 2657_5_6	2578_8	582_9	2550_10	1220_11	4126_12	4126_12	4304	2602_17	2601_19	109	2967, 3777	 
Escherichia coli IAI1 (585034.5)	2353	4102	1891_4, 2519_3	2580_5_6, 2580_5_6	2518_8	521_9	2492_10	1159_11	4103_12	4103_12	4278	2528_17	2527_19	105	2944, 3742	 
Escherichia coli IAI39 (585057.6)	2564	4542	1258_4, 2747_3	2870_5_6, 2870_5_6	2746_8	514_9	2720_10	2084_11	4543_12	4543_12	4788	2813_17	2812_19	115	3420, 3425	 
Escherichia coli IHE3034 (714962.3)	2595	4512	2842_3	2947_5_6, 2947_5_6	2841_8	519_15, 520_22	2829_10	1262_11	4513_12	4513_12	4719	2898_17	2897_19	110	3302, 3307, 4137	 
Escherichia coli J53 (1144303.3)	1469	4291	1289_3	1226_5_6, 1226_5_6	1290_8	3356_15	1314_10	2699_11	4290_12	4290_12	4105	1280_17	1281_19	3718	107, 910	 
Escherichia coli JB1-95 (869682.4)	1794	3539	1435_3, 982_4	1497_5_6, 1497_5_6, 1498_5_6, 1498_5_6	1434_8	5291_9	1409_10	616_11	3540_12	3540_12	1597	1444_17	1443_19	4763	2493, 3355	 
Escherichia coli Jurua 18/11 (1115999.3)	2535	4490	1990_4, 2705_3	2766_5_6, 2766_5_6	2704_8	624_9	2678_10	1323_11	4491_12	4491_12	4678	2714_17	2713_19	5009	4079	 
Escherichia coli Jurua 20/10 (1116000.3)	2494	4463	1995_4, 2718_3	2779_5_6, 2779_5_6	2717_8	529_9	2691_10	1259_11	4464_12	4464_12	4668	2728_17	2727_19	4991	4113	 
Escherichia coli BW2952 (595496.3)	2289	4004	2479_3	2541_5_6, 2541_5_6	2478_8	444_15	2453_10	1078_11	4005_12	4005_12	4251	2488_17	2487_19	108	2858, 2863, 3656	 
