Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Escherichia coli O104:H4 str. Ec12-0466 (1240779.3)	246_3, 247_4, 248_2, 249_1, 5255_1, 5256_2, 5257_4, 5258_3	250_10, 5254_9	1211_24, 1212_20, 1213_23, 1214_25, 1215_21, 1216_22, 1217_26	 	 	 	 	 	 	2505_51	2506	3364_64, 3365_66, 3366_67, 3367_69, 3368_73, 3369_74	 	 	1578_88	 
Escherichia coli O104:H4 str. H112180280 (1042804.3)	1131_3, 1132_4, 1133_2, 1134_1, 867_1, 868_2, 869_4, 870_3	1135_10, 866_9	2077_24, 2078_20, 2079_23, 2080_25, 2081_21, 2082_22, 2083_26	 	 	 	 	 	 	3146_51	3145	5038_74, 5039_73, 5040_69, 5041_67, 5042_66, 5043_64	 	 	2439_88	 
Escherichia coli O104:H4 str. H112180541 (1048765.4)	1914_3, 1915_4, 1916_2, 1917_1, 2329_3, 2330_4, 2331_2, 2332_1	1918_9, 2333_10	2158_26, 2159_22, 2160_21, 2161_25, 2162_23, 2163_20, 2164_24	 	 	 	 	 	 	1230_51	1231	3286_64, 3287_66, 3288_67, 3289_69, 3290_73, 3291_74	 	 	4012_88	 
Escherichia coli O104:H4 str. LB226692 (1040638.5)	1393_1, 1394_2, 1395_4, 1396_3, 1655_3, 1656_4, 1657_2, 1658_1	1392_9, 1659_10	2494_24, 2495_20, 2496_23, 2497_25, 2498_21, 2499_22, 2500_26	 	 	 	 	 	 	3820_51	3821	4662_64, 4663_66, 4664_67, 4665_69, 4666_73, 4667_74	 	 	2871_88	 
Escherichia coli O104:H4 str. ON2010 (1136217.3)	1334_1, 1335_2, 1336_4, 1337_3, 1609_3, 1610_4, 1611_2, 1612_1	1333_9, 1613_10	2452_24, 2453_20, 2454_23, 2455_25, 2456_21, 2457_22, 2458_26	 	 	 	 	 	 	3762_51	3763	4540_56, 4541_64, 4542_66, 4543_67, 4544_69, 4545_73, 4546_74	 	 	2837_88	 
Escherichia coli O104:H4 str. ON2011 (1136218.3)	1730_1, 1731_2, 1732_2, 1733_4, 1734_3, 1983_3, 1984_4, 1985_2, 1986_1	1729_10, 1987_9	802_26, 803_22, 804_21, 805_25, 806_23, 807_20, 808_24	 	 	 	 	 	 	4187_51	4188	5000_64, 5001_66, 5002_67, 5003_69, 5004_73, 5005_74	 	 	443_88	 
Escherichia coli O104:H4 str. TY-2482 (1038844.18)	267_1, 268_2, 269_4, 270_3, 539_3, 540_4, 541_2, 542_1	266_9, 543_10	1494_24, 1495_20, 1496_23, 1497_25, 1498_21, 1499_22, 1500_26	 	 	 	 	 	 	2770_51	2771	3606_56, 3607_64, 3608_66, 3609_67, 3610_69, 3611_73, 3612_74	 	 	1859_88	 
Escherichia coli O10:K5(L):H4 str. ATCC 23506 (1246623.3)	2853_1, 2854_2, 2855_4, 2856_3, 3103_3, 3104_4, 3105_2, 3106_1	2852_10, 3107_9	1515_26, 1516_22, 1518_25, 1519_23, 1520_20, 1521_24	 	 	 	 	 	 	 	3258	3948_64, 3949_66, 3950_68, 3951_70, 3953_76	 	 	1809_88	 
Escherichia coli O111:H- str. 11128 (585396.4)	1617_1, 1618_2, 1619_4, 1620_3, 1932_3, 1933_4, 1934_2, 1935_1	1616_9, 1936_10	3034_24, 3035_20, 3036_23, 3037_25, 3038_21, 3039_22, 3040_26	 	 	 	 	 	 	 	4319	5150_64, 5151_66, 5152_68, 5153_69, 5154_73, 5155_74	 	 	3383_88	 
Escherichia coli O111:H11 str. CFSAN001630 (1232151.3)	2187_3, 2188_4, 2189_2, 2190_1, 2934_1, 2935_2, 2936_4	2191_9, 2933_10	1150_24, 1151_20, 1152_23, 1153_25, 1154_21, 1155_22, 1156_26	 	 	 	 	 	 	 	5741	1401_64, 1402_66, 1403_68, 1404_69, 1405_73, 1406_74	 	 	4569_88	 
Escherichia coli O111:H11 str. CVM9534 (1165946.3)	3130_3, 3131_4, 3132_2, 3133_1, 3807_1, 3808_2, 3809_4	3134_9, 3806_10	3467_24, 3468_20, 3469_23, 3470_25, 3471_21, 3472_22, 3473_26	 	 	 	 	 	 	 	3683	1123_74, 1124_73, 1125_69, 1126_68, 1127_66, 1128_64	 	 	4490_87	 
Escherichia coli O111:H11 str. CVM9553 (1165947.3)	1056_4, 1057_2, 1058_1, 3202_3, 3203_4, 3204_2, 3205_1	1059_10, 3206_9	3805_24, 3806_20, 3807_23, 3808_25, 3809_21, 3810_22, 3811_26	 	 	 	 	 	 	 	2785	1780_64, 1781_66, 1782_68, 1783_69, 1784_73, 1785_74	 	 	2161_88	 
Escherichia coli O111:H8 str. CFSAN001632 (1232154.3)	2765_3, 2766_4, 2767_2, 2768_1, 4788_1, 4789_2, 4790_4, 4791_3	2769_9, 4787_10	3665_24, 3666_20, 3667_23, 3668_25, 3669_21, 3670_22, 3671_26	 	 	 	 	 	 	 	1677	4077_56, 4078_64, 4079_66, 4080_68, 4081_69, 4082_73, 4083_74	 	 	3040_88	 
Escherichia coli O111:H8 str. CVM9570 (1165945.3)	3125_1, 3126_2, 3127_4, 3128_3, 3649_3, 3650_4, 3651_2, 3652_1	3124_9, 3653_10	678_24, 679_20, 680_23, 681_25, 682_21, 683_22, 684_26	 	 	 	 	 	 	 	1778	2805_64, 2806_66, 2807_68, 2808_69, 2809_73, 2810_74	 	 	2306_88	 
Escherichia coli O111:H8 str. CVM9574 (1165943.3)	2339_3, 2340_4, 2341_2, 2342_1, 3858_1, 3859_2, 3860_4, 3861_3	2343_10, 3857_9	2844_24, 2845_20, 2846_23, 2847_25, 2848_21, 2849_22, 2850_26	 	 	 	 	 	 	 	3412	1140_64, 1141_66, 1142_67, 1143_67, 1144_69, 1145_73, 1146_74	 	 	2582_88	 
Escherichia coli O111:H8 str. CVM9602 (1165942.3)	2352_3, 2353_4, 2354_2, 2355_1, 4348_1, 4349_2, 4350_4, 4351_3	2356_10, 4347_9	2615_24, 2616_20, 2617_23, 2618_25, 2619_21, 2620_22, 2621_26	 	 	 	 	 	 	 	3214	1935_74, 1936_73, 1937_69, 1938_68, 1939_66, 1940_64	 	 	2157_88	 
Escherichia coli O111:H8 str. CVM9634 (1165944.3)	3944_3, 3945_4, 3946_2, 3947_1, 4158_1, 4159_2, 4160_4, 4161_3	3948_9, 4157_10	3100_24, 3101_20, 3102_23, 3103_25, 3104_21, 3105_22, 3106_26	 	 	 	 	 	 	 	3756	2426_64, 2427_66, 2428_68, 2429_69, 2430_73, 2431_74	 	 	2835_88	 
Escherichia coli O113:H21 str. CL-3 (1078029.12)	1461_3, 1462_4, 1463_2, 1464_1, 3444_3, 3445_4, 3446_2, 3447_1	1465_10, 3448_9	4367_26, 4368_22, 4369_21, 4370_25, 4371_23, 4372_20, 4373_24	 	 	 	 	 	 	28_49	30	693_56, 694_62, 695_66, 696_67, 697_69, 698_73, 699_74	 	 	471_88	 
Escherichia coli O121:H19 str. MT#2 (1078031.3)	1686_3, 1687_4, 1688_2, 1689_1, 5079_3, 5080_4, 5081_2, 5082_1	1690_10, 5083_9	1231_24, 1232_20, 1233_23, 1234_25, 1235_21, 1236_26	 	 	 	 	 	 	 	334	2060_56, 2061_62, 2062_65, 2063_67, 2064_69, 2065_73, 2066_74	 	 	1906_88	 
Escherichia coli O127:H27 str. C43/90 (1090929.3)	1382_1, 1383_2, 1384_4, 1385_3, 1475_3, 1476_4, 1477_2, 1478_1	1381_9, 1479_10	2266_24, 2267_20, 2268_23, 2269_25, 2271_22, 2272_26	 	 	 	 	 	 	 	3498	4221_64, 4222_66, 4223_68, 4224_70, 4226_76	 	 	2643_88	 
Escherichia coli O127:H6 str. E2348/69 (574521.7)	1381_1, 1382_2, 1383_4, 1384_3, 1637_3, 1638_4, 1639_2, 1640_1	1380_11, 1641_9	2402_24, 2403_20, 2404_23, 2405_25, 2407_21, 2408_22, 2409_26	 	 	 	 	 	 	 	3696	4493_56, 4494_62, 4495_66, 4496_68, 4497_69, 4498_73, 4499_74	 	 	2871_88	 
Escherichia coli O145:H28 str. 4865/96 (1078035.3)	156_3, 157_4, 158_2, 159_1, 3145_1, 3146_2, 3147_4, 3148_3	160_9, 3144_9	2021_26, 2022_21, 2023_25, 2024_23, 2025_20, 2026_24	 	 	 	 	 	 	255_50	257	857_74, 858_73, 859_69, 860_68, 861_66, 862_64, 863_56	 	 	723_88	 
Escherichia coli O157:H- str. 493-89 (926027.3)	4503_1, 4504_2, 4505_4, 4506_3, 4829_3, 4830_4, 4831_2, 4832_1	4502_9, 4833_10	892_24, 893_20, 894_23, 895_25, 897_22, 898_26	 	 	 	 	 	 	 	2083	2954_64, 2955_66, 2956_68, 2957_69, 2959_76	 	 	1230_88	 
Escherichia coli O157:H- str. H 2687 (926028.3)	4523_1, 4524_2, 4525_4, 4526_3, 4852_3, 4853_4, 4854_2, 4855_1	4522_9, 4856_10	976_24, 977_20, 978_23, 979_25, 981_22, 982_26	 	 	 	 	 	 	 	2166	3017_56, 3018_64, 3019_66, 3020_68, 3021_69, 3023_76	 	 	1320_88	 
Escherichia coli O157:H7 EDL933 (155864.8)	1584_1, 1585_2, 1586_4, 1587_3, 1821_1, 1822_2, 1823_4, 1824_3	1583_11, 1820_10	2984_24, 2985_20, 2986_23, 2987_25, 2988_21, 2989_22, 2990_26	 	 	 	 	 	 	4158_50	4160	4989_56, 4990_64, 4991_66, 4992_68, 4993_69, 4994_69, 4996_76	 	 	3331_88	 
Escherichia coli O157:H7 str. EC536 (702436.3)	222_3, 223_4, 224_2, 225_1, 2957_1, 2958_2, 2959_4, 2960_3	226_10, 2956_9	2102_26, 2103_22, 2104_21, 2105_21, 2106_25, 2107_23, 2108_20, 2109_24	 	 	 	 	 	 	 	3797	1107_76, 1109_69, 1110_68, 1111_66, 1112_64	 	 	4739_88	 
Escherichia coli O157:H7 str. EC1212 (941435.3)	3246_1, 3247_2, 3248_4, 3249_3, 5375_1, 5376_2, 5377_4, 5378_3	3245_10, 5374_9	1131_26, 1132_22, 1134_25, 1135_23, 1136_20, 1137_24	 	 	 	 	 	 	 	3079	2225_76, 2227_69, 2228_68, 2229_66, 2230_64	 	 	3869_88	 
Escherichia coli O157:H7 str. 1125 (997825.3)	3449_1, 3450_2, 3451_4, 3452_3, 387_3, 388_4, 389_2, 390_1	3448_10, 391_9	4467_24, 4468_20, 4469_23, 4470_25, 4472_22, 4473_26	 	 	 	 	 	 	 	1542	3071_76, 3073_69, 3074_68, 3075_66, 3076_64	 	 	4079_88	 
Escherichia coli O157:H7 str. EC4009 (702430.3)	2314_1, 2315_2, 2316_4, 2317_3, 777_1, 778_2, 779_4, 780_3	2313_10, 776_9	5105_24, 5106_20, 5107_23, 5108_25, 5110_22, 5111_26	 	 	 	 	 	 	 	1677	1759_56, 1760_64, 1761_66, 1762_68, 1763_69, 1765_76	 	 	4809_88	 
Escherichia coli O157:H7 str. EC4024 (444454.5)	6195_1, 6196_1, 6197_2, 6198_4, 6199_3, 976_3, 977_4, 978_2, 979_1	6194_9, 980_10	2017_24, 2018_20, 2019_23, 2020_25, 2022_22, 2023_26	 	 	 	 	 	 	 	3288	4130_56, 4131_64, 4132_66, 4133_68, 4134_69, 4136_76	 	 	2443_88	 
Escherichia coli O157:H7 str. EC4042 (444449.5)	302_3, 303_4, 304_2, 305_1, 5045_1, 5046_2, 5047_4, 5048_3	306_10, 5044_9	1479_24, 1480_20, 1481_23, 1482_25, 1483_21, 1484_21, 1485_22, 1486_26	 	 	 	 	 	 	 	2743	3584_56, 3585_64, 3586_66, 3587_68, 3588_69, 3590_76	 	 	1909_88	 
Escherichia coli O157:H7 str. EC4045 (444448.5)	4308_1, 4309_2, 4310_4, 4311_3, 4658_3, 4659_4, 4660_2, 4661_1	4307_9, 4662_10	240_24, 241_20, 242_23, 243_25, 245_22, 246_26	 	 	 	 	 	 	 	1494	2341_56, 2342_64, 2343_66, 2344_68, 2345_69, 2347_76	 	 	663_88	 
Escherichia coli O157:H7 str. EC4084 (702432.3)	1235_1, 1236_2, 1237_4, 1238_3, 3312_1, 3313_2, 3314_4, 3315_3	1234_9, 3311_10	3864_26, 3865_22, 3866_21, 3867_21, 3868_25, 3869_23, 3870_20, 3871_24	 	 	 	 	 	 	2276_49	2274	3718_76, 3720_69, 3721_68, 3722_66, 3723_64, 3724_56	 	 	656_88	 
Escherichia coli O157:H7 str. EC4115 (444450.8)	1770_1, 1771_2, 1772_4, 1773_3, 2120_3, 2121_4, 2122_2, 2123_1	1769_9, 2124_10	3330_24, 3331_20, 3332_23, 3333_25, 3335_22, 3336_26	 	 	 	 	 	 	 	4576	5420_56, 5421_64, 5422_66, 5423_68, 5424_69, 5426_76	 	 	3752_88	 
Escherichia coli O157:H7 str. EC4191 (702434.4)	2973_1, 2974_2, 2975_4, 2976_3, 671_3, 672_4, 673_2, 674_1	2972_9, 675_10	3810_24, 3811_20, 3812_23, 3813_25, 3815_22, 3816_26	 	 	 	 	 	 	 	3970	3063_56, 3064_64, 3065_66, 3066_68, 3067_69, 3069_76	 	 	4540_88	 
Escherichia coli O157:H7 str. FRIK2000 (637388.3)	1650_1, 1651_2, 1652_4, 1653_3, 2072_1, 2073_2, 2074_4, 2075_3	1649_10, 2071_9	374_26, 375_22, 377_25, 378_23, 379_20, 380_24	 	 	 	 	 	 	 	1741	2307_64, 2308_66, 2309_68, 2310_69, 2312_76	 	 	38_88	 
Escherichia coli O157:H7 str. FRIK966 (570506.3)	3021_1, 3022_2, 3023_4, 3024_3, 3064_3, 3065_4, 3066_2, 3067_1	3020_10, 3068_9	4952_24, 4953_20, 4954_23, 4955_25, 4957_22, 4958_26	 	 	 	 	 	 	 	279	1411_76, 1413_69, 1414_68, 1415_66, 1416_64	 	 	5294_88	 
Escherichia coli O157:H7 str. G5101 (926026.3)	4419_1, 4420_2, 4421_4, 4422_3, 4743_3, 4744_4, 4745_2, 4746_1	4418_9, 4747_10	851_24, 852_20, 853_23, 854_25, 856_22, 857_26	 	 	 	 	 	 	 	2112	2924_64, 2925_66, 2926_68, 2927_69, 2929_76	 	 	1194_88	 
Escherichia coli O157:H7 str. H093800014 (1240385.3)	3471_3, 3472_4, 3473_2, 3474_1, 3996_1, 3997_2, 3998_4, 3999_3	3475_10, 3995_9	1550_26, 1551_22, 1553_25, 1554_23, 1555_20, 1556_24	 	 	 	 	 	 	 	333	642_64, 643_66, 644_68, 645_69, 647_76	 	 	1941_88	 
Escherichia coli O157:H7 str. LSU-61 (926032.3)	4505_1, 4506_2, 4507_4, 4508_3, 4801_3, 4802_4, 4803_2, 4804_1	4504_9, 4805_10	933_24, 934_20, 935_23, 936_25, 938_22, 939_26	 	 	 	 	 	 	 	2155	2966_56, 2967_64, 2968_66, 2969_68, 2970_69, 2972_76	 	 	1272_88	 
Escherichia coli O157:H7 str. Sakai (386585.9)	1830_1, 1831_2, 1832_4, 1833_3, 2173_3, 2174_4, 2175_2, 2176_1	1829_11, 2177_10	3225_24, 3226_20, 3227_23, 3228_25, 3230_22, 3231_26	 	 	 	 	 	 	 	4403	5279_64, 5280_66, 5281_68, 5282_69, 5284_76	 	 	3572_88	 
Escherichia coli O157:H7 str. TW14359 (544404.4)	1631_1, 1632_2, 1633_4, 1634_3, 1982_3, 1983_4, 1984_2, 1985_1	1630_9, 1986_10	3133_24, 3134_20, 3135_23, 3136_25, 3138_22, 3139_26	 	 	 	 	 	 	 	4387	5232_56, 5233_64, 5234_66, 5235_68, 5236_69, 5238_74	 	 	3555_88	 
Escherichia coli O157:H7 str. TW14588 (502346.5)	2558_3, 2559_4, 2560_2, 2561_1, 5295_1, 5296_2, 5297_4, 5298_3	2562_11, 5294_10	4283_26, 4284_22, 4286_25, 4287_23, 4288_20, 4289_24	 	 	 	 	 	 	 	2439	1585_76, 1587_69, 1588_68, 1589_66, 1590_64	 	 	3860_88	 
Escherichia coli 7.1982 (1051348.3)	1994_1, 1995_2, 1996_4, 1997_3, 2278_3, 2279_4, 2280_2, 2281_1	1993_9, 2282_10	3177_24, 3178_20, 3179_23, 3180_25, 3182_22, 3183_26	 	 	 	 	 	 	 	4275	5072_56, 5073_64, 5074_66, 5075_68, 5076_69, 5078_76	 	 	137_88	 
Escherichia coli 95.0083 (1051346.3)	1659_1, 1660_2, 1661_4, 1662_3, 1910_3, 1911_4, 1912_2, 1913_1	1658_11, 1914_10	2771_24, 2772_20, 2773_23, 2774_25, 2776_22, 2777_26	 	 	 	 	 	 	 	4001	4800_64, 4801_66, 4802_67, 4803_69, 4805_76	 	 	3164_88	 
Escherichia coli ATCC 700728 (1051353.3)	1623_1, 1624_2, 1625_4, 1626_3, 1872_3, 1873_4, 1874_2, 1875_1	1622_9, 1876_10	2719_24, 2720_20, 2721_23, 2722_25, 2724_22, 2725_26	 	 	 	 	 	 	 	3877	4772_64, 4773_66, 4774_68, 4775_69, 4777_76	 	 	3063_88	 
Escherichia coli O157 str. NCCP15738 (1317131.3)	4131_3, 4132_4, 4133_2, 4134_1, 544_3, 545_4, 546_2, 547_1	4135_10, 548_9	186_24, 187_20, 188_23, 189_25, 190_21, 191_22, 192_26	 	 	 	 	 	 	 	2154	3189_62, 3190_66, 3191_67, 3192_69, 3193_73, 3194_74	 	 	842_88	 
Escherichia coli O157 str. NCCP15739 (1317130.3)	3393_1, 3394_2, 3395_4, 3396_3, 4293_1, 4294_2, 4295_4, 4296_3	3392_10, 4292_11	2426_26, 2427_22, 2429_25, 2430_23, 2431_20, 2432_24	 	 	 	 	 	 	 	972	3278_64, 3279_66, 3280_68, 3281_69, 3283_76	 	 	1706_88	 
Escherichia coli PA11 (1051349.3)	1693_1, 1694_2, 1695_4, 1696_3, 1960_3, 1961_4, 1962_2, 1963_1	1692_11, 1964_10	2832_24, 2833_20, 2834_23, 2835_25, 2837_22, 2838_26	 	 	 	 	 	 	 	4130	4866_64, 4867_66, 4868_68, 4869_69, 4871_76	 	 	3211_88	 
Escherichia coli PA13 (1051350.3)	1467_1, 1468_2, 1469_4, 1470_3, 66_3, 67_4, 68_2, 69_1	1466_9, 70_10	2713_24, 2714_20, 2715_23, 2716_25, 2718_22, 2719_26	 	 	 	 	 	 	 	3864	4721_64, 4722_66, 4723_68, 4724_69, 4726_76	 	 	3108_88	 
Escherichia coli PA19 (1051351.3)	1655_1, 1656_2, 1657_4, 1658_3, 44_1, 45_2, 46_4, 47_3	1654_9, 43_10	2807_24, 2808_20, 2809_23, 2810_25, 2812_22, 2813_26	 	 	 	 	 	 	 	4010	4913_56, 4914_64, 4915_66, 4916_68, 4917_69, 4919_76	 	 	3189_88	 
Escherichia coli PA35 (1051352.3)	2032_1, 2033_2, 2034_4, 2035_3, 2290_3, 2291_4, 2292_2, 2293_1	2031_9, 2294_10	3179_24, 3180_20, 3181_23, 3182_25, 3184_22, 3185_26	 	 	 	 	 	 	 	4375	5250_56, 5251_64, 5252_66, 5253_68, 5254_69, 5256_76	 	 	3590_88	 
Escherichia coli O25b:H4-ST131 str. EC958 (941322.6)	1503_1, 1504_2, 1505_4, 1506_3, 1740_3, 1741_4, 1742_2, 1743_1	1502_9, 1744_10	2567_24, 2568_20, 2569_23, 2570_25, 2571_21, 2572_22, 2573_26	 	 	 	 	 	 	 	3816	4604_56, 4605_62, 4606_65, 4607_67, 4608_69, 4609_73, 4610_74	 	 	2893_88	 
Escherichia coli O26:H11 str. 11368 (573235.3)	1769_1, 1770_2, 1771_4, 1772_3, 2098_3, 2099_4, 2100_2, 2101_1	1768_9, 2102_10	3203_24, 3204_20, 3205_23, 3206_25, 3207_21, 3208_22, 3209_26	 	 	 	 	 	 	 	4563	5356_56, 5357_64, 5358_66, 5359_68, 5360_69, 5361_73, 5362_74	 	 	3670_88	 
Escherichia coli O26:H11 str. CFSAN001629 (1232150.3)	4167_3, 4168_4, 4169_2, 4170_1, 4596_1, 4597_2, 4598_4, 4599_3	4171_10, 4595_9	5369_24, 5370_20, 5371_23, 5372_25, 5373_21, 5374_22, 5375_26	 	 	 	 	 	 	 	1728	3204_56, 3205_64, 3206_66, 3207_68, 3208_69, 3209_73, 3210_74	 	 	5607_88	 
Escherichia coli O26:H11 str. CVM10021 (1165950.3)	3710_1, 3711_2, 3712_4, 3713_3, 4594_3, 4595_4, 4596_2, 4597_1	3709_10, 4598_9	5150_24, 5151_20, 5152_23, 5153_25, 5154_21, 5155_22, 5156_26	 	 	 	 	 	 	 	3231	114_74, 115_73, 116_69, 117_68, 118_66, 119_64	 	 	1306_88	 
Escherichia coli O26:H11 str. CVM10026 (1165951.3)	3065_3, 3066_4, 3067_2, 3068_1, 4366_3, 4367_4, 4368_2, 4369_1	3069_9, 4370_10	3505_26, 3506_22, 3507_21, 3508_25, 3509_23, 3510_20, 3511_24	 	 	 	 	 	 	 	1699	4001_74, 4002_73, 4003_69, 4004_68, 4005_66, 4006_64	 	 	1470_88	 
Escherichia coli O26:H11 str. CVM10030 (1165952.3)	2905_1, 2906_2, 2907_4, 2908_3, 3673_3, 3674_4, 3675_2, 3676_1	2904_9, 3677_10	3558_26, 3559_22, 3560_21, 3561_25, 3562_23, 3563_20, 3564_24	 	 	 	 	 	 	 	2788	3444_56, 3445_64, 3446_66, 3447_68, 3448_69, 3449_73, 3450_74	 	 	1396_88	 
Escherichia coli O26:H11 str. CVM10224 (1165953.3)	327_1, 328_2, 329_4, 330_3, 3719_3, 3720_4, 3721_2, 3722_1	326_9, 3723_10	3514_24, 3515_20, 3516_23, 3517_25, 3518_21, 3519_22, 3520_26	 	 	 	 	 	 	 	1807	1676_56, 1677_64, 1678_66, 1679_68, 1680_69, 1681_73, 1682_74	 	 	37_88	 
Escherichia coli O26:H11 str. CVM9942 (1165949.3)	4017_1, 4018_2, 4019_4, 4020_3, 4987_3, 4988_4, 4989_2, 4990_1, 4991_1	4016_9, 4992_10	1150_24, 1151_20, 1152_23, 1153_25, 1154_21, 1155_22, 1156_26	 	 	 	 	 	 	 	4659	3327_64, 3328_66, 3329_68, 3330_69, 3331_73, 3332_74	 	 	846_88	 
Escherichia coli O26:H11 str. CVM9952 (1163738.3)	4915_1, 4916_2, 4917_4, 4918_3, 5091_1, 5092_2, 5093_4, 5094_3	4914_10, 5090_9	3506_24, 3507_20, 3508_23, 3509_25, 3510_21, 3511_22, 3512_26	 	 	 	 	 	 	 	1681	81_56, 82_64, 83_66, 84_68, 85_69, 86_73, 87_74	 	 	4042_88	 
Escherichia coli O32:H37 str. P4 (1167694.3)	4390_3, 4391_4, 4392_2, 4393_1, 4536_1, 4537_2, 4538_4, 4539_3	4394_10, 4535_9	449_24, 450_20, 451_23, 452_25, 454_22, 455_26	 	 	 	 	 	 	 	2934	3829_74, 3831_70, 3832_68, 3833_66, 3834_64	 	 	1431_88	 
Escherichia coli O45:H2 str. 03-EN-705 (1078033.4)	2002_3, 2003_4, 2004_2, 2005_1, 3001_1, 3002_2, 3003_4, 3004_3	2006_10, 3000_9	3280_24, 3281_20, 3282_23, 3283_25, 3284_21, 3285_26	 	 	 	 	 	 	694_50	692	4450_74, 4451_73, 4452_69, 4453_67, 4454_65, 4455_62, 4456_56	 	 	1313_88	 
Escherichia coli O55:H7 str. 3256-97 (926029.3)	4396_1, 4397_2, 4398_4, 4399_3, 4711_3, 4712_4, 4713_2, 4714_1	4395_9, 4715_10	831_24, 832_20, 833_23, 834_25, 836_22, 837_26	 	 	 	 	 	 	 	2289	3128_56, 3129_64, 3130_66, 3131_67, 3132_69, 3134_76	 	 	1168_88	 
Escherichia coli O55:H7 str. CB9615 (701177.3)	1486_1, 1487_2, 1488_4, 1489_3, 1816_3, 1817_4, 1818_2, 1819_1	1485_9, 1820_10	2768_24, 2769_20, 2770_23, 2771_25, 2772_21, 2773_22, 2774_26	 	 	 	 	 	 	 	4084	4899_64, 4900_66, 4901_67, 4902_69, 4904_76	 	 	3115_88	 
Escherichia coli O55:H7 str. USDA 5905 (926030.3)	4151_1, 4152_2, 4153_4, 4154_3, 4486_3, 4487_4, 4488_2, 4489_1	4150_9, 4490_10	506_24, 507_20, 508_23, 509_25, 510_21, 511_22, 512_26	 	 	 	 	 	 	 	1946	2881_64, 2882_66, 2883_67, 2884_69, 2886_76	 	 	856_88	 
Escherichia coli O5:K4(L):H4 str. ATCC 23502 (1268238.3)	2079_3, 2080_4, 2081_2, 2082_1, 251_3, 252_4, 253_2, 254_1	2083_10, 255_9	4326_24, 4327_20, 4328_23, 4329_25, 4330_21, 4331_22, 4332_26	 	 	 	 	 	 	 	800	2832_74, 2833_73, 2834_69, 2835_68, 2836_66, 2837_64	 	 	2699_88	 
Escherichia coli O7:K1 str. CE10 (1072459.4)	1422_1, 1423_2, 1424_4, 1425_3, 1677_3, 1678_4, 1679_2, 1680_1	1421_9, 1681_9	2612_24, 2613_20, 2614_23, 2615_25, 2616_21, 2617_22, 2618_26	 	 	 	 	 	 	3939_50	3941	4819_62, 4820_65, 4821_67, 4822_69, 4823_73, 4824_74	 	 	3030_88	 
Escherichia coli O83:H1 str. NRG 857C (685038.3)	1259_1, 1260_2, 1261_4, 1262_3, 1465_3, 1466_4, 1467_2, 1468_1	1258_9, 1469_10	2264_24, 2265_20, 2266_23, 2267_25, 2268_21, 2269_22, 2270_26	 	 	 	 	 	 	3402_50	3404	4162_56, 4163_64, 4164_66, 4165_68, 4166_69, 4167_73, 4168_74	 	 	2579_88	 
Escherichia coli O91 (1055539.4)	3102_3, 3103_4, 3104_2, 3105_1, 4233_3, 4234_4, 4235_2, 4236_1	3106_11, 4237_10	336_26, 337_22, 338_21, 339_25, 340_23, 341_20, 342_24	 	 	 	 	 	 	 	1950	2072_74, 2073_73, 2074_69, 2075_68, 2076_66, 2077_64	 	 	11_88	 
Escherichia coli O91:H21 str. B2F1 (1078030.10)	1745_3, 1746_4, 1747_2, 1748_1, 2714_3, 2715_4, 2716_2, 2717_1	1749_9, 2718_10	4227_24, 4228_20, 4229_23, 4230_25, 4231_21, 4232_26	 	 	 	 	 	 	 	1244	1004_62, 1005_66, 1006_67, 1007_69, 1008_73, 1009_74	 	 	4556_88	 
Escherichia coli OK1180 (670904.4)	1859_3, 1860_4, 1861_2, 1862_1, 5103_3, 5104_4, 5105_2, 5106_1	1863_9, 5107_10	4104_26, 4105_22, 4106_21, 4107_25, 4108_23, 4109_20, 4110_24	 	 	 	 	 	 	 	2124	4505_64, 4506_66, 4507_68, 4508_69, 4509_73, 4510_74	 	 	3669_88	 
Escherichia coli ONT:H33 str. C48/93 (1090930.3)	1084_1, 1085_2, 1086_4, 1087_3, 4869_1, 4870_2, 4871_4, 4872_3	1083_9, 4868_10	2290_24, 2291_20, 2292_23, 2293_25, 2295_22, 2296_26	 	 	 	 	 	 	 	3460	4205_64, 4206_65, 4207_68, 4208_70, 4210_76	 	 	2560_88	 
Escherichia coli P0298942.1 (1116141.3)	1863_1, 1864_2, 1865_4, 1866_3, 708_3, 709_4, 710_2, 711_1	1862_9, 712_10	2657_24, 2658_20, 2659_23, 2660_25, 2661_21, 2662_22, 2663_26	 	 	 	 	 	 	3974_50	3976	4716_64, 4717_66, 4718_68, 4719_69, 4720_73, 4721_74	 	 	3010_88	 
Escherichia coli P0298942.10 (1116147.3)	1723_1, 1724_2, 1725_4, 1726_3, 1976_3, 1977_4, 1978_2, 1979_1	1722_9, 1980_10	2760_24, 2761_20, 2762_23, 2763_25, 2764_21, 2765_22, 2766_26	 	 	 	 	 	 	4059_50	4061	4833_64, 4834_66, 4835_68, 4836_69, 4837_73, 4838_74	 	 	3127_88	 
