Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Streptococcus infantis SK1076 (1005705.3)	761_1	 	760_7	760_7	763	12_11_19, 762_11_19	572_12	12_11_19, 762_11_19	197_21, 525_22	525_22	1295_26, 1296_27, 1297_27
Streptococcus infantis SK970 (1035189.4)	1956_1	 	1957_7, 1958_7	1957_7, 1958_7	1954	1721_11_19, 1722_11_19, 1955_11_19	1258_12	1721_11_19, 1722_11_19, 1955_11_19	1050_22, 32_21	1050_22	1332_27, 1333_27, 1334_26
Streptococcus infantis X (997830.4)	133_1	 	134_7	134_7	131	132_11_19, 1387_11_19	382_12	132_11_19, 1387_11_19	1248_21, 436_22, 438_22	436_22, 438_22	1878_26, 1879_27, 1880_27
Streptococcus mitis 11/5 (1239792.3)	734_1	 	735_7, 736_7	735_7, 736_7	731	410_11_19, 732_11_19, 733_11_19	1553_12	410_11_19, 732_11_19, 733_11_19	1908_22, 839_21	1908_22	502_27, 504_26
Streptococcus mitis 13/39 (1239793.3)	416_1	 	418_7	418_7	414	415_11_19, 661_11_19	1520_12, 1935_12	415_11_19, 661_11_19	1091_22, 1344_21	1091_22	1279_26, 1280_27, 1281_27
Streptococcus mitis ATCC 6249 (864567.3)	228_1	 	227_7	227_7	230	229_11_19, 467_11_19	1569_12, 737_12	229_11_19, 467_11_19	1496_22, 1677_21	1496_22	316_27, 317_27, 318_26
Streptococcus mitis B6 (365659.3)	275_1	 	276_7	276_7	273	1932_11_19, 274_11_19	1573_12	1932_11_19, 274_11_19	1491_22, 513_21	1491_22	2079_26, 2080_27, 2081_27
Streptococcus mitis NCTC 12261 (246201.6)	550_1	 	549_7	549_7	552	551_11_19, 943_11_19	1255_12	551_11_19, 943_11_19	1332_22, 395_21	 	763_27
Streptococcus mitis SK1073 (1008452.3)	620_1	 	619_7	619_7	622	1029_11_19, 621_11_19	741_12	1029_11_19, 621_11_19	5_21, 666_22	666_22	1175_26, 1176_27, 1177_27
Streptococcus mitis SK1080 (1008453.3)	1107_1	 	1108_7	1108_7	1105	1106_11_19, 264_11_19	1337_12	1106_11_19, 264_11_19	1411_22, 916_21	1411_22	1744_26, 1745_27, 1746_27
Streptococcus mitis SK321 (585202.3)	1308_1	 	1305_7	1305_7	1310	1309_11_19, 1515_11_19	128_12	1309_11_19, 1515_11_19	1122_21, 205_22	205_22	1665_26, 1666_27, 1667_27
Streptococcus mitis SK564 (585203.3)	1150_1	 	1149_7	1149_7	1152	1151_11_19, 1220_11_19	8_12	1151_11_19, 1220_11_19	1006_21, 87_22	87_22	1694_26, 1695_27, 1696_27
Streptococcus mitis SK569 (1035187.4)	1659_1	 	1658_7	1658_7	1661	1660_11_19, 552_11_19	167_12, 57_12	1660_11_19, 552_11_19	1240_22, 1395_21	1240_22	327_26, 328_27, 329_27
Streptococcus mitis SK575 (1095736.3)	1155_1	 	1154_7	1154_7	1157	1156_11_19, 1288_11_19	312_12	1156_11_19, 1288_11_19	1781_22, 362_21	1781_22	785_27, 786_27, 787_26
Streptococcus mitis SK616 (1095735.3)	414_1	 	413_7	413_7	416	201_11_19, 415_11_19	1487_12, 1789_12	201_11_19, 415_11_19	1202_22, 1376_21	1202_22	1709_26, 1710_27, 1711_27
Streptococcus mitis SPAR10 (1159208.3)	657_1	 	658_7	658_7	655	656_11_19, 91_11_19	849_12	656_11_19, 91_11_19	568_21, 896_22	896_22	350_27, 351_27, 352_26
Streptococcus mitis bv. 2 str. F0392 (768726.4)	1433_1	 	1434_7	1434_7	1431	1352_11_19, 1432_11_19	594_12, 796_12	1352_11_19, 1432_11_19	1648_22, 687_21	1648_22	1216_27, 1217_27, 1218_26
Streptococcus mutans 11A1 (857155.3)	298_1	 	300_7	301	299	1493_11_19, 297_11_19	280_12	1493_11_19, 297_11_19	615_21	 	1687_25, 726_27
Streptococcus mutans 14D (857113.3)	756_1	 	758_7	759	757	307_11_19, 755_11_19	738_12	307_11_19, 755_11_19	1133_21	 	1517_25, 1612_27, 1613_26
Streptococcus mutans 15JP3 (857152.3)	538_1	 	540_7	541	539	537_11_19, 791_11_19	520_12	537_11_19, 791_11_19	1297_21	 	1236_26, 1237_27, 1238_27, 1720_25
Streptococcus mutans 15VF2 (857145.3)	158_1	 	160_7	161	159	157_11_19, 654_11_19	140_12	157_11_19, 654_11_19	848_21	 	1283_27, 1284_27, 1285_26, 1769_25
Streptococcus mutans 1SM1 (857151.3)	716_1	 	718_7	719	717	569_11_19, 715_11_19	698_12	569_11_19, 715_11_19	1066_21	 	1815_25
Streptococcus mutans 21 (857112.3)	678_1	 	676_7	675	677	679_11_19, 79_11_19	696_12	679_11_19, 79_11_19	25_21	 	1695_25, 589_27
Streptococcus mutans 24 (857107.3)	1630_1	 	1628_7	1627	1629	1631_11_19, 201_11_19	1648_12	1631_11_19, 201_11_19	707_21	 	1773_25
Streptococcus mutans 2ST1 (857148.3)	1025_1	 	1027_7	1028	1026	1024_11_19, 533_11_19	1007_12	1024_11_19, 533_11_19	159_21	 	1123_25, 370_27
Streptococcus mutans 2VS1 (857144.3)	1527_1	 	1525_7	1524	1526	1343_11_19, 1528_11_19	1545_12	1343_11_19, 1528_11_19	615_21	 	1259_25, 233_26, 234_27
Streptococcus mutans 3SN1 (857149.3)	1016_1	 	1014_7	1013	1015	1017_11_19, 1110_11_19	1034_12	1017_11_19, 1110_11_19	232_21	 	126_27, 128_26, 445_25
Streptococcus mutans 4SM1 (857150.3)	609_1	 	611_7	612	610	1752_11_19, 608_11_19	591_12	1752_11_19, 608_11_19	980_21	 	1143_25, 1621_26, 1622_27, 1623_27
Streptococcus mutans 4VF1 (857146.3)	562_1	 	564_7	565	563	561_11_19, 984_11_19	728_12	561_11_19, 984_11_19	202_21	 	126_26, 127_27, 1732_25
Streptococcus mutans 5SM3 (857142.3)	378_1	 	380_7	381	379	204_11_19, 377_11_19	360_12	204_11_19, 377_11_19	464_21	 	1238_25
Streptococcus mutans 66-2A (857111.3)	49_1	 	51_7	52	50	1426_11_19, 48_11_19	31_12	1426_11_19, 48_11_19	1389_21	 	1771_25, 92_27, 93_27
Streptococcus mutans 8ID3 (857153.3)	365_1	 	363_7	362	364	1151_11_19, 366_11_19	383_12	1151_11_19, 366_11_19	622_21	 	1816_25
Streptococcus mutans B (857110.3)	378_1	 	380_7	381	379	377_11_19, 889_11_19	360_12	377_11_19, 889_11_19	1258_21	 	1507_26, 1508_27, 1509_27, 1651_25
Streptococcus mutans DSM 20523 (1123310.3)	1399_1	 	1397_7	1396	1398	1400_11_19, 36_11_19	1418_12	1400_11_19, 36_11_19	314_21	 	253_25
Streptococcus mutans G123 (857134.3)	721_1	 	723_7	724	722	1409_11_19, 720_11_19	703_12	1409_11_19, 720_11_19	107_21	 	1072_26, 1073_27, 1141_25
Streptococcus mutans GS-5 (1198676.3)	878_1	 	881_7	882	879, 880	762_11_19, 877_11_19	860_12	762_11_19, 877_11_19	472_21	 	1949_27, 535_25
Streptococcus mutans KK23 (1257039.3)	865_1	 	867_7	868	866	751_11_19, 864_11_19	847_12	751_11_19, 864_11_19	540_21	 	600_25
Streptococcus mutans M21 (857133.3)	931_1	 	929_7	928	930	732_11_19, 932_11_19	949_12	732_11_19, 932_11_19	69_21	 	1457_25
Streptococcus mutans M230 (857100.3)	1024_1	 	1026_7	1027	1025	1023_11_19, 969_11_19	1006_12	1023_11_19, 969_11_19	1241_21	 	1097_26, 1644_25
Streptococcus mutans N29 (857138.3)	333_1	 	331_7	330	332	1532_11_19, 334_11_19	351_12	1532_11_19, 334_11_19	625_21	 	509_26, 510_27, 880_25
Streptococcus mutans N3209 (857125.3)	958_1	 	956_7	955	957	820_11_19, 959_11_19	976_12	820_11_19, 959_11_19	1432_21	 	1483_25
Streptococcus mutans N34 (857131.3)	121_1	 	119_7	118	120	122_11_19, 375_11_19	139_12	122_11_19, 375_11_19	1813_21	 	1528_25, 725_27
Streptococcus mutans N66 (857124.3)	48_1	 	50_7	51	49	47_11_19, 552_11_19	30_12	47_11_19, 552_11_19	1064_21	 	1184_25
Streptococcus mutans NCTC 11060 (1257042.3)	844_1	 	846_7	847	845	731_11_19, 843_11_19	826_12	731_11_19, 843_11_19	451_21	 	1907_26, 521_25
Streptococcus mutans NFSM2 (857141.3)	556_1	 	558_7	559	557	1295_11_19, 555_11_19	538_12	1295_11_19, 555_11_19	328_21	 	1632_25
Streptococcus mutans NLML1 (857114.3)	309_1	 	311_7	312	310	121_11_19, 308_11_19	291_12	121_11_19, 308_11_19	369_21	 	1375_25, 406_27, 407_26
Streptococcus mutans NLML4 (857129.3)	1348_1	 	1346_7	1345	1347	1349_11_19, 882_11_19	1763_12	1349_11_19, 882_11_19	383_21	 	1612_25, 257_26, 258_27
Streptococcus mutans NLML5 (857128.3)	1236_1	 	1234_7	1233	1235	1237_11_19, 137_11_19	1254_12	1237_11_19, 137_11_19	1782_21	 	1497_25, 630_27, 631_26
Streptococcus mutans NLML8 (857115.3)	110_1	 	108_7	107	109	111_11_19, 385_11_19	1189_12	111_11_19, 385_11_19	714_21	 	1534_25, 790_27
Streptococcus mutans NLML9 (857127.3)	969_1	 	967_7	966	968	604_11_19, 970_11_19	987_12	604_11_19, 970_11_19	1401_21	 	153_27, 154_27, 175_25
Streptococcus mutans NMT4863 (857137.3)	680_1	 	682_7	683	681	679_11_19, 761_11_19	661_12	679_11_19, 761_11_19	331_21	 	944_25
Streptococcus mutans NN2025 (511691.3)	1042_1	 	1040_7	1039	1041	1043_11_19, 1169_11_19	1070_12	1043_11_19, 1169_11_19	1439_21	 	1379_25, 1890_27, 1891_27
Streptococcus mutans NVAB (857140.3)	620_1	 	618_7	617	619	621_11_19, 731_11_19	639_12	621_11_19, 731_11_19	1618_21	 	1013_25
Streptococcus mutans OMZ175 (857099.3)	102_1	 	100_7	99	101	103_11_19, 1057_11_19	147_12	103_11_19, 1057_11_19	444_21	 	1841_25, 894_26, 895_27, 896_27
Streptococcus mutans R221 (857101.3)	854_1	 	852_7	851	853	700_11_19, 855_11_19	872_12	700_11_19, 855_11_19	1068_21	 	1504_25
Streptococcus mutans S1B (857105.3)	540_1	 	538_7	537	539	292_11_19, 541_11_19	558_12	292_11_19, 541_11_19	702_21	 	431_26, 433_27, 955_25
Streptococcus mutans SA38 (857104.3)	1697_1	 	1699_7	1700	1698	1696_11_19, 240_11_19	1679_12	1696_11_19, 240_11_19	1460_21	 	1571_26, 1572_27, 1573_27, 628_25
Streptococcus mutans SA41 (857103.3)	642_1	 	644_7	645	643	1226_11_19, 641_11_19	624_12	1226_11_19, 641_11_19	1409_21	 	1445_25, 925_26, 926_27, 927_27
Streptococcus mutans SF1 (857121.3)	519_1	 	521_7	522	520	518_11_19, 563_11_19	501_12	518_11_19, 563_11_19	1234_21	 	103_26, 104_27, 105_27, 1634_25
Streptococcus mutans SF12 (857102.3)	875_1	 	873_7	872	874	39_11_19, 876_11_19	893_12	39_11_19, 876_11_19	1305_21	 	288_26, 289_27, 290_27, 837_25
Streptococcus mutans SM1 (857108.3)	820_1	 	818_7	817	819	821_11_19, 882_11_19	838_12	821_11_19, 882_11_19	365_21	 	437_25
Streptococcus mutans SM4 (857109.3)	330_1	 	332_7	333	331	329_11_19, 353_11_19	312_12	329_11_19, 353_11_19	467_21	 	1467_26, 1468_27, 1469_27, 1653_25
Streptococcus mutans SM6 (857119.3)	967_1	 	965_7	964	966	1288_11_19, 968_11_19	985_12	1288_11_19, 968_11_19	448_21	 	1188_25
Streptococcus mutans ST1 (857118.3)	824_1	 	826_7	827	825	551_11_19, 823_11_19	806_12	551_11_19, 823_11_19	1640_21	 	1718_25, 662_26
Streptococcus mutans ST6 (857117.3)	1024_1	 	1022_7	1021	1023	1025_11_19, 850_11_19	1042_12	1025_11_19, 850_11_19	142_21	 	1256_25, 1406_26, 1407_27
Streptococcus mutans T4 (857132.3)	1091_1	 	1093_7	1094	1092	1090_11_19, 771_11_19	1073_12	1090_11_19, 771_11_19	1421_21	 	1724_25, 794_27, 795_27, 796_26
Streptococcus mutans U2A (857116.3)	1612_1	 	1610_7	1609	1611	1613_11_19, 955_11_19	1083_12	1613_11_19, 955_11_19	437_21	 	386_25, 884_27, 885_27, 886_26
Streptococcus mutans U2B (857106.3)	997_1	 	999_7	1000	998	156_11_19, 996_11_19	979_12	156_11_19, 996_11_19	220_21	 	1404_25
Streptococcus mutans W6 (857122.3)	1316_1	 	1314_7	1313	1315	1317_11_19, 152_11_19	1334_12	1317_11_19, 152_11_19	798_21	 	1198_27, 1199_26, 1360_25
Streptococcus oralis ATCC 35037 (655813.4)	843_1	 	844_7	844_7	841	553_11_19, 842_11_19	1062_12, 1165_12	553_11_19, 842_11_19	1237_22, 237_21	1237_22	668_26, 669_27, 670_27
Streptococcus oralis SK100 (1095740.3)	811_1	 	812_7	812_7	809	810_11_19, 984_11_19	1401_12, 771_12	810_11_19, 984_11_19	1099_21, 161_22	161_22	195_26, 196_27, 197_27
Streptococcus oralis SK1074 (1095738.3)	36_1	 	37_7	37_7	34	1237_11_19, 35_11_19	196_12, 542_12	1237_11_19, 35_11_19	117_22, 297_21	117_22	1361_27, 1362_27, 1363_26
Streptococcus oralis SK255 (1005704.3)	611_1	 	610_7	610_7	613	612_11_19, 888_11_19	671_12	612_11_19, 888_11_19	134_22, 1938_21	134_22	1039_26, 1040_26, 1041_27, 1042_27
Streptococcus oralis SK304 (1161421.3)	1915_1	 	1916_7	1916_7	1913	1810_11_19, 1914_11_19	895_12	1810_11_19, 1914_11_19	1658_22, 97_21	1658_22	696_27, 697_27, 698_26
Streptococcus oralis SK610 (1095741.3)	1233_1	 	1232_7	1232_7	1235	1234_11_19, 382_11_19	1680_12, 1841_12	1234_11_19, 382_11_19	135_21, 1762_22	1762_22	823_26, 824_27, 825_27
Streptococcus oralis Uo5 (927666.3)	187_1	 	188_7	188_7	185	1669_11_19, 186_11_19	1400_12, 533_12	1669_11_19, 186_11_19	403_21, 610_22	610_22	1831_26, 1832_27, 1833_27
Streptococcus parasanguinis ATCC 15912 (760570.3)	1532_1	 	1533_7	1533_7	1530	1531_11_19, 1818_11_19	767_12	1531_11_19, 1818_11_19	122_22	122_22	1359_27, 1360_27, 1361_26
Streptococcus parasanguinis ATCC 903 (888048.3)	1593_11_19_1	 	1594_7	1594_7	1592	1305_11_19, 1593_11_19_1	509_12	1305_11_19, 1593_11_19_1	1112_22	1112_22	1371_26, 1372_27, 1373_27
Streptococcus parasanguinis F0405 (905067.3)	1416_1	 	1417_7	1417_7	1413	1414_11_19, 1415_11_19, 312_11_19	209_12	1414_11_19, 1415_11_19, 312_11_19	1741_22	1741_22	250_27, 251_27, 252_26
Streptococcus parasanguinis FW213 (1114965.3)	287_1	 	288_7	288_7	285	1935_11_19, 286_11_19	1103_12	1935_11_19, 286_11_19	105_21, 1685_22	1685_22	1994_26, 1995_27, 1996_27
Streptococcus parasanguinis SK236 (1035185.3)	1680_1	 	1679_7	1679_7	1682	1080_11_19, 1681_11_19	337_12	1080_11_19, 1681_11_19	1218_22, 1224_22	1218_22, 1224_22	33_27, 34_27, 35_26
Streptococcus parauberis KCTC 11537 (936154.3)	721_1	 	723_7	724	722	637_11_19, 720_11_19	697_12, 790_12	637_11_19, 720_11_19	 	 	1280_25, 2336_26, 2338_27, 2339_27
Streptococcus parauberis KCTC 11980BP (1260132.3)	1745_1	 	1743_7	1742	1744	1746_11_19, 994_11_19	1053_12, 1678_12	1746_11_19, 994_11_19	 	 	165_25, 1933_27, 1934_27, 1935_26, 1936_26
Streptococcus parauberis KRS-02083 (1207545.3)	669_1	 	667_7	666	668	104_11_19, 670_11_19	46_12, 603_12	104_11_19, 670_11_19	 	 	2011_27, 2012_27, 2013_26, 903_25
Streptococcus parauberis KRS-02109 (1207544.3)	567_1	 	569_7	570	568	400_11_19, 566_11_19	455_12, 631_12	400_11_19, 566_11_19	 	 	1024_25, 2009_26, 2010_27, 2011_27
Streptococcus parauberis NCFD 2020 (873447.3)	452_1	 	454_7	455	453	295_11_19, 451_11_19	353_12, 515_12	295_11_19, 451_11_19	 	 	1979_27, 1980_27, 1981_26, 946_25
Streptococcus peroris ATCC 700780 (888746.3)	956_1	 	957_7	957_7	954	583_11_19, 955_11_19	1148_12	583_11_19, 955_11_19	439_21	 	497_27, 498_27, 499_26
Streptococcus pneumoniae 1974M1-LZD (1089299.3)	562_1	 	863_7	863_7	564	563_11_19, 657_11_19	1255_12	563_11_19, 657_11_19	1378_22, 1580_21	1378_22	258_27, 259_27
Streptococcus pneumoniae 2009 (1239791.3)	41_1	 	42_7	42_7	38	39_11_19, 40_11_19, 650_11_19	107_12	39_11_19, 40_11_19, 650_11_19	1390_21, 306_22	306_22	 
Streptococcus pneumoniae 2061376 (914129.3)	335_1	 	336_7	336_7	333	242_11_19, 334_11_19	1564_12	242_11_19, 334_11_19	1795_21, 689_22	689_22	2153_27
Streptococcus pneumoniae 2061617 (914130.3)	343_1	 	344_7	344_7	341	250_11_19, 342_11_19	1485_12	250_11_19, 342_11_19	1740_21, 677_22	677_22	2090_27, 2091_27
Streptococcus pneumoniae 2070005 (914139.3)	339_1	 	340_7	340_7	337	247_11_19, 338_11_19	1547_12	247_11_19, 338_11_19	1778_21, 682_22	682_22	2132_27
Streptococcus pneumoniae 2070035 (914131.3)	320_1	 	321_7	321_7	318	228_11_19, 319_11_19	1501_12	228_11_19, 319_11_19	1710_21, 655_22	655_22	2127_27
Streptococcus pneumoniae 2070109 (914132.3)	274_1	 	275_7	275_7	272	179_11_19, 273_11_19	1441_12	179_11_19, 273_11_19	1652_21, 610_22	610_22	2061_27
Streptococcus pneumoniae 2070425 (914133.3)	277_1	 	278_7	278_7	275	184_11_19, 276_11_19	1889_12	184_11_19, 276_11_19	1659_21, 614_22	614_22	2184_27, 2185_27
Streptococcus pneumoniae 2070531 (914142.3)	275_1	 	276_7	276_7	273	183_11_19, 274_11_19	942_12	183_11_19, 274_11_19	1570_21, 612_22	612_22	2092_27, 2093_27
Streptococcus pneumoniae 2071004 (914135.3)	285_1	 	286_7	286_7	283	190_11_19, 284_11_19	1490_12	190_11_19, 284_11_19	1715_21, 643_22	643_22	2133_27, 2134_27
Streptococcus pneumoniae 2071247 (914143.3)	316_1	 	317_7	317_7	314	219_11_19, 315_11_19	778_12	219_11_19, 315_11_19	1732_21, 893_22	893_22	2144_26, 2145_27, 2146_27
Streptococcus pneumoniae 2072047 (914136.3)	285_1	 	286_7	286_7	282	183_11_19, 283_11_19, 284_11_19	1585_12	183_11_19, 283_11_19, 284_11_19	1867_21, 671_22	671_22	2312_27
Streptococcus pneumoniae 2080076 (914144.3)	280_1	 	281_7	281_7	278	186_11_19, 279_11_19	1465_12	186_11_19, 279_11_19	1674_21, 613_22	613_22	2097_27
Streptococcus pneumoniae 2080913 (914145.3)	278_1	 	279_7	279_7	276	186_11_19, 277_11_19	1464_12	186_11_19, 277_11_19	1686_21, 644_22	644_22	2123_27, 2124_27
Streptococcus pneumoniae 2081074 (914137.3)	333_1	 	334_7	334_7	331	237_11_19, 332_11_19	1701_12	237_11_19, 332_11_19	1961_21, 869_22	 	2211_27
Streptococcus pneumoniae 2081685 (914138.3)	158_1	 	159_7	159_7	156	157_11_19, 64_11_19	1413_12	157_11_19, 64_11_19	1638_21, 483_22	483_22	2045_26, 2046_27, 2047_27
Streptococcus pneumoniae 2082170 (914146.3)	456_1	 	457_7	457_7	454	283_11_19, 455_11_19	1737_12	283_11_19, 455_11_19	2015_21, 838_22	 	378_27
Streptococcus pneumoniae 2090008 (914148.3)	321_1	 	322_7	322_7	319	176_11_19, 320_11_19	1587_12	176_11_19, 320_11_19	1816_21, 681_22	681_22	2304_27
Streptococcus pneumoniae 23F (216600.3)	243_1	 	244_7	244_7	241	157_11_19, 242_11_19	1325_12	157_11_19, 242_11_19	1530_21, 498_22	498_22	1875_27
Streptococcus pneumoniae 3063-00 (760876.3)	297_1	 	298_7	298_7	295	205_11_19, 296_11_19	1477_12	205_11_19, 296_11_19	1707_21, 655_22	655_22	2131_27
Streptococcus pneumoniae 357 (1238422.3)	1049_1	 	1047_7	1047_7	1052	1050_11_19, 1051_11_19, 77_11_19	383_12	1050_11_19, 1051_11_19, 77_11_19	1455_22, 179_21	1455_22	1069_27
Streptococcus pneumoniae 4027-06 (760864.3)	288_1	 	289_7	289_7	286	192_11_19, 287_11_19	1487_12	192_11_19, 287_11_19	1740_21, 618_22	618_22	2151_27, 2152_27
Streptococcus pneumoniae 4075-00 (760873.3)	296_1	 	297_7	297_7	294	199_11_19, 295_11_19	1462_12	199_11_19, 295_11_19	1229_22, 1687_21	1229_22	2119_27
Streptococcus pneumoniae 459-5 (497980.3)	267_1	 	268_7	268_7	265	173_11_19, 266_11_19	1560_12	173_11_19, 266_11_19	1807_21, 591_22	591_22	2215_27
Streptococcus pneumoniae 5185-06 (760868.3)	301_1	 	302_7	302_7	299	205_11_19, 300_11_19	1469_12	205_11_19, 300_11_19	1698_21, 640_22	640_22	2144_27
Streptococcus pneumoniae 5652-06 (760871.3)	302_1	 	303_7	303_7	300	206_11_19, 301_11_19	1449_12	206_11_19, 301_11_19	1678_21, 637_22	637_22	2125_27
Streptococcus pneumoniae 5787-06 (760866.3)	295_1	 	296_7	296_7	293	199_11_19, 294_11_19	1501_12	199_11_19, 294_11_19	1745_21, 561_22	561_22	2139_27, 2140_27
Streptococcus pneumoniae 670-6B (189423.5)	397_1	 	398_7	398_7	395	299_11_19, 396_11_19	1748_12	299_11_19, 396_11_19	2003_21, 773_22	773_22	2500_27
Streptococcus pneumoniae 6901-05 (760863.3)	285_1	 	286_7	286_7	283	190_11_19, 284_11_19	1485_12	190_11_19, 284_11_19	1735_21, 616_22	616_22	2139_27, 2140_27
Streptococcus pneumoniae 6963-05 (760865.3)	282_1	 	283_7	283_7	280	187_11_19, 281_11_19	1484_12	187_11_19, 281_11_19	1730_21, 623_22	623_22	2130_27, 2131_27
Streptococcus pneumoniae 70585 (488221.3)	357_1	 	358_7	358_7	355	256_11_19, 356_11_19	1662_12	256_11_19, 356_11_19	1943_21, 745_22	745_22	2376_26, 2377_27, 2378_27
Streptococcus pneumoniae 7286-06 (760869.3)	302_1	 	303_7	303_7	300	204_11_19, 301_11_19	1452_12	204_11_19, 301_11_19	1680_21, 977_22	977_22	2131_27
Streptococcus pneumoniae 7533-05 (760872.3)	309_1	 	310_7	310_7	307	211_11_19, 308_11_19	1466_12	211_11_19, 308_11_19	1695_21, 647_22	647_22	2147_27
Streptococcus pneumoniae 7879-04 (760870.3)	300_1	 	301_7	301_7	298	201_11_19, 299_11_19	1489_12	201_11_19, 299_11_19	1722_21, 646_22	646_22	2181_27
Streptococcus pneumoniae 8190-05 (760867.3)	321_1	 	322_7	322_7	319	224_11_19, 320_11_19	1464_12	224_11_19, 320_11_19	1691_21, 652_22	652_22	2132_27
Streptococcus pneumoniae AP200 (574093.3)	351_1	 	352_7	352_7	349	257_11_19, 350_11_19	1684_12	257_11_19, 350_11_19	1929_21, 698_22	698_22	2358_26, 2359_27, 2360_27
Streptococcus pneumoniae ATCC 700669 (561276.4)	309_1	 	311_7	311_7	307	212_11_19, 308_11_19	1669_12	212_11_19, 308_11_19	1930_21, 650_22	650_22	2361_27, 2362_27
Streptococcus pneumoniae BS397 (512767.4)	349_1	 	350_7	350_7	347	196_11_19, 348_11_19	1897_12	196_11_19, 348_11_19	666_21, 889_22	889_22	1502_27
Streptococcus pneumoniae BS455 (595501.4)	1435_1	 	1436_7	1436_7	1433	1332_11_19, 1434_11_19	1598_12	1332_11_19, 1434_11_19	1006_22, 912_21	1006_22	1109_27
Streptococcus pneumoniae BS457 (512768.4)	362_1	 	363_7	363_7	360	361_11_19, 79_11_19	1037_12	361_11_19, 79_11_19	261_21, 905_22	905_22	669_27
Streptococcus pneumoniae BS458 (512769.4)	39_1	 	38_7	38_7	41	191_11_19, 40_11_19	1288_12	191_11_19, 40_11_19	1037_22, 869_21	1037_22	739_27
Streptococcus pneumoniae CDC0288-04 (453364.9)	304_1	 	303_7	303_7	306	1707_11_19, 305_11_19	1076_12	1707_11_19, 305_11_19	1426_21, 1824_22	1824_22	1296_26, 1297_27, 1298_27
Streptococcus pneumoniae CDC1873-00 (453362.4)	1589_1	 	1590_7	1590_7	1587	1250_11_19, 1588_11_19	980_12	1250_11_19, 1588_11_19	314_22, 768_21	 	1746_27
Streptococcus pneumoniae CDC3059-06 (453365.4)	2105_1	 	2104_7	2104_7	2107	1279_11_19, 2106_11_19	867_12	1279_11_19, 2106_11_19	1668_21, 195_22	195_22	1410_27, 1411_27
Streptococcus pneumoniae CGSP14 (516950.5)	324_1	 	325_7	325_7	322	228_11_19, 323_11_19	1664_12	228_11_19, 323_11_19	1926_21, 678_22	678_22	2340_27
Streptococcus pneumoniae D39 (373153.27)	306_1	 	307_7	307_7	304	210_11_19, 305_11_19	1550_12	210_11_19, 305_11_19	1772_21, 657_22	 	2197_27
Streptococcus pneumoniae EU-NP01 (760877.3)	284_1	 	285_7	285_7	282	188_11_19, 283_11_19	1602_12	188_11_19, 283_11_19	1852_21, 655_22	 	2291_26, 2292_27
Streptococcus pneumoniae EU-NP02 (760878.3)	299_1	 	300_7	300_7	297	203_11_19, 298_11_19	1040_12	203_11_19, 298_11_19	634_22, 811_21	634_22	2164_27
Streptococcus pneumoniae EU-NP03 (760879.3)	310_1	 	311_7	311_7	308	214_11_19, 309_11_19	1529_12	214_11_19, 309_11_19	1752_21, 647_22	647_22	2150_26, 2151_27, 2152_27
Streptococcus pneumoniae EU-NP04 (760880.3)	389_1	 	391_7	391_7	387	293_11_19, 388_11_19	1595_12	293_11_19, 388_11_19	1833_21, 721_22	721_22	2139_27
Streptococcus pneumoniae EU-NP05 (760881.3)	284_1	 	285_7	285_7	282	189_11_19, 283_11_19	1503_12	189_11_19, 283_11_19	1756_21, 615_22	615_22	2163_27
Streptococcus pneumoniae England14-9 (1069625.3)	275_1	 	276_7	276_7	273	179_11_19, 274_11_19	1478_12	179_11_19, 274_11_19	1719_21, 609_22	609_22	2114_27
Streptococcus pneumoniae G54 (512566.5)	290_1	 	291_7	291_7	288	193_11_19, 289_11_19	1565_12	193_11_19, 289_11_19	1792_21, 643_22	643_22	2217_27, 2218_27
Streptococcus pneumoniae GA02254 (760742.3)	347_1	 	348_7	348_7	345	251_11_19, 346_11_19	1623_12	251_11_19, 346_11_19	1305_22, 1831_21	1305_22	2214_27, 2215_27
Streptococcus pneumoniae GA02270 (760743.3)	348_1	 	349_7	349_7	346	255_11_19, 347_11_19	1565_12	255_11_19, 347_11_19	1801_21, 704_22	 	2242_27
Streptococcus pneumoniae GA02506 (1069626.3)	276_1	 	277_7	277_7	274	181_11_19, 275_11_19	1441_12	181_11_19, 275_11_19	1668_21, 618_22	618_22	2091_27
Streptococcus pneumoniae GA02714 (760744.3)	345_1	 	346_7	346_7	343	235_11_19, 344_11_19	1631_12	235_11_19, 344_11_19	1874_21, 707_22	 	2290_27
Streptococcus pneumoniae GA04175 (760745.3)	292_1	 	293_7	293_7	290	197_11_19, 291_11_19	1566_12	197_11_19, 291_11_19	1812_21, 652_22	652_22	2210_27, 2211_27
