Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Escherichia coli KTE15 (1169334.3)	197	1309	2289_3, 2792_4, 912_4	699	475_7, 4961_6	2497	1501	1499_11, 2367_11	 	548_16	 
Escherichia coli KTE150 (1169392.3)	550	1587	2504_3, 2981_4, 3066_4, 4027_4	1110	850_7, 91_6	2733	1768	1766_11, 2589_11	 	 	 
Escherichia coli KTE153 (1169393.3)	570	1545	2502_3, 2952_4	1006	170_6	2714	1724	1722_11, 2585_11	 	862_16	 
Escherichia coli KTE154 (1182728.3)	3084	4068	348_3, 3662_4, 3663_4, 4145_4	3544	2662_6	583	4339	428_11, 4337_11	 	3399_16	 
Escherichia coli KTE155 (1182729.3)	809	1385	2744_3	910	479_6	2988	1988	1986_11, 2844_11	 	 	 
Escherichia coli KTE156 (1182730.3)	1118	 	3072_3	1612	784_6	3319	2319	2317_11, 3174_11	 	 	 
Escherichia coli KTE157 (1169394.3)	412	1433	2401_3, 2874_4	914	4775_6, 695_6	2608	1639	1637_11, 2482_11	 	769_16	 
Escherichia coli KTE158 (1182731.3)	1089	2188	3177_3	1679	675_6	3404	2444	2442_11, 3257_11	 	1474_16	 
Escherichia coli KTE159 (1182732.3)	408	1541	2337_3, 2819_4, 3378_4	878	4448_6	2522	1377	1379_11, 2397_11	 	717_16	 
Escherichia coli KTE16 (1169335.3)	1139	2167	1786_4, 3194_3, 3819_4	1679	1362_7, 688_6	3571	2363	2361_11, 3271_11	 	1435_16	 
Escherichia coli KTE160 (1169395.3)	494	1443	2492_3, 2944_4	972	147_6	2707	1673	1671_11, 2575_11	 	826_16	 
Escherichia coli KTE161 (1182733.3)	2632	 	4699_3	3168	2144_6	4924	3941	3939_11, 4778_11	 	2990_16	 
Escherichia coli KTE162 (1182734.3)	690	1763	1270_4, 2739_3, 3193_4	1161	197_6, 936_7	2944	1930	1928_11, 2818_11	 	1018_16	 
Escherichia coli KTE163 (1169396.3)	517	1582	2678_3	1030	85_6	2906	1926	1924_11, 2756_11	 	885_16	 
Escherichia coli KTE165 (1182735.3)	2320	3328, 3637	212_4, 2954_4, 4297_3	2846	1955_6, 2615_6	4505	3498	3496_11, 4378_11	 	2697_16	 
Escherichia coli KTE166 (1169397.3)	526	1579	2533_3	1046	186_6	2761	1829	1827_11, 2613_11	 	894_16	 
Escherichia coli KTE167 (1169398.3)	332	1279	2325_3, 2775_4, 925_4	809	4672_6	2537	1508	1506_11, 2407_11	 	664_16	 
Escherichia coli KTE168 (1169399.3)	542	1546	2514_3, 3015_4	1084	817_7, 97_6	2767	1756	1754_11, 2592_11	 	889_16	 
Escherichia coli KTE169 (1182736.3)	501	1605	1213_4, 2588_3, 3092_4	1038	103_6, 769_7	2843	1807	1805_11, 2668_11	 	841_16	 
Escherichia coli KTE17 (1169336.3)	1026	1973	1581_4, 2884_3, 3397_4, 3480_4, 4406_4	1473	1259_7, 677_6	3147	2152	2150_11, 3020_11	 	 	 
Escherichia coli KTE170 (1182737.3)	1066	2183	3292_3	1613	647_6	3520	2446	2444_11, 3372_11	 	1459_16	 
Escherichia coli KTE171 (1182738.3)	890	 	3062_3	1377	487_6	3292	2308	2306_11, 3143_11	 	1199_16	 
Escherichia coli KTE172 (1279005.3)	4302	442	1550_3	4844	3885_6	1776	704	1629_11, 702_11	 	4689_16	 
Escherichia coli KTE173 (1181724.3)	1015	2017	1592_4, 2919_3, 3477_4	1484	1260_7, 618_6	3211	2185	2183_11, 3082_11	 	1342_16	 
Escherichia coli KTE174 (1169400.3)	560	1600	2618_3, 3071_4	996	146_6	2832	1834	1832_11, 2700_11	 	853_16	 
Escherichia coli KTE175 (1181725.3)	1053	2357	1633_4, 3266_3, 3830_4	1524	1299_7, 655_6	3564	2527	2525_11, 3434_11	 	1381_16	 
Escherichia coli KTE176 (1169401.3)	500	 	2446_3, 2932_4, 3661_4	959	117_6	2653	1694	1692_11, 2523_11	 	807_16	 
Escherichia coli KTE177 (1169402.3)	462	1530	2487_3, 3065_4	994	86_6	2737	1776	1774_11, 2566_11	 	843_16	 
Escherichia coli KTE178 (1181726.3)	972	2182	1592_4, 3196_3, 3694_4	1482	1215_7, 592_6	3449	2407	2405_11, 3275_11	 	1298_16	 
Escherichia coli KTE179 (1169403.3)	449	 	2468_3, 3076_4, 3759_4	981	38_6	2724	1674	1672_11, 2600_11	 	784_16	 
Escherichia coli KTE18 (1169337.3)	986	1980	1586_4, 2896_3, 3408_4, 3492_4, 4449_4	1478	1219_7, 499_6	3156	2157	2155_11, 3028_11	 	 	 
Escherichia coli KTE180 (1169404.3)	475	 	2591_3, 3094_4, 3794_4	1027	38_6	2827	1807	1805_11, 2674_11	 	831_16	 
Escherichia coli KTE181 (1181727.3)	5104	1216	2320_3	555	4685_6	2548	1479	1477_11, 2399_11	 	350_16	 
Escherichia coli KTE182 (1181728.3)	405	1462	2546_3, 3079_4, 977_4	868	5308_6, 648_6	2820	1647	1645_11, 2677_11	 	722_16	 
Escherichia coli KTE183 (1181729.3)	4265	435	1441_3, 1941_4, 51_4	4764	3862_6, 4541_7	1647	658	1520_11, 656_11	 	4613_16	 
Escherichia coli KTE184 (1181730.3)	1786	2806	3798_3	2334	1374_6	4076	3019	3017_11, 3923_11	 	2139_16	 
Escherichia coli KTE185 (1181731.3)	780	1896	1493_4, 2800_3, 3395_4	1261	419_6	3118	2083	2081_11, 2886_11	 	1067_16	 
Escherichia coli KTE186 (1181732.3)	3109	4220	275_3, 3810_4, 723_4	3662	2744_6	499	4484	357_11, 4482_11	 	3400_16	 
Escherichia coli KTE187 (1181733.3)	831	1876	1482_4, 2951_3, 3394_4	1264	1048_7, 500_6	3156	2112	2110_11, 3029_11	 	1121_16	 
Escherichia coli KTE188 (1181734.3)	780	2142	1434_4, 2822_3, 3316_4	1215	306_6	3078	1947	1949_11, 2948_11	 	1071_16	 
Escherichia coli KTE189 (1181735.3)	584	1763	1363_4, 2738_3, 3214_4, 3298_4, 3945_4	1140	227_6	2957	1944	1942_11, 2827_11	 	936_16	 
Escherichia coli KTE19 (1169338.3)	4634	1160	2007_3, 2517_4, 3508_4, 429_4	212	4227_6, 4864_7	2266	1266	1264_11, 2090_11	 	60_16	 
Escherichia coli KTE190 (1181736.3)	862	1893	2886_3	1398	496_6	3112	2151	2149_11, 2966_11	 	1243_16	 
Escherichia coli KTE191 (1181737.3)	913	2089	1695_4, 3079_3, 3553_4, 3636_4, 4283_4	1465	553_6	3291	2285	2283_11, 3160_11	 	1267_16	 
Escherichia coli KTE192 (1181738.3)	983	1899	1571_4, 2880_3, 3335_4, 4358_4	1468	1204_6, 571_6	3082	2083	2081_11, 2955_11	 	1278_16	 
Escherichia coli KTE193 (1181739.3)	4387	5121	1476_3, 212_4, 680_4	4838	3935_6	1715	612	1562_11, 610_11	 	 	 
Escherichia coli KTE194 (1181740.3)	811	1967, 1968, 86	1583_4, 2928_3, 3432_4	1360	1036_7, 465_6	3181	2160	2158_11, 3006_11	 	1109_16	 
Escherichia coli KTE195 (1181741.3)	563	1701	1298_4, 2688_3, 3169_4, 4176_4	1064	197_6	2903	1883	1881_11, 2769_11	 	 	 
Escherichia coli KTE196 (1181742.3)	1142	2222	1747_4, 3190_3	1626	778_6	3421	2485	2483_11, 3276_11	 	1475_16	 
Escherichia coli KTE197 (1181743.3)	1136	 	3075_3	1618	725_6	3300	2331	2329_11, 3155_11	 	1449_16	 
Escherichia coli KTE198 (1181744.3)	931	 	3279_3	1453	528_6	3560	2340	2338_11, 3359_11	 	1252_16	 
Escherichia coli KTE199 (1181745.3)	4949	226	2024_3, 917_4	1034	4567_6	2302	452	2110_11, 450_11	 	 	 
Escherichia coli KTE2 (1169324.3)	1126	2342	3338_3	1909	711_6	3565	2599	2597_11, 3418_11	 	1703_16	 
Escherichia coli KTE20 (1169339.3)	652	2050	1364_4, 3188_3, 3695_4	1241	233_6	3435	2326	2324_11, 3271_11	 	 	 
Escherichia coli KTE200 (1181746.3)	791	1927	2924_3	1363	373_6	3205	2189	2187_11, 3005_11	 	1160_16	 
Escherichia coli KTE201 (1181747.3)	1204	2286	1863_4, 3365_3, 3818_4	1645	649_6	3578	2572	2570_11, 3449_11	 	1501_16	 
Escherichia coli KTE202 (1181748.3)	1017	2173	3165_3	1552	541_6	3394	2429	2427_11, 3246_11	 	1401_16	 
Escherichia coli KTE203 (1181749.3)	1634	2681	3605_3	2124	1282_6	3833	2915	2913_11, 3688_11	 	1976_16	 
Escherichia coli KTE204 (1181750.3)	261	1389	2259_3	816	4925_6	2487	1594	1592_11, 2340_11	 	659_16	 
Escherichia coli KTE205 (1181751.3)	381	1432	2500_3, 3029_4, 952_4	844	5115_6, 624_6	2771	1618	1616_11, 2629_11	 	697_16	 
Escherichia coli KTE206 (1181752.3)	769	1708	1310_4, 2704_3, 3178_4, 3262_4	1205	264_6, 989_7	2915	1909	1907_11, 2788_11	 	1063_16	 
Escherichia coli KTE207 (1181753.3)	1177	2224	1839_4, 3180_3, 3636_4	1672	1403_7, 759_6	3389	2430	2428_11, 3259_11	 	1476_16	 
Escherichia coli KTE208 (1181754.3)	643	1751	2835_3	1240	236_6	3066	2060	2058_11, 2916_11	 	1033_16	 
Escherichia coli KTE209 (1181755.3)	3153	4123	330_3, 3695_4, 820_4	3590	2740_6	586	4306	412_11, 4304_11	 	3446_16	 
Escherichia coli KTE21 (1169340.3)	679	2078	1408_4, 3221_3, 3672_4	1284	263_6	3465	2415	2413_11, 3303_11	 	 	 
Escherichia coli KTE210 (1181756.3)	907	1956	2877_3, 3335_4	1425	492_6	3113	2151	2149_11, 2967_11	 	 	 
Escherichia coli KTE211 (1181757.3)	1066	2063	1641_4, 2963_3, 3412_4	1533	1308_7, 563_6	3164	2231	2229_11, 3036_11	 	1391_16	 
Escherichia coli KTE212 (1181758.3)	618	1585	1206_4, 1687_4, 2641_3	1081	166_6	2867	1876	1874_11, 2721_11	 	935_16	 
Escherichia coli KTE213 (1181759.3)	4797	997	1974_3	470	4155_6, 4427_6	2309	1195	1193_11, 2115_11	 	219_16	 
Escherichia coli KTE214 (1181760.3)	1498	2614	2158_4, 3704_3, 4156_4	1936	1066_6	3916	2903	2901_11, 3786_11	 	1792_16	 
Escherichia coli KTE215 (1181761.3)	581	1638	1250_4, 2620_3, 3120_4	1028	232_6, 805_7	2828	1838	1836_11, 2699_11	 	877_16	 
Escherichia coli KTE216 (1181762.3)	809	2019	1439_4, 3030_3, 3528_4	1331	1055_7, 474_6	3289	2188	2186_11, 3162_11	 	1138_16	 
Escherichia coli KTE217 (1181763.3)	1301	2296	15_4, 1902_4, 3213_3, 3771_4, 3855_4	1795	1534_7, 755_6	3520	2476	2474_11, 3352_11	 	 	 
Escherichia coli KTE218 (1181764.3)	1355	2307	1900_4, 3274_3, 3727_4	1792	925_6	3488	2493	2491_11, 3359_11	 	1648_16	 
Escherichia coli KTE219 (1181765.3)	380	1414	2352_3, 2826_4, 942_4	834	4841_6, 616_6	2558	1601	1599_11, 2431_11	 	 	 
Escherichia coli KTE22 (1169341.3)	196	1562	2207_3, 2783_4, 3525_4, 778_4	669	4751_6	2471	1419	1417_11, 2344_11	 	502_16	 
Escherichia coli KTE220 (1181766.3)	178	1232	2301_3, 2756_4, 834_4	615	4673_6	2514	1470	1468_11, 2383_11	 	472_16	 
Escherichia coli KTE221 (1181767.3)	664	1833	1325_4, 2841_3	1187	186_6	3068	2087	2085_11, 2918_11	 	1040_16	 
Escherichia coli KTE222 (1181768.3)	2374	3594	3029_4, 4437_3	2899	2027_6	4666	3697	3695_11, 4518_11	 	2745_16	 
Escherichia coli KTE223 (1181769.3)	1001	2049	1653_4, 3082_3, 3539_4	1436	576_6	3297	2284	2282_11, 3164_11	 	1293_16	 
Escherichia coli KTE224 (1181770.3)	492	1570	1187_4, 2546_3, 3051_4	1019	751_7, 97_6	2800	1775	1773_11, 2626_11	 	824_16	 
Escherichia coli KTE225 (1181771.3)	1721	2835	3935_3	2264	1307_6	4160	3089	3087_11, 4014_11	 	2107_16	 
Escherichia coli KTE226 (1181772.3)	478	1542	1144_4, 2608_3, 3060_4	915	101_6	2820	1779	1777_11, 2690_11	 	772_16	 
Escherichia coli KTE227 (1181773.3)	1556	 	2123_4, 3488_3, 4027_4, 4825_4	2014	1191_6	3744	2766	2764_11, 3565_11	 	1862_16	 
Escherichia coli KTE228 (1181774.3)	4175	422	1394_3, 2006_4	4728	3803_6	1669	677	1473_11, 675_11	 	4577_16	 
Escherichia coli KTE229 (1181775.3)	4038	 	1107_3, 1721_4, 2468_4, 4658_4	4549	3671_6	1367	309	1241_11, 307_11	 	4348_16	 
Escherichia coli KTE23 (1169342.3)	912	1908	1513_4, 2828_3, 3333_4, 3416_4, 4375_4	1405	1146_7, 502_6	3078	2089	2087_11, 2909_11	 	 	 
Escherichia coli KTE230 (1181776.3)	691	1709	1311_4, 2699_3, 3195_4	1125	306_6	2957	1903	1901_11, 2826_11	 	982_16	 
Escherichia coli KTE231 (1169323.3)	247	1505	2540_3	1005	4929_6	2768	1758	1756_11, 2621_11	 	852_16	 
Escherichia coli KTE232 (1169365.3)	549	1491	2512_3, 469_4	1006	89_6	2741	1749	1747_11, 2594_11	 	859_16	 
Escherichia coli KTE233 (1181777.3)	3057	4054	338_3, 3651_4	3523	2636_6	572	4292	427_11, 4290_11	 	 	 
Escherichia coli KTE234 (1181778.3)	1069	2122	3096_3	1603	722_6	3387	2364	2362_11, 3234_11	 	1389_16	 
Escherichia coli KTE235 (1181779.3)	5060	1181	2184_3	597	4644_6	2462	1441	1439_11, 2264_11	 	393_16	 
Escherichia coli KTE236 (1181780.3)	392	1506	1016_4, 2589_3	900	5134_6	2865	1732	1730_11, 2674_11	 	 	 
Escherichia coli KTE237 (1181781.3)	639	1896	1399_4, 2972_3	1283	253_6	3252	2121	2119_11, 3059_11	 	 	 
Escherichia coli KTE24 (1169343.3)	2284	944	1246_4, 2649_4, 3057_3, 3551_4	2815	345_6	3294	1177	1175_11, 3143_11	 	 	 
Escherichia coli KTE240 (1181782.3)	861	 	1425_4, 2610_3, 3077_4, 3810_4	1317	497_6	2823	1888	1886_11, 2698_11	 	1165_16	 
Escherichia coli KTE25 (1169344.3)	1212	2214	1823_4, 3130_3, 3738_4, 3822_4, 4754_4	1717	1500_7, 805_6	3488	2392	2390_11, 3319_11	 	 	 
Escherichia coli KTE26 (1169345.3)	743	1892	2892_3	1331	324_6	3124	2155	2153_11, 2973_11	 	1128_16	 
Escherichia coli KTE27 (1169346.3)	460	2296	1084_4, 3250_3, 3784_4, 4546_4	975	1803_6, 99_6	3473	2478	2476_11, 3344_11	 	823_16	 
Escherichia coli KTE28 (1169347.3)	491	1526	1048_4, 2661_3, 3181_4, 3266_4, 4190_4	941	111_6, 724_6	2932	1904	1902_11, 2802_11	 	 	 
Escherichia coli KTE29 (1169348.3)	289	1274	2254_3	802	4397_6	2480	1528	1526_11, 2332_11	 	608_16	 
Escherichia coli KTE3 (1169316.3)	1145	2226	1761_4, 3127_3, 3622_4, 4409_4	1651	778_6	3361	2407	2405_11, 3234_11	 	1449_16	 
Escherichia coli KTE31 (1169349.3)	1039	2183	2910_3, 3295_4, 3386_4	1524	653_6	3109	1958	1960_11, 2982_11	 	1345_16	 
Escherichia coli KTE33 (1169351.3)	2103	677	1400_3, 3043_4, 3133_4	20	2490_6	1600	451	1474_11, 453_11	 	 	 
Escherichia coli KTE34 (1169352.3)	854	 	1126_3	2810	526_6	3338	1817	1815_11, 3175_11	 	3055_16	 
Escherichia coli KTE35 (1169320.3)	861	 	1134_3	2826	526_6	3348	1828	1826_11, 3181_11	 	3060_16	 
Escherichia coli KTE36 (1169353.3)	732	2030	1301_3, 1682_4, 2464_4, 3574_4	1566	348_6	3252	2396	2393_11, 2394_11, 3049_11	 	1079_16	 
Escherichia coli KTE37 (1169354.3)	546	1519	1826_4, 2641_4, 3091_3, 3649_4	2753	172_6	3397	1756	1754_11, 3180_11	 	 	 
Escherichia coli KTE38 (1169355.3)	551	1422	1743_4, 2555_4, 2997_3, 3552_4	2666	178_6	3298	1674	1672_11, 3085_11	 	941_16	 
Escherichia coli KTE39 (1169356.3)	1013	2174	1669_4, 3121_3, 3567_4	1450	560_6	3330	2415	2413_11, 3201_11	 	1307_16	 
Escherichia coli KTE4 (1169325.3)	732	1806	1343_4, 2705_3, 3200_4, 3995_4	1234	362_6	2937	1985	1983_11, 2811_11	 	1038_16	 
Escherichia coli KTE40 (1169357.3)	326	1622	2428_3, 4901_4	867	4567_6	2657	1693	1691_11, 2510_11	 	 	 
Escherichia coli KTE41 (1169358.3)	1071	2097	3094_3	1576	532_6	3322	2369	2367_11, 3176_11	 	 	 
Escherichia coli KTE42 (1169359.3)	1223	 	1085_4, 3187_3	1704	794_6	3411	2450	2448_11, 3266_11	 	1558_16	 
Escherichia coli KTE43 (1169360.3)	492	1585	1199_4, 2539_3, 2994_4	1032	763_7, 99_6	2744	1774	1772_11, 2617_11	 	837_16	 
Escherichia coli KTE44 (1169361.3)	905	 	3399_3	1432	535_6	3659	2424	2422_11, 3523_11	 	 	 
Escherichia coli KTE45 (1169362.3)	1000	2053	1660_4, 2987_3	1493	638_6	3237	2237	2235_11, 3065_11	 	1296_16	 
Escherichia coli KTE46 (1182653.3)	342	1389	2319_3, 997_4	830	4568_6	2567	1571	1569_11, 2395_11	 	638_16	 
Escherichia coli KTE47 (1182654.3)	832	 	1496_4, 2882_3, 3369_4	1327	1059_6, 479_6	3090	2055	2053_11, 2962_11	 	1131_16	 
Escherichia coli KTE48 (1182655.3)	1288	2407	3354_3	1823	906_6	3579	2612	2610_11, 3434_11	 	 	 
Escherichia coli KTE49 (1182656.3)	1130	2294	1805_4, 3318_3, 3781_4	1643	1367_7, 504_6, 754_6	3534	2467	2465_11, 3406_11	 	1451_16	 
Escherichia coli KTE5 (1169326.3)	197	 	2501_3, 3114_4, 3863_4, 810_4	702	5098_6	2763	1669	1667_11, 2636_11	 	551_16	 
Escherichia coli KTE50 (1182657.3)	2083	3230	4200_3	2615	1709_6	4428	3486	3484_11, 4280_11	 	2465_16	 
Escherichia coli KTE51 (1182658.3)	1029	 	108_4, 3293_3	1621	664_6	3572	2526	2524_11, 3374_11	 	1347_16	 
Escherichia coli KTE53 (1182660.3)	862	2034	1638_4, 3065_3, 3564_4	1531	510_6	3326	2278	2276_11, 3146_11	 	1154_16	 
Escherichia coli KTE54 (1182661.3)	1708	2674	3573_3	2236	1305_6	3811	2875	2873_11, 3652_11	 	2064_16	 
Escherichia coli KTE55 (1182662.3)	1155	 	1826_4, 3236_3, 3859_4, 4572_4	1654	659_6	3496	2468	2466_11, 3369_11	 	1457_16	 
Escherichia coli KTE56 (1182663.3)	2916	 	336_3, 860_4	3443	2572_6	565	4237	418_11, 4235_11	 	3247_16	 
Escherichia coli KTE57 (1182664.3)	1835	2896	1358_4, 2394_4, 3947_3	2290	2074_6, 292_6, 464_6	4155	3080	3078_11, 4028_11	 	2146_16	 
Escherichia coli KTE58 (1182665.3)	1120	 	1708_4, 3135_3, 3652_4, 4393_4	1601	766_6	3342	2355	2353_11, 3213_11	 	1425_16	 
Escherichia coli KTE59 (1182666.3)	976	 	1637_4, 3056_3, 3571_4, 4317_4	1530	627_6	3259	2274	2272_11, 3132_11	 	1362_16	 
Escherichia coli KTE6 (1169327.3)	2662	3853	3362_4, 368_4, 4862_3	3199	2286_6, 2905_7	5076	4024	4022_11, 4949_11	 	2987_16	 
Escherichia coli KTE60 (1182667.3)	960	2035	1616_4, 3066_3, 3513_4	1397	469_6	3275	2263	2261_11, 3147_11	 	1253_16	 
Escherichia coli KTE61 (1182668.3)	559	 	2610_3	1064	171_6	2836	1853	1851_11, 2690_11	 	869_16	 
Escherichia coli KTE62 (1182669.3)	1039	2248	1662_4, 3152_3, 3848_4, 4611_4	1553	381_6, 676_6	3413	2427	2425_11, 3286_11	 	1399_16	 
Escherichia coli KTE63 (1182670.3)	1189	2249	1777_4, 3234_3, 3678_4	1670	1407_7, 767_6	3440	2432	2430_11, 3312_11	 	1480_16	 
Escherichia coli KTE64 (1182671.3)	296	1399	14_4, 2515_3	826	4819_6	2751	1665	1663_11, 2593_11	 	 	 
Escherichia coli KTE65 (1182672.3)	200	 	2404_3, 2984_4, 3727_4, 852_4	743	4950_6	2671	1618	1616_11, 2543_11	 	577_16	 
Escherichia coli KTE66 (1182673.3)	799	1853	1443_4, 2786_3	1323	414_6	3119	2058	2056_11, 2926_11	 	1178_16	 
Escherichia coli KTE67 (1182674.3)	1323	2328	1921_4, 3293_3, 3788_4	1759	909_6	3549	2524	2522_11, 3422_11	 	1616_16	 
Escherichia coli KTE68 (1182675.3)	230	1633	2754_3	828	5306_6	2987	1900	1898_11, 2837_11	 	626_16	 
Escherichia coli KTE69 (1182676.3)	708	2184	1666_4, 2601_4, 2958_3, 3435_4	2713	315_6	3198	1600	1598_11, 3045_11	 	1280_16	 
Escherichia coli KTE7 (1169317.3)	1024	 	1641_4, 3332_3, 3951_4, 4697_4	1533	669_6	3593	2500	2498_11, 3467_11	 	1382_16	 
Escherichia coli KTE70 (1182677.3)	579	1338	1870_4, 2696_4, 3058_3, 3548_4	2809	189_6	3299	1803	1801_11, 3145_11	 	963_16	 
Escherichia coli KTE71 (1182678.3)	798	1981	3153_3	1274	423_6	3400	2349	2347_11, 3236_11	 	1122_16	 
Escherichia coli KTE72 (1182679.3)	516	1559	1179_4, 2572_3, 3280_4	959	107_6, 737_7	2876	1786	1784_11, 2700_11	 	809_16	 
Escherichia coli KTE73 (1182680.3)	470	1520	1160_4, 1613_4, 2546_3	985	4875_6	2776	1818	1816_11, 2624_11	 	793_16	 
Escherichia coli KTE74 (1182681.3)	582	1713	1299_4, 2032_4, 2702_3, 3197_4	2462	200_6	2940	1966	1964_11, 2789_11	 	976_16	 
Escherichia coli KTE75 (1182682.3)	655	1946	1450_4, 2970_3, 3575_4, 3678_4	1255	293_6	3317	2133	2131_11, 3125_11	 	1065_16	 
Escherichia coli KTE76 (1182683.3)	410	1550	1062_4, 2534_3, 3112_4	946	5093_6	2765	1764	1762_11, 2623_11	 	 	 
Escherichia coli KTE77 (1182684.3)	860	 	2898_3	1370	459_6	3124	2117	2115_11, 2979_11	 	1166_16	 
Escherichia coli KTE78 (1182685.3)	909	1919	1570_4, 2848_3	1382	506_6	3082	2128	2126_11, 2930_11	 	1232_16	 
Escherichia coli KTE79 (1182686.3)	2428	3438	3089_4, 4371_3	2899	2024_6	4603	3647	3645_11, 4453_11	 	2749_16	 
Escherichia coli KTE8 (1169328.3)	531	1618	1078_4, 2588_3, 3055_4, 3138_4	972	756_7, 97_6	2796	1799	1797_11, 2671_11	 	829_16	 
Escherichia coli KTE80 (1182687.3)	377	1525	2548_3	928	5074_6	2778	1783	1781_11, 2630_11	 	776_16	 
Escherichia coli KTE81 (1182688.3)	1101	 	2993_3	1558	724_6	3230	2259	2257_11, 3071_11	 	1411_16	 
Escherichia coli KTE82 (1169363.3)	571	1627	2856_3	1145	112_6	3082	1942	1940_11, 2935_11	 	940_16	 
Escherichia coli KTE83 (1182689.3)	399	1655	2757_3	1004	5135_6	2985	1921	1919_11, 2837_11	 	796_16	 
Escherichia coli KTE84 (1182690.3)	965	1935	1605_4, 2861_3	1496	620_6	3076	2098	2096_11, 2943_11	 	 	 
Escherichia coli KTE85 (1169364.3)	421	1418	1035_4, 2465_3, 2995_4	925	4948_6, 707_6	2743	1670	1668_11, 2599_11	 	781_16	 
Escherichia coli KTE86 (1182691.3)	613	1729	1338_4, 2735_3, 3236_4	1111	210_6, 889_7	2942	1952	1950_11, 2815_11	 	961_16	 
Escherichia coli KTE87 (1182692.3)	995	1941	1543_4, 3035_3, 3487_4	1435	428_6	3246	2180	2178_11, 3117_11	 	1292_16	 
Escherichia coli KTE88 (1169366.3)	298	1240	2224_3, 2720_4	766	4557_6, 544_7	2430	1469	1467_11, 2302_11	 	615_16	 
Escherichia coli KTE89 (1182693.3)	255	1350	2350_3, 2848_4, 982_4	758	4768_6, 536_7	2555	1571	1569_11, 2428_11	 	610_16	 
Escherichia coli KTE9 (1169329.3)	1079	2147	1723_4, 3137_3	1611	699_6	3418	2415	2413_11, 3219_11	 	1461_16	 
Escherichia coli KTE90 (1169367.3)	664	1728	2739_3	1216	172_6	2978	1941	1939_11, 2827_11	 	1024_16	 
Escherichia coli KTE91 (1182694.3)	403	1417	2432_3	944	4753_6	2711	1632	1630_11, 2559_11	 	750_16	 
Escherichia coli KTE93 (1182696.3)	561	1707	2687_3, 3193_4, 785_4	1331	1064_7, 213_6	2943	1904	1902_11, 2765_11	 	1137_16	 
Escherichia coli KTE94 (1169368.3)	567	1587	2567_3, 3155_4	1076	173_6	2885	1801	1799_11, 2652_11	 	889_16	 
Escherichia coli KTE96 (1182697.3)	2915	4035	1937_4, 419_3, 904_4	3386	2519_6	608	3870	3872_11, 485_11	 	3222_16	 
Escherichia coli KTE97 (1169370.3)	343	1304	2298_3, 2741_4	803	4583_6, 586_7	2504	1528	1526_11, 2377_11	 	660_16	 
Escherichia coli KTE98 (1182698.3)	4826	3522	2323_4, 2808_3, 3163_4, 3862_4	3052	530_6	2574	3793	2721_11, 3791_11	 	 	 
Escherichia coli KTE99 (1169371.3)	538	1485	2455_3, 2950_4	977	148_6	2712	1668	1666_11, 2582_11	 	831_16	 
Escherichia coli LCT-EC106 (1163386.3)	4552	1299	346_3, 792_4	3730	2526_6	555	1530	1528_11, 429_11	 	3587_16	 
Escherichia coli LCT-EC52 (1258567.3)	2778	4210	352_3, 804_4	3217	4696_6	566	3971	3973_11, 435_11	 	3073_16	 
Escherichia coli LCT-EC59 (1258580.3)	3098	3222	391_3, 842_4	4185	2692_6	602	3457	3455_11, 473_11	 	4041_16	 
Escherichia coli LF82 (591946.4)	401	1392	2357_3, 2846_4, 2931_4	847	54_6	2561	1636	1634_11, 2434_11	 	699_16	 
Escherichia coli LT-68 (670890.3)	4403	2501	3509_3	541	3996_6	2415	5403	5028_11, 5031_11, 5401_11	 	 	 
Escherichia coli M605 (656417.3)	553	1684	3000_3, 3599_4	1147	116_6, 807_7	3332	2133	2131_11, 3102_11	 	890_16	 
Escherichia coli M718 (656419.3)	624	1988	3097_3	1204	208_6	3362	2346	2344_11, 3184_11	 	1046_16	 
Escherichia coli M863 (656420.3)	3609	4844, 4845	1984_4, 2110_4, 824_3	1496	3951_6	1091	88	86_11, 922_11	 	1337_16	 
Escherichia coli MA6 (1005557.3)	902	2281	3422_3	1468	439_6	3662	2537	2535_11, 3513_11	 	1253_16	 
Escherichia coli MP020940.1 (1116140.3)	607	1835	1276_4, 2810_3	1085	198_6	3039	2080	2078_11, 2893_11	 	937_16	 
Escherichia coli MP020980.1 (1125638.3)	954	2071	1619_4, 2985_3	1426	537_6	3284	2268	2266_11, 3134_11	 	1221_16	 
Escherichia coli MP020980.2 (1116139.3)	899	1991	1578_4, 3081_3	1375	427_6	3330	2297	2295_11, 3180_11	 	1204_16	 
Escherichia coli MP021017.1 (1116057.3)	555	1672	2801_3	1079	256_6	3136	2004	2002_11, 2890_11	 	 	 
Escherichia coli MP021017.10 (1116064.3)	665	1731	1305_4, 2823_3, 3528_4	1164	346_6	3150	1952	1950_11, 2909_11	 	991_16	 
Escherichia coli MP021017.11 (1116065.3)	446	1544	2602_3, 3298_4	978	151_6	2930	1809	1807_11, 2687_11	 	794_16	 
Escherichia coli MP021017.12 (1116111.3)	342	1370	2301_3	834	34_6	2551	1633	1631_11, 2357_11	 	 	 
Escherichia coli MP021017.2 (1116058.3)	648	1732	2772_3	1162	326_6	3108	1972	1970_11, 2858_11	 	 	 
