Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Bradyrhizobium japonicum WSM2793 (1038866.3)	3904_1, 4496_1, 6299_1	1634_5, 1710_7, 1842_8, 3680_5, 961_5	1876_9, 1877_10, 3177_10, 3178_9, 5463_9, 5464_10	1876_9, 3178_9, 5463_9	3171_12	3173_14	5976_18	 
Ochrobactrum anthropi ATCC 49188 (439375.7)	2027_1	1064_5, 2248_8	212_10, 213_9	213_9	 	201_14	 	 
Ochrobactrum anthropi CTS-325 (1151114.3)	2504_1	2722_7, 29_5, 2916_5	580_10, 581_9	581_9	570_12	569_14	3699_18	 
Methylobacterium mesophilicum SR1.6/6 (908290.3)	3263_4, 3967_1, 5766_1	1111_5, 4538_7	4499_10, 4500_9	3646, 4500_9, 5021	4498_12	4031_15, 4032_14, 4495_14, 4496_15	4409_18	 
Methylobacterium populi BJ001 (441620.7)	1586_1, 2114_1	1421_7, 4668_7, 949_5	2243_9, 2244_10	2243_9	2245_12, 2757_12	2247_15, 2248_14	4798_18	 
Methylobacterium radiotolerans JCM 2831 (426355.14)	1461_1, 3861_1	1143_8, 3437_5	1838_10, 1839_9	1839_9, 1940	5797_12	1834_14, 1835_15	 	 
Mesorhizobium loti MAFF303099 (266835.9)	136_1	277_7, 3558_8, 3649_5, 3678_5, 7185_5	6057_10, 6058_9	6058_9	 	2573_14	6512_18	 
Mesorhizobium loti NZP2037 (935546.3)	1484_1	1635_7, 5551_8, 5640_5, 5692_7, 7109_5	635_10, 636_9	636_9	4608_12	4609_14	987_18	 
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	287_3, 5066_1	2192_7, 2529_5, 3693_5, 688_5	1088_10, 1089_9	1089_9	1087_12	1958_14, 4702_15	5061_18	 
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	2613_3, 497_1	1022_5, 176_7	4215_10, 4216_9	4216_9	4214_12	3291_15, 391_14	502_18	 
Agrobacterium tumefaciens str. C58 (176299.10)	1593_1	1237_8, 304_5	813_9, 814_10	813_9	815_12	136_15, 1478_14	 	 
Achromobacter xylosoxidans AXX-A (1003200.3)	1845_3, 217_1	2061_5, 3601_7	3620_10, 3621_9	 	3619_12	1036_15, 1589_14	2032_18, 2033_18, 2205_18, 4936_18, 5043_18, 5148_18	 
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	946_1	278_5, 3444_5, 36_7	1700_10, 1701_9	 	1699_12	2093_15, 2094_14, 2306_15	1293_18, 743_18	 
Burkholderia cenocepacia AU 1054 (331271.8)	5306_1, 6194_1	5723_5, 586_7	1938_9, 1939_10	315	1940_12	1942_14, 4017_15	6518_18	 
Burkholderia cenocepacia H111 (1055524.3)	2291_1, 646_1, 6543_1	3541_7	2829_9, 2830_10, 5490_9, 5491_10	4984, 5490_9	2831_12	2833_14, 839_15, 847_14	4515_18, 7022_18	 
Burkholderia cenocepacia HI2424 (331272.8)	2121_1, 3588_1, 5881_1	1055_7, 6045_5	2521_9, 2522_10	788	2523_12	2525_14, 4624_15	1799_18	 
Burkholderia cenocepacia J2315 (216591.5)	2243_1, 3240_3, 3727_1, 4227_1	3050_7	2357_10, 2358_9, 2775_9, 2776_10	2358_9, 3341	2777_12	2779_14, 5451_14	1925_18, 4145_18	 
Burkholderia cenocepacia MC0-3 (406425.4)	2175_1, 5308_1, 5780_1	1044_7, 3730_5	2578_9, 2579_10	7212, 779	2580_12	2582_14, 7110_15, 7118_14	1859_18	 
Burkholderia cepacia R18194 (269483.3)	2379_1, 2949_1, 4798_2, 6766_1	5338_7, 6085_5	6711_10, 6712_9, 7038_9, 7039_10	509, 6712_9, 6980	 	1265_15, 1273_14, 7042_14	 	 
Burkholderia cepacia GG4 (1009846.3)	1411_1, 5415_1, 5773_1	2572_7	1010_10, 1011_9, 1295_9, 1296_10	1295_9	1009_12, 265_12	1007_14, 4145_14	1720_18, 3731_18	 
Cupriavidus metallidurans CH34 (266264.4)	1485_1, 1573_2	1136_7, 4208_5	3204_9, 3205_10	 	 	3208_14	 	 
Lautropia mirabilis ATCC 51599 (887898.3)	889_1	2373_7, 504_5	 	 	 	116_14, 117_15	 	 
Ralstonia sp. 5_7_47FAA (658664.3)	2694_1, 547_1	2481_7	2974_10, 2975_9	 	2973_12	2971_14	4102_18, 648_18, 827_18	 
Comamonas testosteroni CNB-2 (688245.4)	3705_1	3767_7, 4379_5	2194_9, 3376_10, 3377_9	2194_9	3375_12	3373_14	3137_18	 
Comamonas testosteroni NBRC 100989 (1111078.3)	4185_1	4259_7, 628_5	4426_9, 4427_10	 	4428_12	4430_14	239_18	 
Comamonas testosteroni S44 (563045.3)	4129_1	3569_5, 4019_7	4303_10, 4304_9, 4449_10, 4450_9	4450_9	4302_12	4300_14	4186_18	 
Delftia acidovorans CCUG 15835 (883100.3)	3018_1, 4880_1	2801_7, 3658_5, 633_7	4004_10, 4005_9	3415	4003_12	4001_14	1508_18, 2250_18, 5764_18	 
Delftia acidovorans CCUG 274B (883101.3)	5138_1, 6355_1	2952_7, 3339_5, 4358_7	3687_10, 3688_9	6183	3686_12	3684_14	2345_18, 4030_18, 4197_18	 
Delftia acidovorans SPH-1 (398578.5)	2339_1, 3750_4, 5853_1	1471_5, 2237_7	4685_10, 4686_9	3230	 	4682_14	4058_18	 
Oxalobacter formigenes HOxBLS (556268.6)	42_1	1261_5, 1958_7	 	 	 	 	 	 
Oxalobacter formigenes OXCC13 (556269.4)	1274_1, 2373_2	1769_5, 709_7	 	 	 	 	551_18	 
Parasutterella excrementihominis YIT 11859 (762966.3)	1389_3, 79_1	1271_5	 	 	 	 	1001_18	 
Sutterella wadsworthensis 2_1_59BFAA (742823.3)	1122_1, 2003_3	1425_5	 	 	 	 	1222_18	 
Sutterella wadsworthensis 3_1_45B (742821.3)	147_3, 551_1	2454_5, 336_5	 	 	 	 	 	 
Sutterella wadsworthensis HGA0223 (1203554.3)	1268_3, 1674_1	2351_5, 945_5	 	 	 	 	1091_18, 465_18	 
Burkholderiales bacterium 1_1_47 (469610.4)	1750_1	1889_5	 	 	 	 	2372_18	 
Eikenella corrodens ATCC 23834 (546274.4)	1112_1	1046_5	 	 	 	 	 	 
Kingella oralis ATCC 51147 (629741.3)	1600_1	220_5	 	 	970_13	 	 	 
Laribacter hongkongensis HLHK9 (557598.3)	105_1	1180_7, 915_5	1555_10, 1556_9	 	 	581_14	 	 
Neisseria cinerea ATCC 14685 (546262.4)	644_1	1488_5	 	 	 	 	 	 
Neisseria elongata subsp. glycolytica ATCC 29315 (546263.3)	554_3, 685_1	797_5	2319_10, 2320_10, 2589_9	 	1326_12	1156_14, 2290_15	 	 
Neisseria flavescens NRL30031/H210 (546264.5)	994_1	115_5	6_9	 	 	 	 	 
Neisseria flavescens SK114 (596320.3)	1103_1, 463_1	1729_5	503_9, 505_10	 	507_12	1463_14, 501_14, 502_15	 	 
Neisseria macacae ATCC 33926 (997348.4)	1029_1	2012_5	718_9, 930_10	 	1831_12	1632_15, 955_14	 	 
Neisseria mucosa ATCC 25996 (546266.6)	2475_1	739_5	1046_10, 28_9	 	1049_12	1275_15, 2236_14	 	 
Neisseria mucosa C102 (435832.3)	1128_1, 1352_2	37_5	252_10, 456_9	 	955_12	447_14, 451_15	570_18	 
Neisseria subflava NJ9703 (546268.4)	1854_1	475_5	1209_9, 674_10	 	2223_12	1214_15, 1217_14	 	 
Methyloversatilis universalis EHg5 (999628.3)	1335_1, 1706_1	2553_7	1464_9, 1465_10, 2013_9, 2014_10	1464_9, 2013_9, 265	663_12	665_14	 	 
Methyloversatilis universalis FAM5 (1000565.3)	502_1, 880_1	2567_7	193_10, 194_9, 628_9, 629_10, 969_10, 970_9	628_9, 970_9	2136_12	2138_14	 	 
Aeromonas caviae Ae398 (878320.4)	212_1	1378_5, 1886_5	3473_9, 3474_10	3471	3286_12	3284_15, 3285_14	 	 
Aeromonas hydrophila 113 (1268075.3)	3960_1	1797_5, 3293_5	3565_10, 3566_9	3568	4266_12	4267_14, 4268_15	4196_18	 
Aeromonas hydrophila 14 (1268074.3)	3025_1	7_5, 950_5	2137_10, 2138_9	2140	4156_12	4157_14, 4158_15	3816_18	 
Aeromonas hydrophila 173 (1268076.3)	3989_1	123_5, 1974_5	3486_10, 3487_9	3489	3140_12	3141_14, 3142_15	4000_18	 
Aeromonas hydrophila 187 (1268077.3)	4135_1	1209_5, 1451_5	689_9, 690_10	687	624_12	625_14, 626_15	 	 
Aeromonas hydrophila 259 (1268079.3)	4190_1	2475_5, 72_5	3797_9, 3798_10	3795	608_12	606_15, 607_14	 	 
Aeromonas hydrophila 277 (1268080.3)	3652_1	342_5, 634_5	2422_10, 2423_9	2425	3789_12	3790_14, 3791_15	4355_18	 
Aeromonas hydrophila ML09-119 (1288394.3)	203_1	1685_5, 3303_5	3827_9, 3828_10	3825	3645_12	3643_15, 3644_14	1558_18	 
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	4357_1	1440_5, 2830_5	4211_9, 4212_10	4209	1774_12	1772_15, 1773_14	2758_18	 
Aeromonas hydrophila SSU (1073377.4)	3755_1	2232_5, 603_5	2828_9, 2829_10	2826	99_12	100_14, 101_15	534_18	 
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	185_1	1517_5, 3038_5	3553_9, 3554_10	3551	 	3370_15, 3371_14	 	 
Aeromonas media WS (1208104.3)	3109_1	878_5, 952_5	1741_10, 1742_9	1744	1247_12, 2831_12	1248_14, 1249_15	 	 
Aeromonas veronii AER39 (1073382.3)	3295_1	2618_5	1304_9, 1305_10	1302	1038_12	1036_15, 1037_14	 	 
Aeromonas veronii AER397 (1073384.3)	3848_1	829_5	3056_9, 3057_10	3054	2809_12	2807_15, 2808_14	 	 
Aeromonas veronii AMC34 (1073383.3)	696_1	3735_5	1523_10, 1524_9	1526	4014_12	4012_15, 4013_14	2032_18	 
Aeromonas veronii AMC35 (1073385.3)	597_1	1594_5	3858_9, 3859_10	3856	3612_12	3610_15, 3611_14	3308_18	 
Aeromonas veronii B565 (998088.4)	3919_1	2911_5	645_10, 646_9	648	892_12	893_14, 894_15	 	 
Succinatimonas hippei YIT 12066 (762983.3)	1265_1, 2_4	719_5	 	 	 	 	 	 
Cedecea davisae DSM 4568 (566551.4)	4349_1	1936_8, 2998_5, 3004_7	3414_9, 3415_10	3413	 	3418_14, 3419_15	 	 
Citrobacter freundii GTC 09629 (1297584.3)	1556_1, 794_4	4840_7, 4849_5, 908_7	3931_10, 3932_9	3933	3929_12	3927_15, 3928_14	1661_18, 334_18	 
Citrobacter freundii 4_7_47CFAA (742730.3)	2460_4, 979_1	2572_7, 4706_5, 4716_7	301_10, 302_9	303	299_12	297_15, 298_14	1322_18, 1973_18	 
Citrobacter freundii GTC 09479 (1288347.3)	1282_1, 3605_4	3897_7, 3906_5, 4212_7	3290_10, 3291_9	3292	3288_12	3286_15, 3287_14	2395_18, 3063_18	 
Citrobacter freundii str. ballerup 7851/39 (670484.3)	3735_1	207_7, 2316_5, 2325_7	2733_9, 2734_10	2732	2746_12	2747_14, 2748_15	2982_18, 4272_18, 556_18	 
Citrobacter koseri ATCC BAA-895 (290338.8)	4225_1	1432_8, 315_7, 323_5	3444_9, 3445_10	3443	1589_13	3448_14, 3449_15	 	 
Citrobacter sp. 30_2 (469595.3)	3818_1	1099_7, 803_5, 812_7	2612_9, 2613_10	2611	2615_12	2616_14, 2617_15	2819_18, 3242_18	 
Citrobacter youngae ATCC 29220 (500640.5)	188_1	2677_5, 2685_7, 2979_7	4150_9, 4151_10	4149	4168_12	4169_14, 4170_15	3674_18, 722_18	 
Cronobacter sakazakii 2151 (1159489.3)	369_1	1446_7, 1526_8, 3223_5, 3228_7	3513_9, 3514_10	3512	 	3518_14, 3519_15	3753_18	 
Cronobacter sakazakii ES15 (1138308.5)	94_1	1093_7, 1099_5, 2850_8, 2928_7	804_10, 805_9	806	 	799_15, 800_14	572_18	 
Cronobacter sakazakii ES35 (1159614.3)	257_1	1371_7, 1450_8, 3155_5, 3160_7	3415_9, 3416_10	3414	3026_13	3420_14, 3421_15	3646_18	 
Cronobacter sakazakii ES713 (1045857.3)	1300_1, 2359_4	2825_7, 2908_8, 370_7, 375_5	1883_10, 1884_9	1885	 	1878_15, 1879_14	1637_18	 
Cronobacter sakazakii SP291 (956149.6)	3797_1, 854_4	2600_8, 2681_7, 796_7, 801_5	535_10, 536_9	537	 	530_15, 531_14	252_18	 
Edwardsiella tarda 080813 (667120.5)	1872_1, 2905_1	2735_5, 3295_8	 	 	 	 	2770_18, 2797_18	 
Edwardsiella tarda ATCC 23685 (500638.3)	2178_4, 2941_1	2118_5, 960_8	 	 	 	 	2202_18	 
Edwardsiella tarda EIB202 (498217.4)	1209_1, 1806_1, 3194_1	1057_5, 1775_8	 	 	 	 	 	 
Edwardsiella tarda FL6-60 (718251.5)	1249_1, 1835_1, 3251_1	1090_5, 1804_8	 	 	 	 	1011_18	 
Enterobacter aerogenes EA1509E (935296.3)	4030_1	1437_8, 200_7, 208_5, 2712_7	4874_10, 4875_9	4876	 	4869_15, 4870_14	4559_18	 
Enterobacter aerogenes FGI35 (685445.4)	357_1, 4051_1	1514_7, 1522_5, 2672_8, 3886_7	1210_10, 1211_9	1212	 	1191_15, 1192_14	898_18	 
Enterobacter aerogenes KCTC 2190 (1028307.3)	1244_1	3765_8, 62_5, 70_7	371_9, 372_10	370	 	376_14, 377_15	 	 
Enterobacter cancerogenus ATCC 35316 (500639.8)	2701_1	1084_8, 192_5, 198_7, 2916_7	3363_9, 3364_10	3362	3367_12	3368_14, 3369_15	3598_18	 
Enterobacter asburiae LF7a (640513.3)	293_1	1110_7, 1960_8, 3295_5, 3301_7	3615_9, 3616_10	3614	2877_13, 3251_13, 3619_12, 4633_13	3620_14, 3621_15	3826_18	 
Enterobacter cloacae EcWSU1 (1045856.3)	122_1	1816_8, 3171_5, 3177_7, 938_7	3484_9, 3485_10	3483	3488_12	3489_14, 3490_15	3695_18	 
Enterobacter cloacae SCF1 (701347.4)	144_1, 2198_4	1351_7, 1358_5, 3418_7, 663_8	970_10, 971_9	972	966_12	964_15, 965_14	1096_18, 2058_18, 760_18	 
Enterobacter cloacae subsp. cloacae 08XA1 (1203195.3)	1645_4, 2189_1	1499_7, 1951_5, 1956_7, 3962_8	954_9, 955_10	953	958_12	959_14, 960_15	842_18	 
Enterobacter cloacae subsp. cloacae ATCC 13047 (716541.4)	3851_4, 451_1	1457_7, 2540_8, 3905_5, 3910_7	4250_9, 4251_10	4249	4254_12	4255_14, 4256_15	4484_18	 
Enterobacter cloacae subsp. cloacae ENHKU01 (1211025.3)	161_1	1048_7, 1899_8, 3197_5, 3202_7	3535_9, 3536_10	3534	3539_12	3540_14, 3541_15	3748_18	 
Enterobacter cloacae subsp. cloacae GS1 (1177927.3)	3011_1, 3012_1	1896_7, 3306_7, 3312_5, 947_8	3742_10, 3743_9	3744, 3745	4166_12	4167_14, 4168_15	4051_18	 
Enterobacter cloacae subsp. dissolvens SDM (1104326.3)	1083_1	4381_5, 4386_7, 4420_7, 885_8	4089_9, 4090_10	4088	4093_12	4094_14, 4095_15	2903_18	 
Enterobacter cloacae subsp. dissolvens SP1 (1235834.3)	2618_1	2056_8, 3338_7, 3355_5, 3360_7	2115_10, 2116_9	2117	3195_12	3193_15, 3194_14	1884_18	 
Enterobacter hormaechei YT2 (1259823.3)	3817_1	1921_7, 2853_8, 697_7, 703_5	305_10, 306_9	307	302_12	300_15, 301_14	79_18	 
Enterobacter hormaechei YT3 (1260282.3)	1075_1	1433_7, 1439_5, 233_7, 2654_8	4186_10, 4187_9	4188	4183_12	4181_15, 4182_14	3720_18	 
Enterobacter hormaechei ATCC 49162 (888063.3)	4236_1	1376_7, 3137_5, 3143_7	3477_9, 3478_10	3476	1292_13, 3481_12	3482_14, 3483_15	3691_18	 
Escherichia albertii TW07627 (502347.3)	4332_1	1412_7, 1420_5	1101_10, 1102_9	1103	1088_12	1086_15, 1087_14, 4822_14	834_18	 
Escherichia albertii TW11588 (754333.3)	2124_1, 524_4	429_7, 437_5	3987_10, 3988_9	3989	3984_12	3982_15, 3983_14	3719_18	 
Escherichia coli 1125A (562.373)	1601_1, 458_4, 5709_1	3608_5, 3615_7	4250_9, 4251_10	4249	 	4265_14, 4266_15	 	 
Escherichia coli 1212A (562.372)	4068_1, 5039_1, 632_4	1831_5, 1838_7	2181_9, 2182_10	2180	 	2196_14, 2197_15	2500_18	 
Escherichia coli 536A (562.374)	1192_1, 1214_4, 4070_1	3033_5, 3040_7	3941_10, 3942_9	3943	 	3926_15, 3927_14	 	 
Escherichia coli IMT2125 (562.1188)	356_4, 3858_1	2508_5, 2514_7	2921_9, 2922_10	2920	2936_12	2937_14, 2938_15	3222_18	 
Escherichia coli EC4100B (945434.3)	1428_1, 3636_4	2841_5, 2847_7	65_9, 66_10	64	79_12	80_14, 81_15	561_18	 
Escherichia coli 0.1288 (1005442.3)	344_4, 3941_1	2583_5, 2589_7	2882_9, 2883_10	2881	2896_12	2897_14, 2898_15	3206_18	 
Escherichia coli 0.1304 (1005441.3)	2653_1, 4558_1, 526_4	3293_5, 3300_7	3617_9, 3618_10	3616	 	3630_14, 3631_15	 	 
Escherichia coli 042 (216592.3)	399_4, 4068_1	2744_5, 2752_7	3077_9, 3078_10	3076	4932_12	3092_14, 3093_15	 	 
Escherichia coli 07798 (1005566.3)	4098_1, 464_4	2915_5, 2922_7	3224_9, 3225_10	3223	 	3228_14, 3229_15	3507_18	 
Escherichia coli 09BKT078844 (1081887.3)	2518_1, 4426_1, 553_4	3168_5, 3174_7	3490_9, 3491_10	3489	 	3503_14, 3504_15	 	 
Escherichia coli 1.2264 (869675.4)	1813_1	1554_5, 1561_7	4676_10, 4677_9	4678	4664_12	4662_15, 4663_14	2413_18	 
Escherichia coli 1.2741 (869669.4)	1496_4, 3660_1	1927_7, 1935_5	5549_10, 5550_9	5551	5538_12	5535_15, 5536_14	3034_18	 
Escherichia coli 10.0821 (1005469.3)	2582_1, 4281_1, 642_4	3158_5, 3164_7	3487_9, 3488_10	3486	 	3500_14, 3501_15	 	 
Escherichia coli 10.0833 (1005466.3)	2574_1, 4691_1, 605_4	3307_5, 3314_7	3713_9, 3714_10	3712	 	3726_14, 3727_15	4016_18	 
Escherichia coli 10.0869 (1005467.3)	2416_1, 326_4, 4334_1	3056_5, 3063_7	3391_9, 3392_10	3390	 	3405_14, 3406_15	3692_18	 
Escherichia coli 1180 (670904.3)	1671_1, 426_1	3832_7, 3839_5	824_9, 825_10	823	836_12	837_14, 838_15	2377_18	 
Escherichia coli 1357 (670905.3)	1910_4, 3893_1	2194_7, 2201_5	2988_9, 2989_10	2987	3002_12	3003_14, 3004_15	3296_18	 
Escherichia coli 174750 (1125634.3)	4398_1, 842_4	3060_5, 3068_7	3414_9, 3415_10	3413	3424_12	3425_14, 3426_15	3748_18	 
Escherichia coli 174900 (1116003.3)	4056_1	2828_5	3140_9, 3141_10	3139	3155_12	3156_14, 3157_15	3455_18	 
Escherichia coli 178900 (1116108.3)	140_4, 4187_1, 724_4	2931_5, 2938_7	3234_9, 3235_10	3233	3249_12	3250_14, 3251_15	3564_18	 
Escherichia coli 179100 (1125652.3)	322_4, 4048_1	2779_5	3113_9, 3114_10	3112	3128_12	3129_14, 3130_15	3437_18	 
Escherichia coli 179550 (1116109.3)	4143_1, 706_4	2849_5	3158_9, 3159_10	3157	 	3173_14, 3174_15	3554_18	 
Escherichia coli 180050 (1116103.3)	4027_1, 460_4	2730_5, 2738_7	3059_9, 3060_10	3058	3067_12	3068_14, 3069_15	 	 
Escherichia coli 180200 (1116104.3)	4076_1, 637_4	2783_5, 2784_5	3095_9, 3096_10	3094	 	3110_14, 3111_15	3483_18	 
Escherichia coli 180600 (1116105.3)	4151_1, 677_4	2855_5, 2861_7	3281_9, 3282_10	3280	3296_12	3297_14, 3298_15	3590_18	 
Escherichia coli 1827-70 (670888.3)	2617_1, 918_4	3870_7, 3877_5	3565_10, 3566_9	3567	3550_12	3548_15, 3549_14	3250_18	 
Escherichia coli 199900.1 (1116130.3)	4079_1, 760_4	2744_5, 2750_7	3135_9, 3136_10	3134	3151_12	3152_14, 3153_15	3450_18	 
Escherichia coli 2.3916 (869688.5)	1333_4, 5162_1	2694_5, 2704_7	3189_9, 3190_10	3188	3208_12	3209_14, 3210_15	 	 
Escherichia coli 2.4168 (869690.4)	153_4, 2634_1	1388_5, 1395_7	1737_9, 1738_10	1736	1742_12	1743_14, 1744_15	 	 
Escherichia coli 201600.1 (1116129.3)	4526_1, 799_4, 800_4	3221_5, 3229_7	3597_9, 3598_10	3596	3612_12	3613_14, 3614_15	3894_18	 
Escherichia coli 2362-75 (670897.3)	367_4, 3725_1	3379_5, 3385_7	704_10, 705_9	706	701_12	699_15, 700_14	4320_18	 
Escherichia coli 2534-86 (754079.3)	2541_1, 4752_1	3467_5, 3474_7	3792_9, 3793_10	3791	3804_12	3805_14, 3806_15	4127_18	 
Escherichia coli 2719100 (1116119.3)	4462_1, 714_4	3025_5, 3033_7	3412_9, 3413_10	3411	 	3534_14, 3535_15	3838_18	 
Escherichia coli 2720900 (1116120.3)	4382_1, 610_4	2927_5	3246_9, 3247_10	3245	 	3263_14, 3264_15	3601_18	 
Escherichia coli 2722950 (1116121.3)	4137_1, 596_4	1007_5, 1015_7	3119_9, 3120_10	3118	3125_12	3126_14, 3127_15	3527_18	 
Escherichia coli 2726800 (1116122.3)	4472_1, 546_4	3056_5	3519_9, 3520_10	3518	3534_12	3535_14, 3536_15	3825_18	 
Escherichia coli 2726950 (1116123.3)	4195_1, 632_4	2885_5, 2893_7	3239_9, 3240_10	3238	3243_12	3244_14, 3245_15	3571_18	 
Escherichia coli 2729250 (1116004.3)	3974_1	2617_5	3001_9, 3002_10	3000	3014_12	3015_14, 3016_15	3426_18	 
Escherichia coli 2730350 (1116005.3)	311_4, 3627_1	2399_5, 2406_7	2721_9, 2722_10	2720	2735_12	2736_14, 2737_15	3023_18	 
Escherichia coli 2730450 (1116006.3)	1817_1, 4230_1, 648_4	2812_5, 2821_7	3177_9, 3178_10	3176	3190_12	3191_14, 3192_15	 	 
Escherichia coli 2731150 (1116007.3)	4497_1, 758_4	3121_5, 3129_7	3466_9, 3467_10	3465	3478_12	3479_14, 3480_15	3843_18	 
Escherichia coli 2733950 (1125635.3)	4215_1, 707_4	2892_5, 2898_7	3227_9, 3228_10	3226	3246_12	3247_14, 3248_15	3636_18	 
Escherichia coli 2735000 (1116008.3)	324_4, 3952_1	2569_5, 2575_7	2899_9, 2900_10	2898	 	2914_14, 2915_15	3349_18	 
Escherichia coli 2741950 (1116009.3)	2006_1, 4210_1, 672_4	2914_5, 2923_7	3275_9, 3276_10	3274	3287_12	3288_14, 3289_15	 	 
Escherichia coli 2747800 (1116010.3)	296_1	2644_5	3013_9, 3014_10	3012	3027_12	3028_14, 3029_15	3417_18	 
Escherichia coli 2749250 (1116011.3)	4049_1	2779_5	3143_9, 3144_10	3142	3157_12	3158_14, 3159_15	3511_18	 
Escherichia coli 2756500 (1116012.3)	4339_1, 611_4	2890_5	3224_9, 3225_10	3223	 	3239_14, 3240_15	3692_18	 
Escherichia coli 2762100 (1116013.3)	320_4, 4123_1	2740_5, 2749_7	3085_9, 3086_10	3084	3097_12	3098_14, 3099_15	3483_18	 
Escherichia coli 2770900 (1116014.3)	3878_1	2557_5	2950_9, 2951_10	2949	2964_12	2965_14, 2966_15	3341_18	 
Escherichia coli 2780750 (1116015.3)	2229_1, 3931_1, 491_4	2619_5, 2625_7	2925_9, 2926_10	2924	2940_12	2941_14, 2942_15	3258_18	 
Escherichia coli 2785200 (1116016.3)	4258_1, 712_4	2966_5, 2974_7	3277_9, 3278_10	3276	3286_12	3287_14, 3288_15	3560_18	 
Escherichia coli 2788150 (1116017.3)	380_4, 3921_1	2588_5, 2594_7	2914_9, 2915_10	2913	2928_12	2929_14, 2930_15	3304_18	 
Escherichia coli 2845350 (1116124.3)	4122_1, 482_4	2811_5, 2817_7	3139_9, 3140_10	3138	3154_12	3155_14, 3156_15	3532_18	 
Escherichia coli 2845650 (1116125.3)	4211_1, 543_4	2956_5, 2962_7	3337_9, 3338_10	3336	3352_12	3353_14, 3354_15	3648_18	 
Escherichia coli 2846750 (1116126.3)	349_4, 3880_1, 4279_1, 5120_1	2544_5, 2553_7	2862_9, 2863_10	2861	2875_12	2876_14, 2877_15	3249_18	 
Escherichia coli 2848050 (1116127.3)	3928_1	2666_5, 2672_7	3031_9, 3032_10	3030	3046_12	3047_14, 3048_15	3344_18	 
Escherichia coli 2850400 (1116018.3)	346_4, 4109_1	2698_5, 2704_7	2989_9, 2990_10	2988	 	3004_14, 3005_15	3408_18	 
Escherichia coli 2850750 (1116019.3)	4228_1, 554_4	2850_5, 2856_7	3215_9, 3216_10	3214	 	3230_14, 3231_15	3617_18	 
Escherichia coli 2851500 (1116128.3)	4149_1, 537_4	2779_5	3113_9, 3114_10	3112	3126_12	3127_14, 3128_15	3550_18	 
Escherichia coli 2853500 (1116020.3)	4264_1, 564_4	2999_5	3367_9, 3368_10	3366	 	3382_14, 3383_15	2577_18	 
Escherichia coli 2854350 (1125636.3)	4142_1, 554_4	2890_5	3257_9, 3258_10	3255, 3256	3272_12	3273_14, 3274_15	3555_18	 
Escherichia coli 2860050 (1116021.3)	4009_1	2671_5	3043_9, 3044_10	3042	3057_12	3058_14, 3059_15	3429_18	 
Escherichia coli 2860650 (1116022.3)	4298_1	2942_5	3329_9, 3330_10	3328	3343_12	3344_14, 3345_15	3715_18	 
Escherichia coli 2861200 (1116023.3)	4326_1, 542_4	2854_5, 2861_7	3264_9, 3265_10	3263	3299_12	3300_14, 3301_15	3673_18	 
Escherichia coli 2862600 (1116024.3)	4177_1, 582_4	2763_5, 2769_7	3102_9, 3103_10	3101	 	3123_14, 3124_15	3598_18	 
Escherichia coli 2864350 (1116025.3)	4217_1, 799_4	2924_5, 2930_7	3230_9, 3231_10	3229	3278_12	3279_14, 3280_15	3598_18	 
Escherichia coli 2865200 (1116026.3)	3958_1, 421_4	2701_5, 2707_7	3018_9, 3019_10	3017	3033_12	3034_14, 3035_15	3342_18	 
Escherichia coli 2866350 (1116027.3)	4158_1	2809_5	3200_9, 3201_10	3199	3214_12	3215_14, 3216_15	3583_18	 
Escherichia coli 2866450 (1116028.3)	4218_1, 497_4	2813_5, 2819_7	3146_9, 3147_10	3145	 	3161_14, 3162_15	3572_18	 
Escherichia coli 2866550 (1116029.3)	4245_1, 525_4	2947_5, 2953_7	3307_9, 3308_10	3306	3321_12	3322_14, 3323_15	2508_18	 
Escherichia coli 2866750 (1116030.3)	356_4, 4082_1	2620_5, 2627_7	2986_9, 2987_10	2985	 	3001_14, 3002_15	3434_18	 
Escherichia coli 2867750 (1116031.3)	349_4, 4156_1	2812_5	3185_9, 3186_10	3184	3199_12	3200_14, 3201_15	1511_18	 
Escherichia coli 2871950 (1116032.3)	1206_1, 349_4, 4052_1	2710_5, 2720_7	3036_9, 3037_10	3035	3049_12	3050_14, 3051_15	 	 
Escherichia coli 2872000 (1116033.3)	1320_1, 380_4, 4193_1	2805_5, 2815_7	3159_9, 3160_10	3158	3172_12	3173_14, 3174_15	3566_18	 
Escherichia coli 2872800 (1116034.3)	4196_1, 519_4	2791_5	3162_9, 3163_10	3161	 	3177_14, 3178_15	3589_18	 
Escherichia coli 2875000 (1116035.3)	4189_1, 535_4	2760_5	3130_9, 3131_10	3129	 	3145_14, 3146_15	3568_18	 
Escherichia coli 2875150 (1116036.3)	4392_1, 750_4	3152_5, 3158_7	3453_9, 3454_10	3452	 	3462_14, 3463_15	3817_18	 
