Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Escherichia coli 10.0821 (1005469.3)	738_4, 739_3, 740_2, 741_1	 	 	 	1044_17, 1045_19, 1376_17, 1377_19	 
Escherichia coli 10.0833 (1005466.3)	701_4, 702_3, 703_2, 704_1	 	 	 	1013_17, 1014_19, 1376_17, 1377_19	 
Escherichia coli 10.0869 (1005467.3)	420_4, 421_3, 422_2, 423_1	 	 	 	1076_17, 1077_19, 728_17, 729_19	 
Escherichia coli 1180 (670904.3)	2742_1, 2743_2, 2744_3, 2745_4	 	 	 	1158_19, 1159_17, 5499_19, 5500_17	 
Escherichia coli 1357 (670905.3)	1820_1, 1821_2, 1822_3, 1823_4	 	 	 	1246_19, 1247_17, 1538_19, 1539_17	 
Escherichia coli 174750 (1125634.3)	932_4, 933_3, 934_2, 935_1	 	 	 	1493_17, 1494_19, 3037_17, 3038_19	 
Escherichia coli 174900 (1116003.3)	714_4, 715_3, 716_2, 717_1	 	 	 	1255_17, 1256_19, 991_17, 992_19	 
Escherichia coli 178900 (1116108.3)	827_4, 828_3, 829_2, 830_1	 	 	 	1130_17, 1131_19, 1381_17, 1382_19	 
Escherichia coli 179100 (1125652.3)	408_4, 409_3, 410_2, 411_1	 	 	 	1183_17, 1184_19, 738_17, 739_19	 
Escherichia coli 179550 (1116109.3)	796_4, 797_3, 798_2, 799_1	 	 	 	1075_17, 1076_19, 1429_17, 1430_19	 
Escherichia coli 180050 (1116103.3)	546_4, 547_3, 548_2, 549_1	 	 	 	1161_17, 1162_19, 838_17, 839_19	 
Escherichia coli 180200 (1116104.3)	725_4, 726_3, 727_2, 728_1	 	 	 	1012_17, 1013_19, 1340_17, 1341_19	 
Escherichia coli 180600 (1116105.3)	761_4, 762_3, 763_2, 764_1	 	 	 	1337_17, 1338_19, 2833_17, 2834_19	 
Escherichia coli 1827-70 (670888.3)	1007_4, 1008_3, 1009_2, 1010_1	 	 	 	1296_17, 1297_19, 1598_17, 1599_19	 
Escherichia coli 199900.1 (1116130.3)	846_4, 847_3, 848_2, 849_1	 	 	 	1152_17, 1153_19, 1463_17, 1464_19	 
Escherichia coli 2.3916 (869688.5)	1420_4, 1421_3, 1422_2, 1423_1	 	 	 	304_19, 305_17, 4461_17, 4462_19	 
Escherichia coli 2.4168 (869690.4)	241_4, 242_3, 243_2, 244_1	 	 	 	3828_17, 3829_19, 4127_17, 4128_19	 
Escherichia coli 201600.1 (1116129.3)	891_4, 892_3, 893_2, 894_1	 	 	 	1182_17, 1183_19, 1597_17, 1598_19	 
Escherichia coli 2362-75 (670897.3)	289_1, 290_2, 291_3, 292_4	 	 	 	4613_19, 4614_17, 886_17, 887_19	 
Escherichia coli 2534-86 (754079.3)	848_4, 849_3, 850_2, 851_1	 	 	 	1157_17, 1158_19, 1492_17, 1493_19	 
Escherichia coli 2719100 (1116119.3)	802_4, 803_3, 804_2, 805_1	 	 	 	1082_17, 1083_19, 1404_17, 1405_19	 
Escherichia coli 2720900 (1116120.3)	697_4, 698_3, 699_2, 700_1	 	 	 	1323_17, 1324_19, 991_17, 992_19	 
Escherichia coli 2722950 (1116121.3)	691_4, 692_3, 693_2, 694_1	 	 	 	1299_17, 1300_19, 985_17, 986_19	 
Escherichia coli 2726800 (1116122.3)	638_4, 639_3, 640_2, 641_1	 	 	 	1273_17, 1274_19, 940_17, 941_19	 
Escherichia coli 2726950 (1116123.3)	732_4, 733_3, 734_2, 735_1	 	 	 	1021_17, 1022_19, 1294_17, 1295_19	 
Escherichia coli 2729250 (1116004.3)	427_4, 428_3, 429_2, 430_1	 	 	 	1054_17, 1055_19, 715_17, 716_19	 
Escherichia coli 2730350 (1116005.3)	397_4, 398_3, 399_2, 400_1	 	 	 	700_17, 701_19, 992_17, 993_19	 
Escherichia coli 2730450 (1116006.3)	751_4, 752_3, 753_2, 754_1	 	 	 	1039_17, 1040_19, 1311_17, 1312_19	 
Escherichia coli 2731150 (1116007.3)	858_4, 859_3, 860_2, 861_1	 	 	 	1155_17, 1156_19, 1488_17, 1489_19	 
Escherichia coli 2733950 (1125635.3)	802_4, 803_3, 804_2, 805_1	 	 	 	1116_17, 1117_19, 1404_17, 1405_19	 
Escherichia coli 2735000 (1116008.3)	414_4, 415_3, 416_2, 417_1	 	 	 	1073_17, 1074_19, 721_17, 722_19	 
Escherichia coli 2741950 (1116009.3)	760_4, 761_3, 762_2, 763_1	 	 	 	1062_17, 1063_19, 1329_17, 1330_19	 
Escherichia coli 2747800 (1116010.3)	511_4, 512_3, 513_2, 514_1	 	 	 	1142_17, 1143_19, 794_17, 795_19	 
Escherichia coli 2749250 (1116011.3)	455_4, 456_3, 457_2, 458_1	 	 	 	1057_17, 1058_19, 2761_17, 2762_19	 
Escherichia coli 2756500 (1116012.3)	708_4, 709_3, 710_2, 711_1	 	 	 	1001_17, 1002_19, 2709_19, 2710_17	 
Escherichia coli 2762100 (1116013.3)	420_4, 421_3, 422_2, 423_1	 	 	 	1033_17, 1034_19, 710_17, 711_19	 
Escherichia coli 2770900 (1116014.3)	475_4, 476_3, 477_2, 478_1	 	 	 	1006_17, 1007_19, 726_17, 727_19	 
Escherichia coli 2780750 (1116015.3)	578_4, 579_3, 580_2, 581_1	 	 	 	1098_17, 1099_19, 845_17, 846_19	 
Escherichia coli 2785200 (1116016.3)	799_4, 800_3, 801_2, 802_1	 	 	 	1106_17, 1107_19, 1485_17, 1486_19	 
Escherichia coli 2788150 (1116017.3)	476_4, 477_3, 478_2, 479_1	 	 	 	1058_17, 1059_19, 768_17, 769_19	 
Escherichia coli 2845350 (1116124.3)	576_4, 577_3, 578_2, 579_1	 	 	 	1251_17, 1252_19, 917_17, 918_19	 
Escherichia coli 2845650 (1116125.3)	638_4, 639_3, 640_2, 641_1	 	 	 	1252_17, 1253_19, 962_17, 963_19	 
Escherichia coli 2846750 (1116126.3)	435_4, 436_3, 437_2, 438_1	 	 	 	708_17, 709_19, 969_17, 970_19	 
Escherichia coli 2848050 (1116127.3)	414_4, 415_3, 416_2, 417_1	 	 	 	1052_17, 1053_19, 787_17, 788_19	 
Escherichia coli 2850400 (1116018.3)	436_4, 437_3, 438_2, 439_1	 	 	 	1092_17, 1093_19, 728_17, 729_19	 
Escherichia coli 2850750 (1116019.3)	646_4, 647_3, 648_2, 649_1, 650_1	 	 	 	1282_17, 1283_19, 979_17, 980_19	 
Escherichia coli 2851500 (1116128.3)	631_4, 632_3, 633_2, 634_1	 	 	 	1215_17, 1216_19, 928_17, 929_19	 
Escherichia coli 2853500 (1116020.3)	656_4, 657_3, 658_2, 659_1	 	 	 	1041_17, 1042_19, 1346_17, 1347_19	 
Escherichia coli 2854350 (1125636.3)	647_4, 648_3, 649_2, 650_1	 	 	 	1036_17, 1037_19, 1374_17, 1375_19	 
Escherichia coli 2860050 (1116021.3)	398_4, 399_3, 400_2, 401_1	 	 	 	1020_17, 1021_19, 713_17, 714_19	 
Escherichia coli 2860650 (1116022.3)	789_4, 790_3, 791_2, 792_1	 	 	 	1083_17, 1084_19, 1433_17, 1434_19	 
Escherichia coli 2861200 (1116023.3)	632_4, 633_3, 634_2, 635_1	 	 	 	1316_17, 1317_19, 947_17, 948_19	 
Escherichia coli 2862600 (1116024.3)	686_4, 687_3, 688_2, 689_1	 	 	 	1281_17, 1282_19, 994_17, 995_19	 
Escherichia coli 2864350 (1116025.3)	884_4, 885_3, 886_2, 887_1	 	 	 	1191_17, 1192_19, 1471_17, 1472_19	 
Escherichia coli 2865200 (1116026.3)	511_4, 512_3, 513_2, 514_1	 	 	 	1176_17, 1177_19, 796_17, 797_19	 
Escherichia coli 2866350 (1116027.3)	701_4, 702_3, 703_2, 704_1	 	 	 	1306_17, 1307_19, 974_17, 975_19	 
Escherichia coli 2866450 (1116028.3)	619_4, 620_3, 621_2, 622_1	 	 	 	1228_17, 1229_19, 914_17, 915_19	 
Escherichia coli 2866550 (1116029.3)	617_4, 618_3, 619_2, 620_1	 	 	 	1258_17, 1259_19, 903_17, 904_19	 
Escherichia coli 2866750 (1116030.3)	448_4, 449_3, 450_2, 451_1	 	 	 	2602_17, 2603_19, 996_17, 997_19	 
Escherichia coli 2867750 (1116031.3)	441_4, 442_3, 443_2, 444_1	 	 	 	1038_17, 1039_19, 738_17, 739_19	 
Escherichia coli 2871950 (1116032.3)	434_4, 435_3, 436_2, 437_1	 	 	 	1004_17, 1005_19, 708_17, 709_19	 
Escherichia coli 2872000 (1116033.3)	465_4, 466_3, 467_2, 468_1	 	 	 	1154_17, 1155_19, 236_17, 237_19, 738_17, 739_19, 780_17, 781_19, 820_17, 821_19	 
Escherichia coli 2872800 (1116034.3)	611_4, 612_3, 613_2, 614_1	 	 	 	1250_17, 1251_19, 966_17, 967_19	 
Escherichia coli 2875000 (1116035.3)	627_4, 628_3, 629_2, 630_1	 	 	 	1233_17, 1234_19, 926_17, 927_19	 
Escherichia coli 2875150 (1116036.3)	855_4, 856_3, 857_2, 858_1	 	 	 	1153_17, 1154_19, 1481_17, 1482_19	 
Escherichia coli 3.2303 (869691.4)	439_1, 440_2, 441_3, 442_4	 	 	 	156_19, 157_17, 3699_19, 3700_17	 
Escherichia coli 3.2608 (869679.4)	4752_4, 4753_3, 4754_2, 4755_1	 	 	 	1477_19, 1478_17, 5090_17, 5091_19	 
Escherichia coli 3.3884 (869689.4)	2170_1, 2171_2, 2172_3, 2173_4	 	 	 	1529_19, 1530_17, 1840_19, 1841_17	 
Escherichia coli 3.4870 (1005450.3)	637_4, 638_3, 639_2, 640_1	 	 	 	1301_17, 1302_19, 948_17, 949_19	 
Escherichia coli 3003 (869692.4)	4327_1, 4328_2, 4329_3, 4330_4	 	 	 	3968_19, 3969_17, 4069_19, 4070_17	 
Escherichia coli 3006 (1005565.3)	484_4, 485_3, 486_2, 487_1	 	 	 	795_17, 796_19, 989_17, 990_19	 
Escherichia coli 3431 (670892.3)	3251_1, 3252_2, 3253_3, 3254_4	 	 	 	5217_17, 5218_19, 685_17, 686_19	 
Escherichia coli 4.0522 (869681.4)	773_1, 774_2, 775_3, 776_4	 	 	 	2304_19, 2305_17, 2651_19, 2652_17	 
Escherichia coli 4.0967 (869687.5)	4389_4, 4390_3, 4391_2, 4392_1	 	 	 	1841_17, 1842_19, 4735_17, 4736_19	 
Escherichia coli 4_1_47FAA (1127356.4)	212_4, 213_3, 214_2, 215_1	 	 	 	1794_19, 1795_17, 1796_17, 545_17, 546_19	 
Escherichia coli 5.0588 (869671.4)	4363_4, 4364_3, 4365_2, 4366_1	 	 	 	355_19, 356_17, 4647_17, 4648_19	 
Escherichia coli 5.0959 (869684.5)	2430_4, 2431_3, 2432_2, 2433_1	 	 	 	2756_17, 2757_19, 356_19, 357_17	 
Escherichia coli 5.2239 (1005452.3)	793_4, 794_3, 795_2, 796_1	 	 	 	1101_17, 1102_19, 1462_17, 1463_19	 
Escherichia coli 536 (362663.9)	488_4, 489_3, 490_2, 491_1	 	 	 	756_17, 757_19, 995_17, 996_19	 
Escherichia coli 53638 (344610.7)	1242_1, 1243_2, 1244_3, 1245_4	 	 	 	674_19, 675_17, 952_19, 953_17	 
Escherichia coli 541-1 (752786.3)	1494_4, 1495_3, 1496_2, 1497_1	 	 	 	1994_19, 1995_17, 2284_19, 2285_17	 
Escherichia coli 541-15 (752785.3)	1856_1, 1857_2, 1858_3, 1859_4	 	 	 	3045_17, 3046_19, 4085_19, 4086_17	 
Escherichia coli 5412 (1005561.3)	538_4, 539_3, 540_2, 541_1	 	 	 	1246_17, 1247_19, 840_17, 841_19	 
Escherichia coli 55989 (585055.8)	451_4, 452_3, 453_2, 454_1	 	 	 	1108_17, 1109_19, 732_17, 733_19	 
Escherichia coli 5905 (1005558.3)	875_4, 876_3, 877_2, 878_1	 	 	 	1182_17, 1183_19, 1533_17, 1534_19	 
Escherichia coli 6.0172 (1005455.3)	623_4, 624_3, 625_2, 626_1	 	 	 	1292_17, 1293_19, 935_17, 936_19	 
Escherichia coli 75 (752788.3)	3710_1, 3711_2, 3712_3, 3713_4	 	 	 	3175_19, 3176_17, 3425_19, 3426_17	 
Escherichia coli 8.0416 (1005463.3)	475_4, 476_3, 477_2, 478_1	 	 	 	1013_17, 1014_19, 787_17, 788_19	 
Escherichia coli 8.0566 (1005462.3)	461_4, 462_3, 463_2, 464_1	 	 	 	1008_17, 1009_19, 761_17, 762_19	 
Escherichia coli 8.0569 (1005464.3)	419_4, 420_3, 421_2, 422_1	 	 	 	2476_17, 2477_19, 928_17, 929_19	 
Escherichia coli 8.0586 (1005461.3)	738_4, 739_3, 740_2, 741_1	 	 	 	1052_17, 1053_19, 1341_17, 1342_19	 
Escherichia coli 8.2524 (1005460.3)	508_4, 509_3, 510_2, 511_1	 	 	 	1172_17, 1173_19, 819_17, 820_19	 
Escherichia coli 83972 (525281.3)	2475_1, 2476_2, 2477_3, 2478_4	 	 	 	1978_19, 1979_17, 2217_19, 2218_17	 
Escherichia coli 88.0221 (1005397.3)	744_4, 745_3, 746_2, 747_1	 	 	 	1053_17, 1054_19, 1401_17, 1402_19	 
Escherichia coli 88.1042 (1005398.3)	624_4, 625_3, 626_2, 627_1	 	 	 	1290_17, 1291_19, 934_17, 935_19	 
Escherichia coli 88.1467 (1005396.3)	711_4, 712_3, 713_2, 714_1	 	 	 	1022_17, 1023_19, 1375_17, 1376_19	 
Escherichia coli 89.0511 (1005399.3)	568_4, 569_3, 570_2, 571_1	 	 	 	1246_17, 1247_19, 875_17, 876_19	 
Escherichia coli 9.0111 (869686.4)	5359_1, 5360_2, 5361_3, 5362_4	 	 	 	3139_19, 3140_17, 3348_19, 3349_17	 
Escherichia coli 9.1649 (869685.3)	1324_4, 1325_3, 1326_2, 1327_1	 	 	 	1591_17, 1592_19, 1937_17, 1938_17, 1939_19	 
Escherichia coli 90.0039 (1005401.3)	481_4, 482_3, 483_2, 484_1	 	 	 	1149_17, 1150_19, 796_17, 797_19	 
Escherichia coli 90.0091 (1005400.3)	745_4, 746_3, 747_2, 748_1	 	 	 	1056_17, 1057_19, 1431_17, 1432_19	 
Escherichia coli 90.2281 (1005402.3)	736_4, 737_3, 738_2, 739_1	 	 	 	1043_17, 1044_19, 1391_17, 1392_19	 
Escherichia coli 900105 (10e) (869695.4)	5082_4, 5083_3, 5084_2, 5085_1	 	 	 	190_17, 191_19, 547_17, 548_17, 549_19	 
Escherichia coli 93-001 (1005481.3)	715_4, 716_3, 717_2, 718_1	 	 	 	1017_17, 1018_19, 1367_17, 1368_19	 
Escherichia coli 93.0055 (1005403.3)	486_4, 487_3, 488_2, 489_1	 	 	 	1152_17, 1153_19, 794_17, 795_19	 
Escherichia coli 93.0056 (1005404.3)	682_4, 683_3, 684_2, 685_1	 	 	 	1351_17, 1352_19, 992_17, 993_19	 
Escherichia coli 93.0624 (869680.4)	176_1, 177_2, 178_3, 179_4	 	 	 	315_19, 316_17, 913_19, 914_17	 
Escherichia coli 94.0618 (1005405.3)	589_4, 590_3, 591_2, 592_1	 	 	 	1257_17, 1258_19, 901_17, 902_19	 
Escherichia coli 95.0183 (1005406.3)	732_4, 733_3, 734_2, 735_1	 	 	 	1043_17, 1044_19, 1409_17, 1410_19	 
Escherichia coli 95.0941 (869674.3)	1671_4, 1672_3, 1673_2, 1674_1	 	 	 	1952_17, 1953_19, 2243_17, 2244_17, 2245_19	 
Escherichia coli 95.0943 (1005408.3)	629_4, 630_3, 631_2, 632_1	 	 	 	1271_17, 1272_19, 938_17, 939_19	 
Escherichia coli 95.1288 (1005407.3)	455_4, 456_3, 457_2, 458_1	 	 	 	1068_17, 1069_19, 2516_19, 2517_17	 
Escherichia coli 96.0107 (1005415.3)	671_4, 672_3, 673_2, 674_1	 	 	 	1331_17, 1332_19, 982_17, 983_19	 
Escherichia coli 96.0109 (1005414.3)	625_4, 626_3, 627_2, 628_1	 	 	 	1294_17, 1295_19, 938_17, 939_19	 
Escherichia coli 96.0427 (1005411.3)	562_4, 563_3, 564_2, 565_1	 	 	 	1235_17, 1236_19, 872_17, 873_19	 
Escherichia coli 96.0428 (1005410.3)	712_4, 713_3, 714_2, 715_1	 	 	 	1347_17, 1348_19, 991_17, 992_19	 
Escherichia coli 96.0497 (869677.4)	265_4, 266_3, 267_2, 268_1	 	 	 	1013_17, 1014_19, 603_17, 604_19	 
Escherichia coli 96.0932 (1005413.3)	762_4, 763_3, 764_2, 765_1	 	 	 	1068_17, 1069_19, 1301_17, 1302_19	 
Escherichia coli 96.0939 (1005412.3)	684_4, 685_3, 686_2, 687_1	 	 	 	1251_17, 1252_19, 998_17, 999_19	 
Escherichia coli 96.154 (869683.4)	3598_4, 3599_3, 3600_2, 3601_1	 	 	 	3931_17, 3932_19, 4228_17, 4229_19	 
Escherichia coli 97.0003 (1005416.3)	699_4, 700_3, 701_2, 702_1	 	 	 	1328_17, 1329_19, 998_17, 999_19	 
Escherichia coli 97.0010 (1005419.3)	531_4, 532_3, 533_2, 534_1	 	 	 	1183_17, 1184_19, 837_17, 838_19	 
Escherichia coli 97.0246 (869670.4)	585_4, 586_3, 587_2, 588_1	 	 	 	3546_19, 3547_17, 5505_19, 5506_17	 
Escherichia coli 97.0259 (869672.4)	2304_1, 2305_2, 2306_3, 2307_4	 	 	 	3416_19, 3417_17, 582_19, 583_17	 
Escherichia coli 97.0264 (869676.4)	3914_1, 3915_2, 3916_3, 3917_4	 	 	 	421_17, 422_19, 714_17, 715_19	 
Escherichia coli 99.0670 (1005423.3)	759_4, 760_3, 761_2, 762_1	 	 	 	1070_17, 1071_19, 1436_17, 1437_19	 
Escherichia coli 99.0672 (1005421.3)	504_4, 505_3, 506_2, 507_1	 	 	 	1182_17, 1183_19, 810_17, 811_19	 
Escherichia coli 99.0678 (1005422.3)	823_4, 824_3, 825_2, 826_1	 	 	 	1131_17, 1132_19, 1460_17, 1461_19	 
Escherichia coli 99.0713 (1005424.3)	666_4, 667_3, 668_2, 669_1	 	 	 	1026_17, 1027_19, 1373_17, 1374_19	 
Escherichia coli 99.0741 (869678.4)	4846_1, 4847_2, 4848_3, 4849_4	 	 	 	1533_19, 1534_17, 1786_19, 1787_17	 
Escherichia coli 99.0814 (1005434.3)	729_4, 730_3, 731_2, 732_1	 	 	 	1065_17, 1066_19, 1407_17, 1408_19	 
Escherichia coli 99.0815 (1005433.3)	524_4, 525_3, 526_2, 527_1	 	 	 	1070_17, 1071_19, 2994_17, 2995_19	 
Escherichia coli 99.0816 (1005430.3)	518_4, 519_3, 520_2, 521_1	 	 	 	1068_17, 1069_19, 822_17, 823_19	 
Escherichia coli 99.0839 (1005432.3)	609_4, 610_3, 611_2, 612_1	 	 	 	1238_17, 1239_19, 915_17, 916_19	 
Escherichia coli 99.0848 (1005431.3)	720_4, 721_3, 722_2, 723_1	 	 	 	1025_17, 1026_19, 1386_17, 1387_19	 
Escherichia coli 99.1753 (1005440.3)	603_4, 604_3, 605_2, 606_1	 	 	 	1249_17, 1250_19, 907_17, 908_19	 
Escherichia coli 99.1762 (1005435.3)	753_4, 754_3, 755_2, 756_1	 	 	 	1064_17, 1065_19, 1405_17, 1406_19	 
Escherichia coli 99.1775 (1005438.3)	522_4, 523_3, 524_2, 525_1	 	 	 	1126_17, 1127_19, 796_17, 797_19	 
Escherichia coli 99.1781 (1005439.3)	666_4, 667_3, 668_2, 669_1	 	 	 	1301_17, 1302_19, 975_17, 976_19	 
Escherichia coli 99.1805 (1005436.3)	541_4, 542_3, 543_2, 544_1	 	 	 	1132_17, 1133_19, 838_17, 839_19	 
Escherichia coli AA86 (1004153.3)	511_4, 512_3, 513_2, 514_1	 	 	 	1056_17, 1057_19, 778_17, 779_19	 
Escherichia coli ABU 83972 (655817.3)	545_4, 546_3, 547_2, 548_1	 	 	 	1066_17, 1067_17, 1068_19, 818_17, 820_19	 
Escherichia coli AD30 (1169664.3)	4008_1, 4009_2, 4010_3, 4011_4	 	 	 	2066_17, 2067_19, 3816_19, 3817_17	 
Escherichia coli AI27 (1089445.3)	2143_4, 2144_3, 2145_2, 2146_1	 	 	 	2209_17, 2210_19, 431_17, 432_19	 
Escherichia coli APEC O1 (405955.13)	430_4, 431_3, 432_2, 433_1	 	 	 	696_17, 697_19, 987_17, 988	 
Escherichia coli APEC O78 (1274814.3)	1157_4, 1158_3, 1159_2, 1160_1	 	 	 	1480_17, 1481_19, 1818_17, 1819_19	 
Escherichia coli ARS4.2123 (1005563.3)	461_4, 462_3, 463_2, 464_1	 	 	 	1159_17, 1160_19, 714_17, 715_19	 
Escherichia coli ATCC 25922 (1322345.3)	902_4, 903_3, 904_2, 905_1	 	 	 	4545_19, 4546_17, 4942_17, 4943_19	 
Escherichia coli B088 (550672.3)	450_4, 451_3, 452_2, 453_1	 	 	 	1258_17, 1259_19, 975_17, 976_19	 
Escherichia coli B093 (550674.3)	3370_1, 3371_2, 3372_3, 3373_4	 	 	 	1480_19, 1481_17, 639_17, 640_19	 
Escherichia coli B185 (550676.3)	1224_4, 1225_3, 1226_2, 1227_1	 	 	 	199_17, 200_19, 449_17, 450_19	 
Escherichia coli B354 (550677.3)	866_4, 867_3, 868_2, 869_1	 	 	 	1147_17, 1148_19, 2254_17, 2255_19	 
Escherichia coli B41 (869694.4)	3896_4, 3897_3, 3898_2, 3899_1	 	 	 	257_17, 258_19, 547_17, 548_19	 
Escherichia coli B799 (550682.3)	4836_4, 4837_3, 4838_2, 4839_1	 	 	 	3259_17, 3260_19, 3558_17, 3559_19	 
Escherichia coli B str. REL606 (413997.3)	408_4, 409_3, 410_2, 411_1	 	 	 	1029_17, 1030_19, 736_17, 737_19	 
Escherichia coli BCE001_MS16 (1116037.3)	283_4, 284_3, 285_2, 286_1	 	 	 	646_17, 647_19, 948_17, 949_19	 
Escherichia coli BCE002_MS12 (1116112.3)	651_4, 652_3, 653_2, 654_1	 	 	 	1196_17, 1197_19, 930_17, 931_19	 
Escherichia coli BCE006_MS-23 (1125637.3)	459_4, 460_3, 461_2, 462_1	 	 	 	1032_17, 1033_19, 745_17, 746_19	 
Escherichia coli BCE007_MS-11 (1116113.3)	549_4, 550_3, 551_2, 552_1	 	 	 	1234_17, 1235_19, 975_17, 976_19	 
Escherichia coli BCE008_MS-13 (1116471.3)	563_4, 564_3, 565_2, 566_1	 	 	 	1204_17, 1205_19, 847_17, 848_19	 
Escherichia coli BCE011_MS-01 (1116114.3)	455_4, 456_3, 457_2, 458_1	 	 	 	740_17, 741_19, 996_17, 997_19	 
Escherichia coli BCE019_MS-13 (1116115.3)	448_4, 449_3, 450_2, 451_1	 	 	 	1003_17, 1004_19, 739_17, 740_19	 
Escherichia coli BCE030_MS-09 (1116116.3)	451_4, 452_3, 453_2, 454_1	 	 	 	1051_17, 1052_19, 763_17, 764_19	 
Escherichia coli BCE032_MS-12 (1116117.3)	459_4, 460_3, 461_2, 462_1	 	 	 	1020_17, 1021_19, 737_17, 738_19	 
Escherichia coli BCE034_MS-14 (1116118.3)	689_4, 690_3, 691_2, 692_1	 	 	 	1004_17, 1005_19, 1314_17, 1315_19	 
Escherichia coli BL21 (511693.5)	413_4, 414_3, 415_2, 416_1	 	 	 	1053_17, 1054_19, 733_17, 734_19	 
Escherichia coli BL21(DE3) (469008.4)	3333_1, 3334_2, 3335_3, 3336_4	 	 	 	2707_19, 2708_17, 3022_19, 3023_17	 
Escherichia coli C-34666 (1116002.3)	1003_4, 1004_3, 1005_2, 1006_1	 	 	 	1758_17, 1759_19, 370_17, 371_19	 
Escherichia coli C639_08 (1126911.3)	1317_4, 1318_3, 1319_2, 1320_1	 	 	 	3425_19, 3426_17, 4320_19, 4321_17	 
Escherichia coli C844_97 (1126932.3)	3381_1, 3382_2, 3383_3, 3384_4	 	 	 	2059_19, 2060_17, 4148_17, 4149_19	 
Escherichia coli ATCC 8739 (481805.6)	3418_1, 3419_2, 3420_3, 3421_4	 	 	 	2802_19, 2803_17, 3118_19, 3119_17	 
Escherichia coli CB7326 (1005559.3)	484_4, 485_3, 486_2, 487_1	 	 	 	1162_17, 1163_19, 793_17, 794_19	 
Escherichia coli CFT073 (199310.4)	508_4, 509_3, 510_2, 511_1	 	 	 	1060_17, 1061_19, 773_17, 774_19	 
Escherichia coli CUMT8 (752790.3)	1238_1, 1239_2, 1240_3, 1241_4	 	 	 	4187_19, 4188_17, 4518_19, 4519_17	 
Escherichia coli DEC10A (868180.3)	539_4, 540_3, 541_2, 542_1	 	 	 	1603_17, 1604_17, 1605_19, 876_17, 877_19	 
Escherichia coli DEC10B (868181.3)	755_4, 756_3, 757_2, 758_1	 	 	 	1124_17, 1125_19, 1895_17, 1896_19	 
Escherichia coli DEC10C (868182.3)	727_4, 728_3, 729_2, 730_1	 	 	 	1086_17, 1087_19, 1839_17, 1840_17, 1841_19	 
Escherichia coli DEC10D (868183.3)	465_4, 466_3, 467_2, 468_1	 	 	 	1355_17, 1356_17, 1357_19, 824_17, 825_19	 
Escherichia coli DEC10E (868184.3)	467_4, 468_3, 469_2, 470_1	 	 	 	1163_17, 1164_19, 853_17, 854_19	 
Escherichia coli DEC10F (868185.3)	783_4, 784_3, 785_2, 786_1	 	 	 	1262_17, 1263_19, 1934_17, 1935_19	 
Escherichia coli DEC11A (868186.3)	351_4, 352_3, 353_2, 354_1	 	 	 	1015_17, 1016_19, 648_17, 649_19	 
Escherichia coli DEC11B (868187.3)	382_4, 383_3, 384_2, 385_1	 	 	 	1009_17, 1010_19, 679_17, 680_19	 
Escherichia coli DEC11C (868188.3)	516_4, 517_3, 518_2, 519_1	 	 	 	1133_17, 1134_19, 852_17, 853_19	 
Escherichia coli DEC11D (868189.3)	818_4, 819_3, 820_2, 821_1	 	 	 	1133_17, 1134_19, 1432_17, 1433_19	 
Escherichia coli DEC11E (868190.3)	475_4, 476_3, 477_2, 478_1	 	 	 	1098_17, 1099_19, 820_17, 821_19	 
Escherichia coli DEC12A (868191.3)	573_4, 574_3, 575_2, 576_1	 	 	 	1178_17, 1179_19, 878_17, 879_19	 
Escherichia coli DEC12B (868192.3)	637_4, 638_3, 639_2, 640_1	 	 	 	1005_17, 1006_19, 1464_17, 1465_19	 
Escherichia coli DEC12C (868193.3)	979_4, 980_3, 981_2, 982_1	 	 	 	1321_17, 1322_19, 1648_17, 1649_19	 
Escherichia coli DEC12D (868194.3)	538_4, 539_3, 540_2, 541_1	 	 	 	1364_17, 1365_19, 908_17, 909_19	 
Escherichia coli DEC12E (868195.3)	1743_4, 1744_3, 1745_2, 1746_1	 	 	 	605_17, 606_19, 961_17, 962_19	 
Escherichia coli DEC13A (868196.3)	641_4, 642_3, 643_2, 644_1	 	 	 	1169_17, 1170_19, 922_17, 923_19	 
Escherichia coli DEC13B (868197.3)	408_4, 409_3, 410_2, 411_1	 	 	 	686_17, 687_19, 931_17, 932_19	 
Escherichia coli DEC13C (868198.3)	570_4, 571_3, 572_2, 573_1	 	 	 	1273_17, 1274_19, 866_17, 867_19	 
Escherichia coli DEC13D (868199.3)	492_4, 493_3, 494_2, 495_1	 	 	 	1150_17, 1151_19, 775_17, 776_19	 
Escherichia coli DEC13E (868200.3)	436_4, 437_3, 438_2, 439_1	 	 	 	1182_17, 1183_19, 719_17, 720_19	 
Escherichia coli DEC14A (868201.3)	421_4, 422_3, 423_2, 424_1	 	 	 	1002_17, 1003_19, 705_17, 706_19	 
Escherichia coli DEC14B (868202.3)	614_4, 615_3, 616_2, 617_1	 	 	 	1089_17, 1090_19, 1427_17, 1428_19	 
Escherichia coli DEC14C (868203.3)	561_4, 562_3, 563_2, 564_1	 	 	 	1259_17, 1260_19, 911_17, 912_19	 
Escherichia coli DEC14D (868204.3)	469_4, 470_3, 471_2, 472_1	 	 	 	1255_17, 1256_19, 775_17, 776_19	 
