Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Escherichia coli DEC8C (868172.3)	4197_1	 	5517_5	5516_7	2119_14, 2700_10, 3964_14, 4837	5515	5804_21	4660_23	1867_25, 5518_26	 	2546, 922
Escherichia coli DEC8D (868173.3)	3731_1	 	4927_5	4926_7	1912_14, 2318_10, 3550_14, 4382	4925	5375_21	4205_23	1671_25, 4928_26	 	1010, 2169
Escherichia coli DEC8E (868174.3)	3775_1	 	4990_5	4989_7	1892_14, 2467_10, 3596_14, 4425_8	4988	5349_21	4250_23	1652_25, 4991_26	 	2274, 964
Escherichia coli DEC9A (868175.3)	3549_1	 	4889_5	4888_7	1651_14, 2162_10, 3332_14, 4264	4887	5307_21	4072_23	1493_25, 4890_26	 	1970, 797
Escherichia coli DEC9C (868177.3)	3364_1	 	4257_5	4258_7	1519_14, 2085_10, 3186_14, 3994	4259	4965_21	3869_23	1442_25, 4256_26	 	1888, 759
Escherichia coli DEC9D (868178.3)	3542_1	 	4918_5	4917_7	1696_14, 2190_10, 3284_14, 4210	4916	5345_21	4037_23	1497_25, 4919_26	 	1992, 972
Escherichia coli DEC9E (868179.3)	3665_1	 	4517_5	4518_7	1785_14, 2345_10, 3438_14, 4378	4519	5384_21	4203_23	1577_25, 4516_26	 	2138, 788
Escherichia coli DH1 (536056.3)	911_1	 	4280	4281_7	1074, 2004_10, 2466, 372	4282	3526_21, 3974_21	558_23	2648_25, 4279_26	 	2149, 3105
Escherichia coli E101 (550685.3)	1986_1	 	3279_5	3278_7	1634_8, 2609_14, 3668_14, 468_10	3277_17	166_21	1189_23	1057_25, 3280_26	 	618
Escherichia coli E1167 (656372.3)	206_1	 	4678	4677_7	2658_14, 3822_8, 40_14, 958_10	4676	1540_21	596_23	2815_25, 4679_26	 	3543, 815, 816
Escherichia coli E128010 (670894.3)	3697_1	 	2477	2478_7	1391_14, 3891_14, 5137_10, 999_8	2479	1825_21	840_23	175_25, 2476_26	 	403
Escherichia coli E1520 (656374.3)	3067_1	 	4471	4470_7	1152, 1629_10, 3221, 4275	4469	3535_21	2697_23	4472_26, 988_25	 	1478
Escherichia coli E2348/69 (216593.1)	1290_1	 	4804_5	4803_7	4082_8, 572_10, 993_14	4802_17	3728_21	4970_23	1703_25, 4805_26	 	2931, 375
Escherichia coli E24377A (331111.12)	3414_1	 	4719	4718_7	1796, 2246_10, 3222_14, 4076_8	4717_17	5024_21	3914_23	1586_25, 4720_26	 	2100
Escherichia coli E482 (550687.3)	1941_1	 	4596_5	4595_7	1110, 2104_14, 3059_10, 4259	4594	3521_21	1549_23	4597_26, 947_25	 	3207, 446
Escherichia coli EC1734 (1005536.3)	3790_1	 	5166	5165_7	1757, 2394_10, 3622, 4344	5164	5491_21	4182_23	1608_25, 5167_26	 	2243
Escherichia coli EC1735 (1005537.3)	3604_1	 	4899	4898_7	1896, 2344_10, 3435, 4157	4897	5265_21	3996_23	1611_25, 4900_26	 	2194
Escherichia coli EC1736 (1005538.3)	3566_1	 	4869	4868_7	1779, 2234_10, 3399, 4124	4867	5192_21	3963_23	1488_25, 4870_26	 	2084
Escherichia coli EC1737 (1005539.3)	3490_1	 	4776	4775_7	1779, 2219_10, 3323, 4040	4774	5134_21	3879_23	1496_25, 4777_26	 	2070
Escherichia coli EC1738 (1005535.3)	3798_1	 	25	24_7	2034, 2536_10, 3629, 4418	23	91_21	4255_23	1730_25, 26_26	 	2386
Escherichia coli EC1845 (1005540.3)	3455_1	 	4697	4696_7	1690, 2132_10, 3288, 3998	4695	5014_21	3837_23	1451_25, 4698_26	 	1985
Escherichia coli EC1846 (1005541.3)	3562_1	 	4813	4812_7	1738, 2177_10, 3394, 4111	4811	5094_21	3950_23	1493_25, 4814_26	 	2027
Escherichia coli EC1847 (1005542.3)	3571_1	 	4828	4827_7	1743, 2178_10, 3404, 4122	4826	5098_21	3962_23	1495_25, 4829_26	 	2028
Escherichia coli EC1848 (1005543.3)	3814_1	 	5092	5091_7	1983, 2433_10, 3644, 4371	5090	61_21	4210_23	1728_25, 5093_26	 	2283
Escherichia coli EC1849 (1005544.3)	3536_1	 	4843	4842_7	1765, 2177_10, 3366, 4091	4841	5169_21	3930_23	1524_25, 4844_26	 	2028
Escherichia coli EC1850 (1005545.3)	3737_1	 	5006	5005_7	1925, 2370_10, 3567, 4292	5004	2_21	4131_23	1672_25, 5007_26	 	2220
Escherichia coli EC1856 (1005546.3)	3585_1	 	4867	4866_7	1774, 2234_10, 3417, 4141	4865	5193_21	3980_23	1531_25, 4868_26	 	2084
Escherichia coli EC1862 (1005547.3)	3491_1	 	4726	4725_7	1716, 2150_10, 3325, 4031	4724	5044_21	3870_23	1472_25, 4727_26	 	2001
Escherichia coli EC1863 (1005548.3)	3288_1	 	4576	4575_7	1533_14, 1946_10, 3121, 3845	4574	4897_21	3683_23	1288_25, 4577_26	 	1798
Escherichia coli EC1864 (1005549.3)	3710_1	 	5014	5013_7	1926_14, 2381_10, 3542, 4270	5012	5339_21	4109_23	1682_25, 5015_26	 	2232
Escherichia coli EC1865 (1005550.3)	3750_1	 	5005_5	5004_7	1932_14, 2430_10, 3575_14, 4348	5003	3951_21, 5403_21	4174_23	1694_25, 5006_26	 	2265, 3950, 979
Escherichia coli EC1866 (1005551.3)	3420_1	 	4726	4725_7	1572_14, 2024_10, 3252, 3979	4724	5010_21	3817_23	1313_25, 4727_26	 	1874
Escherichia coli EC1869 (1005553.3)	3714_1	 	5021	5020_7	1903_14, 2363_10, 3546, 4277	5019	5347_21	4115_23	1649_25, 5022_26	 	2213
Escherichia coli EC1870 (1005554.3)	3484_1	 	4799	4798_7	1673_14, 2125_10, 3316, 4046	4797	5121_21	3884_23	1405_25, 4800_26	 	1975
Escherichia coli EC302/04 (1230480.3)	2754_1	 	2059_5	2058_7	1838_10, 2205_14, 3360_8, 4500_14	2057_17	4360_21	2539_23	2060_26, 3019_25	 	1692
Escherichia coli EC4013 (1005529.3)	3750_1	 	5039	5038_7	2045, 2489_10, 3582, 4299	5037	148_21	4138_23	1767_25, 5040_26	 	2339
Escherichia coli EC4196 (1005524.3)	3472_1	 	4722	4721_7	1665, 2092_10, 3303, 4021	4720	5038_21	3860_23	1390_25, 4723_26	 	1945
Escherichia coli EC4203 (1005523.3)	3493_1	 	4737	4736_7	1731, 2170_10, 3325, 4038	4735	5056_21	3877_23	1460_25, 4738_26	 	2022
Escherichia coli EC4402 (1005530.3)	3528_1	 	4750	4749_7	1807, 2241_10, 3362, 4061	4748	5063_21	3900_23	1561_25, 4751_26	 	2094
Escherichia coli EC4421 (1005527.3)	3427_1	 	4679	4678_7	1768, 2198_10, 3259, 3976	4677	4985_21	3814_23	1506_25, 4680_26	 	2050
Escherichia coli EC4422 (1005528.3)	3672_1	 	4927	4926_7	2008, 2441_10, 3504, 4222	4925	5233_21	4061_23	1744_25, 4928_26	 	2292
Escherichia coli EC4436 (1005532.3)	3501_1	 	4777	4776_7	1747, 2193_10, 3334, 4061	4775	5093_21	3900_23	1492_25, 4778_26	 	2046
Escherichia coli EC4437 (1005533.3)	3716_1	 	5000	4999_7	1960, 2415_10, 3549, 4279	4998	5320_21	4118_23	1706_25, 5001_26	 	2267
Escherichia coli EC4439 (1005531.3)	3449_1	 	4690	4689_7	1704, 2147_10, 3280, 3993	4688	5007_21	3832_23	1461_25, 4691_26	 	1998
Escherichia coli EC4448 (1005534.3)	3627_1	 	4872	4871_7	1886, 2326_10, 3458, 4174	4870	5188_21	4013_23	1637_25, 4873_26	 	2176
Escherichia coli ED1a (585397.9)	3278_1	 	4655_5	4654_7	1969_10, 3115_14, 4008_8	4653_17	5075_21, 5080_21	3829_23	1282_25, 4656_26	 	1818, 3439, 3441, 5074
Escherichia coli EPEC C342-62 (766166.3)	3619_1	 	4882	4881_7	1847_14, 2258_10, 3426_14, 4235_8	4880_17	5218_21	4073_23	1584_25, 4883_26	 	2105, 927
Escherichia coli EPECa12 (670896.3)	3173_1	 	4568	4567_7	1534_14, 2030_10, 3005_14, 3863	4566_17	4897_21	3688_23	1318_25, 4569_26	 	1874, 658
Escherichia coli EPECa14 (670893.4)	3157_1	 	2504_5	2505_7	3194_14, 3719, 4546_14, 4864_10	2506	556_21	3543_23	2503_26, 4742_25	 	4190, 5024
Escherichia coli ETEC H10407 (316401.4)	3405_1	 	4798	4797_7	1621, 2041_10, 3235, 4091	4796	5224_21	3907_23	1450_25, 4799_26	 	1888, 818
Escherichia coli Envira 10/1 (1115998.3)	3712_1	 	2268_5	2267_7	1933_14, 2587_10, 3524_14, 4394_8	2266	5377_21	4230_23	1704_25, 2269_26	 	2233, 2435
Escherichia coli Envira 8/11 (1115997.3)	3761_1	 	5134_5	5133_7	2041_14, 2537_10, 3478_14, 4461_8	5132	5438_21	4299_23	1868_25, 5135_26	 	1204, 2387
Escherichia coli FDA504 (1005470.3)	3745_1	 	5018	5017_7	1998, 2474_10, 3576, 4304	5016	5325_21	4143_23	1697_25, 5019_26	 	2324
Escherichia coli FDA505 (1005471.3)	3479_1	 	4752	4751_7	1825, 2261_10, 3312, 4020	4750	5054_21	3859_23	1559_25, 4753_26	 	2112
Escherichia coli FDA506 (1005474.3)	4020_1	 	5310	5309_7	2325, 2806_10, 3850, 4582	5308	329_21	4420_23	2064_25, 5311_26	 	2657
Escherichia coli FDA507 (1005472.3)	3697_1	 	4985	4984_7	1947, 2443_10, 3529, 4257	4983	5294_21	4096_23	1640_25, 4986_26	 	2293
Escherichia coli FDA517 (1005473.3)	3785_1	 	5037	5036_7	2001, 2469_10, 3615, 4334	5035	5356_21	4173_23	1749_25, 5038_26	 	2319
Escherichia coli FRIK1985 (1005476.3)	3723_1	 	4953	4952_7	1950, 2420_10, 3555, 4262	4951	5269_21	4101_23	1699_25, 4954_26	 	2271
Escherichia coli FRIK1990 (1005478.3)	3472_1	 	4703	4702_7	1767, 2254_10, 3304, 4017	4701	5020_21	3855_23	1502_25, 4704_26	 	2054
Escherichia coli FRIK1996 (1005475.3)	3651_1	 	4904	4903_7	1971, 2396_10, 3484, 4194	4902	5224_21	4031_23	1705_25, 4905_26	 	2237
Escherichia coli FRIK1997 (1005480.3)	3747_1	 	5057	5056_7	1998, 2433_10, 3579, 4307	5055	5370_21	4145_23	1698_25, 5058_26	 	2279
Escherichia coli FRIK1999 (1005477.3)	3763_1	 	5052	5051_7	2025, 2482_10, 3595, 4328	5050	5376_21	4164_23	1751_25, 5053_26	 	2332
Escherichia coli FRIK2001 (1005479.3)	4106_1	 	5390	5389_7	2411, 2861_10, 3938, 4668	5388	322_21	4506_23	2136_25, 5391_26	 	2712
Escherichia coli FRIK523 (1005482.3)	3777_1	 	4960	4959_7	2032, 2517_10, 3608, 4337	4958	5369_21	4174_23	1764_25, 4961_26	 	2366
Escherichia coli FRIK920 (1005483.3)	4202_1	 	5323	5322_7	2261, 2691_10, 4032, 4751	5321	5754_21	4588_23	1943_25, 5324_26	 	2491
Escherichia coli FVEC1302 (656379.3)	4186_1	 	5209_5	5208_7	2220_10, 3397_14, 4017_14, 4634_8	5207_17	633_21	3916_23	1303_25, 5210_26	 	2073
Escherichia coli FVEC1412 (656380.3)	4102_1	 	5101_5	5100_7	2750_14, 3184_10, 3934_14, 4422_8	5099_17	623_21	3835_23	1878_25, 5102_26	 	3038
Escherichia coli G58-1 (754078.3)	3117_1	 	4337_5	4336_7	1599, 2036_10, 2953, 3660	4335	4653_21	3478_23	1371_25, 4338_26	 	1885, 857
Escherichia coli H120 (656383.3)	2011_1	 	4874	4875_7	2188_14, 352_10, 4210_8, 842_14	4876	2529_21	1600_23	1004_25, 4873_26	 	503
Escherichia coli H252 (656388.3)	2483_1	 	4452	4451_7	1257_10, 2679, 3615	4450_17	3165_21, 3170_21	2044_23	4453_26, 64_25	 	1115, 3171, 3298, 3300
Escherichia coli H263 (656390.3)	1552_1	 	4501	4502_7	1750, 2262_10, 4231	4503_17	3359_21, 3364_21	1022_23	4500_26, 881_25	 	2117, 3232, 3234, 3358
Escherichia coli H299 (656393.3)	3844_1	 	5162	5161_7	2078_14, 2546_10, 3644_14, 4409_8	5160_17	486_21	4224_23	1907_25, 5163_26	 	2395
Escherichia coli H30 (869673.3)	4358_1	 	3052	3053_7	3799, 4526, 479_10, 5602_14	3054	2718_21	3961_23	1038_25, 3051_26	 	328
Escherichia coli H397 (656398.3)	3622_1	 	4642	4643_7	1019_10, 3428, 4178	4644_17	2972_21, 2977_21	3996_23	2334_25, 4641_26	 	1162, 2978, 3102, 3104
Escherichia coli H489 (656404.3)	2909_1	 	4273	4274_7	1106, 1527_10, 3068_14, 4044	4275_17	3373_21	2526_23	4272_26, 896_25	 	1373, 450
Escherichia coli H494 (656405.3)	2806_1	 	4914	4915_7	2032_14, 3720_8, 4570_14, 901_10	4916_17	1549_21	3194_23	2191_25, 4913_26	 	3642, 4166
Escherichia coli H591 (656408.3)	3108_1	 	4448	4447_7	1383_14, 1911_10, 2940_14, 3769_8	4446	4766_21	3596_23	1213_25, 4449_26	 	1745, 624
Escherichia coli H730 (656413.3)	3398_1	 	3063	3062_7	2384, 3564, 4370_10, 4789	3061	167_21	2196_23	1601_25, 3064_26	 	1041, 4515, 619, 621
Escherichia coli H736 (656414.3)	3251_1	 	4504	4503_7	1569_14, 2070_10, 3096, 3837_8	4502	4825_21	3646_23	1378_25, 4505_26	 	1912, 871
Escherichia coli HM26 (1308540.3)	3993_1	 	4106_5	4107_7	1985_8, 2495_14, 3054_14, 657_10	4108_17	51_21	1760_23	2524_25, 4105_26, 674_26	 	510
Escherichia coli HM46 (1308982.3)	677_1	 	3591_5	3590_7	1850_14, 2204_10, 2873_8, 526_14	3589_17	436_21	1086_23	1624_25, 3592_26	 	2108
Escherichia coli HM605 (752789.3)	3247_1	 	1964	1965_7	2619, 3444, 4485_10	1966_17	1549_21	2802_23	1963_26, 212_25	 	1683, 1685, 4634
Escherichia coli HS (331112.6)	2895_1	 	4085	4084_7	1381_14, 1791_10, 2732_14, 3461_8	4083_17	4392_21	3283_23	1220_25, 4086_26	 	1648
Escherichia coli IAI1 (585034.5)	2873_1	 	4060	4059_7	1312_14, 1781_10, 2701_14, 3417_8	4058_17	4361_21	3256_23	1159_25, 4061_26	 	1634, 661
Escherichia coli IAI39 (585057.6)	3364_1	 	3142_5	3143_7	1368_10, 1727_14, 2955_14, 3978_8	3144_17	4874_21, 4878_21	3801_23	2084_25, 3141_26	 	1518, 4873
Escherichia coli IHE3034 (714962.3)	3257_1	 	4468	4467_7	1902_10, 3070, 3811	4466_17	4795_21, 4800_21	3629_23	1262_25, 4469_26	 	1756, 4794
Escherichia coli J53 (1144303.3)	973_1	 	4330	4331_7	1134, 2060_10, 2523, 420	4332	3871_21, 4029_21	607_23	2699_25, 4329_26	 	2206, 3190
Escherichia coli JB1-95 (869682.4)	3272_1	 	10_5	11_7	2676, 3094_14, 354_14, 459_10	12	2100_21	2850_23	616_25, 9_26	 	2035, 3800
Escherichia coli Jurua 18/11 (1115999.3)	3065_1	 	4447	4446_7	1479_14, 1882_10, 2836_14, 3637	4445_17	4762_21	3481_23	1323_25, 4448_26	 	1697, 773
Escherichia coli Jurua 20/10 (1116000.3)	3033_1	 	4421	4420_7	1418_14, 1883_10, 2847_14, 3782_8	4419_17	4752_21	3618_23	1259_25, 4422_26	 	1735, 715
Escherichia coli BW2952 (595496.3)	2799_1	 	3964	3963_7	1243, 1710_10, 2635, 3335	3962	4327_21	3150_23	1078_25, 3965_26	 	1565, 618
Escherichia coli str. K-12 substr. DH10B (316385.7)	3013_1	 	4183	4182_7	1445, 1908_10, 2846, 3557	4181	256_21, 4492_21	3370_23	1229_25, 4184_26	 	1762, 767
Escherichia coli str. K-12 substr. MDS42 (1110693.3)	2314_1	 	3391	3390_7	1097, 1416_10, 2153, 2788	3389	3691_21	2629_23	3392_26, 954_25	 	1271, 551
Escherichia coli str. K-12 substr. MG1655 (511145.12)	2916_1	 	4080	4079_7	1358, 1820_10, 2754, 3453	4078	277_21, 4384_21	3266_23	1178_25, 4081_26	 	1676, 722
Escherichia coli str. K-12 substr. MG1655star (879462.4)	2850_1	 	3996	3995_7	1309, 1769_10, 2690, 3386	3994	268_21, 269_21, 4293_21	3202_23	1133_25, 3997_26	 	1624, 688
Escherichia coli str. K-12 substr. W3110 (316407.9)	2851_1	 	3347	3348_7	1313, 1767_10, 2689, 3957	3349	269_21, 4288_21	3203_23	1135_25, 3346_26	 	1623, 691
Escherichia coli W3110 (316407.3)	2717_1	 	3187	3188_7	1264, 1703_10, 2571, 3766	3189	263_21, 4086_21	3052_23	1093_25, 3186_26	 	1562, 666
Escherichia coli KD2 (752784.3)	3565_1	 	4641_5	4642_7	2044_14, 2270_8, 287_10, 3739_14	4643_17	2822_21	3164_23	1871_25, 20_26, 4640_26	 	4426
Escherichia coli KO11 (595495.5)	934_1	 	4427	4428_7	1137_14, 2060_10, 2572_14, 390_8	4429	4124_21	551_23	2728_25, 4426_26	 	2206, 3227
Escherichia coli KTE1 (1169315.3)	3842_1	 	5166_5	5165_7	2297_14, 2723_10, 3673_14, 4492_8	5164_17	446_21	4331_23	2017_25, 5167_26	 	2577
Escherichia coli KTE10 (1169330.3)	221_1	 	1443_5	1442_7	3393_14, 38_14, 3882_10, 755_8	1441_17	1835_21	575_23	1444_26, 3204_25	 	2650, 3734
Escherichia coli KTE100 (1182699.3)	3920_1	 	157	156_7	2203, 2663_10, 3750_14, 4514_8	155_17	560_21	4334_23	158_26, 1957_25	 	1437, 2515
Escherichia coli KTE101 (1182700.3)	1675_1	 	2913	2912_7	1515_14, 2247_8, 546_10, 78_14	2911_17	3216_21	2083_23	2914_26, 4583_25	 	399, 4071
Escherichia coli KTE102 (1182701.3)	4383_1	 	898_5	897_7	247_8, 2781_14, 3189_10, 4212_14	896_17	1124_21, 1321_21	4728_23	2637_25, 899_26	 	1123, 2108, 3035, 4506, 4508
Escherichia coli KTE103 (1182702.3)	3870_1	 	193	192_7	2139_14, 2140_14, 2595_10, 3709_14, 4495	191	507_21	4316_23	194_26, 1971_25	 	1432, 2452
Escherichia coli KTE104 (1169372.3)	2973_1	 	4234_5	4233_7	1755_10, 2779_14, 3571	4232_17	4563_21, 4568_21	3388_23	1190_25, 4235_26	 	1611, 4562, 715
Escherichia coli KTE105 (1169373.3)	2966_1	 	4221_5	4220_7	1372_14, 1788_10, 2798_14, 3550_8	4219_17	4520_21	3391_23	1180_25, 4222_26	 	1643
Escherichia coli KTE106 (1169374.3)	2896_1	 	4153_5	4152_7	1718_10, 2692_14, 3471	4151_17	4478_21, 4483_21	3289_23	1158_25, 4154_26	 	1573, 4477, 672
Escherichia coli KTE107 (1182703.3)	3594_1	 	4768	4767_7	1870, 2376_10, 3382_14, 4139_8	4766_17	266_21	3967_23	1663_25, 4769_26	 	2229
Escherichia coli KTE108 (1182704.3)	4949_1	 	1273	1272_7	3160, 3639_10, 4783_14, 498	1271_17	1586_21	323_23	1274_26, 2908_25	 	2425, 3491
Escherichia coli KTE109 (1169375.3)	2918_1	 	4134_5	4133_7	1822_10, 2727_14, 3471_8	4132_17	4439_21, 4444_21	3291_23	1259_25, 4135_26	 	1623, 4438
Escherichia coli KTE11 (1169331.3)	2459_1	 	3657_5	3656_7	1088_10, 2306_14, 2998_8	3655_17	3950_21	2829_23	3658_26, 887_25	 	1214
Escherichia coli KTE111 (1182706.3)	3560_1	 	4793	4792_7	2034, 2463_10, 3397, 4134	4791	516_21	3951_23	1817_25, 4794_26	 	1368, 2316
Escherichia coli KTE112 (1169376.3)	3241_1	 	4540_5	4539_7	1531_14, 2069_10, 3076_14, 3850_8	4538_17	4873_21	3687_23	1325_25, 4541_26	 	1919
Escherichia coli KTE113 (1169377.3)	3261_1	 	4495_5	4494_7	2075_10, 3066_14, 3834_8	4493_17	107_21, 112_21	3654_23	1548_25, 4496_26	 	1008, 106, 1933
Escherichia coli KTE114 (1169321.3)	331_1	 	1084_5	1085_7	1697_8, 196_14, 3134_10, 3520_14	1086_17	789_21	773_23	1083_26, 2997_25	 	3279
Escherichia coli KTE115 (1182707.3)	3026_1	 	4302_5	4301_7	1380_14, 1894_10, 2852_14, 3638_8	4300_17	4611_21	3476_23	1203_25, 2166_26, 4303_26	 	1749
Escherichia coli KTE116 (1182708.3)	4016_1	 	281_5	280_7	2382_14, 2809_10, 3851_14, 4668_8	279_17	577_21	4506_23	2149_25, 282_26	 	2664
Escherichia coli KTE117 (1169378.3)	2933_1	 	4102_5	4101_7	1369_14, 1902_10, 2774_14, 3483_8	4100_17	4412_21	3326_23	1202_25, 4103_26	 	1757
Escherichia coli KTE118 (1182709.3)	3965_1	 	364	363_7	2701_10, 3763, 4590	362_17	771_21, 776_21	4407_23	2056_25, 365_26	 	2558, 642, 644, 770
Escherichia coli KTE119 (1182710.3)	3485_1	 	4698	4697_7	1857_14, 2381_10, 3322_14, 4063	4696	237_21	3886_23	1637_25, 4699_26	 	1151, 2235
Escherichia coli KTE12 (1169332.3)	2932_1	 	4200	4199_7	1386_14, 1801_10, 2769_14, 3489_8	4198	4507_21	3327_23	1182_25, 4201_26	 	1651, 673
Escherichia coli KTE120 (1169379.3)	3185_1	 	4450	4449_7	1438, 1985_10, 3020, 3798	4448	4764_21	3615_23	1274_25, 4451_26	 	1843, 819
Escherichia coli KTE121 (1182711.3)	2503_1	 	3939_5	3938_7	1285_10, 2329_14, 3185_8, 765_14	3937_17	4251_21	3023_23	3940_26, 595_25	 	1086
Escherichia coli KTE122 (1169380.3)	3316_1	 	4469_5	4468_7	1542_14, 2091_10, 3146_14, 3849_8	4467_17	4761_21	3690_23	1368_25, 4470_26	 	1900
Escherichia coli KTE123 (1182712.3)	393_1	 	1618	1617_7	192, 4000_10, 955	1616_17	2023_21, 2028_21	771_23	1619_26, 3420_25	 	1896, 1898, 2022, 3857
Escherichia coli KTE124 (1169381.3)	3137_1	 	4415_5	4414_7	1956_10, 2946_14, 3718_8	4413_17	4753_21, 4758_21	3534_23	1235_25, 4416_26	 	1811, 4752, 801
Escherichia coli KTE125 (1169382.3)	3129_1	 	4377	4376_7	1429_14, 2002_10, 2967_14, 3728_8	4375_17	4679_21	3566_23	1257_25, 4378_26	 	1856
Escherichia coli KTE126 (1182713.3)	1133_1	 	4756	4755_7	1344_14, 2925_10, 3963	4754_17	253_21, 258_21	751_23	2356_25, 4757_26	 	1827, 252, 2779
Escherichia coli KTE127 (1182714.3)	3941_1	 	245_5	244_7	2300_14, 2672_10, 3778_14, 4620_8	243_17	546_21	4460_23	2057_25, 246_26	 	2529
Escherichia coli KTE128 (1169383.3)	3032_1	 	4314_5	4313_7	1556_14, 1948_10, 2868_14, 3607_8	4312_17	4607_21	3445_23	1380_25, 4315_26	 	1804
Escherichia coli KTE129 (1169384.3)	3053_1	 	4365_5	4364_7	1861_10, 2855_14, 3652	4363_17	4700_21	3465_23	1178_25, 4366_26	 	1716, 4756, 4758, 757
Escherichia coli KTE13 (1169318.3)	2916_1	 	4182	4181_7	1383_14, 1793_10, 2756_14, 3471_8	4180	4488_21	3308_23	1162_25, 4183_26	 	1644, 668
Escherichia coli KTE130 (1182715.3)	3720_1	 	5047	5046_7	2011, 2454_10, 3558, 4393	5045	333_21	4210_23	1789_25, 5048_26	 	1266, 2304
Escherichia coli KTE131 (1169385.3)	2943_1	 	4190_5	4189_7	1405_14, 1766_10, 2743_14, 3519_8	4188_17	4513_21, 4518_21	3335_23	1188_25, 4191_26	 	1620, 4512, 769
Escherichia coli KTE132 (1182716.3)	3750_1	 	5093	5092_7	2053, 2492_10, 3585, 4429	5091	366_21	4244_23	1740_25, 5094_26	 	1214, 2343
Escherichia coli KTE133 (1169386.3)	2943_1	 	4162_5	4161_7	1813_10, 2754_14, 3521_8	4160_17	4492_21, 4497_21	3340_23	1230_25, 4163_26	 	1670, 4491, 747
Escherichia coli KTE134 (1182717.3)	1842_1	 	503_5	504_7	1173_8, 2008_14, 4139_14, 4835_10	505_17	203_21	1333_23	3971_25, 502_26	 	1641, 1643, 4982
Escherichia coli KTE135 (1182718.3)	211_1	 	1393	1392_7	3116_14, 3560_10, 38_14, 760_8	1391_17	1699_21	597_23	1394_26, 2948_25	 	2503, 3416
Escherichia coli KTE136 (1182719.3)	3199_1	 	4495	4494_7	1751_14, 2149_10, 3043_14, 3774_8	4493	260_21	3611_23	1598_25, 4496_26	 	1097, 2002, 3366, 3368
Escherichia coli KTE137 (1169387.3)	2995_1	 	4278_5	4277_7	1775_10, 2811_14, 3546_8	4276_17	4613_21, 4618_21	3364_23	1212_25, 4279_26	 	1630, 4612, 769
Escherichia coli KTE138 (1169388.3)	2845_1	 	4057	4056_7	1351, 1799_10, 2669_14, 3416_8	4055	4355_21	3256_23	1117_25, 4058_26	 	1654, 676
Escherichia coli KTE139 (1169389.3)	2877_1	 	4123_5	4122_7	1812_10, 2700_14, 3459_8	4121_17	4457_21, 4462_21	3278_23	1231_25, 4124_26	 	1669, 4456, 805
Escherichia coli KTE14 (1169333.3)	3319_1	 	4575	4574_7	1336, 2061_10, 3163, 3955	4573	4886_21	3774_23	1151_25, 4576_26	 	1914, 532
Escherichia coli KTE140 (1182720.3)	3702_1	 	4926_5	4925_7	2042_14, 2405_10, 3541_14, 4234_8	4924_17	300_21	4069_23	1876_25, 4927_26	 	2263
Escherichia coli KTE141 (1182721.3)	3405_1	 	4675_5	4674_7	2271_10, 3215_14, 3968_8	4673_17	287_21, 292_21	3786_23	1637_25, 4676_26	 	1109, 2125, 286
Escherichia coli KTE142 (1182722.3)	2178_1	 	3437	3436_7	1998_14, 2743_8, 887_14	3435_17	3754_21	2577_23	3438_26, 728_25	 	217
Escherichia coli KTE143 (1182723.3)	3240_1	 	4615_5	4614_7	1659_14, 2108_10, 3141_14, 3923_8	4613_17	5003_21	3745_23	1400_25, 4616_26	 	1957
Escherichia coli KTE144 (1182724.3)	2719_1	 	3944	3943_7	1130_14, 1600_10, 2565_14, 3302_8	3942_17	4250_21	3123_23	3945_26, 959_25	 	1457
Escherichia coli KTE145 (1169390.3)	3022_1	 	4260_5	4259_7	1812_10, 2829_14, 3600_8	4258_17	4588_21, 4593_21	3420_23	1232_25, 4261_26	 	1669, 4587, 788
Escherichia coli KTE146 (1182725.3)	3591_1	 	5087_5	5086_7	1983_14, 2430_10, 3430_14, 4377_8	5085_17	400_21	4209_23	1818_25, 5088_26	 	2287
Escherichia coli KTE147 (1182726.3)	1580_1	 	2805_5	2804_7	1428_14, 2166_8, 4722_14, 570_10	2803_17	3115_21	1989_23	2806_26, 4430_25	 	424
Escherichia coli KTE148 (1169391.3)	3004_1	 	4237_5	4236_7	1845_10, 2816_14, 3580_8	4235_17	4608_21, 4613_21	3398_23	1138_25, 4238_26	 	1703, 4607, 699
Escherichia coli KTE15 (1169334.3)	2799_1	 	4180_5	4179_7	1609_10, 2604_14, 3537_8	4178_17	4695_21, 4700_21	3184_23	1018_25, 4181_26	 	1468, 4694, 486
Escherichia coli KTE150 (1169392.3)	2988_1	 	4233_5	4232_7	1877_10, 2788_14, 3555_8	4231_17	4560_21, 4565_21	3372_23	1321_25, 4234_26	 	1735, 4559
Escherichia coli KTE153 (1169393.3)	2959_1	 	4239_5	4238_7	1835_10, 2768_14, 3531_8	4237_17	4576_21, 4581_21	3348_23	1219_25, 4240_26	 	1690, 4575, 800
Escherichia coli KTE154 (1182728.3)	830_1	 	2063	2062_7	1402_8, 3984_14, 4453_10, 672_14	2061_17	2403_21	1222_23	2064_26, 3768_25	 	3330, 4306
Escherichia coli KTE155 (1182729.3)	3232_1	 	4440	4439_7	1300, 2099_10, 3071, 3802	4438	264_21	3619_23	1142_25, 4441_26	 	1590, 1953
